"X__1"	"ID0"	"Description"	"reaction"	"rxnID"	"reaction_corrected"	"gene"	"ec_uniprot"	"subsystem"	"Reversibility"	"Reversibility_evidences"	"Remark"	"subsystem_standard"	"RHEA_ID"	"RHEA_ID2"	"metnetID"	"metnetID2"	"formula_metnet"	"formula_metnet_balance"	"Equation"	"formula_rhea"
22	"Rh23"	"Glucosidase 2 subunit alpha (EC 3.2.1.84) (Alpha-glucosidase II subunit alpha) (Glucosidase II subunit alpha) (Reversal of TOR2 lethality protein 2)"	"H2O  + G00010 <=> D-Glucose  + G00011"	"R05981"	"H2O + G00010 <=> D-glucose + G00011"	"YBR229C"	"3.2.1.84"	"N-Glycan biosynthesis"	1	"NA"	"Add new reaction;"	"sce00510  n-glycan biosynthesis"	"rhea:56000"	"NA"	"MNXR109972"	"MNXR109972"	"1 `H2O` + 1 `G00010` = 1 `D-glucose` + 1 `G00011`"	"NA"	"1 MNXM2@MNXD1 + 1 MNXM9295@MNXD1 = 1 MNXM41@MNXD1 + 1 MNXM6479@MNXD1"	NA
29	"Rh30"	"UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase (EC 2.7.8.15) (GlcNAc-1-P transferase) (G1PT) (GPT) (N-acetylglucosamine-1-phosphate transferase) (Tunicamycin resistance protein 1)"	"UDP-N-acetyl-alpha-D-glucosamine  + Dolichyl phosphate <=> UMP  + N-Acetyl-D-glucosaminyldiphosphodolichol"	"R01007"	"UDP-N-acetyl-alpha-D-glucosamine + dolichyl phosphate <=> UMP + N-Acetyl-D-glucosaminyldiphosphodolichol"	"YBR243C"	"2.7.8.15"	"N-Glycan biosynthesis"	1	"NA"	"Add new reaction;"	"sce00510  n-glycan biosynthesis"	"rhea:13289"	"NA"	NA	"MNXR106786"	"1 `dolichyl phosphate` + 1 `UDP-N-acetyl-alpha-D-glucosamine` = 1 `UMP` + 1 `N-acetyl-alpha-D-glucosaminyldiphosphodolichol`"	"true"	"1 MNXM278@MNXD1 + 1 MNXM47@MNXD1 = 1 MNXM80@MNXD1 + 1 MNXM818@MNXD1"	"dolichyl phosphate + UDP-N-acetyl-alpha-D-glucosamine => N-acetyl-alpha-D-glucosaminyl-diphosphodolichol + UMP;N-acetyl-alpha-D-glucosaminyl-diphosphodolichol + UMP => dolichyl phosphate + UDP-N-acetyl-alpha-D-glucosamine"
32	"Rh33"	"Cysteine desulfurase, mitochondrial (EC 2.8.1.7) (tRNA-splicing protein SPL1)"	"(sulfur carrier)-H  + L-cysteine <=> (sulfur carrier)-SH  + L-alanine"	"R11528"	"(sulfur carrier)-H + L-cysteine <=> (sulfur carrier)-SH + L-alanine"	"YCL017C"	"2.8.1.7"	"iron-sulfur cluster biosynthesis"	1	"NA"	"Add new reaction;"	"iron-sulfur cluster biosynthesis"	"rhea:43892"	"NA"	"MNXR114822"	"MNXR128101"	"1 `L-alanine` + 1 `thiol group` = 1 `L-cysteine` + 1 `H group`"	"true"	"1 MNXM32@MNXD1 + 1 MNXM87040@MNXD1 = 1 MNXM55@MNXD1 + 1 MNXM55810@MNXD1"	"(sulfur carrier)-H + L-cysteine => (sulfur carrier)-SH + L-alanine;(sulfur carrier)-SH + L-alanine => (sulfur carrier)-H + L-cysteine"
42	"Rh43"	"Putative aryl-alcohol dehydrogenase AAD3 (EC 1.1.1.-)"	"a phenol  + NAD(+)<=> an aryl aldehyde  + NADH  + H(+)"	"ARYL-ALCOHOL-DEHYDROGENASE-RXN"	"a phenol + NAD <=> an aryl aldehyde + NADH + H+"	"YCR107W;YDL243C;YJR155W;YNL331C;YOL165C;YPL088W"	"1.1.1.-"	"Methylglyoxal Metabolism"	1	"NA"	"Not added"	"methylglyoxal metabolism"	"rhea:12076"	"RHEA:12076"	NA	NA	"an aromatic primary alcohol + NAD(+) => an aromatic aldehyde + H(+) + NADH;an aromatic aldehyde + H(+) + NADH => an aromatic primary alcohol + NAD(+)"	"true"	NA	"an aromatic primary alcohol + NAD(+) => an aromatic aldehyde + H(+) + NADH;an aromatic aldehyde + H(+) + NADH => an aromatic primary alcohol + NAD(+)"
44	"Rh45"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit WBP1 (Oligosaccharyl transferase subunit WBP1) (EC 2.4.99.18) (Oligosaccharyl transferase subunit beta)"	"Dolichyl diphosphooligosaccharide  + [protein]-L-asparagine <=> dolichyl diphosphate  + a glycoprotein with the oligosaccharide chain attached by N-beta-D-glycosyl linkage to a protein L-asparagine"	"R04216"	"Dolichyl diphosphooligosaccharide + [protein]-L-asparagine <=> dolichyl diphosphate + a glycoprotein with the oligosaccharide chain attached by N-beta-D-glycosyl linkage to protein L-asparagine"	"YEL002C;YDL232W;YGL226C-A;YJL002C;YML019W;YMR149W;YOR085W;YOR103C"	"2.4.99.18"	"N-Glycan biosynthesis"	1	"NA"	"Why not added? Can be found in BiGG"	"sce00510  n-glycan biosynthesis"	"rhea:22980"	"NA"	NA	"MNXR126153"	"1 `H(+)` + 1 `an N(4)-(oligosaccharide-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosaminyl)-L-asparagine residue` + 1 `dolichyl diphosphate` = 1 `L-asparagine residue` + 1 `dolichyl diphosphooligosaccharide`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM163305@MNXD1 + 1 MNXM2370@MNXD1 = 1 MNXM59315@MNXD1 + 1 MNXM96359@MNXD1"	"L-asparaginyl-[protein] + a dolichyl diphosphooligosaccharide => N(4)-(oligosaccharide-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosaminyl)-L-asparaginy-[protein] + dolichyl diphosphate + H(+);N(4)-(oligosaccharide-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosaminyl)-L-asparaginy-[protein] + dolichyl diphosphate + H(+) => L-asparaginyl-[protein] + a dolichyl diphosphooligosaccharide"
46	"Rh47"	"1,4-alpha-glucan-branching enzyme (EC 2.4.1.18) (Glycogen-branching enzyme)"	"glygn1[c] => glygn2[c]"	"MNXR100154"	"glygn1[c] -> glygn2[c]"	"YEL011W"	"2.4.1.18"	"Starch and sucrose metabolism"	0	"based on human model;"	"Why not added?     The three reactions from E.coli.  [c] : glycogen --> bglycogen ; [c] : bglycogen + pi --> g1p; [c] : bglycogen --> glycogen can be added into our model."	"sce00500  starch and sucrose metabolism"	"NA"	"NA"	NA	"MNXR100154"	"1 `Glygn1` = 1 `Glygn2`"	"true"	"1 MNXM11714@MNXD1 = 1 MNXM8681@MNXD1"	NA
55	"Rh56"	"D-amino-acid N-acetyltransferase HPA3 (DNT) (EC 2.3.1.36) (EC 2.3.1.48) (Histone and other protein acetyltransferase 3)"	"Acetyl-CoA  + a D-amino acid <=> CoA  + an N-acetyl-D-amino acid"	"R02191"	"acetyl-CoA + a D-amino acid <=> coenzyme A + an N-acetyl-D-amino acid"	"YEL066W"	"2.3.1.36; 2.3.1.48"	"other"	1	"NA"	"Not added"	"other"	"rhea:20704"	"NA"	NA	"MNXR107364"	"1 `H(+)` + 1 `CoA` + 1 `an N-acetyl-D-amino acid` = 1 `acetyl-CoA` + 1 `a D-amino acid`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM12@MNXD1 + 1 MNXM4051@MNXD1 = 1 MNXM21@MNXD1 + 1 MNXM774@MNXD1"	"a D-amino acid + acetyl-CoA => an N-acetyl-D-amino acid + CoA + H(+);an N-acetyl-D-amino acid + CoA + H(+) => a D-amino acid + acetyl-CoA"
57	"Rh58"	"Mannitol dehydrogenase DSF1 (EC 1.1.1.-) (Deletion suppressor of MPT5 mutation protein 1)"	"Mannitol  + NAD(+)<=> D-Fructose  + NADH  + H(+)"	"R00868"	"Mannitol + NAD <=> D-fructose + NADH + H+"	"YEL070W;YNR073C"	"1.1.1.-"	"Fructose and mannose metabolism"	1	"NA"	"Add new reaction;"	"sce00051  fructose and mannose metabolism"	"rhea:12084"	"NA"	NA	"MNXR101675"	"1 `H(+)` + 1 `NADH` + 1 `D-fructose` = 1 `D-mannitol` + 1 `NAD(+)`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM175@MNXD1 = 1 MNXM615@MNXD1 + 1 MNXM8@MNXD1"	"D-mannitol + NAD(+) => D-fructose + H(+) + NADH;D-fructose + H(+) + NADH => D-mannitol + NAD(+)"
58	"Rh59"	"Alpha-1,3-mannosyltransferase MNN1 (EC 2.4.1.-)"	"GDP-D-mannose  + G10842 <=> GDP  + G10843"	"R09302"	"GDP-alpha-D-mannose + G10842 <=> GDP + G10843"	"YER001W;YIL014W;YGL257C"	"2.4.1.-"	"Various types of N-glycan biosynthesis"	1	"NA"	"Why not added?"	"sce00513  various types of n-glycan biosynthesis"	"NA"	"NA"	"MNXR112733"	"MNXR112733"	"1 `GDP` + 1 `G10843` = 1 `GDP-alpha-D-mannose` + 1 `G10842`"	"NA"	"1 MNXM30@MNXD1 + 1 MNXM9314@MNXD1 = 1 MNXM82@MNXD1 + 1 MNXM9337@MNXD1"	NA
59	"Rh60"	"Alpha-1,3-mannosyltransferase MNN1 (EC 2.4.1.-)"	"GDP-D-mannose  + G10843 <=> GDP  + G11055"	"R09303"	"GDP-alpha-D-mannose + G10843 <=> GDP + G11055"	"YER001W;YIL014W;YGL257C"	"2.4.1.-"	"Various types of N-glycan biosynthesis"	1	"NA"	"Why not added?"	"sce00513  various types of n-glycan biosynthesis"	"NA"	"NA"	"MNXR112734"	"MNXR112734"	"1 `G11055` + 1 `GDP` = 1 `GDP-alpha-D-mannose` + 1 `G10843`"	"NA"	"1 MNXM13352@MNXD1 + 1 MNXM30@MNXD1 = 1 MNXM82@MNXD1 + 1 MNXM9314@MNXD1"	NA
60	"Rh61"	"4-hydroxy-4-methyl-2-oxoglutarate aldolase (HMG aldolase) (EC 4.1.3.17) (Oxaloacetate decarboxylase) (OAA decarboxylase) (EC 4.1.1.3) (Regulator of ribonuclease activity homolog) (RraA-like protein)"	"4-hydroxy-4-methyl-2-oxoglutarate <=> 2 pyruvate"	"R00008"	"4-hydroxy-4-methyl-2-oxoglutarate <=> 2 pyruvate"	"YER010C"	"4.1.3.17; 4.1.1.3"	"Benzoate degradation; C5-Branched dibasic acid metabolism"	1	"NA"	"Add new reaction;"	"sce00362  benzoate degradation;sce00660  c5-branched dibasic acid metabolism"	"rhea:22748"	"NA"	NA	"MNXR106336"	"1 `4-hydroxy-4-methyl-2-oxoglutarate` = 2 `pyruvate`"	"true"	"1 MNXM2196@MNXD1 = 2 MNXM23@MNXD1"	"4-hydroxy-4-methyl-2-oxoglutarate => 2 pyruvate;2 pyruvate => 4-hydroxy-4-methyl-2-oxoglutarate"
61	"Rh62"	"4-hydroxy-4-methyl-2-oxoglutarate aldolase (HMG aldolase) (EC 4.1.3.17) (Oxaloacetate decarboxylase) (OAA decarboxylase) (EC 4.1.1.3) (Regulator of ribonuclease activity homolog) (RraA-like protein)"	"Oxaloacetate <=> pyruvate  + CO2"	"R00217"	"oxaloacetate <=> pyruvate + carbon dioxide"	"YER010C"	"4.1.3.17; 4.1.1.3"	"Benzoate degradation; C5-Branched dibasic acid metabolism"	1	"NA"	"Add new reaction;"	"sce00362  benzoate degradation;sce00660  c5-branched dibasic acid metabolism"	"rhea:15641"	"NA"	NA	"MNXR102097"	"1 `CO2` + 1 `pyruvate` = 1 `H(+)` + 1 `oxaloacetate`"	"true"	"1 MNXM13@MNXD1 + 1 MNXM23@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM46@MNXD1"	"H(+) + oxaloacetate => CO2 + pyruvate;CO2 + pyruvate => H(+) + oxaloacetate"
62	"Rh63"	"Peptide methionine sulfoxide reductase (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase) (Protein-methionine-S-oxide reductase)"	"L-methionine  + thioredoxin disulfide  + H2O <=> L-methionine (S)-S-oxide  + thioredoxin"	"R07606"	"L-methionine + TRX1 disulphide + H2O <=> L-methionine (S)-S-oxide + TRX1"	"YER042W"	"1.8.4.11"	"Cysteine and methionine metabolism"	1	"NA"	"Add new reaction;"	"sce00270  cysteine and methionine metabolism"	"rhea:19993"	"NA"	NA	"MNXR126031"	"2 `L-cysteine residue` + 1 `L-methionine (S)-S-oxide` = 1 `H2O` + 1 `L-cystine residue` + 1 `L-methionine`"	"true"	"2 MNXM127148@MNXD1 + 1 MNXM2246@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM59370@MNXD1 + 1 MNXM61@MNXD1"	"[thioredoxin]-disulfide + L-methionine + H2O => [thioredoxin]-dithiol + L-methionine (S)-S-oxide;[thioredoxin]-dithiol + L-methionine (S)-S-oxide => [thioredoxin]-disulfide + L-methionine + H2O"
63	"Rh64"	"Probable proline--tRNA ligase, mitochondrial (EC 6.1.1.15) (Altered inheritance rate of mitochondria protein 10) (Prolyl-tRNA synthetase) (ProRS)"	"L-proline  + ATP  + tRNA(Pro) <=> L-prolyl-tRNA(Pro)  + AMP  + diphosphate"	"R03661"	"L-proline + ATP + tRNA(Pro) -> Pro-tRNA(Pro) + AMP + diphosphate"	"YER087W"	"6.1.1.15"	"Aminoacyl-tRNA biosynthesis"	0	"Based on yeastGEM;"	"Add new reaction;"	"sce00970  aminoacyl-trna biosynthesis"	"rhea:14305"	"NA"	NA	"MNXR125768"	"1 `L-proline` + 1 `ATP` + 1 `AMP 3'-end residue` = 1 `diphosphate` + 1 `AMP` + 1 `3'-(L-prolyl)adenylyl group`"	"true"	"1 MNXM114@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM90666@MNXD1 = 1 MNXM11@MNXD1 + 1 MNXM14@MNXD1 + 1 MNXM146907@MNXD1"	"L-proline + ATP + tRNA(Pro) => L-prolyl-tRNA(Pro) + AMP + diphosphate;L-prolyl-tRNA(Pro) + AMP + diphosphate => L-proline + ATP + tRNA(Pro)"
66	"Rh67"	"Probable UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (UDP-glucose pyrophosphorylase) (UDPGP) (UGPase)"	"UTP  + D-Glucose 1-phosphate <=> Diphosphate  + UDP-glucose"	"R00289"	"UTP + D-glucose 1-phosphate -> diphosphate + UDP-D-glucose"	"YHL012W"	"2.7.7.9"	"Pentose and glucuronate interconversions"	0	"Based on yeastGEM;"	"Only merge the gene;"	"sce00040  pentose and glucuronate interconversions"	"rhea:19889"	"NA"	NA	"MNXR100022"	"1 `diphosphate` + 1 `UDP-D-glucose` = 1 `H(+)` + 1 `UTP` + 1 `D-glucopyranose 1-phosphate(2-)`"	"true"	"1 MNXM11@MNXD1 + 1 MNXM52@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM121@MNXD1 + 1 MNXM89588@MNXD1"	"alpha-D-glucose 1-phosphate + H(+) + UTP => diphosphate + UDP-D-glucose;diphosphate + UDP-D-glucose => alpha-D-glucose 1-phosphate + H(+) + UTP"
67	"Rh68"	"Putative pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Pterin carbinolamine dehydratase) (PCD)"	"4a-Hydroxytetrahydrobiopterin <=> Dihydrobiopterin  + H2O"	"R04734"	"4a-Hydroxytetrahydrobiopterin <=> Dihydrobiopterin + H2O"	"YHL018W"	"4.2.1.96"	"Folate biosynthesis"	1	"NA"	"Add new reaction;"	"sce00790  folate biosynthesis"	"rhea:11920"	"NA"	NA	"MNXR109090"	"1 `H2O` + 1 `L-erythro-7,8-dihydrobiopterin` = 1 `4a-hydroxy-L-erythro-5,6,7,8-tetrahydrobiopterin`"	"true"	"1 MNXM2@MNXD1 + 1 MNXM90267@MNXD1 = 1 MNXM31340@MNXD1"	"4a-hydroxy-L-erythro-5,6,7,8-tetrahydrobiopterin => (6R)-L-erythro-6,7-dihydrobiopterin + H2O;(6R)-L-erythro-6,7-dihydrobiopterin + H2O => 4a-hydroxy-L-erythro-5,6,7,8-tetrahydrobiopterin"
