"rxnID"	"name"	"reaction"
"rn:R00082"	"Ferrocytochrome c2:oxygen oxidoreductase"	"oxygen + 4 ferrocytochrome c2 <=> 4 ferricytochrome c2 + 2 h2o"
"rn:R00083"	"Benzenediol:oxygen oxidoreductase"	"oxygen + 4 benzenediol <=> 4 semiquinone + 2 h2o"
"rn:R00084"	"porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing); porphobilinogen ammonia-lyase (polymerizing)"	"4 porphobilinogen + h2o <=> hydroxymethylbilane + 4 ammonia"
"rn:R00085"	"ATP diphosphohydrolase (phosphate-forming)"	"atp + 2 h2o <=> amp + 2 orthophosphate"
"rn:R00086"	"ATP phosphohydrolase"	"atp + h2o <=> adp + orthophosphate"
"rn:R00087"	"ATP diphosphohydrolase (diphosphate-forming); ATP pyrophosphohydrolase"	"atp + h2o <=> amp + diphosphate"
"rn:R00088"	"ATP aminohydrolase"	"atp + h2o <=> itp + ammonia"
"rn:R00089"	"ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)"	"atp <=> 3',5'-cyclic amp + diphosphate"
"rn:R00090"	"NADH:hydrogen-peroxide oxidoreductase"	"hydrogen peroxide + nadh + h(+) <=> nad(+) + 2 h2o"
"rn:R00091"	"CoA:NAD+ oxidoreductase"	"nad(+) + 2 coa <=> coa-disulfide + nadh + h(+)"
"rn:R00092"	"Fe2+:NAD+ oxidoreductase; NADH:Fe3+ oxidoreductase"	"nad(+) + 2 fe2+ <=> nadh + h(+) + 2 fe3+"
"rn:R00093"	"L-glutamate:NAD+ oxidoreductase (transaminating)"	"2 l-glutamate + nad(+) <=> l-glutamine + 2-oxoglutarate + nadh + h(+)"
"rn:R00094"	"glutathione:NAD+ oxidoreductase"	"2 glutathione + nad(+) <=> glutathione disulfide + nadh + h(+)"
"rn:R00095"	"NADH:monodehydroascorbate oxidoreductase"	"nad(+) + 2 ascorbate <=> nadh + 2 monodehydroascorbate + h(+)"
"rn:R00097"	"NADH:cob(III)alamine oxidoreductase"	"nad(+) + 2 cob(ii)alamin + 2 h2o + h(+) <=> nadh + 2 aquacob(iii)alamin"
"rn:R00099"	"cob(I)alamin:NAD+ oxidoreductase; NADH:cob(II)alamin oxidoreductase"	"nad(+) + 2 cob(i)alamin <=> nadh + h(+) + 2 cob(ii)alamin"
"rn:R00100"	"NADH:ferricytochrome-b5 oxidoreductase"	"nadh + 2 ferricytochrome b5 <=> nad(+) + 2 ferrocytochrome b5 + h(+)"
"rn:R00101"	"NADH:ferrileghemoglobin oxidoreductase"	"nadh + 2 ferrileghemoglobin <=> nad(+) + 2 ferroleghemoglobin + h(+)"
"rn:R00102"	"NAD+ glycohydrolase"	"nad(+) + h2o <=> nicotinamide + adp-ribose"
"rn:R00103"	"NAD+ phosphohydrolase"	"nad(+) + h2o <=> amp + nicotinamide d-ribonucleotide"
"rn:R00104"	"ATP:NAD+ 2'-phosphotransferase"	"atp + nad(+) <=> adp + nadp(+)"
"rn:R00105"	"ATP:NADH 2'-phosphotransferase"	"atp + nadh <=> adp + nadph"
"rn:R00106"	"NADPH:ferricytochrome oxidoreductase"	"nadph + 2 ferricytochrome <=> nadp(+) + 2 ferrocytochrome + h(+)"
"rn:R00107"	"cob(II)alamin:NADP+ oxidoreductase; NADPH:aquacob(III)alamin oxidoreductase"	"nadph + 2 aquacob(iii)alamin <=> nadp(+) + 2 cob(ii)alamin + 2 h2o + h(+)"
"rn:R00108"	"NADPH:ferricytochrome-c2 oxidoreductase"	"nadph + 2 ferricytochrome c2 <=> nadp(+) + 2 ferrocytochrome c2 + h(+)"
"rn:R00109"	"NADPH:ferrileghemoglobin oxidoreductase"	"nadph + 2 ferrileghemoglobin <=> nadp(+) + 2 ferroleghemoglobin + h(+)"
"rn:R00111"	"N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)"	"nadph + 2 n(omega)-hydroxyarginine + 2 oxygen + h(+) <=> nadp(+) + 2 nitric oxide + 2 l-citrulline + 2 h2o"
"rn:R00112"	"NADPH:NAD+ oxidoreductase"	"nadph + nad(+) <=> nadp(+) + nadh"
"rn:R00113"	"NADPH:hydrogen-peroxide oxidoreductase"	"hydrogen peroxide + nadph + h(+) <=> nadp(+) + 2 h2o"
"rn:R00114"	"L-Glutamate:NADP+ oxidoreductase (transaminating)"	"2 l-glutamate + nadp(+) <=> l-glutamine + 2-oxoglutarate + nadph + h(+)"
"rn:R00115"	"glutathione:NADP+ oxidoreductase"	"2 glutathione + nadp(+) <=> glutathione disulfide + nadph + h(+)"
"rn:R00118"	"NADP+ 2'-phosphohydrolase"	"nadp(+) + h2o <=> orthophosphate + nad(+)"
"rn:R00119"	"NADP+:nicotinate ADP-ribosyltransferase"	"nadp(+) + nicotinate <=> nicotinamide + nicotinic acid adenine dinucleotide phosphate"
"rn:R00120"	"glutathione:oxygen oxidoreductase"	"oxygen + 2 glutathione <=> glutathione disulfide + hydrogen peroxide"
"rn:R00122"	"ADP phosphohydrolase"	"adp + h2o <=> amp + orthophosphate"
"rn:R00123"	"ADP aminohydrolase"	"adp + h2o <=> idp + ammonia"
"rn:R00124"	"ATP:ADP phosphatransferase"	"atp + adp <=> adp + atp"
"rn:R00125"	"P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase"	"p1,p4-bis(5'-adenosyl)tetraphosphate + h2o <=> 2 adp"
"rn:R00126"	"ADP:ATP adenylyltransferase"	"adp + atp <=> orthophosphate + p1,p4-bis(5'-adenosyl)tetraphosphate"
"rn:R00127"	"ATP:AMP phosphotransferase"	"atp + amp <=> 2 adp"
"rn:R00128"	"Adenosine-tetraphosphate phosphohydrolase"	"adenosine tetraphosphate + h2o <=> atp + orthophosphate"
"rn:R00129"	"(6S)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide hydro-lyase (ATP-hydrolysing, NADH-forming)"	"atp + (6s)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide <=> adp + orthophosphate + nadh"
"rn:R00130"	"ATP:dephospho-CoA 3'-phosphotransferase"	"atp + dephospho-coa <=> adp + coa"
"rn:R00131"	"Urea amidohydrolase"	"urea + h2o <=> co2 + 2 ammonia"
"rn:R00132"	"carbonate hydro-lyase (carbon-dioxide-forming); carbonic acid hydro-lyase"	"carbonic acid <=> co2 + h2o"
"rn:R00134"	"formate:NADP+ oxidoreductase"	"formate + nadp(+) <=> co2 + nadph + h(+)"
"rn:R00135"	"NONE"	"peptide + h2o <=> l-proline + peptide"
"rn:R00137"	"ATP:nicotinamide-nucleotide adenylyltransferase"	"atp + nicotinamide d-ribonucleotide <=> diphosphate + nad(+)"
"rn:R00138"	"Triphosphate phosphohydrolase"	"triphosphate + h2o <=> diphosphate + orthophosphate"
"rn:R00139"	"ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase"	"2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate + atp <=> 2'-deoxy-5-hydroxymethylcytidine-5'-triphosphate + adp"
"rn:R00140"	"ATP:5-hydroxymethyldeoxycytidylate phosphotransferase"	"2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate + adp <=> 5-hydroxymethyldeoxycytidylate + atp"
"rn:R00141"	"ATP:ammonia phosphotransferase"	"atp + ammonia <=> adp + phosphoramidate"
"rn:R00143"	"ammonia:NAD+ oxidoreductase; NADH:hydroxylamine oxidoreductase"	"ammonia + nad(+) + h2o <=> hydroxylamine + nadh + h(+)"
"rn:R00145"	"alpha-amino acid:NAD+ oxidoreductase (deaminating)"	"alpha-amino acid + h2o + nad(+) <=> 2-oxo acid + ammonia + nadh + h(+)"
"rn:R00146"	"alpha-amino acid:NADP+ oxidoreductase (deaminating)"	"alpha-amino acid + h2o + nadp(+) <=> 2-oxo acid + ammonia + nadph + h(+)"
"rn:R00148"	"ammonia,ubiquinol:oxygen oxidoreductase; ammonia monooxygenase"	"ammonia + oxygen + ubiquinol <=> hydroxylamine + h2o + ubiquinone"
"rn:R00149"	"Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)"	"2 atp + ammonia + co2 + h2o <=> 2 adp + orthophosphate + carbamoyl phosphate"
"rn:R00150"	"ATP:carbamate phosphotransferase"	"atp + ammonia + co2 <=> adp + carbamoyl phosphate"
"rn:R00152"	"hydrogen cyanide aminohydrolase"	"hydrogen cyanide + 2 h2o <=> ammonia + formate"
"rn:R00153"	"Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)"	"hydrazine + 2 e- + 2 h(+) <=> 2 ammonia"
"rn:R00155"	"UDP phosphohydrolase"	"udp + h2o <=> ump + orthophosphate"
"rn:R00156"	"ATP:UDP phosphotransferase"	"atp + udp <=> adp + utp"
"rn:R00157"	"Uridine triphosphate:AMP phosphotransferase; UTP:AMP phosphotransferase"	"utp + amp <=> udp + adp"
"rn:R00158"	"ATP:UMP phosphotransferase"	"atp + ump <=> adp + udp"
"rn:R00159"	"UTP phosphohydrolase"	"utp + h2o <=> udp + orthophosphate"
"rn:R00160"	"FAD nucleotidohydrolase"	"fad + h2o <=> amp + fmn"
"rn:R00161"	"ATP:FMN adenylyltransferase"	"atp + fmn <=> diphosphate + fad"
"rn:R00162"	"ATP:protein phosphotransferase; ATP:protein phosphotransferase (Ca2+/calmodulin-dependent)"	"atp + protein <=> adp + phosphoprotein"
"rn:R00164"	"Phosphoprotein phosphohydrolase"	"phosphoprotein + h2o <=> protein + orthophosphate"
"rn:R00165"	"NONE"	"protein <=> l-alanyl-trna"
"rn:R00166"	"NONE"	"protein <=> l-leucyl-trna"
"rn:R00167"	"NONE"	"l-arginyl-trna(arg) <=> protein-l-arginine"
"rn:R00168"	"NONE"	"protein <=> l-valyl-trna(val)"
"rn:R00169"	"NONE"	"protein <=> l-glutamyl-trna(glu)"
"rn:R00170"	"NONE"	"protein <=> l-isoleucyl-trna(ile)"
"rn:R00172"	"NONE"	"protein <=> selenomethionyl-trna(met)"
"rn:R00173"	"pyridoxal-5'-phosphate phosphohydrolase"	"pyridoxal phosphate + h2o <=> pyridoxal + orthophosphate"
"rn:R00174"	"ATP:pyridoxal 5'-phosphotransferase"	"atp + pyridoxal <=> adp + pyridoxal phosphate"
"rn:R00175"	"S-Adenosyl-L-methionine hydrolase"	"s-adenosyl-l-methionine + h2o <=> 5'-methylthioadenosine + l-homoserine"
"rn:R00177"	"ATP:L-methionine S-adenosyltransferase"	"orthophosphate + diphosphate + s-adenosyl-l-methionine <=> atp + l-methionine + h2o"
"rn:R00178"	"S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming]"	"s-adenosyl-l-methionine + h(+) <=> s-adenosylmethioninamine + co2"
"rn:R00179"	"S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming)"	"s-adenosyl-l-methionine <=> 1-aminocyclopropane-1-carboxylate + 5'-methylthioadenosine"
"rn:R00180"	"S-Adenosyl-L-methionine alkyltransferase (cyclizing)"	"s-adenosyl-l-methionine <=> 5'-methylthioadenosine + homoserine lactone"
"rn:R00181"	"AMP aminohydrolase"	"amp + h2o <=> imp + ammonia"
"rn:R00182"	"AMP phosphoribohydrolase"	"amp + h2o <=> adenine + d-ribose 5-phosphate"
"rn:R00183"	"adenosine 5'-monophosphate phosphohydrolase"	"amp + h2o <=> adenosine + orthophosphate"
"rn:R00184"	"P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase"	"p1,p4-bis(5'-adenosyl)tetraphosphate + h2o <=> atp + amp"
"rn:R00185"	"ATP:adenosine 5'-phosphotransferase"	"atp + adenosine <=> adp + amp"
"rn:R00187"	"P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase"	"p1,p3-bis(5'-adenosyl) triphosphate + h2o <=> adp + amp"
"rn:R00188"	"adenosine-3',5'-bisphosphate 3'-phosphohydrolase"	"adenosine 3',5'-bisphosphate + h2o <=> amp + orthophosphate"
"rn:R00189"	"deamido-NAD+:ammonia ligase (AMP-forming)"	"atp + deamino-nad(+) + ammonia <=> amp + diphosphate + nad(+)"
"rn:R00190"	"AMP:diphosphate phospho-D-ribosyltransferase"	"amp + diphosphate <=> adenine + 5-phospho-alpha-d-ribose 1-diphosphate"
"rn:R00191"	"adenosine 3',5'-phosphate 5'-nucleotidohydrolase"	"3',5'-cyclic amp + h2o <=> amp"
"rn:R00192"	"S-Adenosyl-L-homocysteine hydrolase"	"s-adenosyl-l-homocysteine + h2o <=> adenosine + l-homocysteine"
"rn:R00193"	"S-Adenosyl-L-homocysteine aminohydrolase"	"s-adenosyl-l-homocysteine + h2o <=> s-inosyl-l-homocysteine + ammonia"
"rn:R00194"	"S-Adenosyl-L-homocysteine homocysteinylribohydrolase"	"s-adenosyl-l-homocysteine + h2o <=> s-ribosyl-l-homocysteine + adenine"
"rn:R00195"	"2,3-diaminopropanoate ammonia-lyase (adding water; pyruvate-forming)"	"2,3-diaminopropanoate + h2o <=> pyruvate + 2 ammonia"
"rn:R00196"	"(S)-Lactate:ferricytochrome-c 2-oxidoreductase"	"(s)-lactate + 2 ferricytochrome c <=> pyruvate + 2 ferrocytochrome c + 2 h(+)"
"rn:R00197"	"(R)-Lactate:ferricytochrome-c 2-oxidoreductase"	"(r)-lactate + 2 ferricytochrome c <=> pyruvate + 2 ferrocytochrome c + 2 h(+)"
"rn:R00198"	"(R)-Lactate:ferricytochrome-c-553 2-oxidoreductase"	"(r)-lactate + 2 ferricytochrome c-553 <=> pyruvate + 2 ferrocytochrome c-553 + 2 h(+)"
"rn:R00199"	"ATP:pyruvate,water phosphotransferase"	"atp + pyruvate + h2o <=> amp + phosphoenolpyruvate + orthophosphate"
"rn:R00200"	"ATP:pyruvate 2-O-phosphotransferase"	"atp + pyruvate <=> adp + phosphoenolpyruvate"
"rn:R00203"	"pyruvaldehyde:NAD+ oxidoreductase; 2-oxopropanal:NAD+ oxidoreductase"	"methylglyoxal + nad(+) + h2o <=> pyruvate + nadh + h(+)"
"rn:R00205"	"2-Oxopropanal:NADP+ oxidoreductase"	"methylglyoxal + nadp(+) + h2o <=> pyruvate + nadph + h(+)"
"rn:R00206"	"ATP:pyruvate,phosphate phosphotransferase"	"atp + pyruvate + orthophosphate <=> amp + phosphoenolpyruvate + diphosphate"
"rn:R00207"	"Pyruvate:oxygen 2-oxidoreductase (phosphorylating)"	"pyruvate + orthophosphate + oxygen <=> acetyl phosphate + hydrogen peroxide + co2"
"rn:R00208"	"Phosphoenolpyruvate phosphohydrolase"	"phosphoenolpyruvate + h2o <=> pyruvate + orthophosphate"
"rn:R00209"	"pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating); pyruvate dehydrogenase complex"	"pyruvate + coa + nad(+) <=> acetyl-coa + co2 + nadh + h(+)"
"rn:R00210"	"pyruvate:NADP+ 2-oxidoreductase (CoA-acetylating)"	"pyruvate + coa + nadp(+) <=> acetyl-coa + co2 + nadph + h(+)"
"rn:R00211"	"pyruvate:oxygen 2-oxidoreductase (CoA-acetylating)"	"pyruvate + coa + oxygen <=> hydrogen peroxide + acetyl-coa + co2"
"rn:R00212"	"Acetyl-CoA:formate C-acetyltransferase"	"acetyl-coa + formate <=> coa + pyruvate"
"rn:R00213"	"O-carbamoyl-L-serine ammonia-lyase (decarboxylating; pyruvate-forming)"	"o-carbamoyl-l-serine + h2o <=> pyruvate + 2 ammonia + co2"
"rn:R00214"	"(S)-malate:NAD+ oxidoreductase (decarboxylating)"	"(s)-malate + nad(+) <=> pyruvate + co2 + nadh + h(+)"
"rn:R00215"	"(R)-Malate:NAD+ oxidoreductase (decarboxylating)"	"(r)-malate + nad(+) <=> pyruvate + co2 + nadh + h(+)"
"rn:R00216"	"(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)"	"(s)-malate + nadp(+) <=> pyruvate + co2 + nadph + h(+)"
"rn:R00217"	"oxaloacetate carboxy-lyase (pyruvate-forming)"	"oxaloacetate <=> pyruvate + co2"
"rn:R00218"	"acetylenedicarboxylate carboxy-lyase (pyruvate-forming)"	"acetylenedicarboxylate + h2o <=> pyruvate + co2"
"rn:R00219"	"2-Hydroxyethylenedicarboxylate carboxy-lyase (pyruvate-forming)"	"pyruvate + co2 <=> 2-hydroxyethylenedicarboxylate"
"rn:R00220"	"L-serine ammonia-lyase"	"l-serine <=> pyruvate + ammonia"
"rn:R00221"	"D-serine ammonia-lyase"	"d-serine <=> pyruvate + ammonia"
"rn:R00223"	"serine ammonia-lyase (pyruvate-forming)"	"serine <=> pyruvate + ammonia"
