"ID0"	"reaction"	"subsystem"	"reaction0"	"rxnID"
"Rh11"	"alpha,alpha-Trehalose + H2O <=> 2 D-Glucose"	"Starch and sucrose metabolism"	"alpha,alpha-trehalose + h2o <=> 2 d-glucose"	"rn:R00010"
"Rh12"	"ADP ribose 1''-phosphate + H2O => ADP-D-ribose + phosphate"	"other"	"adp ribose 1''-phosphate + h2o => adp-d-ribose + phosphate"	"NA"
"Rh13"	"2 a quinone + H(+) + NADPH <=> 2 a 1,4-benzosemiquinone + NADP(+)"	"Tyrosine metabolism"	"2 a quinone + h(+) + nadph <=> 2 a 1,4-benzosemiquinone + nadp(+)"	"NA"
"Rh14"	"UDP-N-acetyl-D-glucosamine + N-Acetyl-D-glucosaminyldiphosphodolichol <=> UDP + N,N'-Chitobiosyldiphosphodolichol"	"N-Glycan biosynthesis"	"udp-n-acetyl-d-glucosamine + n-acetyl-d-glucosaminyldiphosphodolichol <=> udp + n,n'-chitobiosyldiphosphodolichol"	"rn:R05970"
"Rh15"	"ADP-D-ribose + H2O <=> AMP + D-ribofuranose 5-phosphate + 2 H(+)"	"Purine metabolism"	"adp-d-ribose + h2o <=> amp + d-ribofuranose 5-phosphate + 2 h(+)"	"NA"
"Rh16"	"L-Arg <=> L-Arg"	"L-Arg transport (from lysosomal lumen to cytosol); L-His transport (from lysosomal lumen to cytosol); L-Lys transport (from lysosomal lumen to cytosol)"	"l-arg <=> l-arg"	"NA"
"Rh17"	"L-His <=> L-His"	"L-Arg transport (from lysosomal lumen to cytosol); L-His transport (from lysosomal lumen to cytosol); L-Lys transport (from lysosomal lumen to cytosol)"	"l-his <=> l-his"	"NA"
"Rh18"	"L-Lys <=>  L-Lys"	"L-Arg transport (from lysosomal lumen to cytosol); L-His transport (from lysosomal lumen to cytosol); L-Lys transport (from lysosomal lumen to cytosol)"	"l-lys <=>  l-lys"	"NA"
"Rh19"	"0.046 AMP [cytoplasm] + 0.0447 CMP [cytoplasm] + 0.046 GMP [cytoplasm] + 0.0599 UMP [cytoplasm] => RNA [cytoplasm]"	"RNA polymerase"	"0.046 amp [cytoplasm] + 0.0447 cmp [cytoplasm] + 0.046 gmp [cytoplasm] + 0.0599 ump [cytoplasm] => rna [cytoplasm]"	"NA"
"Rh20"	"Acetyl-CoA + an alcohol = CoA + an acetyl ester"	"Other"	"acetyl-coa + an alcohol = coa + an acetyl ester"	"NA"
"Rh21"	"ATP + Oxalate + CoA <=> AMP + Diphosphate + Oxalyl-CoA"	"Glyoxylate and dicarboxylate metabolism"	"atp + oxalate + coa <=> amp + diphosphate + oxalyl-coa"	"rn:R01558"
"Rh22"	"H2O + G00171 <=> D-Glucose + G00010"	"N-Glycan biosynthesis"	"h2o + g00171 <=> d-glucose + g00010"	"rn:R05980"
"Rh23"	"H2O + G00010 <=> D-Glucose + G00011"	"N-Glycan biosynthesis"	"h2o + g00010 <=> d-glucose + g00011"	"rn:R05981"
"Rh24"	"Na(+) <=> Na(+)"	"chloride transport; K+ transport; Na transport"	"na(+) <=> na(+)"	"NA"
"Rh25"	"K(+) <=> K(+)"	"chloride transport; K+ transport; Na transport"	"k(+) <=> k(+)"	"NA"
"Rh26"	"Cl(-) <=>  Cl(-)"	"chloride transport; K+ transport; Na transport"	"cl(-) <=>  cl(-)"	"NA"
"Rh27"	"Fru <=> Fru"	"sugar transport"	"fru <=> fru"	"NA"
"Rh28"	"Gal <=> Gal"	"sugar transport"	"gal <=> gal"	"NA"
"Rh29"	"Glc <=> Glc"	"sugar transport"	"glc <=> glc"	"NA"
"Rh30"	"UDP-N-acetyl-alpha-D-glucosamine + Dolichyl phosphate <=> UMP + N-Acetyl-D-glucosaminyldiphosphodolichol"	"N-Glycan biosynthesis"	"udp-n-acetyl-alpha-d-glucosamine + dolichyl phosphate <=> ump + n-acetyl-d-glucosaminyldiphosphodolichol"	"rn:R01007"
"Rh31"	"glutathione + H2O => L-cysteinyl-glycine + L-glutamate"	"Glutathione metabolism"	"glutathione + h2o => l-cysteinyl-glycine + l-glutamate"	"NA"
"Rh32"	"Cd2+[in] + ATP + H2O <=> Cd2+[out] + ADP + phosphate + H(+)"	"Cadmium transport"	"cd2+[in] + atp + h2o <=> cd2+[out] + adp + phosphate + h(+)"	"NA"
"Rh33"	"(sulfur carrier)-H + L-cysteine <=> (sulfur carrier)-SH + L-alanine"	"iron-sulfur cluster biosynthesis"	"(sulfur carrier)-h + l-cysteine <=> (sulfur carrier)-sh + l-alanine"	"NA"
"Rh34"	"beta-nicotinamide D-ribonucleotide + ATP + H(+) <=> diphosphate + NAD(+)"	"Nicotinate and nicotinamide metabolism"	"beta-nicotinamide d-ribonucleotide + atp + h(+) <=> diphosphate + nad(+)"	"NA"
"Rh35"	"cholesterol <=> cholesterol"	"cholesterol  transport"	"cholesterol <=> cholesterol"	"NA"
"Rh36"	"Triacylglycerol + H2O <=> 1,2-Diacyl-sn-glycerol + Fatty acid"	"Glycerolipid metabolism"	"triacylglycerol + h2o <=> 1,2-diacyl-sn-glycerol + fatty acid"	"rn:R02250"
"Rh37"	"1,2-Diacyl-sn-glycerol + H2O <=> 1-Acylglycerol + Fatty acid"	"Glycerolipid metabolism"	"1,2-diacyl-sn-glycerol + h2o <=> 1-acylglycerol + fatty acid"	"rn:R02687"
"Rh38"	"3-chlorobenzyl alcohol + NAD(+) <=> 3-chlorobenzaldehyde + NADH + H(+)"	"Methylglyoxal Metabolism"	"3-chlorobenzyl alcohol + nad(+) <=> 3-chlorobenzaldehyde + nadh + h(+)"	"NA"
"Rh39"	"3-hydroxybenzyl alcohol + NAD(+) <=> 3-hydroxybenzaldehyde + NADH + H(+)"	"Methylglyoxal Metabolism"	"3-hydroxybenzyl alcohol + nad(+) <=> 3-hydroxybenzaldehyde + nadh + h(+)"	"NA"
"Rh40"	"3-methylbenzyl alcohol + NAD(+) <=> 3-methylbenzaldehyde + NADH + H(+)"	"Methylglyoxal Metabolism"	"3-methylbenzyl alcohol + nad(+) <=> 3-methylbenzaldehyde + nadh + h(+)"	"rn:R05347"
"Rh41"	"4-isopropylbenzyl alcohol + NAD(+) <=> p-cumic aldehyde + NADH + H(+)"	"Methylglyoxal Metabolism"	"4-isopropylbenzyl alcohol + nad(+) <=> p-cumic aldehyde + nadh + h(+)"	"NA"
"Rh42"	"4-methylbenzyl alcohol + NAD(+) <=> 4-methylbenzaldehyde + NADH + H(+)"	"Methylglyoxal Metabolism"	"4-methylbenzyl alcohol + nad(+) <=> 4-methylbenzaldehyde + nadh + h(+)"	"NA"
"Rh43"	"a phenol + NAD(+) <=> an aryl aldehyde + NADH + H(+)"	"Methylglyoxal Metabolism"	"a phenol + nad(+) <=> an aryl aldehyde + nadh + h(+)"	"NA"
"Rh44"	"benzyl alcohol + NAD(+) <=> benzaldehyde + NADH + H(+)"	"Methylglyoxal Metabolism"	"benzyl alcohol + nad(+) <=> benzaldehyde + nadh + h(+)"	"rn:R01763"
"Rh45"	"Dolichyl diphosphooligosaccharide + [protein]-L-asparagine <=> dolichyl diphosphate + a glycoprotein with the oligosaccharide chain attached by N-beta-D-glycosyl linkage to a protein L-asparagine"	"N-Glycan biosynthesis"	"dolichyl diphosphooligosaccharide + [protein]-l-asparagine <=> dolichyl diphosphate + a glycoprotein with the oligosaccharide chain attached by n-beta-d-glycosyl linkage to a protein l-asparagine"	"NA"
"Rh46"	"UDP-GlcNAc <=> UDP-GlcNAc"	"Uridine diphosphate-N-acetylglucosamine (UDP-GlcNAc) transport"	"udp-glcnac <=> udp-glcnac"	"NA"
"Rh47"	"glygn1[c] => glygn2[c]"	"Starch and sucrose metabolism"	"glygn1[c] => glygn2[c]"	"NA"
"Rh48"	"Mn(2+) + <=> Mn(2+)"	"Mn2+ transport"	"mn(2+) + <=> mn(2+)"	"NA"
"Rh49"	"arginine <=> arginine"	"amio acid transport"	"arginine <=> arginine"	"NA"
"Rh50"	"lysine <=> lysine"	"amio acid transport"	"lysine <=> lysine"	"NA"
"Rh51"	"glutamine <=> glutamine"	"amio acid transport"	"glutamine <=> glutamine"	"NA"
"Rh52"	"histidine <=> histidine"	"amio acid transport"	"histidine <=> histidine"	"NA"
"Rh53"	"asparagine <=> asparagine"	"amio acid transport"	"asparagine <=> asparagine"	"NA"
"Rh54"	"alanine <=> alanine"	"amio acid transport"	"alanine <=> alanine"	"NA"
"Rh55"	"serine <=> serine"	"amio acid transport"	"serine <=> serine"	"NA"
"Rh56"	"Acetyl-CoA + a D-amino acid <=> CoA + an N-acetyl-D-amino acid"	"other"	"acetyl-coa + a d-amino acid <=> coa + an n-acetyl-d-amino acid"	"NA"
"Rh57"	"Acetyl-CoA + [protein]-L-lysine <=> CoA + [protein]-N(6)-acetyl-L-lysine"	"other"	"acetyl-coa + [protein]-l-lysine <=> coa + [protein]-n(6)-acetyl-l-lysine"	"NA"
"Rh58"	"Mannitol + NAD(+) <=> D-Fructose + NADH + H(+)"	"Fructose and mannose metabolism"	"mannitol + nad(+) <=> d-fructose + nadh + h(+)"	"rn:R00868"
"Rh59"	"GDP-D-mannose + G10842 <=> GDP + G10843"	"Various types of N-glycan biosynthesis"	"gdp-d-mannose + g10842 <=> gdp + g10843"	"rn:R09302"
"Rh60"	"GDP-D-mannose + G10843 <=> GDP + G11055"	"Various types of N-glycan biosynthesis"	"gdp-d-mannose + g10843 <=> gdp + g11055"	"rn:R09303"
"Rh61"	"4-hydroxy-4-methyl-2-oxoglutarate <=> 2 pyruvate"	"Benzoate degradation; C5-Branched dibasic acid metabolism"	"4-hydroxy-4-methyl-2-oxoglutarate <=> 2 pyruvate"	"NA"
"Rh62"	"Oxaloacetate <=> pyruvate + CO2"	"Benzoate degradation; C5-Branched dibasic acid metabolism"	"oxaloacetate <=> pyruvate + co2"	"rn:R00217"
"Rh63"	"L-methionine + thioredoxin disulfide + H2O <=> L-methionine (S)-S-oxide + thioredoxin"	"Cysteine and methionine metabolism"	"l-methionine + thioredoxin disulfide + h2o <=> l-methionine (s)-s-oxide + thioredoxin"	"rn:R07606"
"Rh64"	"L-proline + ATP + tRNA(Pro) <=> L-prolyl-tRNA(Pro) + AMP + diphosphate"	"Aminoacyl-tRNA biosynthesis"	"l-proline + atp + trna(pro) <=> l-prolyl-trna(pro) + amp + diphosphate"	"NA"
"Rh65"	"Heme O <=> Heme A"	"Porphyrin and chlorophyll metabolism"	"heme o <=> heme a"	"rn:R07412"
"Rh66"	"Glutathione <=> 5-oxo-L-proline + L-cysteinylglycine"	"Glutathione metabolism"	"glutathione <=> 5-oxo-l-proline + l-cysteinylglycine"	"NA"
"Rh67"	"UTP + D-Glucose 1-phosphate <=> Diphosphate + UDP-glucose"	"Pentose and glucuronate interconversions"	"utp + d-glucose 1-phosphate <=> diphosphate + udp-glucose"	"rn:R00289"
"Rh68"	"4a-Hydroxytetrahydrobiopterin <=> Dihydrobiopterin + H2O"	"Folate biosynthesis"	"4a-hydroxytetrahydrobiopterin <=> dihydrobiopterin + h2o"	"rn:R04734"
"Rh69"	"phosphatidylserine <=> phosphatidylserine"	"Lipid transport"	"phosphatidylserine <=> phosphatidylserine"	"NA"
"Rh70"	"phosphatidylinositol 4-phosphate <=> phosphatidylinositol 4-phosphate"	"Lipid transport"	"phosphatidylinositol 4-phosphate <=> phosphatidylinositol 4-phosphate"	"NA"
"Rh71"	"2 H(+) + 2 superoxide <=> H2O2 + O2"	"Peroxisome"	"2 h(+) + 2 superoxide <=> h2o2 + o2"	"NA"
"Rh72"	"2-deoxy-D-glucose 6-phosphate + H2O => 2-deoxy-D-glucose + phosphate"	"Alternate Carbon Metabolism"	"2-deoxy-d-glucose 6-phosphate + h2o => 2-deoxy-d-glucose + phosphate"	"NA"
"Rh73"	"S-adenosyl-L-methionine + [cytochrome c]-L-lysine <=> S-adenosyl-L-homocysteine + [cytochrome c]-N6-methyl-L-lysine"	"Lysine metabolism"	"s-adenosyl-l-methionine + [cytochrome c]-l-lysine <=> s-adenosyl-l-homocysteine + [cytochrome c]-n6-methyl-l-lysine"	"NA"
"Rh74"	"4 a reduced c-type cytochrome[out] + oxygen[in] + 8 H(+)[in] => 4 an oxidized c-type cytochrome[out] + 4 H(+)[out] + 2 H2O[in]"	"Oxidative phosphorylation"	"4 a reduced c-type cytochrome[out] + oxygen[in] + 8 h(+)[in] => 4 an oxidized c-type cytochrome[out] + 4 h(+)[out] + 2 h2o[in]"	"NA"
"Rh75"	"S-adenosyl-L-methionine + L-lysine-[histone] <=> S-adenosyl-L-homocysteine + N6-methyl-L-lysine-[histone]"	"Lysine metabolism"	"s-adenosyl-l-methionine + l-lysine-[histone] <=> s-adenosyl-l-homocysteine + n6-methyl-l-lysine-[histone]"	"NA"
"Rh76"	"Acceptor + NADPH + H(+) <=> Reduced acceptor + NADP(+)"	"other"	"acceptor + nadph + h(+) <=> reduced acceptor + nadp(+)"	"rn:R00282"
"Rh77"	"(polyphosphate)(n) + H2O <=> (polyphosphate)(n-1) + phosphate"	"Cofactor and Prosthetic Group Biosynthesis"	"(polyphosphate)(n) + h2o <=> (polyphosphate)(n-1) + phosphate"	"NA"
"Rh78"	"Zn(2+) <=> Zn(2+)"	"Zinc transport"	"zn(2+) <=> zn(2+)"	"NA"
"Rh79"	"NADH + 2 Ferricytochrome b5 <=> NAD(+) + 2 Ferrocytochrome b5 + H(+)"	"Amino sugar and nucleotide sugar metabolism"	"nadh + 2 ferricytochrome b5 <=> nad(+) + 2 ferrocytochrome b5 + h(+)"	"rn:R00100"
"Rh80"	"a di-trans, poly-cis-polyprenol + NADPH + H(+)  => a dolichol + NADP(+)"	"dolichol and dolichyl phosphate biosynthesis"	"a di-trans, poly-cis-polyprenol + nadph + h(+)  => a dolichol + nadp(+)"	"NA"
"Rh81"	"(S)-benzoin + NADP(+) = benzil + NADPH"	"Other"	"(s)-benzoin + nadp(+) = benzil + nadph"	"NA"
"Rh82"	"RX + glutathione = HX + R-S-glutathione"	"Glutathione metabolism"	"rx + glutathione = hx + r-s-glutathione"	"NA"
"Rh83"	"L-Methionine + Thioredoxin disulfide + H2O <=> L-Methionine S-oxide + Thioredoxin"	"Cysteine and methionine metabolism"	"l-methionine + thioredoxin disulfide + h2o <=> l-methionine s-oxide + thioredoxin"	"rn:R02025"
"Rh84"	"L-Ala-Gly + H2O <=> L-Ala + Gly"	"Hydrolysis of peptide bond"	"l-ala-gly + h2o <=> l-ala + gly"	"NA"
"Rh85"	"L-Ala-L-Leu + H2O <=> L-Ala + L-Leu"	"Hydrolysis of peptide bond"	"l-ala-l-leu + h2o <=> l-ala + l-leu"	"NA"
"Rh86"	"5-oxo-L-proline + ATP + 2 H2O => L-glutamate + ADP + phosphate + H(+)"	"Glutathione metabolism"	"5-oxo-l-proline + atp + 2 h2o => l-glutamate + adp + phosphate + h(+)"	"NA"
"Rh87"	"Threo-3-hydroxy-L-aspartate = oxaloacetate + NH3"	"Other"	"threo-3-hydroxy-l-aspartate = oxaloacetate + nh3"	"NA"
"Rh88"	"2 a Fe(II)-siderophore + H(+) + NADP(+) <=> 2 a Fe(III)-siderophore + NADPH"	"ferric-chelate reductase"	"2 a fe(ii)-siderophore + h(+) + nadp(+) <=> 2 a fe(iii)-siderophore + nadph"	"NA"
"Rh89"	"ATP + RNA(n) <=> diphosphate + RNA(n+1)"	"mRNA surveillance pathway"	"atp + rna(n) <=> diphosphate + rna(n+1)"	"NA"
"Rh90"	"RX + glutathione = HX + R-S-glutathione"	"Glutathione metabolism"	"rx + glutathione = hx + r-s-glutathione"	"NA"
"Rh91"	"2 glutathione + dehydroascorbate = glutathione disulfide + ascorbate"	"Glutathione metabolism"	"2 glutathione + dehydroascorbate = glutathione disulfide + ascorbate"	"NA"
"Rh92"	"di- peptide <=> di- peptide"	"peptide transport"	"di- peptide <=> di- peptide"	"NA"
"Rh93"	"tri-peptide <=> tri-peptide"	"peptide transport"	"tri-peptide <=> tri-peptide"	"NA"
"Rh94"	"Urea <=> Cyanamide + H2O"	"Atrazine degradation"	"urea <=> cyanamide + h2o"	"rn:R00778"
"Rh95"	"L-glutamine + H2O => L-glutamate + NH4(+)"	"Vitamin B6 metabolism"	"l-glutamine + h2o => l-glutamate + nh4(+)"	"NA"
"Rh96"	"aldehydo-D-ribose 5-phosphate + D-glyceraldehyde 3-phosphate + L-glutamine <=> L-glutamate + 3 H2O + H(+) + phosphate + pyridoxal 5'-phosphate"	"Vitamin B6 metabolism"	"aldehydo-d-ribose 5-phosphate + d-glyceraldehyde 3-phosphate + l-glutamine <=> l-glutamate + 3 h2o + h(+) + phosphate + pyridoxal 5'-phosphate"	"NA"
"Rh97"	"D-Glyceraldehyde 3-phosphate + D-Ribulose 5-phosphate + L-Glutamine <=> Pyridoxal phosphate + L-Glutamate + Orthophosphate + 3 H2O"	"Vitamin B6 metabolism"	"d-glyceraldehyde 3-phosphate + d-ribulose 5-phosphate + l-glutamine <=> pyridoxal phosphate + l-glutamate + orthophosphate + 3 h2o"	"rn:R07456"
"Rh98"	"Pyridoxal phosphate + L-Histidine <=> 4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine"	"Thiamine metabolism"	"pyridoxal phosphate + l-histidine <=> 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine"	"rn:R10686"
"Rh99"	"glycerol <=> glycerol"	"glycerol transport"	"glycerol <=> glycerol"	"NA"
"Rh100"	"Cys-Gly + H2O <=> L-Cysteine + Glycine"	"cysteine and methionine metabolism"	"cys-gly + h2o <=> l-cysteine + glycine"	"rn:R00899"
"Rh101"	"R-S-Cysteinylglycine + H2O <=> S-Substituted L-cysteine + Glycine"	"cysteine and methionine metabolism"	"r-s-cysteinylglycine + h2o <=> s-substituted l-cysteine + glycine"	"rn:R04951"
"Rh102"	"L-cystathionine + H2O <=> L-homocysteine + NH4(+) + pyruvate"	"Cysteine and methionine metabolism"	"l-cystathionine + h2o <=> l-homocysteine + nh4(+) + pyruvate"	"NA"
"Rh103"	"2-Phospho-D-glycerate <=> 3-Phospho-D-glycerate"	"Glycolysis / Gluconeogenesis"	"2-phospho-d-glycerate <=> 3-phospho-d-glycerate"	"rn:R01518"
"Rh104"	"FMN + H2O <=> Riboflavin + Orthophosphate"	"Thiamine metabolism"	"fmn + h2o <=> riboflavin + orthophosphate"	"rn:R00548"
"Rh105"	"Thiamin monophosphate + H2O <=> Thiamine + Orthophosphate"	"Thiamine metabolism"	"thiamin monophosphate + h2o <=> thiamine + orthophosphate"	"rn:R02135"
"Rh106"	"4 Fe(2+) + 4 H(+) + O2 <=> 4 Fe(3+) + 2 H2O"	"iron-sulfur cluster biosynthesis"	"4 fe(2+) + 4 h(+) + o2 <=> 4 fe(3+) + 2 h2o"	"NA"
"Rh107"	"ATP + AMP <=> 2 ADP"	"Purine metabolism"	"atp + amp <=> 2 adp"	"rn:R00127"
"Rh108"	"ATP + dAMP <=> ADP + dADP"	"Purine metabolism"	"atp + damp <=> adp + dadp"	"rn:R01547"
"Rh109"	"trans,trans-Farnesyl diphosphate + n Isopentenyl diphosphate <=> Dehydrodolichol diphosphate + n Diphosphate"	"Terpenoid backbone biosynthesis"	"trans,trans-farnesyl diphosphate + n isopentenyl diphosphate <=> dehydrodolichol diphosphate + n diphosphate"	"rn:R05556"
"Rh110"	"Glycyl-tRNA(Ala) + H2O <=> glycine + tRNA(Ala)"	"other"	"glycyl-trna(ala) + h2o <=> glycine + trna(ala)"	"NA"
"Rh111"	"D-leucyl-tRNA(Leu) <=> D-leu + tRNA(Leu)"	"other"	"d-leucyl-trna(leu) <=> d-leu + trna(leu)"	"NA"
"Rh112"	"D-tyrosyl-tRNA(Tyr) <=> D-tyrosine + tRNA(Tyr)"	"other"	"d-tyrosyl-trna(tyr) <=> d-tyrosine + trna(tyr)"	"NA"
"Rh113"	"4-nitrophenyl phosphate + H2O <=> 4-nitrophenol + phosphate"	"Aminobenzoate degradation"	"4-nitrophenyl phosphate + h2o <=> 4-nitrophenol + phosphate"	"NA"
"Rh114"	"D-sorbitol + NAD(+)=> keto-D-fructose + NADH + H(+)"	"Pentose and glucuronate interconversions"	"d-sorbitol + nad(+)=> keto-d-fructose + nadh + h(+)"	"NA"
"Rh115"	"L-iditol + NAD(+)= keto-L-sorbose + NADH + H(+)"	"Pentose and glucuronate interconversions"	"l-iditol + nad(+)= keto-l-sorbose + nadh + h(+)"	"NA"
"Rh116"	"ATP + alpha-D-Galactose <=> ADP + alpha-D-Galactose 1-phosphate"	"Galactose metabolism"	"atp + alpha-d-galactose <=> adp + alpha-d-galactose 1-phosphate"	"rn:R01092"
"Rh117"	"uridine + ATP => UMP + ADP + H(+)"	"Pyrimidine metabolism"	"uridine + atp => ump + adp + h(+)"	"NA"
"Rh118"	"uridine + GTP => UMP + GDP + H(+)"	"Pyrimidine metabolism"	"uridine + gtp => ump + gdp + h(+)"	"NA"
"Rh119"	"3-hydroxy-2-methylpropanoyl-CoA + H2O <=> 3-hydroxy-2-methylpropanoate + CoA + H(+)"	"valine, leucine and isoleucine metabolism"	"3-hydroxy-2-methylpropanoyl-coa + h2o <=> 3-hydroxy-2-methylpropanoate + coa + h(+)"	"NA"
"Rh120"	"Na(+)[in] + ATP + H2O => Na(+)[out] + ADP + phosphate + H(+)"	"sodium transport"	"na(+)[in] + atp + h2o => na(+)[out] + adp + phosphate + h(+)"	"NA"
"Rh121"	"sterols <=> sterols"	"sterols transport"	"sterols <=> sterols"	"NA"
"Rh122"	"L-ser <=> L-ser"	"L-ser transport"	"l-ser <=> l-ser"	"NA"
"Rh123"	"L-Alanine + 2-Oxoglutarate <=> Pyruvate + L-Glutamate"	"Alanine, aspartate and glutamate metabolism"	"l-alanine + 2-oxoglutarate <=> pyruvate + l-glutamate"	"rn:R00258"
"Rh124"	"2-Phenylacetamide + H2O <=> Phenylacetic acid + Ammonia"	"Arginine and proline metabolism; Phenylalanine metabolism; Tryptophan metabolism"	"2-phenylacetamide + h2o <=> phenylacetic acid + ammonia"	"rn:R02540"
"Rh125"	"(Indol-3-yl)acetamide + H2O <=> Indole-3-acetate + Ammonia"	"Arginine and proline metabolism; Phenylalanine metabolism; Tryptophan metabolism"	"(indol-3-yl)acetamide + h2o <=> indole-3-acetate + ammonia"	"rn:R03096"
"Rh126"	"4-Guanidinobutanamide + H2O <=> 4-Guanidinobutanoate + Ammonia"	"Arginine and proline metabolism; Phenylalanine metabolism; Tryptophan metabolism"	"4-guanidinobutanamide + h2o <=> 4-guanidinobutanoate + ammonia"	"rn:R03180"
"Rh127"	"Monocarboxylic acid amide + H2O <=> Carboxylate + Ammonia"	"Arginine and proline metabolism; Phenylalanine metabolism; Tryptophan metabolism"	"monocarboxylic acid amide + h2o <=> carboxylate + ammonia"	"rn:R03909"
"Rh128"	"Acrylic acid + Ammonia <=> Acrylamide + H2O"	"Arginine and proline metabolism; Phenylalanine metabolism; Tryptophan metabolism"	"acrylic acid + ammonia <=> acrylamide + h2o"	"rn:R05551"
"Rh129"	"Benzamide + H2O <=> Benzoate + Ammonia"	"Arginine and proline metabolism; Phenylalanine metabolism; Tryptophan metabolism"	"benzamide + h2o <=> benzoate + ammonia"	"rn:R05590"
"Rh130"	"D-gluconate + ATP <=> 6-phospho-D-gluconate + ADP + H(+)"	"Pentose phosphate pathway"	"d-gluconate + atp <=> 6-phospho-d-gluconate + adp + h(+)"	"NA"
"Rh131"	"Cu2(+)[in] + ATP + H2O => Cu2(+)[out] + ADP + phosphate + H(+)"	"Cu2+ transport"	"cu2(+)[in] + atp + h2o => cu2(+)[out] + adp + phosphate + h(+)"	"NA"
"Rh132"	"Dolichyl phosphate D-mannose + [Protein]-L-serine <=> Dolichyl phosphate + 3-O-(alpha-D-Mannosyl)-L-serinyl-[protein]"	"Mannose type O-glycan biosynthesis"	"dolichyl phosphate d-mannose + [protein]-l-serine <=> dolichyl phosphate + 3-o-(alpha-d-mannosyl)-l-serinyl-[protein]"	"rn:R04072"
"Rh133"	"Dolichyl phosphate D-mannose + [Protein]-L-serine <=> Dolichyl phosphate + G13027"	"Mannose type O-glycan biosynthesis"	"dolichyl phosphate d-mannose + [protein]-l-serine <=> dolichyl phosphate + g13027"	"rn:R07620"
"Rh134"	"Dolichyl phosphate D-mannose + [Protein]-L-threonine <=> Dolichyl phosphate + 3-O-(alpha-D-Mannosyl)-L-threonyl-[protein]"	"Mannose type O-glycan biosynthesis"	"dolichyl phosphate d-mannose + [protein]-l-threonine <=> dolichyl phosphate + 3-o-(alpha-d-mannosyl)-l-threonyl-[protein]"	"rn:R11399"
"Rh135"	"Chitin + H2O <=> N-Acetyl-D-glucosamine + Chitin"	"Amino sugar and nucleotide sugar metabolism"	"chitin + h2o <=> n-acetyl-d-glucosamine + chitin"	"rn:R01206"
"Rh136"	"Chitin + H2O <=> Chitobiose + Chitin"	"Amino sugar and nucleotide sugar metabolism"	"chitin + h2o <=> chitobiose + chitin"	"rn:R02334"
"Rh137"	"Glc <=> Glc"	"Glc transport"	"glc <=> glc"	"NA"
"Rh138"	"myo-inositol <=> myo-inositol"	"Glc transport"	"myo-inositol <=> myo-inositol"	"NA"
"Rh139"	"S-Adenosyl-L-methionine + Protein C-terminal S-farnesyl-L-cysteine <=> S-Adenosyl-L-homocysteine + Protein C-terminal S-farnesyl-L-cysteine methyl ester"	"Terpenoid backbone biosynthesis"	"s-adenosyl-l-methionine + protein c-terminal s-farnesyl-l-cysteine <=> s-adenosyl-l-homocysteine + protein c-terminal s-farnesyl-l-cysteine methyl ester"	"rn:R04496"
