"rxnID"	"query"	"formula"	"description"	"ko"	"pathway"	"pathway_name0"	"RHEA_ID"	"RHEA_ID2"	"metnetID"	"metnetID2"	"formula_metnet"	"formula_metnet_balance"	"Equation"	"formula_rhea"	"reverse"
"R03231"	"50-BIO6-R.8578-;876-augustus_masked-YCC-11519;1007-augustus_masked-YCM-7680;6777-YNR058W"	" S-Adenosyl-L-methionine + 8-Amino-7-oxononanoate <=> S-Adenosyl-4-methylthio-2-oxobutanoate + 7,8-Diaminononanoate"	"S-Adenosyl-L-methionine:8-amino-7-oxononanoate aminotransferase"	"K00833"	"path:map00780;path:map01100"	"sce00780  Biotin metabolism;sce01100  Metabolic pathways"	"rhea:16861"	"NA"	NA	"MNXR95806"	"1 `7,8-diaminononanoate` + 1 `S-adenosyl-4-methylthio-2-oxobutanoate` = 1 `8-amino-7-oxononanoate` + 1 `S-adenosyl-L-methionine`"	"true"	"1 MNXM1140@MNXD1 + 1 MNXM3090@MNXD1 = 1 MNXM1141@MNXD1 + 1 MNXM16@MNXD1"	"8-amino-7-oxononanoate + S-adenosyl-L-methionine => 7,8-diaminononanoate + S-adenosyl-4-methylthio-2-oxobutanoate;7,8-diaminononanoate + S-adenosyl-4-methylthio-2-oxobutanoate => 8-amino-7-oxononanoate + S-adenosyl-L-methionine"	"yes"
"R00209"	"64-augustus_masked-11538-CPG_1;2210-YBR221C;3508-YER178W;3540-YFL018C;6464-YNL071W;7366-YPL017C"	" Pyruvate + CoA + NAD+ <=> Acetyl-CoA + CO2 + NADH + H+"	"pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating); pyruvate dehydrogenase complex"	"K00382"	"path:map00010;path:map00020;path:map00260;path:map00280;path:map00620;path:map00630;path:map00640;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200"	"sce00010  Glycolysis / Gluconeogenesis;sce00020  Citrate cycle (TCA cycle);sce00260  Glycine, serine and threonine metabolism;sce00280  Valine, leucine and isoleucine degradation;sce00620  Pyruvate metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce00640  Propanoate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism"	"rhea:28042"	"NA"	NA	"MNXR102425"	"1 `NADH` + 1 `CO2` + 1 `acetyl-CoA` = 1 `CoA` + 1 `pyruvate` + 1 `NAD(+)`"	"true"	"1 MNXM10@MNXD1 + 1 MNXM13@MNXD1 + 1 MNXM21@MNXD1 = 1 MNXM12@MNXD1 + 1 MNXM23@MNXD1 + 1 MNXM8@MNXD1"	"CoA + NAD(+) + pyruvate => acetyl-CoA + CO2 + NADH;acetyl-CoA + CO2 + NADH => CoA + NAD(+) + pyruvate"	"yes"
"R01221"	"64-augustus_masked-11538-CPG_1;1817-YAL044C;2709-YDR019C;3540-YFL018C;6254-YMR189W;7366-YPL017C"	" Glycine + Tetrahydrofolate + NAD+ <=> 5,10-Methylenetetrahydrofolate + Ammonia + CO2 + NADH + H+"	"glycine synthase; glycine cleavage system"	"K00382"	"path:map00010;path:map00020;path:map00260;path:map00280;path:map00620;path:map00630;path:map00640;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200"	"sce00010  Glycolysis / Gluconeogenesis;sce00020  Citrate cycle (TCA cycle);sce00260  Glycine, serine and threonine metabolism;sce00280  Valine, leucine and isoleucine degradation;sce00620  Pyruvate metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce00640  Propanoate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism"	"rhea:27758"	"NA"	NA	"MNXR100330"	"1 `NADH` + 1 `CO2` + 1 `NH4(+)` + 1 `(6R)-5,10-methylenetetrahydrofolate` = 1 `glycine` + 1 `(6S)-5,6,7,8-tetrahydrofolate` + 1 `NAD(+)`"	"true"	"1 MNXM10@MNXD1 + 1 MNXM13@MNXD1 + 1 MNXM15@MNXD1 + 1 MNXM183@MNXD1 = 1 MNXM29@MNXD1 + 1 MNXM79@MNXD1 + 1 MNXM8@MNXD1"	"(6S)-5,6,7,8-tetrahydrofolate + glycine + NAD(+) => (6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + CO2 + NADH + NH4(+);(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + CO2 + NADH + NH4(+) => (6S)-5,6,7,8-tetrahydrofolate + glycine + NAD(+)"	"yes"
"R01698"	"64-augustus_masked-11538-CPG_1;3540-YFL018C;7366-YPL017C"	" Dihydrolipoamide + NAD+ <=> Lipoamide + NADH + H+"	"Dihydrolipoamide:NAD+ oxidoreductase"	"K00382"	"path:map00010;path:map00020;path:map00260;path:map00280;path:map00620;path:map00630;path:map00640;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200"	"sce00010  Glycolysis / Gluconeogenesis;sce00020  Citrate cycle (TCA cycle);sce00260  Glycine, serine and threonine metabolism;sce00280  Valine, leucine and isoleucine degradation;sce00620  Pyruvate metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce00640  Propanoate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism"	"rhea:33059"	"NA"	NA	"MNXR100066"	"1 `(R)-dihydrolipoamide` + 1 `NAD(+)` = 1 `H(+)` + 1 `NADH` + 1 `(R)-lipoamide`"	"true"	"1 MNXM1277@MNXD1 + 1 MNXM8@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM1024@MNXD1"	"(R)-dihydrolipoamide + NAD(+) => (R)-lipoamide + H(+) + NADH;(R)-lipoamide + H(+) + NADH => (R)-dihydrolipoamide + NAD(+)"	"yes"
"R03815"	"64-augustus_masked-11538-CPG_1;3540-YFL018C;7366-YPL017C"	" Dihydrolipoylprotein + NAD+ <=> Lipoylprotein + NADH + H+"	"dihydrolipoylprotein:NAD+ oxidoreductase"	"K00382"	"path:map00010;path:map00020;path:map00260;path:map00280;path:map00620;path:map00630;path:map00640;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200"	"sce00010  Glycolysis / Gluconeogenesis;sce00020  Citrate cycle (TCA cycle);sce00260  Glycine, serine and threonine metabolism;sce00280  Valine, leucine and isoleucine degradation;sce00620  Pyruvate metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce00640  Propanoate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism"	"rhea:15045"	"NA"	NA	"MNXR125807"	"1 `(R)-N(6)-dihydrolipoyl-L-lysine residue` + 1 `NAD(+)` = 1 `H(+)` + 1 `NADH` + 1 `(R)-N(6)-lipoyl-L-lysine residue`"	"true"	"1 MNXM145607@MNXD1 + 1 MNXM8@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM145553@MNXD1"	"[protein]-(R)-N(6)-dihydrolipoyl-L-lysine + NAD(+) => [protein]-(R)-N(6)-lipoyl-L-lysine + H(+) + NADH;[protein]-(R)-N(6)-lipoyl-L-lysine + H(+) + NADH => [protein]-(R)-N(6)-dihydrolipoyl-L-lysine + NAD(+)"	"yes"
"R07618"	"64-augustus_masked-11538-CPG_1;3540-YFL018C;7366-YPL017C"	" Enzyme N6-(dihydrolipoyl)lysine + NAD+ <=> Enzyme N6-(lipoyl)lysine + NADH + H+"	"enzyme N6-(dihydrolipoyl)lysine:NAD+ oxidoreductase"	"K00382"	"path:map00010;path:map00020;path:map00260;path:map00280;path:map00620;path:map00630;path:map00640;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200"	"sce00010  Glycolysis / Gluconeogenesis;sce00020  Citrate cycle (TCA cycle);sce00260  Glycine, serine and threonine metabolism;sce00280  Valine, leucine and isoleucine degradation;sce00620  Pyruvate metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce00640  Propanoate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism"	"rhea:15045"	"NA"	"MNXR111220"	"MNXR125807"	"1 `(R)-N(6)-dihydrolipoyl-L-lysine residue` + 1 `NAD(+)` = 1 `H(+)` + 1 `NADH` + 1 `(R)-N(6)-lipoyl-L-lysine residue`"	"true"	"1 MNXM145607@MNXD1 + 1 MNXM8@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM145553@MNXD1"	"[protein]-(R)-N(6)-dihydrolipoyl-L-lysine + NAD(+) => [protein]-(R)-N(6)-lipoyl-L-lysine + H(+) + NADH;[protein]-(R)-N(6)-lipoyl-L-lysine + H(+) + NADH => [protein]-(R)-N(6)-dihydrolipoyl-L-lysine + NAD(+)"	"yes"
"R08549"	"64-augustus_masked-11538-CPG_1;2839-YDR148C;3540-YFL018C;4606-YIL125W;7366-YPL017C"	" 2-Oxoglutarate + CoA + NAD+ <=> Succinyl-CoA + CO2 + NADH + H+"	"2-Oxoglutarate dehydrogenase complex"	"K00382"	"path:map00010;path:map00020;path:map00260;path:map00280;path:map00620;path:map00630;path:map00640;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200"	"sce00010  Glycolysis / Gluconeogenesis;sce00020  Citrate cycle (TCA cycle);sce00260  Glycine, serine and threonine metabolism;sce00280  Valine, leucine and isoleucine degradation;sce00620  Pyruvate metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce00640  Propanoate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism"	"rhea:27786"	"NA"	NA	"MNXR95655"	"1 `NADH` + 1 `CO2` + 1 `succinyl-CoA` = 1 `CoA` + 1 `2-oxoglutarate` + 1 `NAD(+)`"	"true"	"1 MNXM10@MNXD1 + 1 MNXM13@MNXD1 + 1 MNXM92@MNXD1 = 1 MNXM12@MNXD1 + 1 MNXM20@MNXD1 + 1 MNXM8@MNXD1"	"2-oxoglutarate + CoA + NAD(+) => CO2 + NADH + succinyl-CoA;CO2 + NADH + succinyl-CoA => 2-oxoglutarate + CoA + NAD(+)"	"yes"
"R02058"	"65-augustus_masked-11538-CPG_1;3538-YFL017C"	" Acetyl-CoA + D-Glucosamine 6-phosphate <=> CoA + N-Acetyl-D-glucosamine 6-phosphate"	"acetyl-CoA:D-glucosamine-6-phosphate N-acetyltransferase"	"K00621"	"path:map00520"	"sce00520  Amino sugar and nucleotide sugar metabolism"	"rhea:10292"	"NA"	NA	"MNXR95248"	"1 `H(+)` + 1 `CoA` + 1 `N-acetyl-D-glucosamine 6-phosphate` = 1 `acetyl-CoA` + 1 `D-glucosamine 6-phosphate`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM12@MNXD1 + 1 MNXM63556@MNXD1 = 1 MNXM21@MNXD1 + 1 MNXM370@MNXD1"	"D-glucosamine 6-phosphate + acetyl-CoA => N-acetyl-D-glucosamine 6-phosphate + CoA + H(+);N-acetyl-D-glucosamine 6-phosphate + CoA + H(+) => D-glucosamine 6-phosphate + acetyl-CoA"	"yes"
"R01708"	"73-augustus_masked-1166-YCM;7746-YPR127W"	" Pyridoxine + NADP+ <=> Pyridoxal + NADPH + H+"	"Pyridoxine:NADP+ 4-oxidoreductase"	"K05275"	"path:map00750;path:map01100;path:map01120"	"sce00750  Vitamin B6 metabolism;sce01100  Metabolic pathways;sce01120  Microbial metabolism in diverse environments"	"rhea:16129"	"NA"	NA	"MNXR103366"	"1 `H(+)` + 1 `pyridoxal` + 1 `NADPH` = 1 `pyridoxine` + 1 `NADP(+)`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM311@MNXD1 + 1 MNXM6@MNXD1 = 1 MNXM419@MNXD1 + 1 MNXM5@MNXD1"	"NADP(+) + pyridoxine => H(+) + NADPH + pyridoxal;H(+) + NADPH + pyridoxal => NADP(+) + pyridoxine"	"yes"
"R09796"	"76-augustus_masked-11960-BDM_5;962-augustus_masked-ABM_5-4457;3224-YDR533C_NumOfGenes_2;7623-YPL280W_NumOfGenes_3"	" (R)-Lactate <=> Methylglyoxal + H2O"	"(R)-lactate hydro-lyase"	"K22211"	"path:map00620;path:map01120"	"sce00620  Pyruvate metabolism;sce01120  Microbial metabolism in diverse environments"	"rhea:27754"	"NA"	NA	"MNXR100354"	"1 `H(+)` + 1 `(R)-lactate` = 1 `H2O` + 1 `2-oxopropanal`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM285@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM310@MNXD1"	"2-oxopropanal + H2O => (R)-lactate + H(+);(R)-lactate + H(+) => 2-oxopropanal + H2O"	"yes"
"R03096"	"88-augustus_masked-125-YCE;346-augustus_masked-779-BSG_4;1318-augustus_masked-BDM_5-22999;2933-YDR242W"	" (Indol-3-yl)acetamide + H2O <=> Indole-3-acetate + Ammonia"	"Indole-3-acetamide amidohydrolase"	"K01426"	"path:map00330;path:map00360;path:map00380;path:map00627;path:map00643;path:map01120"	"sce00330  Arginine and proline metabolism;sce00360  Phenylalanine metabolism;sce00380  Tryptophan metabolism;sce00627  Aminobenzoate degradation;sce00643  Styrene degradation;sce01120  Microbial metabolism in diverse environments"	"rhea:34371"	"NA"	NA	"MNXR95814"	"1 `NH4(+)` + 1 `(indol-3-yl)acetate` = 1 `H2O` + 1 `indole-3-acetamide`"	"true"	"1 MNXM15@MNXD1 + 1 MNXM383@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM2239@MNXD1"	"H2O + indole-3-acetamide => (indol-3-yl)acetate + NH4(+);(indol-3-yl)acetate + NH4(+) => H2O + indole-3-acetamide"	"yes"
"R03180"	"88-augustus_masked-125-YCE;346-augustus_masked-779-BSG_4;1318-augustus_masked-BDM_5-22999;2933-YDR242W"	" 4-Guanidinobutanamide + H2O <=> 4-Guanidinobutanoate + Ammonia"	"4-Guanidinobutanamide amidohydrolase"	"K01426"	"path:map00330;path:map00360;path:map00380;path:map00627;path:map00643;path:map01120"	"sce00330  Arginine and proline metabolism;sce00360  Phenylalanine metabolism;sce00380  Tryptophan metabolism;sce00627  Aminobenzoate degradation;sce00643  Styrene degradation;sce01120  Microbial metabolism in diverse environments"	"rhea:34375"	"NA"	NA	"MNXR95812"	"1 `4-guanidinobutanoate` + 1 `NH4(+)` = 1 `H2O` + 1 `4-guanidinobutanamide`"	"true"	"1 MNXM1312@MNXD1 + 1 MNXM15@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM2617@MNXD1"	"4-guanidinobutanamide + H2O => 4-guanidinobutanoate + NH4(+);4-guanidinobutanoate + NH4(+) => 4-guanidinobutanamide + H2O"	"yes"
"R03909"	"88-augustus_masked-125-YCE;346-augustus_masked-779-BSG_4;1318-augustus_masked-BDM_5-22999;2933-YDR242W"	" Monocarboxylic acid amide + H2O <=> Carboxylate + Ammonia"	"Monocarboxylic acid amide amidohydrolase"	"K01426"	"path:map00330;path:map00360;path:map00380;path:map00627;path:map00643;path:map01120"	"sce00330  Arginine and proline metabolism;sce00360  Phenylalanine metabolism;sce00380  Tryptophan metabolism;sce00627  Aminobenzoate degradation;sce00643  Styrene degradation;sce01120  Microbial metabolism in diverse environments"	"rhea:12020"	"NA"	NA	"MNXR108518"	"1 `NH4(+)` + 1 `a fatty acid` = 1 `H2O` + 1 `a monocarboxylic acid amide`"	"true"	"1 MNXM15@MNXD1 + 1 MNXM72@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM4671@MNXD1"	"a monocarboxylic acid amide + H2O => a monocarboxylate + NH4(+);a monocarboxylate + NH4(+) => a monocarboxylic acid amide + H2O"	"yes"
"R05551"	"88-augustus_masked-125-YCE;346-augustus_masked-779-BSG_4;1318-augustus_masked-BDM_5-22999;2933-YDR242W"	"Acrylic acid + Ammonia <=> Acrylamide + H2O"	"NONE"	"K01426"	"path:map00330;path:map00360;path:map00380;path:map00627;path:map00643;path:map01120"	"sce00330  Arginine and proline metabolism;sce00360  Phenylalanine metabolism;sce00380  Tryptophan metabolism;sce00627  Aminobenzoate degradation;sce00643  Styrene degradation;sce01120  Microbial metabolism in diverse environments"	"rhea:34367"	"NA"	NA	"MNXR95816"	"1 `acrylate` + 1 `NH4(+)` = 1 `H2O` + 1 `acrylamide`"	"true"	"1 MNXM1368@MNXD1 + 1 MNXM15@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM3208@MNXD1"	"acrylamide + H2O => acrylate + NH4(+);acrylate + NH4(+) => acrylamide + H2O"	"yes"
"R06199"	"90-augustus_masked-1265-AHB_2;1184-augustus_masked-ALI_5-15258;4186-YGR287C_NumOfGenes_2;4191-YGR292W_NumOfGenes_2;4579-YIL099W;4654-YIL172C_NumOfGenes_6;4909-YJL216C"	"Starch(n+1) + H2O <=> alpha-D-Glucose + Starch(n)"	"NONE"	"K01182"	"path:map00052;path:map00500;path:map01100"	"sce00052  Galactose metabolism;sce00500  Starch and sucrose metabolism;sce01100  Metabolic pathways"	"NA"	"NA"	"MNXR110064"	"MNXR110064"	"(n+1) `oligoglycosylglucose` + 1 `H2O` = (n) `oligoglycosylglucose` + 1 `alpha-D-glucose`"	"NA"	"(n+1) MNXM1003@MNXD1 + 1 MNXM2@MNXD1 = (n) MNXM1003@MNXD1 + 1 MNXM99@MNXD1"	NA	"not sure"
"R00351"	"93-augustus_masked-1266-AHB_2;2354-YCR005C;6719-YNR001C;7625-YPR001W"	" Citrate + CoA <=> Acetyl-CoA + H2O + Oxaloacetate"	"acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)"	"K01647"	"path:map00020;path:map00630;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200;path:map01210;path:map01230"	"sce00020  Citrate cycle (TCA cycle);sce00630  Glyoxylate and dicarboxylate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01210  2-Oxocarboxylic acid metabolism;sce01230  Biosynthesis of amino acids"	"rhea:16845"	"NA"	NA	"MNXR96920"	"1 `H(+)` + 1 `CoA` + 1 `citrate` = 1 `H2O` + 1 `acetyl-CoA` + 1 `oxaloacetate`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM12@MNXD1 + 1 MNXM131@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM21@MNXD1 + 1 MNXM46@MNXD1"	"acetyl-CoA + H2O + oxaloacetate => citrate + CoA + H(+);citrate + CoA + H(+) => acetyl-CoA + H2O + oxaloacetate"	"yes"
