"type"	"id"	"name"	"reversible"	"fast"	"reactants"	"products"	"reactants_name"	"products_name"	"reaction_detail"
"STATE_TRANSITION"	"re16"	NA	FALSE	FALSE	"s72"	"s73"	"beta-D-Glucose"	"beta-D-Glucose 6P"	"beta-D-Glucose = beta-D-Glucose 6P"
"STATE_TRANSITION"	"re17"	NA	TRUE	FALSE	"s73"	"s64"	"beta-D-Glucose 6P"	"beta-D-Fructose 6P"	"beta-D-Glucose 6P = beta-D-Fructose 6P"
"STATE_TRANSITION"	"re18"	NA	TRUE	FALSE	"s73"	"s4"	"beta-D-Glucose 6P"	"alpha-D-Glucose 6P"	"beta-D-Glucose 6P = alpha-D-Glucose 6P"
"STATE_TRANSITION"	"re19"	NA	FALSE	FALSE	"s6"	"s64"	"beta-D-Fructose 1,6P2"	"beta-D-Fructose 6P"	"beta-D-Fructose 1,6P2 = beta-D-Fructose 6P"
"STATE_TRANSITION"	"re20"	NA	TRUE	FALSE	"s74"	"s65"	"glycerone-P"	"glyceraldehyde-3P"	"glycerone-P = glyceraldehyde-3P"
"STATE_TRANSITION"	"re21"	NA	TRUE	FALSE	"s6"	"s74"	"beta-D-Fructose 1,6P2"	"glycerone-P"	"beta-D-Fructose 1,6P2 = glycerone-P"
"STATE_TRANSITION"	"re22"	NA	FALSE	FALSE	"s69"	"s33"	"phosphoenol-pyruvate"	"Pyruvate"	"phosphoenol-pyruvate = Pyruvate"
"HETERODIMER_ASSOCIATION"	"re23"	NA	TRUE	FALSE	"s2,s51,s5"	"s37,s38"	"Acetyl-CoA;Oxaloacetate;H_sub_2_endsub_O"	"Citrate;coA"	"Acetyl-CoA + Oxaloacetate + H_sub_2_endsub_O = Citrate + coA"
"STATE_TRANSITION"	"re24"	NA	TRUE	FALSE	"s45"	"s40"	"_alpha_Ketoglutarate"	"IsoCitrate"	"_alpha_Ketoglutarate = IsoCitrate"
"STATE_TRANSITION"	"re25"	NA	TRUE	FALSE	"s82"	"s46,s79"	"S-Succinyl-dihydrolipoamide-E"	"Succinyl-CoA;Dihydro-lipoamide-E"	"S-Succinyl-dihydrolipoamide-E = Succinyl-CoA + Dihydro-lipoamide-E"
"STATE_TRANSITION"	"re26"	NA	FALSE	FALSE	"s81,s80"	"s82,s84"	"3-Carboxy-1-hydroxypropyl-ThPP;Lipoamide-E"	"S-Succinyl-dihydrolipoamide-E;ThPP"	"3-Carboxy-1-hydroxypropyl-ThPP + Lipoamide-E = S-Succinyl-dihydrolipoamide-E + ThPP"
"STATE_TRANSITION"	"re27"	NA	FALSE	FALSE	"s45,s84"	"s81"	"_alpha_Ketoglutarate;ThPP"	"3-Carboxy-1-hydroxypropyl-ThPP"	"_alpha_Ketoglutarate + ThPP = 3-Carboxy-1-hydroxypropyl-ThPP"
"STATE_TRANSITION"	"re28"	NA	TRUE	FALSE	"s79"	"s80"	"Dihydro-lipoamide-E"	"Lipoamide-E"	"Dihydro-lipoamide-E = Lipoamide-E"
"STATE_TRANSITION"	"re29"	NA	TRUE	FALSE	"s4"	"s85"	"alpha-D-Glucose 6P"	"beta-D-Glucose-6P"	"alpha-D-Glucose 6P = beta-D-Glucose-6P"
"STATE_TRANSITION"	"re30"	NA	FALSE	FALSE	"s85"	"s86"	"beta-D-Glucose-6P"	"D-Glucono-1,5-lactone-6P"	"beta-D-Glucose-6P = D-Glucono-1,5-lactone-6P"
"STATE_TRANSITION"	"re31"	NA	FALSE	FALSE	"s86"	"s87"	"D-Glucono-1,5-lactone-6P"	"D-gluconate-6P"	"D-Glucono-1,5-lactone-6P = D-gluconate-6P"
"STATE_TRANSITION"	"re32"	NA	FALSE	FALSE	"s88"	"s87"	"D-Gluconate"	"D-gluconate-6P"	"D-Gluconate = D-gluconate-6P"
"STATE_TRANSITION"	"re33"	NA	FALSE	FALSE	"s87"	"s89"	"D-gluconate-6P"	"D-Ribulose-5P"	"D-gluconate-6P = D-Ribulose-5P"
"STATE_TRANSITION"	"re34"	NA	TRUE	FALSE	"s89"	"s91"	"D-Ribulose-5P"	"D-Xylulose-5P"	"D-Ribulose-5P = D-Xylulose-5P"
"STATE_TRANSITION"	"re35"	NA	TRUE	FALSE	"s64"	"s91"	"beta-D-Fructose 6P"	"D-Xylulose-5P"	"beta-D-Fructose 6P = D-Xylulose-5P"
"STATE_TRANSITION"	"re36"	NA	TRUE	FALSE	"s89"	"s90"	"D-Ribulose-5P"	"D-Ribose-5P"	"D-Ribulose-5P = D-Ribose-5P"
"STATE_TRANSITION"	"re37"	NA	TRUE	FALSE	"s90"	"s94"	"D-Ribose-5P"	"5-Phospho-alpha-D-ribose-1-diphosphate"	"D-Ribose-5P = 5-Phospho-alpha-D-ribose-1-diphosphate"
"STATE_TRANSITION"	"re38"	NA	TRUE	FALSE	"s90"	"s95"	"D-Ribose-5P"	"D-Ribose"	"D-Ribose-5P = D-Ribose"
"STATE_TRANSITION"	"re39"	NA	TRUE	FALSE	"s90"	"s96"	"D-Ribose-5P"	"D-Ribose-1P"	"D-Ribose-5P = D-Ribose-1P"
"STATE_TRANSITION"	"re40"	NA	TRUE	FALSE	"s65"	"s92"	"glyceraldehyde-3P"	"D-Erythrose-4P"	"glyceraldehyde-3P = D-Erythrose-4P"
"STATE_TRANSITION"	"re41"	NA	TRUE	FALSE	"s92"	"s93"	"D-Erythrose-4P"	"D-Sedo-heptulose-7P"	"D-Erythrose-4P = D-Sedo-heptulose-7P"
"STATE_TRANSITION"	"re42"	NA	TRUE	FALSE	"s65"	"s91"	"glyceraldehyde-3P"	"D-Xylulose-5P"	"glyceraldehyde-3P = D-Xylulose-5P"
"STATE_TRANSITION"	"re43"	NA	TRUE	FALSE	"s93"	"s90"	"D-Sedo-heptulose-7P"	"D-Ribose-5P"	"D-Sedo-heptulose-7P = D-Ribose-5P"
"STATE_TRANSITION"	"re44"	NA	TRUE	FALSE	"s97"	"s98"	"2-Deoxy-D-ribose-5P"	"2-Deoxy-D-ribose"	"2-Deoxy-D-ribose-5P = 2-Deoxy-D-ribose"
"STATE_TRANSITION"	"re45"	NA	TRUE	FALSE	"s65"	"s97"	"glyceraldehyde-3P"	"2-Deoxy-D-ribose-5P"	"glyceraldehyde-3P = 2-Deoxy-D-ribose-5P"
"STATE_TRANSITION"	"re46"	NA	TRUE	FALSE	"s1"	"s100"	"alpha-D-Glucose-1P"	"UDP-glucose"	"alpha-D-Glucose-1P = UDP-glucose"
"STATE_TRANSITION"	"re47"	NA	TRUE	FALSE	"s89"	"s91"	"D-Ribulose-5P"	"D-Xylulose-5P"	"D-Ribulose-5P = D-Xylulose-5P"
"STATE_TRANSITION"	"re48"	NA	TRUE	FALSE	"s101"	"s91"	"D-Xylulose"	"D-Xylulose-5P"	"D-Xylulose = D-Xylulose-5P"
"STATE_TRANSITION"	"re49"	NA	TRUE	FALSE	"s102"	"s101"	"Xylitol"	"D-Xylulose"	"Xylitol = D-Xylulose"
"STATE_TRANSITION"	"re50"	NA	FALSE	FALSE	"s103"	"s102"	"D-xylose"	"Xylitol"	"D-xylose = Xylitol"
"STATE_TRANSITION"	"re51"	NA	TRUE	FALSE	"s106"	"s64"	"D-Frutose-2,6P2"	"beta-D-Fructose 6P"	"D-Frutose-2,6P2 = beta-D-Fructose 6P"
"STATE_TRANSITION"	"re52"	NA	FALSE	FALSE	"s107"	"s64"	"D-Fructose"	"beta-D-Fructose 6P"	"D-Fructose = beta-D-Fructose 6P"
"STATE_TRANSITION"	"re53"	NA	TRUE	FALSE	"s107"	"s108"	"D-Fructose"	"D-Sorbitol"	"D-Fructose = D-Sorbitol"
"STATE_TRANSITION"	"re54"	NA	TRUE	FALSE	"s107"	"s109"	"D-Fructose"	"D-Mannitol"	"D-Fructose = D-Mannitol"
"STATE_TRANSITION"	"re55"	NA	FALSE	FALSE	"s110"	"s111"	"D-Mannose"	"D-Mannose-6P"	"D-Mannose = D-Mannose-6P"
"STATE_TRANSITION"	"re56"	NA	TRUE	FALSE	"s111"	"s112"	"D-Mannose-6P"	"D-Mannose-1P"	"D-Mannose-6P = D-Mannose-1P"
"STATE_TRANSITION"	"re57"	NA	FALSE	FALSE	"s112"	"s113"	"D-Mannose-1P"	"GDP-D-mannose"	"D-Mannose-1P = GDP-D-mannose"
"STATE_TRANSITION"	"re58"	NA	TRUE	FALSE	"s64"	"s111"	"beta-D-Fructose 6P"	"D-Mannose-6P"	"beta-D-Fructose 6P = D-Mannose-6P"
"STATE_TRANSITION"	"re59"	NA	FALSE	FALSE	"s114"	"s74"	"D-Fructose-1P"	"glycerone-P"	"D-Fructose-1P = glycerone-P"
"STATE_TRANSITION"	"re60"	NA	TRUE	FALSE	"s114"	"s115"	"D-Fructose-1P"	"D-Glycer-aldehyde"	"D-Fructose-1P = D-Glycer-aldehyde"
"STATE_TRANSITION"	"re61"	NA	FALSE	FALSE	"s115"	"s65"	"D-Glycer-aldehyde"	"glyceraldehyde-3P"	"D-Glycer-aldehyde = glyceraldehyde-3P"
"STATE_TRANSITION"	"re62"	NA	TRUE	FALSE	"s1"	"s116,s100"	"alpha-D-Glucose-1P"	"alpha-D-Galactose-1P;UDP-glucose"	"alpha-D-Glucose-1P = alpha-D-Galactose-1P + UDP-glucose"
"STATE_TRANSITION"	"re63"	NA	FALSE	FALSE	"s117"	"s116"	"alpha-D-Galactose"	"alpha-D-Galactose-1P"	"alpha-D-Galactose = alpha-D-Galactose-1P"
"STATE_TRANSITION"	"re64"	NA	FALSE	FALSE	"s118"	"s117"	"D-Galactose"	"alpha-D-Galactose"	"D-Galactose = alpha-D-Galactose"
"STATE_TRANSITION"	"re65"	NA	TRUE	FALSE	"s119"	"s100"	"UDP-galactose"	"UDP-glucose"	"UDP-galactose = UDP-glucose"
"STATE_TRANSITION"	"re66"	NA	FALSE	FALSE	"s107"	"s8184"	"D-Fructose"	"D-Fructose-6P"	"D-Fructose = D-Fructose-6P"
"STATE_TRANSITION"	"re67"	NA	TRUE	FALSE	"s8184"	"s8185"	"D-Fructose-6P"	"D-Glucose-6P"	"D-Fructose-6P = D-Glucose-6P"
"STATE_TRANSITION"	"re68"	NA	FALSE	FALSE	"s8186"	"s8185"	"D-Glucose"	"D-Glucose-6P"	"D-Glucose = D-Glucose-6P"
"STATE_TRANSITION"	"re69"	NA	TRUE	FALSE	"s1"	"s8185"	"alpha-D-Glucose-1P"	"D-Glucose-6P"	"alpha-D-Glucose-1P = D-Glucose-6P"
"STATE_TRANSITION"	"re70"	NA	FALSE	FALSE	"s8187"	"s107,s8185"	"Sucrose-6P"	"D-Fructose;D-Glucose-6P"	"Sucrose-6P = D-Fructose + D-Glucose-6P"
"STATE_TRANSITION"	"re71"	NA	FALSE	FALSE	"s8188"	"s107,s8186"	"Sucrose"	"D-Fructose;D-Glucose"	"Sucrose = D-Fructose + D-Glucose"
"STATE_TRANSITION"	"re72"	NA	FALSE	FALSE	"s8189"	"s8186"	"1,3-beta-Glucan"	"D-Glucose"	"1,3-beta-Glucan = D-Glucose"
"STATE_TRANSITION"	"re73"	NA	FALSE	FALSE	"s100"	"s8189"	"UDP-glucose"	"1,3-beta-Glucan"	"UDP-glucose = 1,3-beta-Glucan"
"STATE_TRANSITION"	"re74"	NA	FALSE	FALSE	"s100"	"s8191"	"UDP-glucose"	"Trehalose-6P"	"UDP-glucose = Trehalose-6P"
"STATE_TRANSITION"	"re75"	NA	FALSE	FALSE	"s8191"	"s8192"	"Trehalose-6P"	"Trehalose"	"Trehalose-6P = Trehalose"
"STATE_TRANSITION"	"re76"	NA	FALSE	FALSE	"s8192"	"s8186"	"Trehalose"	"D-Glucose"	"Trehalose = D-Glucose"
"STATE_TRANSITION"	"re77"	NA	FALSE	FALSE	"s100"	"s8193"	"UDP-glucose"	"Amylose"	"UDP-glucose = Amylose"
"STATE_TRANSITION"	"re78"	NA	FALSE	FALSE	"s8193"	"s8194"	"Amylose"	"Starch"	"Amylose = Starch"
"STATE_TRANSITION"	"re79"	NA	FALSE	FALSE	"s8194"	"s1"	"Starch"	"alpha-D-Glucose-1P"	"Starch = alpha-D-Glucose-1P"
"STATE_TRANSITION"	"re80"	NA	FALSE	FALSE	"s8194"	"s8186"	"Starch"	"D-Glucose"	"Starch = D-Glucose"
"STATE_TRANSITION"	"re81"	NA	FALSE	FALSE	"s8195"	"s8186"	"Isomaltose"	"D-Glucose"	"Isomaltose = D-Glucose"
"STATE_TRANSITION"	"re82"	NA	FALSE	FALSE	"s8196"	"s8186"	"Dextrin"	"D-Glucose"	"Dextrin = D-Glucose"
"STATE_TRANSITION"	"re83"	NA	FALSE	FALSE	"s8199"	"s8198"	"GlcN"	"GlcN-6P"	"GlcN = GlcN-6P"
"STATE_TRANSITION"	"re84"	NA	FALSE	FALSE	"s8198"	"s8200"	"GlcN-6P"	"GlcNAc-6P"	"GlcN-6P = GlcNAc-6P"
"STATE_TRANSITION"	"re85"	NA	TRUE	FALSE	"s8200"	"s8201"	"GlcNAc-6P"	"GlcNAc-1P"	"GlcNAc-6P = GlcNAc-1P"
"STATE_TRANSITION"	"re86"	NA	FALSE	FALSE	"s8201"	"s8202"	"GlcNAc-1P"	"UDP-GlcNAc"	"GlcNAc-1P = UDP-GlcNAc"
"STATE_TRANSITION"	"re87"	NA	FALSE	FALSE	"s8202"	"s8203"	"UDP-GlcNAc"	"Chitin"	"UDP-GlcNAc = Chitin"
"STATE_TRANSITION"	"re88"	NA	FALSE	FALSE	"s8203"	"s8204"	"Chitin"	"GlcNAc"	"Chitin = GlcNAc"
"STATE_TRANSITION"	"re89"	NA	FALSE	FALSE	"s8203"	"s8205"	"Chitin"	"Chitosan"	"Chitin = Chitosan"
"STATE_TRANSITION"	"re90"	NA	FALSE	FALSE	"s8203"	"s8206"	"Chitin"	"Chitobiose"	"Chitin = Chitobiose"
"STATE_TRANSITION"	"re91"	NA	TRUE	FALSE	"s119"	"s116"	"UDP-galactose"	"alpha-D-Galactose-1P"	"UDP-galactose = alpha-D-Galactose-1P"
"STATE_TRANSITION"	"re92"	NA	FALSE	FALSE	"s8208"	"s33"	"L-Lactate"	"Pyruvate"	"L-Lactate = Pyruvate"
"STATE_TRANSITION"	"re93"	NA	TRUE	FALSE	"s8209"	"s8208"	"D-Lactate"	"L-Lactate"	"D-Lactate = L-Lactate"
"STATE_TRANSITION"	"re94"	NA	FALSE	FALSE	"s33"	"s8209"	"Pyruvate"	"D-Lactate"	"Pyruvate = D-Lactate"
"STATE_TRANSITION"	"re95"	NA	TRUE	FALSE	"s8211"	"s8212"	"L-Lactaldehyde"	"Methylglyoxal"	"L-Lactaldehyde = Methylglyoxal"
"STATE_TRANSITION"	"re96"	NA	TRUE	FALSE	"s8212"	"s8213"	"Methylglyoxal"	"(R)-S-Lactoyl-glutathione"	"Methylglyoxal = (R)-S-Lactoyl-glutathione"
"STATE_TRANSITION"	"re97"	NA	FALSE	FALSE	"s8213"	"s8209"	"(R)-S-Lactoyl-glutathione"	"D-Lactate"	"(R)-S-Lactoyl-glutathione = D-Lactate"
"STATE_TRANSITION"	"re98"	NA	FALSE	FALSE	"s8212"	"s8209"	"Methylglyoxal"	"D-Lactate"	"Methylglyoxal = D-Lactate"
"STATE_TRANSITION"	"re99"	NA	FALSE	FALSE	"s8209"	"s33"	"D-Lactate"	"Pyruvate"	"D-Lactate = Pyruvate"
"STATE_TRANSITION"	"re100"	NA	FALSE	FALSE	"s33,s78"	"s75"	"Pyruvate;THPP"	"2-Hydroxy-ethyl-THPP"	"Pyruvate + THPP = 2-Hydroxy-ethyl-THPP"
"STATE_TRANSITION"	"re101"	NA	FALSE	FALSE	"s75,s80"	"s76,s78"	"2-Hydroxy-ethyl-THPP;Lipoamide-E"	"S-Acetyldihydro-lipoamide-E;THPP"	"2-Hydroxy-ethyl-THPP + Lipoamide-E = S-Acetyldihydro-lipoamide-E + THPP"
"STATE_TRANSITION"	"re102"	NA	TRUE	FALSE	"s76"	"s2,s79"	"S-Acetyldihydro-lipoamide-E"	"Acetyl-CoA;Dihydro-lipoamide-E"	"S-Acetyldihydro-lipoamide-E = Acetyl-CoA + Dihydro-lipoamide-E"
"STATE_TRANSITION"	"re103"	NA	TRUE	FALSE	"s79"	"s80"	"Dihydro-lipoamide-E"	"Lipoamide-E"	"Dihydro-lipoamide-E = Lipoamide-E"
"STATE_TRANSITION"	"re104"	NA	FALSE	FALSE	"s33"	"s51"	"Pyruvate"	"Oxaloacetate"	"Pyruvate = Oxaloacetate"
"STATE_TRANSITION"	"re105"	NA	TRUE	FALSE	"s51"	"s69"	"Oxaloacetate"	"phosphoenol-pyruvate"	"Oxaloacetate = phosphoenol-pyruvate"
"STATE_TRANSITION"	"re106"	NA	FALSE	FALSE	"s2"	"s8214"	"Acetyl-CoA"	"Acetate"	"Acetyl-CoA = Acetate"
"STATE_TRANSITION"	"re107"	NA	TRUE	FALSE	"s2"	"s8215"	"Acetyl-CoA"	"Acetyladenylate"	"Acetyl-CoA = Acetyladenylate"
"STATE_TRANSITION"	"re108"	NA	TRUE	FALSE	"s8215"	"s8214"	"Acetyladenylate"	"Acetate"	"Acetyladenylate = Acetate"
"STATE_TRANSITION"	"re109"	NA	TRUE	FALSE	"s8214"	"s8216"	"Acetate"	"Acetaldehyde"	"Acetate = Acetaldehyde"
"STATE_TRANSITION"	"re110"	NA	TRUE	FALSE	"s33"	"s50"	"Pyruvate"	"Malate"	"Pyruvate = Malate"
"STATE_TRANSITION"	"re111"	NA	FALSE	FALSE	"s2"	"s50"	"Acetyl-CoA"	"Malate"	"Acetyl-CoA = Malate"
"STATE_TRANSITION"	"re112"	NA	FALSE	FALSE	"s2"	"s8217"	"Acetyl-CoA"	"3-Carboxy-3-hydroxy-4-methylpentanoate"	"Acetyl-CoA = 3-Carboxy-3-hydroxy-4-methylpentanoate"
"STATE_TRANSITION"	"re113"	NA	FALSE	FALSE	"s2"	"s8219"	"Acetyl-CoA"	"Malonyl-CoA"	"Acetyl-CoA = Malonyl-CoA"
"STATE_TRANSITION"	"re114"	NA	FALSE	FALSE	"s2"	"s8218"	"Acetyl-CoA"	"Homocitrate"	"Acetyl-CoA = Homocitrate"
"STATE_TRANSITION"	"re115"	NA	TRUE	FALSE	"s2"	"s8220"	"Acetyl-CoA"	"Acetoacetyl-CoA"	"Acetyl-CoA = Acetoacetyl-CoA"
"STATE_TRANSITION"	"re116"	NA	FALSE	FALSE	"s40"	"s8221,s48"	"IsoCitrate"	"Glyoxylate;Succinate"	"IsoCitrate = Glyoxylate + Succinate"
"STATE_TRANSITION"	"re117"	NA	TRUE	FALSE	"s8237"	"s8221"	"Glycolate"	"Glyoxylate"	"Glycolate = Glyoxylate"
"STATE_TRANSITION"	"re118"	NA	TRUE	FALSE	"s8241"	"s8242"	"Propanoyl-CoA"	"Propionyl-adenylate"	"Propanoyl-CoA = Propionyl-adenylate"
"STATE_TRANSITION"	"re119"	NA	TRUE	FALSE	"s8243"	"s8242"	"Propanoate"	"Propionyl-adenylate"	"Propanoate = Propionyl-adenylate"
"STATE_TRANSITION"	"re120"	NA	TRUE	FALSE	"s8241"	"s8244"	"Propanoyl-CoA"	"2-Methylcitrate"	"Propanoyl-CoA = 2-Methylcitrate"
"STATE_TRANSITION"	"re121"	NA	FALSE	FALSE	"s8244"	"s8245"	"2-Methylcitrate"	"2-Methyl-cis-aconitate"	"2-Methylcitrate = 2-Methyl-cis-aconitate"
"HETERODIMER_ASSOCIATION"	"re122"	NA	FALSE	FALSE	"s8220,s2"	"s8246"	"Acetoacetyl-CoA;Acetyl-CoA"	"(S)-3-Hydroxy-3-methylglutaryl-CoA"	"Acetoacetyl-CoA + Acetyl-CoA = (S)-3-Hydroxy-3-methylglutaryl-CoA"
"STATE_TRANSITION"	"re123"	NA	FALSE	FALSE	"s8247"	"s48"	"Succinate semialdehyde"	"Succinate"	"Succinate semialdehyde = Succinate"
"STATE_TRANSITION"	"re124"	NA	FALSE	FALSE	"s8230"	"s8248"	"L-Glutamate"	"4-Aminobutanoate(GABA)"	"L-Glutamate = 4-Aminobutanoate(GABA)"
"STATE_TRANSITION"	"re125"	NA	TRUE	FALSE	"s8247"	"s8248"	"Succinate semialdehyde"	"4-Aminobutanoate(GABA)"	"Succinate semialdehyde = 4-Aminobutanoate(GABA)"
"STATE_TRANSITION"	"re126"	NA	FALSE	FALSE	"s33"	"s8254"	"Pyruvate"	"(S)-2-Acetolactate"	"Pyruvate = (S)-2-Acetolactate"
"STATE_TRANSITION"	"re127"	NA	FALSE	FALSE	"s8255"	"s8251"	"Diacetyl"	"(R)-2-Acetoin"	"Diacetyl = (R)-2-Acetoin"
"STATE_TRANSITION"	"re128"	NA	TRUE	FALSE	"s8250"	"s8253"	"(S)-2-Acetoin"	"meso-Butane-2,3-diol"	"(S)-2-Acetoin = meso-Butane-2,3-diol"
"STATE_TRANSITION"	"re129"	NA	TRUE	FALSE	"s8252"	"s8251"	"(R,R)-Butane-2,3-diol"	"(R)-2-Acetoin"	"(R,R)-Butane-2,3-diol = (R)-2-Acetoin"
"STATE_TRANSITION"	"re130"	NA	FALSE	FALSE	"s8259"	"s8258"	"1-Phosphatidyl-1D-myo-inositol-3,5P2"	"1-Phosphatidyl-1D-myo-inositol-5P"	"1-Phosphatidyl-1D-myo-inositol-3,5P2 = 1-Phosphatidyl-1D-myo-inositol-5P"
"STATE_TRANSITION"	"re131"	NA	FALSE	FALSE	"s8257"	"s8259"	"1-Phosphatidyl-1D-myo-inositol-3P"	"1-Phosphatidyl-1D-myo-inositol-3,5P2"	"1-Phosphatidyl-1D-myo-inositol-3P = 1-Phosphatidyl-1D-myo-inositol-3,5P2"
"STATE_TRANSITION"	"re132"	NA	FALSE	FALSE	"s8261"	"s8257"	"Phosphatidyl-1D-myo-inositol"	"1-Phosphatidyl-1D-myo-inositol-3P"	"Phosphatidyl-1D-myo-inositol = 1-Phosphatidyl-1D-myo-inositol-3P"
"STATE_TRANSITION"	"re133"	NA	FALSE	FALSE	"s8262"	"s8263"	"1D-myo-inositol-1P"	"myo-inositol"	"1D-myo-inositol-1P = myo-inositol"
"STATE_TRANSITION"	"re134"	NA	FALSE	FALSE	"s8263"	"s8261"	"myo-inositol"	"Phosphatidyl-1D-myo-inositol"	"myo-inositol = Phosphatidyl-1D-myo-inositol"
"STATE_TRANSITION"	"re135"	NA	FALSE	FALSE	"s8260"	"s8261"	"1-Phosphatidyl-1D-myo-inositol-4P"	"Phosphatidyl-1D-myo-inositol"	"1-Phosphatidyl-1D-myo-inositol-4P = Phosphatidyl-1D-myo-inositol"
"STATE_TRANSITION"	"re136"	NA	FALSE	FALSE	"s8261"	"s8260"	"Phosphatidyl-1D-myo-inositol"	"1-Phosphatidyl-1D-myo-inositol-4P"	"Phosphatidyl-1D-myo-inositol = 1-Phosphatidyl-1D-myo-inositol-4P"
"STATE_TRANSITION"	"re137"	NA	FALSE	FALSE	"s8260"	"s8268"	"1-Phosphatidyl-1D-myo-inositol-4P"	"1-Phosphatidyl-1D-myo-inositol-4,5P2"	"1-Phosphatidyl-1D-myo-inositol-4P = 1-Phosphatidyl-1D-myo-inositol-4,5P2"
"STATE_TRANSITION"	"re138"	NA	FALSE	FALSE	"s8268"	"s8260"	"1-Phosphatidyl-1D-myo-inositol-4,5P2"	"1-Phosphatidyl-1D-myo-inositol-4P"	"1-Phosphatidyl-1D-myo-inositol-4,5P2 = 1-Phosphatidyl-1D-myo-inositol-4P"
"STATE_TRANSITION"	"re139"	NA	FALSE	FALSE	"s8264"	"s8263"	"1D-myo-inositol-3P"	"myo-inositol"	"1D-myo-inositol-3P = myo-inositol"
"STATE_TRANSITION"	"re140"	NA	FALSE	FALSE	"s8185"	"s8264"	"D-Glucose-6P"	"1D-myo-inositol-3P"	"D-Glucose-6P = 1D-myo-inositol-3P"
"STATE_TRANSITION"	"re141"	NA	FALSE	FALSE	"s8268"	"s8267,s8269"	"1-Phosphatidyl-1D-myo-inositol-4,5P2"	"1D-myo-inositol-1,4,5P3;1,2-Diacylglycerol"	"1-Phosphatidyl-1D-myo-inositol-4,5P2 = 1D-myo-inositol-1,4,5P3 + 1,2-Diacylglycerol"
"STATE_TRANSITION"	"re142"	NA	FALSE	FALSE	"s8267"	"s8266"	"1D-myo-inositol-1,4,5P3"	"1D-myo-inositol-1,4P2"	"1D-myo-inositol-1,4,5P3 = 1D-myo-inositol-1,4P2"
"STATE_TRANSITION"	"re143"	NA	FALSE	FALSE	"s8265"	"s8263"	"1D-myo-inositol-4P"	"myo-inositol"	"1D-myo-inositol-4P = myo-inositol"
