"rxnID"	"name"	"specie"	"id"	"type"	"MetaID"	"note"
"r_1170"	"sn-glycero-3-phosphocholine[e]"	"s125"	"sa189"	"reactant"	"CDMT0000189"	"base"
"r_1170"	"sn-glycero-3-phosphocholine[c]"	"s126"	"sa190"	"product"	"CDMT0000190"	"base"
"r_1171"	"glycerol[e]"	"s127"	"sa191"	"reactant"	"CDMT0000191"	"base"
"r_1171"	"H+[e]"	"s23"	"sa192"	"reactant"	"CDMT0000192"	""
"r_1171"	"glycerol[c]"	"s128"	"sa193"	"product"	"CDMT0000193"	"base"
"r_1171"	"H+[c]"	"s6"	"sa194"	"product"	"CDMT0000194"	""
"r_1172"	"glycerol[c]"	"s128"	"sa195"	"reactant"	"CDMT0000195"	"base"
"r_1172"	"glycerol[e]"	"s127"	"sa196"	"product"	"CDMT0000196"	"base"
"r_1173"	"H+[e]"	"s23"	"sa197"	"reactant"	"CDMT0000197"	""
"r_1173"	"L-glycine[e]"	"s129"	"sa198"	"reactant"	"CDMT0000198"	"base"
"r_1173"	"H+[c]"	"s6"	"sa199"	"product"	"CDMT0000199"	""
"r_1173"	"L-glycine[c]"	"s130"	"sa200"	"product"	"CDMT0000200"	"base"
"r_1174"	"glycogen[c]"	"s131"	"sa201"	"reactant"	"CDMT0000201"	"base"
"r_1174"	"glycogen[v]"	"s132"	"sa202"	"product"	"CDMT0000202"	"base"
"r_1175"	"GDP[m]"	"s133"	"sa203"	"reactant"	"CDMT0000203"	"base"
"r_1175"	"GTP[c]"	"s134"	"sa204"	"reactant"	"CDMT0000204"	""
"r_1175"	"H+[c]"	"s6"	"sa205"	"reactant"	"CDMT0000205"	""
"r_1175"	"GDP[c]"	"s135"	"sa206"	"product"	"CDMT0000206"	"base"
"r_1175"	"GTP[m]"	"s136"	"sa207"	"product"	"CDMT0000207"	""
"r_1175"	"H+[m]"	"s86"	"sa208"	"product"	"CDMT0000208"	""
"r_1176"	"guanine[e]"	"s137"	"sa209"	"reactant"	"CDMT0000209"	"base"
"r_1176"	"H+[e]"	"s23"	"sa210"	"reactant"	"CDMT0000210"	""
"r_1176"	"guanine[c]"	"s138"	"sa211"	"product"	"CDMT0000211"	"base"
"r_1176"	"H+[c]"	"s6"	"sa212"	"product"	"CDMT0000212"	""
"r_1177"	"H+[e]"	"s23"	"sa213"	"reactant"	"CDMT0000213"	""
"r_1177"	"myo-inositol[e]"	"s139"	"sa214"	"reactant"	"CDMT0000214"	"base"
"r_1177"	"H+[c]"	"s6"	"sa215"	"product"	"CDMT0000215"	""
"r_1177"	"myo-inositol[c]"	"s140"	"sa216"	"product"	"CDMT0000216"	"base"
"r_1178"	"iron(2+)[e]"	"s141"	"sa217"	"reactant"	"CDMT0000217"	"base"
"r_1178"	"iron(2+)[c]"	"s142"	"sa218"	"product"	"CDMT0000218"	"base"
"r_1179"	"iron(2+)[c]"	"s142"	"sa219"	"reactant"	"CDMT0000219"	"base"
"r_1179"	"iron(2+)[m]"	"s143"	"sa220"	"product"	"CDMT0000220"	"base"
"r_1180"	"isoamyl acetate[c]"	"s144"	"sa221"	"reactant"	"CDMT0000221"	"base"
"r_1180"	"isoamyl acetate[e]"	"s145"	"sa222"	"product"	"CDMT0000222"	"base"
"r_1181"	"isobutyl acetate[c]"	"s146"	"sa223"	"reactant"	"CDMT0000223"	"base"
"r_1181"	"isobutyl acetate[e]"	"s147"	"sa224"	"product"	"CDMT0000224"	"base"
"r_1182"	"isopentenyl diphosphate[c]"	"s148"	"sa225"	"reactant"	"CDMT0000225"	"base"
"r_1182"	"isopentenyl diphosphate[m]"	"s149"	"sa226"	"product"	"CDMT0000226"	"base"
"r_1183"	"H+[e]"	"s23"	"sa227"	"reactant"	"CDMT0000227"	""
"r_1183"	"L-alanine[e]"	"s150"	"sa228"	"reactant"	"CDMT0000228"	"base"
"r_1183"	"H+[c]"	"s6"	"sa229"	"product"	"CDMT0000229"	""
"r_1183"	"L-alanine[c]"	"s151"	"sa230"	"product"	"CDMT0000230"	"base"
"r_1184"	"H+[e]"	"s23"	"sa231"	"reactant"	"CDMT0000231"	""
"r_1184"	"L-arginine[e]"	"s152"	"sa232"	"reactant"	"CDMT0000232"	"base"
"r_1184"	"H+[c]"	"s6"	"sa233"	"product"	"CDMT0000233"	""
"r_1184"	"L-arginine[c]"	"s153"	"sa234"	"product"	"CDMT0000234"	"base"
"r_1185"	"H+[v]"	"s154"	"sa235"	"reactant"	"CDMT0000235"	""
"r_1185"	"L-arginine[c]"	"s153"	"sa236"	"reactant"	"CDMT0000236"	"base"
"r_1185"	"H+[c]"	"s6"	"sa237"	"product"	"CDMT0000237"	""
"r_1185"	"L-arginine[v]"	"s155"	"sa238"	"product"	"CDMT0000238"	"base"
"r_1186"	"H+[e]"	"s23"	"sa239"	"reactant"	"CDMT0000239"	""
"r_1186"	"L-asparagine[e]"	"s156"	"sa240"	"reactant"	"CDMT0000240"	"base"
"r_1186"	"H+[c]"	"s6"	"sa241"	"product"	"CDMT0000241"	""
"r_1186"	"L-asparagine[c]"	"s157"	"sa242"	"product"	"CDMT0000242"	"base"
"r_1187"	"H+[v]"	"s154"	"sa243"	"reactant"	"CDMT0000243"	""
"r_1187"	"L-asparagine[c]"	"s157"	"sa244"	"reactant"	"CDMT0000244"	"base"
"r_1187"	"H+[c]"	"s6"	"sa245"	"product"	"CDMT0000245"	""
"r_1187"	"L-asparagine[v]"	"s158"	"sa246"	"product"	"CDMT0000246"	"base"
"r_1188"	"H+[v]"	"s154"	"sa247"	"reactant"	"CDMT0000247"	""
"r_1188"	"L-asparagine[v]"	"s158"	"sa248"	"reactant"	"CDMT0000248"	"base"
"r_1188"	"H+[c]"	"s6"	"sa249"	"product"	"CDMT0000249"	""
"r_1188"	"L-asparagine[c]"	"s157"	"sa250"	"product"	"CDMT0000250"	"base"
"r_1189"	"H+[v]"	"s154"	"sa251"	"reactant"	"CDMT0000251"	""
"r_1189"	"L-aspartate[v]"	"s159"	"sa252"	"reactant"	"CDMT0000252"	"base"
"r_1189"	"H+[c]"	"s6"	"sa253"	"product"	"CDMT0000253"	""
"r_1189"	"L-aspartate[c]"	"s56"	"sa254"	"product"	"CDMT0000254"	"base"
"r_1190"	"H+[e]"	"s23"	"sa255"	"reactant"	"CDMT0000255"	""
"r_1190"	"L-aspartate[e]"	"s160"	"sa256"	"reactant"	"CDMT0000256"	"base"
"r_1190"	"H+[c]"	"s6"	"sa257"	"product"	"CDMT0000257"	""
"r_1190"	"L-aspartate[c]"	"s56"	"sa258"	"product"	"CDMT0000258"	"base"
"r_1191"	"(R)-carnitine[e]"	"s161"	"sa259"	"reactant"	"CDMT0000259"	"base"
"r_1191"	"(R)-carnitine[c]"	"s62"	"sa260"	"product"	"CDMT0000260"	"base"
"r_1192"	"H+[e]"	"s23"	"sa261"	"reactant"	"CDMT0000261"	""
"r_1192"	"L-cysteine[e]"	"s162"	"sa262"	"reactant"	"CDMT0000262"	"base"
"r_1192"	"H+[c]"	"s6"	"sa263"	"product"	"CDMT0000263"	""
"r_1192"	"L-cysteine[c]"	"s163"	"sa264"	"product"	"CDMT0000264"	"base"
"r_1193"	"H+[v]"	"s154"	"sa265"	"reactant"	"CDMT0000265"	""
"r_1193"	"L-cystine[v]"	"s164"	"sa266"	"reactant"	"CDMT0000266"	"base"
"r_1193"	"H+[c]"	"s6"	"sa267"	"product"	"CDMT0000267"	""
"r_1193"	"L-cystine[c]"	"s165"	"sa268"	"product"	"CDMT0000268"	"base"
"r_1194"	"L-glutamate[c]"	"s55"	"sa269"	"reactant"	"CDMT0000269"	"base"
"r_1194"	"L-glutamate[m]"	"s57"	"sa270"	"product"	"CDMT0000270"	"base"
"r_1195"	"H+[v]"	"s154"	"sa271"	"reactant"	"CDMT0000271"	""
"r_1195"	"L-glutamate[v]"	"s166"	"sa272"	"reactant"	"CDMT0000272"	"base"
"r_1195"	"H+[c]"	"s6"	"sa273"	"product"	"CDMT0000273"	""
"r_1195"	"L-glutamate[c]"	"s55"	"sa274"	"product"	"CDMT0000274"	"base"
"r_1196"	"H+[e]"	"s23"	"sa275"	"reactant"	"CDMT0000275"	""
"r_1196"	"L-glutamate[e]"	"s167"	"sa276"	"reactant"	"CDMT0000276"	"base"
"r_1196"	"H+[c]"	"s6"	"sa277"	"product"	"CDMT0000277"	""
"r_1196"	"L-glutamate[c]"	"s55"	"sa278"	"product"	"CDMT0000278"	"base"
"r_1197"	"H+[v]"	"s154"	"sa279"	"reactant"	"CDMT0000279"	""
"r_1197"	"L-glutamine[c]"	"s168"	"sa280"	"reactant"	"CDMT0000280"	"base"
"r_1197"	"H+[c]"	"s6"	"sa281"	"product"	"CDMT0000281"	""
"r_1197"	"L-glutamine[v]"	"s169"	"sa282"	"product"	"CDMT0000282"	"base"
"r_1198"	"H+[v]"	"s154"	"sa283"	"reactant"	"CDMT0000283"	""
"r_1198"	"L-glutamine[v]"	"s169"	"sa284"	"reactant"	"CDMT0000284"	"base"
"r_1198"	"H+[c]"	"s6"	"sa285"	"product"	"CDMT0000285"	""
"r_1198"	"L-glutamine[c]"	"s168"	"sa286"	"product"	"CDMT0000286"	"base"
"r_1199"	"H+[e]"	"s23"	"sa287"	"reactant"	"CDMT0000287"	""
"r_1199"	"L-glutamine[e]"	"s170"	"sa288"	"reactant"	"CDMT0000288"	"base"
"r_1199"	"H+[c]"	"s6"	"sa289"	"product"	"CDMT0000289"	""
"r_1199"	"L-glutamine[c]"	"s168"	"sa290"	"product"	"CDMT0000290"	"base"
"r_1200"	"H+[v]"	"s154"	"sa291"	"reactant"	"CDMT0000291"	""
"r_1200"	"L-histidine[c]"	"s171"	"sa292"	"reactant"	"CDMT0000292"	"base"
"r_1200"	"H+[c]"	"s6"	"sa293"	"product"	"CDMT0000293"	""
"r_1200"	"L-histidine[v]"	"s172"	"sa294"	"product"	"CDMT0000294"	"base"
"r_1201"	"H+[e]"	"s23"	"sa295"	"reactant"	"CDMT0000295"	""
"r_1201"	"L-histidine[e]"	"s173"	"sa296"	"reactant"	"CDMT0000296"	"base"
