"query"	"ko"	"orginal_s288c"
"47-RTM1-R.14851-"	""	NA
"48-MPR1-R.14847-"	""	NA
"49-MEL1-R.14846-"	"K07407"	NA
"50-BIO6-R.8578-"	"K00833"	"YNR058W"
"58-augustus_masked-11091-BAF_6"	"K12160"	"YDR510W"
"59-augustus_masked-1113-BMC_1"	""	NA
"60-augustus_masked-11172-CPM_4"	""	NA
"61-augustus_masked-11216-CPN_4"	""	NA
"62-augustus_masked-11537-CPG_1"	"K09184"	"YFL021W;YER040W;YKR034W;YJL110C"
"63-augustus_masked-11538-CPG_1"	""	NA
"64-augustus_masked-11538-CPG_1"	"K00382"	"YPL017C;YFL018C"
"65-augustus_masked-11538-CPG_1"	"K00621"	"YFL017C"
"66-augustus_masked-11538-CPG_1"	"K03686"	"YFL016C"
"67-augustus_masked-11588-BAL_7"	""	NA
"68-augustus_masked-11590-BAL_7"	""	NA
"69-augustus_masked-11590-BAL_7"	""	NA
"70-augustus_masked-11626-ASB_2"	"K17437"	"YLR312W-A"
"71-augustus_masked-11626-ASB_2"	"K16944"	"YLR314C"
"72-augustus_masked-1166-YCM"	""	NA
"73-augustus_masked-1166-YCM"	"K05275"	"YPR127W"
"74-augustus_masked-11951-BDM_5"	""	NA
"75-augustus_masked-11951-BDM_5"	"K03448"	"YCR028C"
"76-augustus_masked-11960-BDM_5"	"K22211"	NA
"77-augustus_masked-11963-BDM_5"	""	NA
"78-augustus_masked-1197-YCM"	""	NA
"79-augustus_masked-11976-ANL_2"	""	NA
"80-augustus_masked-12142-CPK_4"	""	NA
"81-augustus_masked-1220-ANM_2"	"K03446"	NA
"82-augustus_masked-12212-ALI_5"	"K06654"	"YOL001W"
"83-augustus_masked-12212-ALI_5"	"K14709"	"YLR130C;YGL255W"
"84-augustus_masked-12212-ALI_5"	"K06911"	NA
"85-augustus_masked-12217-ALI_5"	""	NA
"86-augustus_masked-1224-ANM_2"	""	NA
"87-augustus_masked-125-YCE"	"K07034"	"YCR010C;YDR384C;YNR002C"
"88-augustus_masked-125-YCE"	"K01426"	"YDR242W"
"89-augustus_masked-125-YCE"	""	NA
"90-augustus_masked-1265-AHB_2"	"K01182"	"YGR287C;YOL157C;YIL172C;YJL221C;YBR299W;YGR292W;YJL216C"
"91-augustus_masked-1266-AHB_2"	""	NA
"92-augustus_masked-1266-AHB_2"	"K16938"	"YCR002C"
"93-augustus_masked-1266-AHB_2"	"K01647"	"YCR005C;YNR001C;YPR001W"
"94-augustus_masked-1285-AHB_2"	""	NA
"95-augustus_masked-1364-CFF_4"	""	NA
"96-augustus_masked-1372-CFF_4"	""	NA
"97-augustus_masked-1375-CFF_4"	""	NA
"98-augustus_masked-1375-CFF_4"	""	NA
"99-augustus_masked-1375-CFF_4"	""	NA
"100-augustus_masked-1375-CFF_4"	"K01193"	"YIL162W"
"101-augustus_masked-1375-CFF_4"	"K17989"	"YCL064C"
"102-augustus_masked-1433-AAT_3"	""	NA
"103-augustus_masked-1449-AAT_3"	""	NA
"104-augustus_masked-1452-AAT_3"	"K01689"	"YMR323W;YGR254W;YHR174W;YOR393W;YPL281C"
"105-augustus_masked-1454-AAT_3"	""	NA
"106-augustus_masked-1568-CBK_4"	""	NA
"107-augustus_masked-1645-AQT_4"	""	NA
"108-augustus_masked-1649-AIE_1"	"K01637"	"YPR006C;YER065C"
"109-augustus_masked-1649-AIE_1"	""	NA
"110-augustus_masked-1649-AIE_1"	"K06117"	"YER062C"
"111-augustus_masked-1649-AIE_1"	"K09458"	"YER061C"
"112-augustus_masked-1649-AIE_1"	""	NA
"113-augustus_masked-1649-AIE_1"	"K18732"	"YER063W"
"114-augustus_masked-1654-AIE_1"	""	NA
"115-augustus_masked-1654-AIE_1"	"K01698"	"YGL040C"
"116-augustus_masked-1659-AIE_1"	"K21618"	"YDL178W;YEL071W"
"117-augustus_masked-1659-AIE_1"	""	NA
"118-augustus_masked-1661-AIE_1"	"K09680"	"YDR531W"
"119-augustus_masked-1663-AIE_1"	""	NA
"120-augustus_masked-1671-AIE_1"	""	NA
"121-augustus_masked-1683-AIE_1"	""	NA
"122-augustus_masked-1684-AIE_1"	""	NA
"123-augustus_masked-1685-AIE_1"	""	NA
"124-augustus_masked-1688-AIE_1"	""	NA
"125-augustus_masked-1689-AIE_1"	"K01184"	"YJR153W"
"126-augustus_masked-1689-AIE_1"	""	NA
"127-augustus_masked-1689-AIE_1"	""	NA
"128-augustus_masked-1697-AIE_1"	""	NA
"129-augustus_masked-1697-AIE_1"	"K11232"	"YDL235C"
"130-augustus_masked-1697-AIE_1"	"K01487"	"YDL238C"
"131-augustus_masked-1697-AIE_1"	""	NA
"132-augustus_masked-1697-AIE_1"	""	NA
"133-augustus_masked-1698-AIE_1"	""	NA
"134-augustus_masked-1700-AIE_1"	""	NA
"135-augustus_masked-1700-AIE_1"	"K18158"	"YPR155C"
"136-augustus_masked-1700-AIE_1"	""	NA
"137-augustus_masked-1700-AIE_1"	""	NA
"138-augustus_masked-1700-AIE_1"	""	NA
"139-augustus_masked-1700-AIE_1"	""	NA
"140-augustus_masked-1700-AIE_1"	""	NA
"141-augustus_masked-1706-AIE_1"	""	NA
"142-augustus_masked-1731-ATP_4"	""	NA
"143-augustus_masked-175-YCE"	""	NA
"144-augustus_masked-182-ABQ_6"	"K19272"	NA
"145-augustus_masked-1903-CLC_4"	""	NA
"146-augustus_masked-1981-YCU"	""	NA
"147-augustus_masked-1985-AID_2"	""	NA
"148-augustus_masked-1999-AID_2"	""	NA
"149-augustus_masked-2075-ARN_6"	""	NA
"150-augustus_masked-2075-ARN_6"	"K00863"	"YML070W;YFL053W"
"151-augustus_masked-2075-ARN_6"	"K10080"	"YLR080W;YFL048C"
"152-augustus_masked-2075-ARN_6"	""	NA
"153-augustus_masked-2075-ARN_6"	""	NA
"154-augustus_masked-2075-ARN_6"	"K11776"	"YFL049W"
"155-augustus_masked-2075-ARN_6"	""	NA
"156-augustus_masked-2151-BRV_4"	""	NA
"157-augustus_masked-2154-BRV_4"	""	NA
"158-augustus_masked-2154-BRV_4"	""	NA
"159-augustus_masked-2209-ABD_5"	""	NA
"160-augustus_masked-223-BFM_3"	""	NA
"161-augustus_masked-2311-AKE_3"	""	NA
"162-augustus_masked-2356-ARB_2"	""	NA
"163-augustus_masked-2357-ARB_2"	""	NA
"164-augustus_masked-2357-ARB_2"	"K00090"	NA
"165-augustus_masked-2358-ARB_2"	"K14454"	"YLR027C"
"166-augustus_masked-2358-ARB_2"	"K16261"	"YDR160W;YDR508C;YBR068C;YBR069C;YBR132C;YEL063C;YCL025C;YFL055W;YGR191W;YKR039W;YLL061W;YNL268W;YNL270C;YOL020W;YOR348C;YPL265W;YPL274W"
"167-augustus_masked-237-BFM_3"	""	NA
"168-augustus_masked-2370-ARB_2"	""	NA
"169-augustus_masked-2392-BTV_5"	""	NA
"170-augustus_masked-2392-BTV_5"	"K01760"	"YFR055W;YGL184C"
"171-augustus_masked-244-BFM_3"	""	NA
"172-augustus_masked-253-BFM_3"	""	NA
"173-augustus_masked-2546-BAD_8"	""	NA
"174-augustus_masked-2591-YAA"	""	NA
"175-augustus_masked-2782-CPI_4"	""	NA
"176-augustus_masked-2799-CPI_4"	"K20456"	"YAR042W;YDL019C"
"177-augustus_masked-2802-CPI_4"	""	NA
"178-augustus_masked-2804-CPI_4"	"K13939"	"YNL256W"
"179-augustus_masked-2806-CPI_4"	"K00826"	"YHR208W;YJR148W"
"180-augustus_masked-2809-CPI_4"	""	NA
"181-augustus_masked-2810-CPI_4"	""	NA
"182-augustus_masked-2811-CPI_4"	""	NA
"183-augustus_masked-2811-CPI_4"	""	NA
"184-augustus_masked-2814-CPI_4"	""	NA
"185-augustus_masked-2814-CPI_4"	"K19788"	"YBR025C;YHL014C"
"186-augustus_masked-2814-CPI_4"	"K18342"	"YHL013C"
"187-augustus_masked-2814-CPI_4"	"K00948"	"YOL061W;YHL011C;YER099C;YBL068W;YKL181W"
"188-augustus_masked-2814-CPI_4"	"K10632"	"YHL010C"
"189-augustus_masked-2814-CPI_4"	"K09043"	"YML007W;YDR423C;YPR199C;YIR018W;YHL009C;YOL028C;YOR028C;YDR259C"
"190-augustus_masked-2843-CPI_4"	""	NA
"191-augustus_masked-2848-CPI_4"	""	NA
"192-augustus_masked-2854-CPI_4"	""	NA
"193-augustus_masked-2860-CPI_4"	"K14708"	"YBR294W;YLR092W"
"194-augustus_masked-2860-CPI_4"	""	NA
"195-augustus_masked-2861-CPI_4"	""	NA
"196-augustus_masked-2861-CPI_4"	""	NA
"197-augustus_masked-2861-CPI_4"	""	NA
"198-augustus_masked-2861-CPI_4"	""	NA
"199-augustus_masked-2861-CPI_4"	"K02867"	"YNL185C"
"200-augustus_masked-2861-CPI_4"	""	NA
"201-augustus_masked-2861-CPI_4"	"K00698"	"YNL192W;YBR023C;YBR038W"
"202-augustus_masked-2866-CPI_4"	"K00354"	"YHR179W;YPL171C"
"203-augustus_masked-2870-CLM_4"	""	NA
"204-augustus_masked-2970-AEE_3"	""	NA
"205-augustus_masked-3001-BGP_1"	"K16073"	"YOL130W;YKL064W;YFL050C"
"206-augustus_masked-3085-AHL_3"	"K05293"	"YLR459W"
"207-augustus_masked-3085-AHL_3"	""	NA
"208-augustus_masked-3088-AHL_3"	""	NA
"209-augustus_masked-310-ALB_3"	""	NA
"210-augustus_masked-3103-AHL_3"	""	NA
"211-augustus_masked-3105-AHL_3"	""	NA
"212-augustus_masked-3105-AHL_3"	""	NA
"213-augustus_masked-314-ALB_3"	""	NA
"214-augustus_masked-3210-CEH_4"	""	NA
"215-augustus_masked-3286-BHG_2"	""	NA
"216-augustus_masked-3344-CLG_4"	""	NA
"217-augustus_masked-339-ALB_3"	""	NA
"218-augustus_masked-339-ALB_3"	"K04567"	"YDR037W;YNL073W"
"219-augustus_masked-340-ALB_3"	""	NA
"220-augustus_masked-345-ALB_3"	""	NA
"221-augustus_masked-3523-CFG_4"	""	NA
"222-augustus_masked-36-ARV_6"	""	NA
"223-augustus_masked-3612-CNG_4"	""	NA
"224-augustus_masked-365-YDJ"	""	NA
"225-augustus_masked-3859-CMG_6"	"K00633"	NA
"226-augustus_masked-3859-CMG_6"	""	NA
"227-augustus_masked-3919-CCQ_1"	"K22369"	NA
"228-augustus_masked-4176-BEK_7"	""	NA
"229-augustus_masked-4305-BND_3"	""	NA
"230-augustus_masked-4431-BFP_3"	""	NA
"231-augustus_masked-4576-BGM_1"	"K18752"	NA
"232-augustus_masked-4658-BEB_6_C37T3ACXX.IND41b"	""	NA
"233-augustus_masked-4747-CNV_4"	""	NA
"234-augustus_masked-4747-CNV_4"	""	NA
"235-augustus_masked-4747-CNV_4"	""	NA
"236-augustus_masked-4748-CNV_4"	""	NA
"237-augustus_masked-4776-BCQ_8"	"K00633"	NA
"238-augustus_masked-4776-BCQ_8"	""	NA
"239-augustus_masked-479-AFG_4"	""	NA
"240-augustus_masked-4803-CPS_4"	""	NA
"241-augustus_masked-4866-BCP_8"	""	NA
"242-augustus_masked-4866-BCP_8"	""	NA
"243-augustus_masked-4867-BCP_8"	""	NA
"244-augustus_masked-4896-BLT_2"	""	NA
"245-augustus_masked-4896-BLT_2"	""	NA
"246-augustus_masked-4896-BLT_2"	"K01469"	"YKL215C"
"247-augustus_masked-4896-BLT_2"	"K00015"	"YNL274C"
"248-augustus_masked-4896-BLT_2"	""	NA
"249-augustus_masked-4896-BLT_2"	""	NA
"250-augustus_masked-4896-BLT_2"	"K14454"	"YLR027C"
"251-augustus_masked-515-ADN_4"	""	NA
"252-augustus_masked-516-ADN_4"	""	NA
"253-augustus_masked-5248-CIL_2"	"K17971"	"YIL159W"
"254-augustus_masked-5425-CDT_2"	"K16261"	"YDR160W;YDR508C;YBR068C;YBR069C;YBR132C;YEL063C;YCL025C;YFL055W;YGR191W;YKR039W;YLL061W;YNL268W;YNL270C;YOL020W;YOR348C;YPL265W;YPL274W"
"255-augustus_masked-5427-CDT_2"	"K11367"	"YER164W"
"256-augustus_masked-5427-CDT_2"	"K15193"	"YER161C"
"257-augustus_masked-5427-CDT_2"	"K07232"	"YER163C"
"258-augustus_masked-5430-CDT_2"	""	NA
"259-augustus_masked-5430-CDT_2"	"K12488"	"YDR524C"
"260-augustus_masked-5430-CDT_2"	""	NA
"261-augustus_masked-5430-CDT_2"	""	NA
"262-augustus_masked-5430-CDT_2"	"K09569"	"YDR519W"
"263-augustus_masked-5432-CDT_2"	""	NA
"264-augustus_masked-5482-AQA_4"	"K01817"	"YDR007W"
"265-augustus_masked-5486-AQA_4"	""	NA
"266-augustus_masked-5486-AQA_4"	""	NA
"267-augustus_masked-5487-AQA_4"	""	NA
"268-augustus_masked-5488-AQA_4"	"K10958"	"YDR004W"
"269-augustus_masked-5488-AQA_4"	"K15306"	"YDR002W"
"270-augustus_masked-5489-AQA_4"	""	NA
"271-augustus_masked-5495-AQA_4"	"K00062"	"YMR041C"
"272-augustus_masked-5495-AQA_4"	"K04569"	"YMR038C"
"273-augustus_masked-5495-AQA_4"	"K02555"	"YMR036C"
"274-augustus_masked-5497-AQA_4"	""	NA
"275-augustus_masked-55-ARV_6"	""	NA
"276-augustus_masked-5742-AVQ_5"	""	NA
"277-augustus_masked-579-ASC_6"	""	NA
"278-augustus_masked-614-ASC_6"	""	NA
"279-augustus_masked-6368-YDG"	""	NA
"280-augustus_masked-6407-CDN_4"	""	NA
"281-augustus_masked-6423-BAK_7"	""	NA
"282-augustus_masked-647-BBP_3"	""	NA
"283-augustus_masked-6503-ADE_2"	""	NA
"284-augustus_masked-6510-ADE_2"	""	NA
"285-augustus_masked-6649-CPA_4"	""	NA
"286-augustus_masked-6649-CPA_4"	""	NA
"287-augustus_masked-6649-CPA_4"	""	NA
"288-augustus_masked-6650-CPA_4"	"K03441"	"YFL054C;YLL043W"
"289-augustus_masked-6667-CPA_4"	""	NA
"290-augustus_masked-6668-CPA_4"	""	NA
"291-augustus_masked-6738-ATQ_7"	""	NA
"292-augustus_masked-6738-ATQ_7"	""	NA
"293-augustus_masked-6738-ATQ_7"	"K01238"	"YKR042W;YNL066W;YIL123W"
"294-augustus_masked-6739-ATQ_7"	""	NA
"295-augustus_masked-68-ARV_6"	""	NA
"296-augustus_masked-6810-YDO"	""	NA
"297-augustus_masked-7012-CFC_2"	"K14845"	"YGL246C"
"298-augustus_masked-7012-CFC_2"	"K01251"	"YER043C"
"299-augustus_masked-7012-CFC_2"	""	NA
"300-augustus_masked-7012-CFC_2"	"K07304"	"YER042W"
"301-augustus_masked-7012-CFC_2"	"K19985"	"YGL233W"
"302-augustus_masked-7012-CFC_2"	"K15428"	"YFR044C"
"303-augustus_masked-7012-CFC_2"	"K11788"	"YGL234W"
"304-augustus_masked-7012-CFC_2"	"K03357"	"YGL240W"
"305-augustus_masked-7012-CFC_2"	"K00767"	"YFR047C"
"306-augustus_masked-7012-CFC_2"	"K20224"	"YGL241W"
"307-augustus_masked-7012-CFC_2"	"K15178"	"YGL244W"
"308-augustus_masked-7012-CFC_2"	""	NA
"309-augustus_masked-7012-CFC_2"	"K06867"	"YCR051W;YGL242C;YIL001W;YIL112W;YIR033W;YKL020C;YMR068W;YPL239W;YPR089W"
"310-augustus_masked-705-YCN"	""	NA
"311-augustus_masked-712-YCN"	""	NA
"312-augustus_masked-740-YCN"	""	NA
"313-augustus_masked-752-BKQ_2"	""	NA
"314-augustus_masked-758-BKQ_2"	"K08158"	"YBR008C"
"315-augustus_masked-7597-CPQ_4"	""	NA
"316-augustus_masked-7604-CPQ_4"	"K11239"	"YDR103W"
"317-augustus_masked-7604-CPQ_4"	""	NA
"318-augustus_masked-7605-CPQ_4"	"K16261"	"YDR160W;YDR508C;YBR068C;YBR069C;YBR132C;YEL063C;YCL025C;YFL055W;YGR191W;YKR039W;YLL061W;YNL268W;YNL270C;YOL020W;YOR348C;YPL265W;YPL274W"
"319-augustus_masked-7606-CPQ_4"	""	NA
"320-augustus_masked-7607-CPQ_4"	"K03037"	"YPR108W"
"321-augustus_masked-7608-CPQ_4"	""	NA
"322-augustus_masked-7610-CPQ_4"	""	NA
"323-augustus_masked-7610-CPQ_4"	"K20305"	"YDR108W"
"324-augustus_masked-7614-CPQ_4"	""	NA
"325-augustus_masked-7614-CPQ_4"	""	NA
"326-augustus_masked-7614-CPQ_4"	"K11839"	"YDR069C;YER144C"
"327-augustus_masked-7614-CPQ_4"	"K18046"	"YDR067C"
"328-augustus_masked-7614-CPQ_4"	"K10957"	"YDR076W"
"329-augustus_masked-7614-CPQ_4"	"K15423"	"YDR075W"
"330-augustus_masked-7614-CPQ_4"	"K16055"	"YML100W;YDR074W;YMR261C"
"331-augustus_masked-7614-CPQ_4"	""	NA
"332-augustus_masked-7614-CPQ_4"	""	NA
"333-augustus_masked-7614-CPQ_4"	"K14832"	"YDR060W"
"334-augustus_masked-7615-CPQ_4"	""	NA
"335-augustus_masked-7617-CPQ_4"	"K20184"	"YDR080W"
"336-augustus_masked-7617-CPQ_4"	""	NA
"337-augustus_masked-7617-CPQ_4"	""	NA
"338-augustus_masked-7617-CPQ_4"	""	NA
"339-augustus_masked-7617-CPQ_4"	"K14849"	"YDR087C"
"340-augustus_masked-7617-CPQ_4"	""	NA
"341-augustus_masked-7617-CPQ_4"	"K06174"	"YDR091C"
"342-augustus_masked-770-BSG_4"	""	NA
"343-augustus_masked-772-BSG_4"	""	NA
"344-augustus_masked-774-BSG_4"	""	NA
"345-augustus_masked-774-BSG_4"	"K00002"	"YCR105W;YMR318C"
"346-augustus_masked-779-BSG_4"	"K01426"	"YDR242W"
"347-augustus_masked-779-BSG_4"	""	NA
"348-augustus_masked-779-BSG_4"	"K07034"	"YCR010C;YDR384C;YNR002C"
"349-augustus_masked-779-BSG_4"	""	NA
"350-augustus_masked-779-BSG_4"	""	NA
"351-augustus_masked-7810-APQ_4"	""	NA
"352-augustus_masked-7951-AMM_4"	""	NA
"353-augustus_masked-7951-AMM_4"	""	NA
"354-augustus_masked-7951-AMM_4"	""	NA
"355-augustus_masked-7976-AMM_4"	""	NA
"356-augustus_masked-815-CAS_1_AC1LP.IND6"	""	NA
"357-augustus_masked-824-YDL"	""	NA
"358-augustus_masked-8488-AQD_4"	""	NA
"359-augustus_masked-8489-AQD_4"	"K08139"	"YDL245C;YDR342C;YDR343C;YDR345C;YEL069C;YFL011W;YHR092C;YHR094C;YHR096C;YJL214W;YJL219W;YJR158W;YLR081W;YMR011W;YNR072W;YOL156W;YDL138W;YDL194W"
"360-augustus_masked-858-BGT_2"	""	NA
"361-augustus_masked-863-BGT_2"	""	NA
"362-augustus_masked-868-BGT_2"	""	NA
"363-augustus_masked-877-BGT_2"	"K01784"	"YBR019C"
"364-augustus_masked-877-BGT_2"	"K00965"	"YBR018C"
"365-augustus_masked-8812-CQS_4"	""	NA
"366-augustus_masked-8812-CQS_4"	"K11493"	"YGL097W"
"367-augustus_masked-8846-CQS_4"	""	NA
"368-augustus_masked-8846-CQS_4"	""	NA
"369-augustus_masked-8850-CQS_4"	""	NA
"370-augustus_masked-8850-CQS_4"	"K00633"	NA
"371-augustus_masked-8850-CQS_4"	""	NA
"372-augustus_masked-8851-CQS_4"	""	NA
"373-augustus_masked-893-BGT_2"	""	NA
"374-augustus_masked-9019-CEI_2"	""	NA
"375-augustus_masked-9019-CEI_2"	"K22746"	NA
"376-augustus_masked-9019-CEI_2"	"K17806"	"YKR065C"
"377-augustus_masked-9019-CEI_2"	"K00589"	"YKR069W"
"378-augustus_masked-9019-CEI_2"	"K13507"	"YKR067W;YBL011W"
"379-augustus_masked-905-BDN_5"	""	NA
"380-augustus_masked-932-BDN_5"	""	NA
"381-augustus_masked-9671-CGD_5"	""	NA
"382-augustus_masked-969-AFD_4"	""	NA
"383-augustus_masked-969-AFD_4"	""	NA
"384-augustus_masked-986-AFD_4"	""	NA
"385-augustus_masked-9880-CPR_4"	""	NA
"386-augustus_masked-9884-CPR_4"	""	NA
"387-augustus_masked-9885-CPR_4"	"K00223"	"YGL012W"
"388-augustus_masked-9889-CPR_4"	"K01889"	"YPR047W;YFL022C"
"389-augustus_masked-9889-CPR_4"	""	NA
"390-augustus_masked-9892-CPR_4"	"K01537"	"YGL167C;YGL006W"
"391-augustus_masked-9892-CPR_4"	"K11324"	"YGR002C"
"392-augustus_masked-9892-CPR_4"	"K03869"	"YGR003W"
"393-augustus_masked-9892-CPR_4"	"K12817"	"YGR006W"
"394-augustus_masked-9892-CPR_4"	"K00967"	"YGR007W"
"395-augustus_masked-9892-CPR_4"	"K06210"	"YLR328W;YGR010W"
"396-augustus_masked-9894-CPR_4"	""	NA
"397-augustus_masked-9894-CPR_4"	"K09885"	"YLL052C;YLL053C;YPR192W"
"398-augustus_masked-990-AFD_4"	"K03186"	"YDR538W"
"399-augustus_masked-990-AFD_4"	"K20039"	"YDR539W"
"400-augustus_masked-990-AFD_4"	""	NA
"401-augustus_masked-9901-CPR_4"	""	NA
"402-augustus_masked-9901-CPR_4"	"K09467"	"YGL035C;YER028C;YGL209W"
"403-augustus_masked-9901-CPR_4"	"K14822"	"YGL029W"
"404-augustus_masked-9902-CPR_4"	""	NA
"405-augustus_masked-9902-CPR_4"	""	NA
"406-augustus_masked-9902-CPR_4"	""	NA
"407-augustus_masked-9902-CPR_4"	"K17759"	"YNL200C"
"408-augustus_masked-9905-CPR_4"	"K08342"	"YNL223W"
"409-augustus_masked-9905-CPR_4"	""	NA
"410-augustus_masked-9906-CPR_4"	"K02151"	"YGR020C"
"411-augustus_masked-9907-CPR_4"	""	NA
"412-augustus_masked-9907-CPR_4"	"K10761"	"YGR024C"
"413-augustus_masked-9908-CPR_4"	""	NA
"414-augustus_masked-9908-CPR_4"	""	NA
"415-augustus_masked-9908-CPR_4"	""	NA
"416-augustus_masked-9908-CPR_4"	"K07252"	"YGR036C"
"417-augustus_masked-9909-CPR_4"	"K14016"	"YGR048W"
"418-augustus_masked-9909-CPR_4"	""	NA
"419-augustus_masked-9909-CPR_4"	"K08286"	"YLR248W;YGR052W;YJL057C;YKL116C;YKL171W;YMR291W;YNR047W;YOL045W;YOL128C;YOR233W;YCR008W;YHR102W;YJL165C;YJR059W;YKL168C;YKL198C;YBR059C;YCR091W;YGL158W;YHR082C;YNL161W;YAL017W"
"420-augustus_masked-9909-CPR_4"	"K15026"	"YGR054W"
"421-augustus_masked-9909-CPR_4"	""	NA
"426-maker-115-YCE"	""	NA
"431-maker-11536-CPG_1"	""	NA
"432-maker-11651-CDK_4"	""	NA
"433-maker-1190-YCM"	""	NA
"434-maker-11951-BDM_5"	""	NA
"435-maker-11951-BDM_5"	""	NA
"436-maker-11951-BDM_5"	""	NA
"437-maker-11975-ANL_2"	""	NA
"439-maker-12183-BTG_3"	""	NA
"440-maker-12217-ALI_5"	""	NA
"441-maker-12217-ALI_5"	""	NA
"442-maker-12305-CGP_5"	""	NA
"443-maker-1251-ANM_2"	""	NA
"444-maker-1328-AER_4"	""	NA
"445-maker-1361-CFF_4"	""	NA
"446-maker-1364-CFF_4"	""	NA
"447-maker-137-YCE"	""	NA
"448-maker-1388-APK_4"	""	NA
"449-maker-1538-CHI_4"	""	NA
"450-maker-1646-AQT_4"	""	NA
"451-maker-1652-AIE_1"	""	NA
"452-maker-1692-AIE_1"	""	NA
"453-maker-1698-AIE_1"	""	NA
"454-maker-1706-AIE_1"	""	NA
"455-maker-1744-ATP_4"	""	NA
"456-maker-1897-CLC_4"	""	NA
"457-maker-208-BFM_3"	""	NA
"458-maker-2144-BRV_4"	""	NA
"459-maker-2148-BRV_4"	""	NA
"460-maker-2154-BRV_4"	""	NA
"461-maker-2154-BRV_4"	""	NA
"462-maker-2208-ABD_5"	""	NA
"463-maker-2208-ABD_5"	""	NA
"464-maker-2210-ABD_5"	""	NA
"465-maker-2357-ARB_2"	""	NA
"466-maker-2357-ARB_2"	""	NA
"467-maker-2381-BTV_5"	""	NA
"468-maker-2392-BTV_5"	""	NA
"469-maker-2392-BTV_5"	""	NA
"470-maker-253-BFM_3"	""	NA
"471-maker-266-BFM_3"	""	NA
"472-maker-2796-CPI_4"	"K22399"	NA
"473-maker-2803-CPI_4"	""	NA
"474-maker-2815-CPI_4"	""	NA
"475-maker-2817-CPI_4"	""	NA
"476-maker-2831-CPI_4"	""	NA
"477-maker-2859-CPI_4"	""	NA
"478-maker-2861-CPI_4"	""	NA
"479-maker-2861-CPI_4"	""	NA
"480-maker-2872-CLM_4"	""	NA
"481-maker-2926-CDB_2"	""	NA
"482-maker-2990-BGP_1"	"K02957"	"YLR367W;YJL190C"
"483-maker-2999-BGP_1"	""	NA
"484-maker-3105-AHL_3"	""	NA
"485-maker-3212-CEH_4"	""	NA
"486-maker-3217-CEH_4"	""	NA
"487-maker-3418-ADG_4"	""	NA
"488-maker-3439-YAX"	""	NA
"489-maker-348-ALB_3"	""	NA
"490-maker-348-ALB_3"	""	NA
"491-maker-348-ALB_3"	""	NA
"492-maker-348-ALB_3"	""	NA
"493-maker-368-YDJ"	""	NA
"494-maker-370-YDJ"	""	NA
"495-maker-3715-BPA_4"	""	NA
"496-maker-378-YDJ"	""	NA
"497-maker-3860-CMG_6"	""	NA
"498-maker-3872-BTB_3"	""	NA
"499-maker-3927-CCQ_1"	""	NA
"500-maker-4265-BCN_8"	""	NA
"501-maker-4362-AMP_5"	""	NA
