"ID"	"Abbreviation"	"Description"	"Reaction"	"Description_new"	"GPR"	"Subsystem_new"	"Lower bound"	"Upper bound"	"Objective"	"Notes"	"EC Number"	"KEGG ID"
14	"r_0018"	"2-aminoadipate transaminase"	"s_0176[c] + s_0991[c]  <=> s_0180[c] + s_0953[c]"	"2-oxoadipic acid[c] + L-glutamate[c]  <=> 2-oxoglutarate[c] + L-2-aminoadipate[c]"	"( YER152C or YGL202W or YJL060W )"	"lysine metabolism"	-1000	1000	0	"pmid:10714900; pmid:19342587"	"2.6.1.39; 2.6.1.57; 2.6.1.7"	"R01939"
15	"r_0019"	"2-dehydropantoate 2-reductase"	"s_0149[c] + s_0794[c] + s_1212[c]  -> s_0030[c] + s_1207[c]"	"2-dehydropantoate[c] + H+[c] + NADPH[c]  -> (R)-pantoate[c] + NADP(+)[c]"	"YHR063C"	"pantothenate and coa biosynthesis ( sce00770 )"	0	1000	0	"NA"	"1.1.1.169"	"R02472"
16	"r_0020"	"2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase"	"s_0552[m] + s_0807[m] + s_1361[m]  -> s_0350[m] + s_1326[m]"	"D-erythrose 4-phosphate[m] + H2O[m] + phosphoenolpyruvate[m]  -> 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[m] + phosphate[m]"	"YDR035W"	"phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )"	0	1000	0	"NA"	"2.5.1.54"	"R01826"
17	"r_0021"	"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase"	"s_0155[m] + s_1419[m]  -> s_0156[m] + s_0799[m] + s_1415[m]"	"2-hexaprenyl-6-methoxy-1,4-benzoquinone[m] + S-adenosyl-L-methionine[m]  -> 2-hexaprenyl-6-methoxy-3-methyl-1,4-benzoquinone[m] + H+[m] + S-adenosyl-L-homocysteine[m]"	"( YDR204W and YGL119W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C )"	"ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )"	0	1000	0	"pmid:15792955"	"1.14.13.-; 2.1.1.114; 2.1.1.201; 2.1.1.64; 2.7.-.-"	"R04983"
18	"r_0022"	"2-hexaprenyl-6-methoxyphenol monooxygenase"	"s_0157[m] + s_1278[m]  -> s_0155[m] + s_0807[m]"	"2-hexaprenyl-6-methoxyphenol[m] + oxygen[m]  -> 2-hexaprenyl-6-methoxy-1,4-benzoquinone[m] + H2O[m]"	"( YDR204W and YGL119W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C )"	"ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )"	0	1000	0	"pmid:15792955"	"1.14.13.-; 2.1.1.114; 2.1.1.201; 2.1.1.64; 2.7.-.-"	"R04982"
19	"r_0023"	"2-isopropylmalate hydratase"	"s_0165[c] + s_0803[c]  <=> s_0162[c]"	"2-isopropylmaleic acid[c] + H2O[c]  <=> 2-isopropylmalate[c]"	"YGL009C"	"valine, leucine, and isoleucine metabolism"	-1000	1000	0	"pmid:3071717"	"4.2.1.33"	"R03968"
20	"r_0024"	"2-isopropylmalate synthase"	"s_0232[c] + s_0373[c] + s_0803[c]  -> s_0162[c] + s_0529[c] + s_0794[c]"	"3-methyl-2-oxobutanoate[c] + acetyl-CoA[c] + H2O[c]  -> 2-isopropylmalate[c] + coenzyme A[c] + H+[c]"	"( YNL104C or YOR108W )"	"valine, leucine, and isoleucine metabolism"	0	1000	0	"pmid:6090272"	"2.3.3.13"	"R01213"
21	"r_0025"	"2-isopropylmalate synthase"	"s_0233[m] + s_0376[m] + s_0807[m]  -> s_0164[m] + s_0532[m] + s_0799[m]"	"3-methyl-2-oxobutanoate[m] + acetyl-CoA[m] + H2O[m]  -> 2-isopropylmalate[m] + coenzyme A[m] + H+[m]"	"YNL104C"	"valine, leucine, and isoleucine metabolism"	0	1000	0	"pmid:6090272"	"2.3.3.13"	"R01213"
22	"r_0026"	"2-keto-4-methylthiobutyrate transamination"	"s_0294[c] + s_0991[c]  -> s_0180[c] + s_1029[c]"	"4-methylthio-2-oxobutanoate[c] + L-glutamate[c]  -> 2-oxoglutarate[c] + L-methionine[c]"	"NA"	"cysteine and methionine metabolism ( sce00270 )"	0	1000	0	"pmid:14506228"	"NA"	"R07396"
23	"r_0027"	"2-methylcitrate dehydratase"	"s_0834[m]  <=> s_0454[m] + s_0807[m]"	"homocitrate[m]  <=> but-1-ene-1,2,4-tricarboxylic acid[m] + H2O[m]"	"YDR234W"	"lysine metabolism"	-1000	1000	0	"pmid:5908136"	"4.2.1.36"	"R03444"
24	"r_0028"	"2-methylcitrate synthase"	"s_0807[m] + s_1273[m] + s_1382[m]  -> s_0174[m] + s_0532[m] + s_0799[m]"	"H2O[m] + oxaloacetate[m] + propionyl-CoA[m]  -> 2-methylcitrate[m] + coenzyme A[m] + H+[m]"	"YPR001W"	"propanoate metabolism ( sce00640 )"	0	1000	0	"pmid:16332871"	"2.3.3.1"	"R00931"
25	"r_0029"	"2-oxo-4-methyl-3-carboxypentanoate decarboxylation"	"s_0010[c] + s_0794[c]  -> s_0291[c] + s_0456[c]"	"(2S)-2-isopropyl-3-oxosuccinate[c] + H+[c]  -> 4-methyl-2-oxopentanoate[c] + carbon dioxide[c]"	"YJR148W"	"valine, leucine, and isoleucine metabolism"	0	1000	0	"NA"	"2.6.1.42"	"R01652"
26	"r_0030"	"2-oxo-4-methyl-3-carboxypentanoate decarboxylation"	"s_0011[m] + s_0799[m]  -> s_0292[m] + s_0460[m]"	"(2S)-2-isopropyl-3-oxosuccinate[m] + H+[m]  -> 4-methyl-2-oxopentanoate[m] + carbon dioxide[m]"	"YHR208W"	"valine, leucine, and isoleucine metabolism"	0	1000	0	"NA"	"2.6.1.42"	"R01652"
27	"r_0032"	"3',5'-bisphosphate nucleotidase"	"s_0390[c] + s_0803[c]  -> s_0423[c] + s_1322[c]"	"adenosine 3',5'-bismonophosphate[c] + H2O[c]  -> AMP[c] + phosphate[c]"	"YOL064C"	"sulfur metabolism ( sce00920 )"	0	1000	0	"pmid:7809627"	"3.1.3.7"	"R00188"
28	"r_0033"	"3',5'-cyclic-nucleotide phosphodiesterase"	"s_0192[c] + s_0803[c]  -> s_0423[c] + s_0794[c]"	"3',5'-cyclic AMP[c] + H2O[c]  -> AMP[c] + H+[c]"	"( YGL248W or YOR360C )"	"purine metabolism ( sce00230 )"	0	1000	0	"NA"	"3.1.4.17; 3.1.4.53"	"R00191"
29	"r_0034"	"3',5'-cyclic-nucleotide phosphodiesterase"	"s_0194[c] + s_0803[c]  -> s_0584[c] + s_0794[c]"	"3',5'-cyclic dAMP[c] + H2O[c]  -> dAMP[c] + H+[c]"	"YOR360C"	"purine metabolism ( sce00230 )"	0	1000	0	"NA"	"3.1.4.53"	"NA"
30	"r_0035"	"3',5'-cyclic-nucleotide phosphodiesterase"	"s_0196[c] + s_0803[c]  -> s_0794[c] + s_0849[c]"	"3',5'-cyclic IMP[c] + H2O[c]  -> H+[c] + IMP[c]"	"YOR360C"	"purine metabolism ( sce00230 )"	0	1000	0	"NA"	"3.1.4.53"	"NA"
31	"r_0036"	"3',5'-cyclic-nucleotide phosphodiesterase"	"s_0195[c] + s_0803[c]  -> s_0782[c] + s_0794[c]"	"3',5'-cyclic GMP[c] + H2O[c]  -> GMP[c] + H+[c]"	"YOR360C"	"purine metabolism ( sce00230 )"	0	1000	0	"NA"	"3.1.4.53"	"R01234"
32	"r_0037"	"3',5'-cyclic-nucleotide phosphodiesterase"	"s_0193[c] + s_0803[c]  -> s_0526[c] + s_0794[c]"	"3',5'-cyclic CMP[c] + H2O[c]  -> CMP[c] + H+[c]"	"YOR360C"	"purine metabolism ( sce00230 )"	0	1000	0	"NA"	"3.1.4.53"	"NA"
33	"r_0038"	"3,4-dihydroxy-2-butanone-4-phosphate synthase"	"s_0577[c]  -> s_0158[c] + s_0722[c] + s_0794[c]"	"D-ribulose 5-phosphate[c]  -> 2-hydroxy-3-oxobutyl phosphate[c] + formate[c] + H+[c]"	"YDR487C"	"riboflavin metabolism ( sce00740 )"	0	1000	0	"pmid:12595523"	"4.1.99.12"	"R07281"
34	"r_0039"	"3-dehydroquinate dehydratase"	"s_0210[c]  -> s_0211[c] + s_0803[c]"	"3-dehydroquinate[c]  -> 3-dehydroshikimate[c] + H2O[c]"	"YDR127W"	"phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )"	0	1000	0	"NA"	"1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4"	"R03084"
35	"r_0040"	"3-dehydroquinate synthase"	"s_0349[c]  -> s_0210[c] + s_1322[c]"	"7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c]  -> 3-dehydroquinate[c] + phosphate[c]"	"YDR127W"	"phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )"	0	1000	0	"pmid:6355828"	"1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4"	"R03083"
36	"r_0041"	"3-dehydrosphinganine reductase"	"s_0231[er] + 2 s_0795[er] + s_1213[er]  -> s_1208[er] + s_1445[er]"	"3-ketosphinganine[er] + 2 H+[er] + NADPH[er]  -> NADP(+)[er] + sphinganine[er]"	"YBR265W"	"sphingolipid metabolism ( sce00600 )"	0	1000	0	"pmid:18296751; pmid:9804843"	"1.1.1.102"	"R02978"
37	"r_0042"	"3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase"	"s_0551[c] + s_0803[c] + s_1360[c]  -> s_0349[c] + s_1322[c]"	"D-erythrose 4-phosphate[c] + H2O[c] + phosphoenolpyruvate[c]  -> 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] + phosphate[c]"	"( YBR249C or YDR035W )"	"phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )"	0	1000	0	"pmid:2880280"	"2.5.1.54"	"R01826"
38	"r_0043"	"3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase"	"s_0215[c] + 0.5 s_1275[c]  -> s_0212[c]"	"3-hexaprenyl-4-hydroxybenzoic acid[c] + 0.5 oxygen[c]  -> 3-hexaprenyl-4,5-dihydroxybenzoic acid[c]"	"NA"	"ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )"	0	1000	0	"pmid:15792955"	"NA"	"R06865"
39	"r_0044"	"3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase"	"s_0214[m] + s_0799[m]  -> s_0157[m] + s_0460[m]"	"3-hexaprenyl-4-hydroxy-5-methoxybenzoic acid[m] + H+[m]  -> 2-hexaprenyl-6-methoxyphenol[m] + carbon dioxide[m]"	"NA"	"ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )"	0	1000	0	"pmid:15792955"	"NA"	"R06866"
40	"r_0045"	"3-hydroxy-L-kynurenine hydrolase"	"s_0222[c] + s_0803[c]  -> s_0224[c] + s_0955[c]"	"3-hydroxy-L-kynurenine[c] + H2O[c]  -> 3-hydroxyanthranilate[c] + L-alanine[c]"	"YLR231C"	"tryptophan metabolism ( sce00380 )"	0	1000	0	"NA"	"3.7.1.3"	"R02668"
41	"r_0057"	"3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)"	"s_0054[p] + s_1202[p]  -> s_0257[p] + s_0801[p] + s_1206[p]"	"(S)-3-hydroxytetradecanoyl-CoA[p] + NAD[p]  -> 3-oxotetradecanoyl-CoA[p] + H+[p] + NADH[p]"	"YKR009C"	"fatty acid degradation ( sce00071 )"	0	1000	0	"NA"	"1.1.1.n12; 4.2.1.119"	"R04739"
42	"r_0058"	"3-hydroxyanthranilate 3,4-dioxygenase"	"s_0224[c] + s_1275[c]  -> s_0147[c] + s_0794[c]"	"3-hydroxyanthranilate[c] + oxygen[c]  -> 2-amino-3-carboxymuconate-6-semialdehyde[c] + H+[c]"	"YJR025C"	"tryptophan metabolism ( sce00380 )"	0	1000	0	"pmid:9539135"	"1.13.11.6"	"NA"
43	"r_0059"	"3-isopropylmalate 3-methyltransferase"	"s_0009[c] + s_1416[c]  -> s_0217[c] + s_1413[c]"	"(2R,3S)-3-isopropylmalate[c] + S-adenosyl-L-methionine[c]  -> 3-hydroxy-2-isopropyl-4-methoxy-4-oxobutanoate[c] + S-adenosyl-L-homocysteine[c]"	"YER175C"	"complex alcohol metabolism"	0	1000	0	"pmid:15147181"	"2.1.1.145"	"NA"
44	"r_0060"	"3-isopropylmalate dehydratase"	"s_0009[c]  <=> s_0165[c] + s_0803[c]"	"(2R,3S)-3-isopropylmalate[c]  <=> 2-isopropylmaleic acid[c] + H2O[c]"	"YGL009C"	"valine, leucine, and isoleucine metabolism"	-1000	1000	0	"pmid:3071717"	"4.2.1.33"	"R04001"
45	"r_0061"	"3-isopropylmalate dehydrogenase"	"s_0009[c] + s_1198[c]  -> s_0010[c] + s_0794[c] + s_1203[c]"	"(2R,3S)-3-isopropylmalate[c] + NAD[c]  -> (2S)-2-isopropyl-3-oxosuccinate[c] + H+[c] + NADH[c]"	"YCL018W"	"valine, leucine, and isoleucine metabolism"	0	1000	0	"pmid:6297759"	"1.1.1.85"	"R04426"
46	"r_0062"	"3-methyl-2-oxobutanoate decarboxylase"	"s_0232[c] + s_0794[c]  -> s_0456[c] + s_0937[c]"	"3-methyl-2-oxobutanoate[c] + H+[c]  -> carbon dioxide[c] + isobutyraldehyde[c]"	"( YGR087C or YLR044C or YLR134W )"	"complex alcohol metabolism"	0	1000	0	"pmid:12902239"	"4.1.1.-; 4.1.1.1; 4.1.1.43; 4.1.1.74"	"NA"
47	"r_0063"	"3-methyl-2-oxobutanoate hydroxymethyltransferase"	"s_0233[m] + s_0307[m] + s_0807[m]  -> s_0150[m] + s_1488[m]"	"3-methyl-2-oxobutanoate[m] + 5,10-methylenetetrahydrofolate[m] + H2O[m]  -> 2-dehydropantoate[m] + THF[m]"	"YBR176W"	"pantothenate and coa biosynthesis ( sce00770 )"	0	1000	0	"NA"	"2.1.2.11"	"R01226"
48	"r_0064"	"3-methyl-2-oxopentanoate decarboxylase"	"s_0056[c] + s_0794[c]  -> s_0166[c] + s_0456[c]"	"(S)-3-methyl-2-oxopentanoate[c] + H+[c]  -> 2-methylbutanal[c] + carbon dioxide[c]"	"( YDL080C or YGR087C or YLR044C or YLR134W )"	"complex alcohol metabolism"	0	1000	0	"pmid:12902239"	"4.1.1.-; 4.1.1.1; 4.1.1.43; 4.1.1.74"	"R03894"
49	"r_0065"	"3-phosphoshikimate 1-carboxyvinyltransferase"	"s_0261[c] + s_1360[c]  -> s_0324[c] + s_1322[c]"	"3-phosphoshikimic acid[c] + phosphoenolpyruvate[c]  -> 5-O-(1-carboxyvinyl)-3-phosphoshikimic acid[c] + phosphate[c]"	"YDR127W"	"phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )"	0	1000	0	"pmid:6355828"	"1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4"	"R03460"
50	"r_0066"	"4-amino-4-deoxychorismate synthase"	"s_0515[c] + s_0999[c]  -> s_0269[c] + s_0991[c]"	"chorismate[c] + L-glutamine[c]  -> 4-amino-4-deoxychorismate[c] + L-glutamate[c]"	"YNR033W"	"folate biosynthesis ( sce00790 )"	0	1000	0	"NA"	"2.6.1.85"	"R01716"
51	"r_0067"	"4-aminobenzoate synthase"	"s_0269[c]  -> s_0271[c] + s_0794[c] + s_1399[c]"	"4-amino-4-deoxychorismate[c]  -> 4-aminobenzoate[c] + H+[c] + pyruvate[c]"	"YMR289W"	"folate biosynthesis ( sce00790 )"	0	1000	0	"NA"	"4.1.3.38"	"R05553"
52	"r_0068"	"4-aminobutyrate transaminase"	"s_0180[c] + s_0734[c]  -> s_0991[c] + s_1461[c]"	"2-oxoglutarate[c] + gamma-aminobutyrate[c]  -> L-glutamate[c] + succinic semialdehyde[c]"	"YGR019W"	"alanine, aspartate and glutamate metabolism ( sce00250 )"	0	1000	0	"pmid:10590462"	"2.6.1.19"	"R01648"
53	"r_0069"	"4-hydroxy-L-threonine synthase"	"s_0264[c] + s_0803[c]  -> s_0285[c] + s_1322[c]"	"4-(phosphonooxy)-L-threonine[c] + H2O[c]  -> 4-hydroxy-L-threonine[c] + phosphate[c]"	"YCR053W"	"vitamin b6 metabolism ( sce00750 )"	0	1000	0	"pmid:8082795"	"4.2.3.1"	"R05086"
54	"r_0070"	"4-hydroxybenzoate formation"	"s_0290[m] + s_0807[m]  -> s_0287[m] + s_0532[m] + s_0799[m]"	"4-hydroxybenzoyl-CoA[m] + H2O[m]  -> 4-hydroxybenzoate[m] + coenzyme A[m] + H+[m]"	"NA"	"ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )"	0	1000	0	"pmid:11583838"	"NA"	"R01301"
55	"r_0072"	"4-methyl-2-oxopentanoate decarboxylase"	"s_0291[c] + s_0794[c]  -> s_0234[c] + s_0456[c]"	"4-methyl-2-oxopentanoate[c] + H+[c]  -> 3-methylbutanal[c] + carbon dioxide[c]"	"YDL080C"	"complex alcohol metabolism"	0	1000	0	"pmid:12902239"	"4.1.1.-"	"NA"
56	"r_0073"	"4PP-IP5 depyrophosphorylation to IP6"	"s_0279[c] + s_0803[c]  <=> 2 s_0794[c] + s_1158[c] + s_1322[c]"	"4-diphospho-1D-myo-inositol pentakisphosphate[c] + H2O[c]  <=> 2 H+[c] + myo-inositol hexakisphosphate[c] + phosphate[c]"	"( YLR410W or YOR163W )"	"inositol phosphate metabolism ( sce00562 )"	-1000	1000	0	"pmid:17412958"	"2.7.4.21; 2.7.4.24; 3.6.1.52; 3.6.1.60"	"R05779"
57	"r_0074"	"4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4"	"s_0279[c] + s_0434[c] + 2 s_0794[c]  -> s_0263[c] + s_0394[c] + s_0803[c]"	"4-diphospho-1D-myo-inositol pentakisphosphate[c] + ATP[c] + 2 H+[c]  -> 4,5-bis(diphospho)-1D-myo-inositol tetrakisphosphate[c] + ADP[c] + H2O[c]"	"YDR017C"	"phosphatidylinositol signaling system ( sce04070 )"	0	1000	0	"pmid:17412958"	"2.7.4.21"	"NA"
58	"r_0075"	"5'-methylthioadenosine phosphorylase"	"s_0303[c] + s_1322[c]  -> s_0383[c] + s_1422[c]"	"5'-S-methyl-5'-thioadenosine[c] + phosphate[c]  -> adenine[c] + S-methyl-5-thio-alpha-D-ribose 1-phosphate[c]"	"YLR017W"	"cysteine and methionine metabolism ( sce00270 )"	0	1000	0	"pmid:14506228"	"2.4.2.28"	"R01402"
59	"r_0076"	"5'-nucleotidase (CMP)"	"s_0526[c] + s_0803[c]  -> s_0543[c] + s_1322[c]"	"CMP[c] + H2O[c]  -> cytidine[c] + phosphate[c]"	"( YER037W or YGL224C )"	"nicotinate and nicotinamide metabolism ( sce00760 )"	0	1000	0	"pmid:11934891; pmid:23670538"	"3.1.3.-"	"R00511"
60	"r_0077"	"5'-nucleotidase (IMP)"	"s_0803[c] + s_0849[c]  -> s_0856[c] + s_1322[c]"	"H2O[c] + IMP[c]  -> inosine[c] + phosphate[c]"	"YOR155C"	"purine metabolism ( sce00230 )"	0	1000	0	"pmid:12735798"	"3.1.3.99"	"R01126"
61	"r_0078"	"5'-nucleotidase (UMP)"	"s_0803[c] + s_1545[c]  -> s_1322[c] + s_1556[c]"	"H2O[c] + UMP[c]  -> phosphate[c] + uridine[c]"	"( YER037W or YGL224C )"	"nicotinate and nicotinamide metabolism ( sce00760 )"	0	1000	0	"pmid:11934891; pmid:23670538"	"3.1.3.-"	"R00963"
62	"r_0079"	"5'-phosphoribosylformyl glycinamidine synthetase"	"s_0301[c] + s_0434[c] + s_0803[c] + s_0999[c]  -> s_0302[c] + s_0394[c] + s_0794[c] + s_0991[c] + s_1322[c]"	"5'-phosphoribosyl-N-formylglycineamide[c] + ATP[c] + H2O[c] + L-glutamine[c]  -> 5'-phosphoribosyl-N-formylglycineamidine[c] + ADP[c] + H+[c] + L-glutamate[c] + phosphate[c]"	"YGR061C"	"purine metabolism ( sce00230 )"	0	1000	0	"NA"	"6.3.5.3"	"R04463"
63	"r_0080"	"5,10-methylenetetrahydrofolate reductase (NADPH)"	"s_0306[c] + 2 s_0794[c] + s_1212[c]  -> s_0322[c] + s_1207[c]"	"5,10-methylenetetrahydrofolate[c] + 2 H+[c] + NADPH[c]  -> 5-methyltetrahydrofolate[c] + NADP(+)[c]"	"( YGL125W or YPL023C )"	"one carbon pool by folate ( sce00670 )"	0	1000	0	"pmid:21623372"	"1.5.1.20"	"R01224"
64	"r_0081"	"5-aminolevulinate synthase"	"s_0799[m] + s_1005[m] + s_1464[m]  -> s_0317[m] + s_0460[m] + s_0532[m]"	"H+[m] + L-glycine[m] + succinyl-CoA[m]  -> 5-aminolevulinate[m] + carbon dioxide[m] + coenzyme A[m]"	"YDR232W"	"porphyrin and chlorophyll metabolism ( sce00860 )"	0	1000	0	"NA"	"2.3.1.37"	"R00830"
65	"r_0082"	"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase"	"s_0318[c] + s_0803[c]  -> 2 s_0794[c] + s_1158[c] + s_1322[c]"	"5-diphospho-1D-myo-inositol pentakisphosphate[c] + H2O[c]  -> 2 H+[c] + myo-inositol hexakisphosphate[c] + phosphate[c]"	"YOR163W"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:10419486"	"3.6.1.52; 3.6.1.60"	"R05779"
