"id"	"species"	"name"	"x"	"y"	"rxnID"	"type"	"MetaID"
"sa33"	"s26"	"5-aminolevulinate[c]"	""	""	"r_1102"	"product"	"CDMT000033"
"sa34"	"s6"	"H+[c]"	""	""	"r_1102"	"product"	"CDMT000034"
"sa35"	"s27"	"5-formyltetrahydrofolic acid[e]"	""	""	"r_1103"	"reactant"	"CDMT000035"
"sa36"	"s28"	"5-formyltetrahydrofolic acid[c]"	""	""	"r_1103"	"product"	"CDMT000036"
"sa37"	"s29"	"8-amino-7-oxononanoate[e]"	""	""	"r_1104"	"reactant"	"CDMT000037"
"sa38"	"s23"	"H+[e]"	""	""	"r_1104"	"reactant"	"CDMT000038"
"sa39"	"s30"	"8-amino-7-oxononanoate[c]"	""	""	"r_1104"	"product"	"CDMT000039"
"sa40"	"s6"	"H+[c]"	""	""	"r_1104"	"product"	"CDMT000040"
"sa41"	"s31"	"acetate[c]"	""	""	"r_1106"	"reactant"	"CDMT000041"
"sa42"	"s32"	"acetate[e]"	""	""	"r_1106"	"product"	"CDMT000042"
"sa43"	"s33"	"ethyl acetate[c]"	""	""	"r_1107"	"reactant"	"CDMT000043"
"sa44"	"s34"	"ethyl acetate[e]"	""	""	"r_1107"	"product"	"CDMT000044"
"sa45"	"s35"	"adenine[e]"	""	""	"r_1108"	"reactant"	"CDMT000045"
"sa46"	"s23"	"H+[e]"	""	""	"r_1108"	"reactant"	"CDMT000046"
"sa47"	"s36"	"adenine[c]"	""	""	"r_1108"	"product"	"CDMT000047"
"sa48"	"s6"	"H+[c]"	""	""	"r_1108"	"product"	"CDMT000048"
"sa49"	"s37"	"adenosine[e]"	""	""	"r_1109"	"reactant"	"CDMT000049"
"sa50"	"s23"	"H+[e]"	""	""	"r_1109"	"reactant"	"CDMT000050"
"sa51"	"s38"	"adenosine[c]"	""	""	"r_1109"	"product"	"CDMT000051"
"sa52"	"s6"	"H+[c]"	""	""	"r_1109"	"product"	"CDMT000052"
"sa53"	"s4"	"ADP[c]"	""	""	"r_1110"	"reactant"	"CDMT000053"
"sa54"	"s39"	"ATP[m]"	""	""	"r_1110"	"reactant"	"CDMT000054"
"sa55"	"s40"	"ADP[m]"	""	""	"r_1110"	"product"	"CDMT000055"
"sa56"	"s1"	"ATP[c]"	""	""	"r_1110"	"product"	"CDMT000056"
"sa57"	"s41"	"ADP[p]"	""	""	"r_1111"	"reactant"	"CDMT000057"
"sa58"	"s1"	"ATP[c]"	""	""	"r_1111"	"reactant"	"CDMT000058"
"sa59"	"s42"	"H+[p]"	""	""	"r_1111"	"reactant"	"CDMT000059"
"sa60"	"s4"	"ADP[c]"	""	""	"r_1111"	"product"	"CDMT000060"
"sa61"	"s43"	"ATP[p]"	""	""	"r_1111"	"product"	"CDMT000061"
"sa62"	"s6"	"H+[c]"	""	""	"r_1111"	"product"	"CDMT000062"
"sa63"	"s17"	"2-oxoglutarate[c]"	""	""	"r_1112"	"reactant"	"CDMT000063"
"sa64"	"s44"	"citrate[m]"	""	""	"r_1112"	"reactant"	"CDMT000064"
"sa65"	"s19"	"2-oxoglutarate[m]"	""	""	"r_1112"	"product"	"CDMT000065"
"sa66"	"s45"	"citrate[c]"	""	""	"r_1112"	"product"	"CDMT000066"
"sa67"	"s46"	"allantoate[e]"	""	""	"r_1113"	"reactant"	"CDMT000067"
"sa68"	"s47"	"allantoate[c]"	""	""	"r_1113"	"product"	"CDMT000068"
"sa69"	"s48"	"allantoin[e]"	""	""	"r_1114"	"reactant"	"CDMT000069"
"sa70"	"s49"	"allantoin[c]"	""	""	"r_1114"	"product"	"CDMT000070"
"sa71"	"s50"	"ammonium[e]"	""	""	"r_1115"	"reactant"	"CDMT000071"
"sa72"	"s51"	"ammonium[c]"	""	""	"r_1115"	"product"	"CDMT000072"
"sa73"	"s52"	"AMP[p]"	""	""	"r_1116"	"reactant"	"CDMT000073"
"sa74"	"s1"	"ATP[c]"	""	""	"r_1116"	"reactant"	"CDMT000074"
"sa75"	"s42"	"H+[p]"	""	""	"r_1116"	"reactant"	"CDMT000075"
"sa76"	"s53"	"AMP[c]"	""	""	"r_1116"	"product"	"CDMT000076"
"sa77"	"s43"	"ATP[p]"	""	""	"r_1116"	"product"	"CDMT000077"
"sa78"	"s6"	"H+[c]"	""	""	"r_1116"	"product"	"CDMT000078"
"sa79"	"s54"	"L-aspartate[m]"	""	""	"r_1118"	"reactant"	"CDMT000079"
"sa80"	"s55"	"L-glutamate[c]"	""	""	"r_1118"	"reactant"	"CDMT000080"
"sa81"	"s56"	"L-aspartate[c]"	""	""	"r_1118"	"product"	"CDMT000081"
"sa82"	"s57"	"L-glutamate[m]"	""	""	"r_1118"	"product"	"CDMT000082"
"sa83"	"s58"	"biotin[e]"	""	""	"r_1119"	"reactant"	"CDMT000083"
"sa84"	"s23"	"H+[e]"	""	""	"r_1119"	"reactant"	"CDMT000084"
"sa85"	"s59"	"biotin[c]"	""	""	"r_1119"	"product"	"CDMT000085"
"sa86"	"s6"	"H+[c]"	""	""	"r_1119"	"product"	"CDMT000086"
"sa87"	"s60"	"(R)-carnitine[m]"	""	""	"r_1120"	"reactant"	"CDMT000087"
"sa88"	"s61"	"O-acetylcarnitine[c]"	""	""	"r_1120"	"reactant"	"CDMT000088"
"sa89"	"s62"	"(R)-carnitine[c]"	""	""	"r_1120"	"product"	"CDMT000089"
"sa90"	"s63"	"O-acetylcarnitine[m]"	""	""	"r_1120"	"product"	"CDMT000090"
"sa91"	"s64"	"ceramide-2' (C24)[er]"	""	""	"r_1121"	"reactant"	"CDMT000091"
"sa92"	"s65"	"ceramide-2' (C24)[g]"	""	""	"r_1121"	"product"	"CDMT000092"
"sa93"	"s66"	"ceramide-2' (C26)[er]"	""	""	"r_1122"	"reactant"	"CDMT000093"
"sa94"	"s67"	"ceramide-2' (C26)[g]"	""	""	"r_1122"	"product"	"CDMT000094"
"sa95"	"s68"	"ceramide-3 (C24)[er]"	""	""	"r_1123"	"reactant"	"CDMT000095"
"sa96"	"s69"	"ceramide-3 (C24)[g]"	""	""	"r_1123"	"product"	"CDMT000096"
"sa97"	"s70"	"ceramide-3 (C26)[er]"	""	""	"r_1124"	"reactant"	"CDMT000097"
"sa98"	"s71"	"ceramide-3 (C26)[g]"	""	""	"r_1124"	"product"	"CDMT000098"
"sa99"	"s72"	"choline[e]"	""	""	"r_1125"	"reactant"	"CDMT000099"
"sa100"	"s23"	"H+[e]"	""	""	"r_1125"	"reactant"	"CDMT0000100"
"sa101"	"s73"	"choline[c]"	""	""	"r_1125"	"product"	"CDMT0000101"
"sa102"	"s6"	"H+[c]"	""	""	"r_1125"	"product"	"CDMT0000102"
"sa103"	"s74"	"(S)-malate[m]"	""	""	"r_1126"	"reactant"	"CDMT0000103"
"sa104"	"s45"	"citrate[c]"	""	""	"r_1126"	"reactant"	"CDMT0000104"
"sa105"	"s75"	"(S)-malate[c]"	""	""	"r_1126"	"product"	"CDMT0000105"
"sa106"	"s44"	"citrate[m]"	""	""	"r_1126"	"product"	"CDMT0000106"
"sa107"	"s45"	"citrate[c]"	""	""	"r_1127"	"reactant"	"CDMT0000107"
"sa108"	"s76"	"phosphoenolpyruvate[m]"	""	""	"r_1127"	"reactant"	"CDMT0000108"
"sa109"	"s44"	"citrate[m]"	""	""	"r_1127"	"product"	"CDMT0000109"
"sa110"	"s77"	"phosphoenolpyruvate[c]"	""	""	"r_1127"	"product"	"CDMT0000110"
"sa111"	"s45"	"citrate[c]"	""	""	"r_1128"	"reactant"	"CDMT0000111"
"sa112"	"s78"	"isocitrate[m]"	""	""	"r_1128"	"reactant"	"CDMT0000112"
"sa113"	"s44"	"citrate[m]"	""	""	"r_1128"	"product"	"CDMT0000113"
"sa114"	"s79"	"isocitrate[c]"	""	""	"r_1128"	"product"	"CDMT0000114"
"sa115"	"s80"	"coenzyme A[c]"	""	""	"r_1129"	"reactant"	"CDMT0000115"
"sa116"	"s81"	"coenzyme A[m]"	""	""	"r_1129"	"product"	"CDMT0000116"
"sa117"	"s82"	"CMP[m]"	""	""	"r_1130"	"reactant"	"CDMT0000117"
"sa118"	"s83"	"CTP[c]"	""	""	"r_1130"	"reactant"	"CDMT0000118"
"sa119"	"s6"	"H+[c]"	""	""	"r_1130"	"reactant"	"CDMT0000119"
"sa120"	"s84"	"CMP[c]"	""	""	"r_1130"	"product"	"CDMT0000120"
"sa121"	"s85"	"CTP[m]"	""	""	"r_1130"	"product"	"CDMT0000121"
"sa122"	"s86"	"H+[m]"	""	""	"r_1130"	"product"	"CDMT0000122"
"sa123"	"s82"	"CMP[m]"	""	""	"r_1131"	"reactant"	"CDMT0000123"
"sa124"	"s83"	"CTP[c]"	""	""	"r_1131"	"reactant"	"CDMT0000124"
"sa125"	"s6"	"H+[c]"	""	""	"r_1131"	"reactant"	"CDMT0000125"
"sa126"	"s84"	"CMP[c]"	""	""	"r_1131"	"product"	"CDMT0000126"
"sa127"	"s85"	"CTP[m]"	""	""	"r_1131"	"product"	"CDMT0000127"
"sa128"	"s86"	"H+[m]"	""	""	"r_1131"	"product"	"CDMT0000128"
"sa129"	"s87"	"cytidine[e]"	""	""	"r_1132"	"reactant"	"CDMT0000129"
"sa130"	"s23"	"H+[e]"	""	""	"r_1132"	"reactant"	"CDMT0000130"
"sa131"	"s88"	"cytidine[c]"	""	""	"r_1132"	"product"	"CDMT0000131"
"sa132"	"s6"	"H+[c]"	""	""	"r_1132"	"product"	"CDMT0000132"
"sa133"	"s89"	"cytosine[e]"	""	""	"r_1133"	"reactant"	"CDMT0000133"
"sa134"	"s23"	"H+[e]"	""	""	"r_1133"	"reactant"	"CDMT0000134"
"sa135"	"s90"	"cytosine[c]"	""	""	"r_1133"	"product"	"CDMT0000135"
"sa136"	"s6"	"H+[c]"	""	""	"r_1133"	"product"	"CDMT0000136"
"sa137"	"s91"	"D-fructose[e]"	""	""	"r_1134"	"reactant"	"CDMT0000137"
"sa138"	"s23"	"H+[e]"	""	""	"r_1134"	"reactant"	"CDMT0000138"
"sa139"	"s92"	"D-fructose[c]"	""	""	"r_1134"	"product"	"CDMT0000139"
"sa140"	"s6"	"H+[c]"	""	""	"r_1134"	"product"	"CDMT0000140"
"sa141"	"s93"	"D-galactose[e]"	""	""	"r_1135"	"reactant"	"CDMT0000141"
"sa142"	"s23"	"H+[e]"	""	""	"r_1135"	"reactant"	"CDMT0000142"
"sa143"	"s94"	"D-galactose[c]"	""	""	"r_1135"	"product"	"CDMT0000143"
"sa144"	"s6"	"H+[c]"	""	""	"r_1135"	"product"	"CDMT0000144"
"sa145"	"s95"	"(R)-lactate[e]"	""	""	"r_1136"	"reactant"	"CDMT0000145"
"sa146"	"s23"	"H+[e]"	""	""	"r_1136"	"reactant"	"CDMT0000146"
"sa147"	"s96"	"(R)-lactate[c]"	""	""	"r_1136"	"product"	"CDMT0000147"
"sa148"	"s6"	"H+[c]"	""	""	"r_1136"	"product"	"CDMT0000148"
"sa149"	"s96"	"(R)-lactate[c]"	""	""	"r_1137"	"reactant"	"CDMT0000149"
"sa150"	"s6"	"H+[c]"	""	""	"r_1137"	"reactant"	"CDMT0000150"
"sa151"	"s97"	"(R)-lactate[m]"	""	""	"r_1137"	"product"	"CDMT0000151"
"sa152"	"s86"	"H+[m]"	""	""	"r_1137"	"product"	"CDMT0000152"
"sa153"	"s96"	"(R)-lactate[c]"	""	""	"r_1138"	"reactant"	"CDMT0000153"
"sa154"	"s98"	"pyruvate[m]"	""	""	"r_1138"	"reactant"	"CDMT0000154"
"sa155"	"s97"	"(R)-lactate[m]"	""	""	"r_1138"	"product"	"CDMT0000155"
"sa156"	"s99"	"pyruvate[c]"	""	""	"r_1138"	"product"	"CDMT0000156"
"sa157"	"s100"	"D-mannose[e]"	""	""	"r_1139"	"reactant"	"CDMT0000157"
"sa158"	"s23"	"H+[e]"	""	""	"r_1139"	"reactant"	"CDMT0000158"
"sa159"	"s101"	"D-mannose[c]"	""	""	"r_1139"	"product"	"CDMT0000159"
"sa160"	"s6"	"H+[c]"	""	""	"r_1139"	"product"	"CDMT0000160"
"sa161"	"s102"	"episterol[e]"	""	""	"r_1146"	"reactant"	"CDMT0000161"
"sa162"	"s103"	"episterol[c]"	""	""	"r_1146"	"product"	"CDMT0000162"
"sa163"	"s104"	"ergosterol[e]"	""	""	"r_1147"	"reactant"	"CDMT0000163"
"sa164"	"s105"	"ergosterol[c]"	""	""	"r_1147"	"product"	"CDMT0000164"
"sa165"	"s106"	"ergosterol[ce]"	""	""	"r_1148"	"reactant"	"CDMT0000165"
"sa166"	"s105"	"ergosterol[c]"	""	""	"r_1148"	"product"	"CDMT0000166"
"sa167"	"s107"	"ethanolamine[e]"	""	""	"r_1149"	"reactant"	"CDMT0000167"
"sa168"	"s108"	"ethanolamine[c]"	""	""	"r_1149"	"product"	"CDMT0000168"
"sa169"	"s109"	"FADH2[m]"	""	""	"r_1151"	"reactant"	"CDMT0000169"
"sa170"	"s110"	"FADH2[c]"	""	""	"r_1151"	"product"	"CDMT0000170"
"sa171"	"s111"	"fecosterol[e]"	""	""	"r_1161"	"reactant"	"CDMT0000171"
"sa172"	"s112"	"fecosterol[c]"	""	""	"r_1161"	"product"	"CDMT0000172"
"sa173"	"s113"	"fecosterol[ce]"	""	""	"r_1162"	"reactant"	"CDMT0000173"
"sa174"	"s112"	"fecosterol[c]"	""	""	"r_1162"	"product"	"CDMT0000174"
"sa175"	"s114"	"folate[e]"	""	""	"r_1164"	"reactant"	"CDMT0000175"
"sa176"	"s115"	"folate[c]"	""	""	"r_1164"	"product"	"CDMT0000176"
"sa177"	"s116"	"GDP-alpha-D-mannose[c]"	""	""	"r_1165"	"reactant"	"CDMT0000177"
"sa178"	"s117"	"GMP[g]"	""	""	"r_1165"	"reactant"	"CDMT0000178"
"sa179"	"s118"	"GDP-alpha-D-mannose[g]"	""	""	"r_1165"	"product"	"CDMT0000179"
"sa180"	"s119"	"GMP[c]"	""	""	"r_1165"	"product"	"CDMT0000180"
"sa181"	"s120"	"D-glucose[e]"	""	""	"r_1166"	"reactant"	"CDMT0000181"
"sa182"	"s121"	"D-glucose[c]"	""	""	"r_1166"	"product"	"CDMT0000182"
"sa183"	"s122"	"glutathione[e]"	""	""	"r_1167"	"reactant"	"CDMT0000183"
"sa184"	"s2"	"glutathione[c]"	""	""	"r_1167"	"product"	"CDMT0000184"
"sa185"	"s2"	"glutathione[c]"	""	""	"r_1168"	"reactant"	"CDMT0000185"
"sa186"	"s5"	"glutathione[v]"	""	""	"r_1168"	"product"	"CDMT0000186"
"sa187"	"s123"	"1-(sn-glycero-3-phospho)-1D-myo-inositol[e]"	""	""	"r_1169"	"reactant"	"CDMT0000187"
"sa188"	"s124"	"1-(sn-glycero-3-phospho)-1D-myo-inositol[c]"	""	""	"r_1169"	"product"	"CDMT0000188"
"sa189"	"s125"	"sn-glycero-3-phosphocholine[e]"	""	""	"r_1170"	"reactant"	"CDMT0000189"
"sa190"	"s126"	"sn-glycero-3-phosphocholine[c]"	""	""	"r_1170"	"product"	"CDMT0000190"
"sa191"	"s127"	"glycerol[e]"	""	""	"r_1171"	"reactant"	"CDMT0000191"
"sa192"	"s23"	"H+[e]"	""	""	"r_1171"	"reactant"	"CDMT0000192"
"sa193"	"s128"	"glycerol[c]"	""	""	"r_1171"	"product"	"CDMT0000193"
"sa194"	"s6"	"H+[c]"	""	""	"r_1171"	"product"	"CDMT0000194"
"sa195"	"s128"	"glycerol[c]"	""	""	"r_1172"	"reactant"	"CDMT0000195"
"sa196"	"s127"	"glycerol[e]"	""	""	"r_1172"	"product"	"CDMT0000196"
"sa197"	"s23"	"H+[e]"	""	""	"r_1173"	"reactant"	"CDMT0000197"
"sa198"	"s129"	"L-glycine[e]"	""	""	"r_1173"	"reactant"	"CDMT0000198"
"sa199"	"s6"	"H+[c]"	""	""	"r_1173"	"product"	"CDMT0000199"
"sa200"	"s130"	"L-glycine[c]"	""	""	"r_1173"	"product"	"CDMT0000200"
"sa201"	"s131"	"glycogen[c]"	""	""	"r_1174"	"reactant"	"CDMT0000201"
"sa202"	"s132"	"glycogen[v]"	""	""	"r_1174"	"product"	"CDMT0000202"
"sa203"	"s133"	"GDP[m]"	""	""	"r_1175"	"reactant"	"CDMT0000203"
"sa204"	"s134"	"GTP[c]"	""	""	"r_1175"	"reactant"	"CDMT0000204"
"sa205"	"s6"	"H+[c]"	""	""	"r_1175"	"reactant"	"CDMT0000205"
"sa206"	"s135"	"GDP[c]"	""	""	"r_1175"	"product"	"CDMT0000206"
"sa207"	"s136"	"GTP[m]"	""	""	"r_1175"	"product"	"CDMT0000207"
"sa208"	"s86"	"H+[m]"	""	""	"r_1175"	"product"	"CDMT0000208"
"sa209"	"s137"	"guanine[e]"	""	""	"r_1176"	"reactant"	"CDMT0000209"
"sa210"	"s23"	"H+[e]"	""	""	"r_1176"	"reactant"	"CDMT0000210"
"sa211"	"s138"	"guanine[c]"	""	""	"r_1176"	"product"	"CDMT0000211"
"sa212"	"s6"	"H+[c]"	""	""	"r_1176"	"product"	"CDMT0000212"
"sa213"	"s23"	"H+[e]"	""	""	"r_1177"	"reactant"	"CDMT0000213"
"sa214"	"s139"	"myo-inositol[e]"	""	""	"r_1177"	"reactant"	"CDMT0000214"
"sa215"	"s6"	"H+[c]"	""	""	"r_1177"	"product"	"CDMT0000215"
"sa216"	"s140"	"myo-inositol[c]"	""	""	"r_1177"	"product"	"CDMT0000216"
"sa217"	"s141"	"iron(2+)[e]"	""	""	"r_1178"	"reactant"	"CDMT0000217"
"sa218"	"s142"	"iron(2+)[c]"	""	""	"r_1178"	"product"	"CDMT0000218"
"sa219"	"s142"	"iron(2+)[c]"	""	""	"r_1179"	"reactant"	"CDMT0000219"
"sa220"	"s143"	"iron(2+)[m]"	""	""	"r_1179"	"product"	"CDMT0000220"
"sa221"	"s144"	"isoamyl acetate[c]"	""	""	"r_1180"	"reactant"	"CDMT0000221"
"sa222"	"s145"	"isoamyl acetate[e]"	""	""	"r_1180"	"product"	"CDMT0000222"
"sa223"	"s146"	"isobutyl acetate[c]"	""	""	"r_1181"	"reactant"	"CDMT0000223"
"sa224"	"s147"	"isobutyl acetate[e]"	""	""	"r_1181"	"product"	"CDMT0000224"
"sa225"	"s148"	"isopentenyl diphosphate[c]"	""	""	"r_1182"	"reactant"	"CDMT0000225"
"sa226"	"s149"	"isopentenyl diphosphate[m]"	""	""	"r_1182"	"product"	"CDMT0000226"
"sa227"	"s23"	"H+[e]"	""	""	"r_1183"	"reactant"	"CDMT0000227"
"sa228"	"s150"	"L-alanine[e]"	""	""	"r_1183"	"reactant"	"CDMT0000228"
"sa229"	"s6"	"H+[c]"	""	""	"r_1183"	"product"	"CDMT0000229"
"sa230"	"s151"	"L-alanine[c]"	""	""	"r_1183"	"product"	"CDMT0000230"
"sa231"	"s23"	"H+[e]"	""	""	"r_1184"	"reactant"	"CDMT0000231"
"sa232"	"s152"	"L-arginine[e]"	""	""	"r_1184"	"reactant"	"CDMT0000232"
"sa233"	"s6"	"H+[c]"	""	""	"r_1184"	"product"	"CDMT0000233"
"sa234"	"s153"	"L-arginine[c]"	""	""	"r_1184"	"product"	"CDMT0000234"
"sa235"	"s154"	"H+[v]"	""	""	"r_1185"	"reactant"	"CDMT0000235"
"sa236"	"s153"	"L-arginine[c]"	""	""	"r_1185"	"reactant"	"CDMT0000236"
"sa237"	"s6"	"H+[c]"	""	""	"r_1185"	"product"	"CDMT0000237"
"sa238"	"s155"	"L-arginine[v]"	""	""	"r_1185"	"product"	"CDMT0000238"
"sa239"	"s23"	"H+[e]"	""	""	"r_1186"	"reactant"	"CDMT0000239"
"sa240"	"s156"	"L-asparagine[e]"	""	""	"r_1186"	"reactant"	"CDMT0000240"
"sa241"	"s6"	"H+[c]"	""	""	"r_1186"	"product"	"CDMT0000241"
"sa242"	"s157"	"L-asparagine[c]"	""	""	"r_1186"	"product"	"CDMT0000242"
"sa243"	"s154"	"H+[v]"	""	""	"r_1187"	"reactant"	"CDMT0000243"
"sa244"	"s157"	"L-asparagine[c]"	""	""	"r_1187"	"reactant"	"CDMT0000244"
"sa245"	"s6"	"H+[c]"	""	""	"r_1187"	"product"	"CDMT0000245"
"sa246"	"s158"	"L-asparagine[v]"	""	""	"r_1187"	"product"	"CDMT0000246"
"sa247"	"s154"	"H+[v]"	""	""	"r_1188"	"reactant"	"CDMT0000247"
"sa248"	"s158"	"L-asparagine[v]"	""	""	"r_1188"	"reactant"	"CDMT0000248"
"sa249"	"s6"	"H+[c]"	""	""	"r_1188"	"product"	"CDMT0000249"
"sa250"	"s157"	"L-asparagine[c]"	""	""	"r_1188"	"product"	"CDMT0000250"
"sa251"	"s154"	"H+[v]"	""	""	"r_1189"	"reactant"	"CDMT0000251"
"sa252"	"s159"	"L-aspartate[v]"	""	""	"r_1189"	"reactant"	"CDMT0000252"
"sa253"	"s6"	"H+[c]"	""	""	"r_1189"	"product"	"CDMT0000253"
"sa254"	"s56"	"L-aspartate[c]"	""	""	"r_1189"	"product"	"CDMT0000254"
"sa255"	"s23"	"H+[e]"	""	""	"r_1190"	"reactant"	"CDMT0000255"
"sa256"	"s160"	"L-aspartate[e]"	""	""	"r_1190"	"reactant"	"CDMT0000256"
"sa257"	"s6"	"H+[c]"	""	""	"r_1190"	"product"	"CDMT0000257"
"sa258"	"s56"	"L-aspartate[c]"	""	""	"r_1190"	"product"	"CDMT0000258"
"sa259"	"s161"	"(R)-carnitine[e]"	""	""	"r_1191"	"reactant"	"CDMT0000259"
"sa260"	"s62"	"(R)-carnitine[c]"	""	""	"r_1191"	"product"	"CDMT0000260"
"sa261"	"s23"	"H+[e]"	""	""	"r_1192"	"reactant"	"CDMT0000261"
"sa262"	"s162"	"L-cysteine[e]"	""	""	"r_1192"	"reactant"	"CDMT0000262"
"sa263"	"s6"	"H+[c]"	""	""	"r_1192"	"product"	"CDMT0000263"
"sa264"	"s163"	"L-cysteine[c]"	""	""	"r_1192"	"product"	"CDMT0000264"
"sa265"	"s154"	"H+[v]"	""	""	"r_1193"	"reactant"	"CDMT0000265"
"sa266"	"s164"	"L-cystine[v]"	""	""	"r_1193"	"reactant"	"CDMT0000266"
"sa267"	"s6"	"H+[c]"	""	""	"r_1193"	"product"	"CDMT0000267"
"sa268"	"s165"	"L-cystine[c]"	""	""	"r_1193"	"product"	"CDMT0000268"
"sa269"	"s55"	"L-glutamate[c]"	""	""	"r_1194"	"reactant"	"CDMT0000269"
"sa270"	"s57"	"L-glutamate[m]"	""	""	"r_1194"	"product"	"CDMT0000270"
"sa271"	"s154"	"H+[v]"	""	""	"r_1195"	"reactant"	"CDMT0000271"
"sa272"	"s166"	"L-glutamate[v]"	""	""	"r_1195"	"reactant"	"CDMT0000272"
"sa273"	"s6"	"H+[c]"	""	""	"r_1195"	"product"	"CDMT0000273"
"sa274"	"s55"	"L-glutamate[c]"	""	""	"r_1195"	"product"	"CDMT0000274"
"sa275"	"s23"	"H+[e]"	""	""	"r_1196"	"reactant"	"CDMT0000275"
"sa276"	"s167"	"L-glutamate[e]"	""	""	"r_1196"	"reactant"	"CDMT0000276"
"sa277"	"s6"	"H+[c]"	""	""	"r_1196"	"product"	"CDMT0000277"
"sa278"	"s55"	"L-glutamate[c]"	""	""	"r_1196"	"product"	"CDMT0000278"
"sa279"	"s154"	"H+[v]"	""	""	"r_1197"	"reactant"	"CDMT0000279"
"sa280"	"s168"	"L-glutamine[c]"	""	""	"r_1197"	"reactant"	"CDMT0000280"
"sa281"	"s6"	"H+[c]"	""	""	"r_1197"	"product"	"CDMT0000281"
"sa282"	"s169"	"L-glutamine[v]"	""	""	"r_1197"	"product"	"CDMT0000282"
"sa283"	"s154"	"H+[v]"	""	""	"r_1198"	"reactant"	"CDMT0000283"
"sa284"	"s169"	"L-glutamine[v]"	""	""	"r_1198"	"reactant"	"CDMT0000284"
"sa285"	"s6"	"H+[c]"	""	""	"r_1198"	"product"	"CDMT0000285"
"sa286"	"s168"	"L-glutamine[c]"	""	""	"r_1198"	"product"	"CDMT0000286"
"sa287"	"s23"	"H+[e]"	""	""	"r_1199"	"reactant"	"CDMT0000287"
"sa288"	"s170"	"L-glutamine[e]"	""	""	"r_1199"	"reactant"	"CDMT0000288"
"sa289"	"s6"	"H+[c]"	""	""	"r_1199"	"product"	"CDMT0000289"
"sa290"	"s168"	"L-glutamine[c]"	""	""	"r_1199"	"product"	"CDMT0000290"
"sa291"	"s154"	"H+[v]"	""	""	"r_1200"	"reactant"	"CDMT0000291"
