"MNXID"	"panID"	"EC"	"Equation"	"Description"
"MNXR124159"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM162259@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM269@MNXD1 + 1 MNXM90200@MNXD1"	"1 `Globotriaosylceramide` + 1 `H2O` = 1 `beta-D-galactosyl-(1->4)-beta-D-glucosyl-(11)-N-acylsphing-4-enine` + 1 `Gal`"
"MNXR130595"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM165035@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM3468@MNXD1 + 1 MNXM390@MNXD1"	"1 `o-Nitrophenyl-alpha-D-galactoside` + 1 `H2O` = 1 `2-nitrophenol` + 1 `alpha-D-galactose`"
"MNXR130799"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM14595@MNXD1 + 1 MNXM390@MNXD1 = 1 MNXM168276@MNXD1 + 1 MNXM2@MNXD1"	"1 `3-nitrophenol` + 1 `alpha-D-galactose` = 1 `m-Nitrophenyl-alpha-D-galactoside` + 1 `H2O`"
"MNXR131529"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM165059@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM167308@MNXD1 + 1 MNXM526@MNXD1"	"1 `p-Nitrophenyl-beta-L-arabinopyranoside` + 1 `H2O` = 1 `beta-L-Arabinopyranoside` + 1 `4-nitrophenol`"
"MNXR131530"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM112@MNXD1 + 1 MNXM167752@MNXD1 = 1 MNXM167763@MNXD1 + 1 MNXM2@MNXD1"	"1 `beta-D-galactose` + 1 `Fucosyl-alpha1->2-galactose` = 1 `Gal-alpha1->3(Fuc-alpha1->2)Gal` + 1 `H2O`"
"MNXR131531"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM112@MNXD1 + 1 MNXM1576@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM41047@MNXD1"	"1 `beta-D-galactose` + 1 `N-acetyllactosamine` = 1 `H2O` + 1 `alpha-D-galactosyl-1,3-beta-D-galactosyl-1,4-N-acetyl-D-glucosamine`"
"MNXR131749"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM166419@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM3866@MNXD1 + 1 MNXM390@MNXD1"	"1 `4-methylumbelliferyl alpha-D-galactoside` + 1 `H2O` = 1 `4-methylumbelliferone` + 1 `alpha-D-galactose`"
"MNXR131891"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM112@MNXD1 + 1 MNXM390@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM41023@MNXD1"	"1 `beta-D-galactose` + 1 `alpha-D-galactose` = 1 `H2O` + 1 `alpha-D-Gal-(1->4)-beta-D-Gal-(1->4)-D-GlcNAc`"
"MNXR131892"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM163764@MNXD1 + 1 MNXM390@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM41090@MNXD1"	"1 `beta-D-Galactosyl-1,4-beta-D-glucopyranose` + 1 `alpha-D-galactose` = 1 `H2O` + 1 `alpha-D-Galp-(1->4)-alpha-D-Galp-(1->4)-beta-D-Glcp`"
"MNXR133311"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1063-augustus_masked-CMG_6-37743;1083-augustus_masked-BPL_2-7584"	"3.2.1.22;3.2.1.21"	"1 MNXM166459@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM112@MNXD1 + 1 MNXM526@MNXD1"	"1 `4-nitrophenyl-beta-D-galactoside` + 1 `H2O` = 1 `H(+)` + 1 `beta-D-galactose` + 1 `4-nitrophenol`"
"MNXR133313"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM165991@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM112@MNXD1 + 1 MNXM3468@MNXD1"	"1 `2-nitrophenyl beta-D-galactoside` + 1 `H2O` = 1 `H(+)` + 1 `beta-D-galactose` + 1 `2-nitrophenol`"
"MNXR134375"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM162496@MNXD1 + 1 MNXM269@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM585@MNXD1"	"1 `aldehydo-D-galactose` + 1 `beta-D-galactosyl-(1->4)-beta-D-glucosyl-(11)-N-acylsphing-4-enine` = 1 `H2O` + 1 `an alpha-D-galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(11)-N-acylsphing-4-enine`"
"MNXR134406"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM162496@MNXD1 + 1 MNXM96917@MNXD1 = 1 MNXM1921@MNXD1 + 1 MNXM2@MNXD1"	"1 `aldehydo-D-galactose` + 1 `cerebroside` = 1 `digalactosylceramide` + 1 `H2O`"
"MNXR135085"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM2@MNXD1 = 1 MNXM390@MNXD1"	"1 `H2O` = 1 `alpha-D-galactose`"
"MNXR135328"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM162496@MNXD1 + 1 MNXM910@MNXD1 = 1 MNXM1888@MNXD1 + 1 MNXM2@MNXD1"	"1 `aldehydo-D-galactose` + 1 `a 1,2-diacyl-3-O-(beta-D-galactosyl)-sn-glycerol` = 1 `1,2-diacyl-3-O-[alpha-D-galactosyl-(1->6)-beta-D-galactosyl]-sn-glycerol` + 1 `H2O`"
"MNXR135453"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM162496@MNXD1 = 1 MNXM2@MNXD1"	"1 `aldehydo-D-galactose` = 1 `H2O`"
"MNXR135466"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM127@MNXD1 + 1 MNXM390@MNXD1 = 1 MNXM2@MNXD1"	"1 `myo-inositol` + 1 `alpha-D-galactose` = 1 `H2O`"
"MNXR135476"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM182@MNXD1 + 1 MNXM390@MNXD1 = 1 MNXM2@MNXD1"	"1 `D-mannose` + 1 `alpha-D-galactose` = 1 `H2O`"
"MNXR136695"	"49-MEL1-R.14846-;586-snap_masked-1768-ATP_4;905-augustus_masked-BIL_3-4712;906-augustus_masked-BIL_3-4712;1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"1 MNXM1921@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM390@MNXD1 + 1 MNXM96917@MNXD1"	"1 `digalactosylceramide` + 1 `H2O` = 1 `alpha-D-galactose` + 1 `cerebroside`"
"MNXR107219"	"144-augustus_masked-182-ABQ_6"	"2.7.1.95"	"1 MNXM1@MNXD1 + 1 MNXM5194@MNXD1 + 1 MNXM7@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM5195@MNXD1"	"1 `H(+)` + 1 `kanamycin A 3'-phosphate(2+)` + 1 `ADP` = 1 `ATP` + 1 `kanamycin A`"
"MNXR115990"	"144-augustus_masked-182-ABQ_6"	"2.7.1.95"	"1 MNXM18811@MNXD1 + 1 MNXM3@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM5194@MNXD1 + 1 MNXM7@MNXD1"	"1 `kanamycins` + 1 `ATP` = 1 `H(+)` + 1 `kanamycin A 3'-phosphate(2+)` + 1 `ADP`"
"MNXR130180"	"144-augustus_masked-182-ABQ_6"	"2.7.1.95"	"1 MNXM168670@MNXD1 + 1 MNXM7@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM95425@MNXD1"	"1 `Neomycin B 3'-phosphate` + 1 `ADP` = 1 `ATP` + 1 `neomycin B`"
"MNXR130181"	"144-augustus_masked-182-ABQ_6"	"2.7.1.95"	"1 MNXM168836@MNXD1 + 1 MNXM7@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM67667@MNXD1"	"1 `Paromomycin 3'-phosphate` + 1 `ADP` = 1 `ATP` + 1 `paromomycin`"
"MNXR130182"	"144-augustus_masked-182-ABQ_6"	"2.7.1.95"	"1 MNXM169008@MNXD1 + 1 MNXM7@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM9234@MNXD1"	"1 `Ribostamycin 3'-phosphate` + 1 `ADP` = 1 `ATP` + 1 `ribostamycin sulfate`"
"MNXR130183"	"144-augustus_masked-182-ABQ_6"	"2.7.1.95"	"1 MNXM168047@MNXD1 + 1 MNXM7@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM4629@MNXD1"	"1 `Kanamycin B 3'-phosphate` + 1 `ADP` = 1 `ATP` + 1 `kanamycin B`"
"MNXR130184"	"144-augustus_masked-182-ABQ_6"	"2.7.1.95"	"1 MNXM166997@MNXD1 + 1 MNXM7@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM94423@MNXD1"	"1 `Amikacin 3'-phosphate` + 1 `ADP` = 1 `ATP` + 1 `amikacin`"
"MNXR130196"	"144-augustus_masked-182-ABQ_6"	"2.7.1.95"	"1 MNXM168232@MNXD1 + 1 MNXM7@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM60277@MNXD1"	"1 `Lividomycin A 3'-phosphate` + 1 `ADP` = 1 `ATP` + 1 `(1R,2R,3S,4R,6S)-4,6-diamino-3-hydroxy-2-{[alpha-D-mannopyranosyl-(1->4)-2,6-diamino-2,6-dideoxy-beta-L-idopyranosyl-(1->3)-beta-D-ribofuranosyl]oxy}cyclohexyl 2-amino-2,3-dideoxy-alpha-D-ribo-hexopyranoside`"
"MNXR130197"	"144-augustus_masked-182-ABQ_6"	"2.7.1.95"	"1 MNXM167347@MNXD1 + 1 MNXM7@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM45002@MNXD1"	"1 `Butirosin 3'-phosphate` + 1 `ADP` = 1 `ATP` + 1 `butirosin`"
"MNXR133299"	"144-augustus_masked-182-ABQ_6"	"2.7.1.95"	"1 MNXM12436@MNXD1 + 1 MNXM3@MNXD1 = 1 MNXM168668@MNXD1 + 1 MNXM7@MNXD1"	"1 `neamine` + 1 `ATP` = 1 `Neamine 3'-phosphate` + 1 `ADP`"
"MNXR133300"	"144-augustus_masked-182-ABQ_6"	"2.7.1.95"	"1 MNXM12436@MNXD1 + 1 MNXM40277@MNXD1 = 1 MNXM168667@MNXD1 + 1 MNXM7@MNXD1"	"1 `neamine` + 1 `adenosine 5'-[gamma-thio]triphosphate` = 1 `Neamine 3'-(gamma-S)phosphate` + 1 `ADP`"
"MNXR133308"	"144-augustus_masked-182-ABQ_6"	"2.7.1.95"	"1 MNXM168046@MNXD1 + 1 MNXM7@MNXD1 = 1 MNXM18811@MNXD1 + 1 MNXM40277@MNXD1"	"1 `Kanamycin 3'-(gamma-S)phosphate` + 1 `ADP` = 1 `kanamycins` + 1 `adenosine 5'-[gamma-thio]triphosphate`"
"MNXR96990"	"250-augustus_masked-4896-BLT_2"	"2.6.1.3"	"1 MNXM1214@MNXD1 + 1 MNXM89557@MNXD1 = 1 MNXM20@MNXD1 + 1 MNXM55@MNXD1"	"1 `3-mercaptopyruvate` + 1 `L-glutamate` = 1 `2-oxoglutarate` + 1 `L-cysteine`"
"MNXR108479"	"979-augustus_masked-BCD_8-12448"	"4.1.1.64"	"1 MNXM13@MNXD1 + 1 MNXM32@MNXD1 + 1 MNXM96077@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM23@MNXD1 + 1 MNXM4265@MNXD1"	"1 `CO2` + 1 `L-alanine` + 1 `dialkyl ketone` = 1 `H(+)` + 1 `pyruvate` + 1 `2,2-dialkylglycine`"
"MNXR131613"	"979-augustus_masked-BCD_8-12448"	"4.1.1.64"	"1 MNXM13@MNXD1 + 1 MNXM32@MNXD1 + 1 MNXM398@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM23@MNXD1 + 1 MNXM34885@MNXD1"	"1 `CO2` + 1 `L-alanine` + 1 `acetone` = 1 `H(+)` + 1 `pyruvate` + 1 `2-aminoisobutyric acid`"
"MNXR96231"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM2@MNXD1 + 1 MNXM3238@MNXD1 = 1 MNXM3237@MNXD1 + 1 MNXM41@MNXD1"	"1 `H2O` + 1 `cis-beta-D-glucosyl-2-hydroxycinnamate` = 1 `cis-2-coumarate` + 1 `D-glucose`"
"MNXR96241"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM1142@MNXD1 + 1 MNXM2@MNXD1 = 2 MNXM41@MNXD1"	"1 `beta-cellobiose` + 1 `H2O` = 2 `D-glucose`"
"MNXR96247"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM157@MNXD1 + 1 MNXM41@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM61741@MNXD1"	"1 `methanol` + 1 `D-glucose` = 1 `H2O` + 1 `methyl alpha-D-glucopyranoside`"
"MNXR96248"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM10816@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM157@MNXD1 + 1 MNXM41@MNXD1"	"1 `beta-Methylglucoside` + 1 `H2O` = 1 `methanol` + 1 `D-glucose`"
"MNXR104263"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM1855@MNXD1 + 1 MNXM41@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM2561@MNXD1"	"1 `salicyl alcohol` + 1 `D-glucose` = 1 `H2O` + 1 `salicin`"
"MNXR106343"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"2 MNXM105@MNXD1 = 1 MNXM1142@MNXD1 + 1 MNXM2@MNXD1"	"2 `beta-D-glucose` = 1 `beta-cellobiose` + 1 `H2O`"
"MNXR106995"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM1142@MNXD1 + 1 MNXM41@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM5664@MNXD1"	"1 `beta-cellobiose` + 1 `D-glucose` = 1 `H2O` + 1 `cellotriose`"
"MNXR107577"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM114238@MNXD1 + 1 MNXM41@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM2165@MNXD1"	"1 `mandelonitrile` + 1 `D-glucose` = 1 `H2O` + 1 `(R)-prunasin`"
"MNXR107801"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM1142@MNXD1 + (n-2) MNXM41@MNXD1 = (n-2) MNXM2@MNXD1 + 1 MNXM46032@MNXD1"	"1 `beta-cellobiose` + (n-2) `D-glucose` = (n-2) `H2O` + 1 `cellodextrin`"
"MNXR107868"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM2165@MNXD1 + 1 MNXM41@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM4201@MNXD1"	"1 `(R)-prunasin` + 1 `D-glucose` = 1 `H2O` + 1 `(R)-amygdalin`"
"MNXR108230"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM162349@MNXD1 + 1 MNXM41@MNXD1 = 1 MNXM16307@MNXD1 + 1 MNXM2@MNXD1"	"1 `ROH` + 1 `D-glucose` = 1 `beta-D-glucoside` + 1 `H2O`"
"MNXR109242"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM2@MNXD1 + 1 MNXM7214@MNXD1 = 1 MNXM3000@MNXD1 + 1 MNXM41@MNXD1"	"1 `H2O` + 1 `Cyanoglycoside` = 1 `cyanohydrin` + 1 `D-glucose`"
"MNXR110018"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + (n) MNXM4897@MNXD1 = 1 MNXM2@MNXD1 + (n+1) MNXM4897@MNXD1"	"1 `beta-D-glucose` + (n) `(1,4-beta-D-glucosyl)n` = 1 `H2O` + (n+1) `(1,4-beta-D-glucosyl)n`"
"MNXR113420"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + 1 MNXM768@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM3012@MNXD1"	"1 `beta-D-glucose` + 1 `(S)-4-hydroxymandelonitrile` = 1 `H2O` + 1 `dhurrin`"
"MNXR113424"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + 1 MNXM2041@MNXD1 = 1 MNXM12137@MNXD1 + 1 MNXM2@MNXD1"	"1 `beta-D-glucose` + 1 `(2R)-2-hydroxy-2-methylbutanenitrile` = 1 `Lotaustralin` + 1 `H2O`"
"MNXR113425"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM105@MNXD1 + 1 MNXM2066@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM4035@MNXD1"	"1 `beta-D-glucose` + 1 `2-hydroxy-2-methylpropanenitrile` = 1 `H2O` + 1 `linamarin`"
"MNXR115362"	"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"1 MNXM16307@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM41@MNXD1 + 1 MNXM96067@MNXD1"	"1 `beta-D-glucoside` + 1 `H2O` = 1 `D-glucose` + 1 `Non-Glucosylated-Glucose-Acceptors`"
