"panID"	"best_hit_s288c"
"1596-snap_masked-CPM_4-14907"	"YOL158C"
"1631-snap_masked-BDG_5-19334"	"YER185W"
"1660-snap_masked-BCB_3-14860"	"YLR081W"
"1669-snap_masked-BEE_6-12017"	"YEL069C"
"1682-snap_masked-CLG_4-26387"	"YGL255W"
"1715-snap_masked-AFI_5-7003"	"YHR094C"
"1730-snap_masked-BGQ_1-19910"	"YBL017C"
"1731-snap_masked-ADQ_4-7102"	"YHR094C"
"1738-snap_masked-BBM_6-7257"	"YLR081W"
"1745-snap_masked-ASC_6-27073"	"YLR081W"
"1749-snap_masked-AQM_4-11146"	"YHR094C"
"1751-snap_masked-BSL_4-12345"	"Q0105"
"1757-snap_masked-CQS_4-6420"	"YFL055W"
