"panID"	"GNL"	"Source"	"proteinID"	"ec"	"pident"	"length"	"mismatch"	"gapopen"	"qstart"	"qend"	"sstart"	"send"	"evalues"	"bitscore"	"gene"	"ortholog"
"217-augustus_masked-339-ALB_3"	"gnl"	"TC-DB"	"P13587"	"3.A.3.9.1"	94.7	815	43	0	1	2445	277	1091	0	1546.2	"YDR040C"	"YDR040C"
"217-augustus_masked-339-ALB_3"	"gnl"	"TC-DB"	"P78981"	"3.A.3.9.4"	66.8	805	227	5	1	2412	272	1037	3e-309	1057.4	NA	"YDR040C"
"217-augustus_masked-339-ALB_3"	"gnl"	"TC-DB"	"O13398"	"3.A.3.9.3"	57.3	824	285	15	1	2421	301	1074	4.9e-251	864	NA	"YDR040C"
"217-augustus_masked-339-ALB_3"	"gnl"	"TC-DB"	"B5B9V9"	"3.A.3.9.5"	52.7	788	339	11	1	2346	300	1059	9.3e-218	753.4	NA	"YDR040C"
"217-augustus_masked-339-ALB_3"	"gnl"	"TC-DB"	"P22189"	"3.A.3.9.2"	46.9	781	360	11	1	2337	276	1003	1.8e-181	632.9	NA	"YDR040C"
"241-augustus_masked-4866-BCP_8"	"gnl"	"TC-DB"	"P15685"	"2.A.1.1.10"	73.9	614	156	4	1	1833	1	613	2.7e-270	927.5	NA	"YJR160C,YDL247W"
"241-augustus_masked-4866-BCP_8"	"gnl"	"TC-DB"	"P53048"	"2.A.1.1.11"	54.2	587	256	5	1	1731	1	584	3.9e-184	641.3	"YGR289C"	"YJR160C,YDL247W"
"254-augustus_masked-5425-CDT_2"	"gnl"	"TC-DB"	"P04817"	"2.A.3.10.4"	96.9	590	18	0	1	1770	1	590	0	1139	"YEL063C"	"YEL063C"
"254-augustus_masked-5425-CDT_2"	"gnl"	"TC-DB"	"P38971"	"2.A.3.10.11"	71.7	526	147	2	199	1770	48	573	4.1e-223	770.8	"YNL270C"	"YEL063C"
"254-augustus_masked-5425-CDT_2"	"gnl"	"TC-DB"	"P32487"	"2.A.3.10.10"	61.9	598	215	4	13	1770	15	611	2.7e-211	731.5	"YNL268W"	"YEL063C"
"254-augustus_masked-5425-CDT_2"	"gnl"	"TC-DB"	"P43059"	"2.A.3.10.20"	56.1	572	228	9	100	1770	8	571	5.8e-169	590.9	NA	"YEL063C"
"265-augustus_masked-5486-AQA_4"	"gnl"	"TC-DB"	"Q59UQ7"	"2.A.28.3.7"	57.1	319	128	5	4	945	94	408	4.1e-98	354.8	NA	"YMR034C"
"269-augustus_masked-5488-AQA_4"	"gnl"	"TC-DB"	"P49792"	"1.I.1.1.3"	54.7	137	60	2	190	597	1171	1306	2.3e-32	135.6	NA	"YDR002W"
"288-augustus_masked-6650-CPA_4"	"gnl"	"TC-DB"	"P43549"	"1.A.8.9.7"	83.4	645	105	1	1	1935	1	643	9.40000000005573e-314	1072	"YFL054C"	"YFL054C"
"290-augustus_masked-6668-CPA_4"	"gnl"	"TC-DB"	"Q12016"	"9.B.199.1.7"	97.3	184	5	0	1	552	1	184	3.6e-101	364	"YOL129W"	"YOL129W"
"290-augustus_masked-6668-CPA_4"	"gnl"	"TC-DB"	"A1CM58"	"9.B.199.1.4"	51.2	164	67	3	64	552	22	173	2.6e-43	171.8	NA	"YOL129W"
"290-augustus_masked-6668-CPA_4"	"gnl"	"TC-DB"	"O43073"	"9.B.199.1.5"	45.8	177	83	4	22	552	7	170	1.1e-36	149.8	NA	"YOL129W"
"318-augustus_masked-7605-CPQ_4"	"gnl"	"TC-DB"	"P32487"	"2.A.3.10.10"	94	612	35	2	1	1833	1	611	0	1133.6	"YNL268W"	"YNL268W"
"318-augustus_masked-7605-CPQ_4"	"gnl"	"TC-DB"	"P04817"	"2.A.3.10.4"	68.7	527	162	2	256	1833	66	590	1.7e-211	732.3	"YEL063C"	"YNL268W"
"318-augustus_masked-7605-CPQ_4"	"gnl"	"TC-DB"	"P38971"	"2.A.3.10.11"	61.7	561	207	4	154	1821	12	569	3.2e-202	701.4	"YNL270C"	"YNL268W"
"318-augustus_masked-7605-CPQ_4"	"gnl"	"TC-DB"	"P43059"	"2.A.3.10.20"	49.9	555	259	8	214	1833	21	571	1e-152	537	NA	"YNL268W"
"334-augustus_masked-7615-CPQ_4"	"gnl"	"TC-DB"	"P39718"	"3.A.20.1.5"	81.1	180	33	1	1	537	1	180	6.9e-81	296.6	"YAL055W"	"YAL055W"
"341-augustus_masked-7617-CPQ_4"	"gnl"	"TC-DB"	"KZV12328"	"3.A.1.31.3"	99.3	608	4	0	1	1824	1	608	0	1206.4	NA	"YDR091C"
"348-augustus_masked-779-BSG_4"	"gnl"	"TC-DB"	"Q12359"	"2.A.96.1.5"	58.9	192	77	2	244	816	84	274	5.4e-61	231.1	"YDR384C"	"YMR288W"
"359-augustus_masked-8489-AQD_4"	"gnl"	"TC-DB"	"P13181"	"2.A.1.1.6"	97	574	17	0	1	1722	1	574	0	1123.6	"YLR081W"	"YLR081W"
"359-augustus_masked-8489-AQD_4"	"gnl"	"TC-DB"	"P39004"	"2.A.1.1.31"	72.1	562	155	1	31	1716	7	566	1.7e-245	845.1	"YDR342C"	"YLR081W"
"359-augustus_masked-8489-AQD_4"	"gnl"	"TC-DB"	"P32467"	"2.A.1.1.30"	72.6	555	149	2	58	1716	19	572	8.2e-245	842.8	"YHR092C"	"YLR081W"
"359-augustus_masked-8489-AQD_4"	"gnl"	"TC-DB"	"P32465"	"2.A.1.1.108"	70.7	512	150	0	181	1716	55	566	3.5e-227	784.3	"YHR094C"	"YLR081W"
"359-augustus_masked-8489-AQD_4"	"gnl"	"TC-DB"	"P54862"	"2.A.1.1.105"	65.4	557	188	3	49	1710	8	562	4.9e-213	737.3	"YOL156W"	"YLR081W"
"359-augustus_masked-8489-AQD_4"	"gnl"	"TC-DB"	"P23585"	"2.A.1.1.111"	69.4	494	151	0	175	1656	44	537	5.8e-206	713.8	"YMR011W"	"YLR081W"
"359-augustus_masked-8489-AQD_4"	"gnl"	"TC-DB"	"P43581"	"2.A.1.1.5"	65.1	533	181	3	61	1656	2	530	1.9e-201	698.7	"YFL011W"	"YLR081W"
"359-augustus_masked-8489-AQD_4"	"gnl"	"TC-DB"	"P39924"	"2.A.1.1.110"	61.9	514	193	2	172	1710	44	555	1.9e-188	655.6	"YEL069C"	"YLR081W"
"359-augustus_masked-8489-AQD_4"	"gnl"	"TC-DB"	"P54854"	"2.A.1.1.107"	59.3	540	215	2	43	1659	8	543	4.3e-185	644.4	"YDL245C"	"YLR081W"
"359-augustus_masked-8489-AQD_4"	"gnl"	"TC-DB"	"Q2MDH1"	"2.A.1.1.67"	57.5	527	218	2	73	1644	1	524	4.9e-181	630.9	NA	"YLR081W"
"360-augustus_masked-858-BGT_2"	"gnl"	"TC-DB"	"P13181"	"2.A.1.1.6"	93	443	31	0	1	1329	131	573	1.6e-248	854.7	"YLR081W"	"YLR081W"
"360-augustus_masked-858-BGT_2"	"gnl"	"TC-DB"	"P39004"	"2.A.1.1.31"	76.5	442	104	0	1	1326	125	566	1.2e-206	715.7	"YDR342C"	"YLR081W"
"360-augustus_masked-858-BGT_2"	"gnl"	"TC-DB"	"P32467"	"2.A.1.1.30"	75.8	442	107	0	1	1326	131	572	1.1e-204	709.1	"YHR092C"	"YLR081W"
"360-augustus_masked-858-BGT_2"	"gnl"	"TC-DB"	"P32465"	"2.A.1.1.108"	70.8	442	129	0	1	1326	125	566	3.9e-194	674.1	"YHR094C"	"YLR081W"
"360-augustus_masked-858-BGT_2"	"gnl"	"TC-DB"	"P54862"	"2.A.1.1.105"	68.3	442	138	1	1	1320	121	562	8.5e-181	629.8	"YOL156W"	"YLR081W"
"360-augustus_masked-858-BGT_2"	"gnl"	"TC-DB"	"P23585"	"2.A.1.1.111"	69.9	425	128	0	1	1275	116	540	1.4e-175	612.5	"YMR011W"	"YLR081W"
"360-augustus_masked-858-BGT_2"	"gnl"	"TC-DB"	"P43581"	"2.A.1.1.5"	66.6	422	141	0	1	1266	109	530	2.3e-170	595.1	"YFL011W"	"YLR081W"
"360-augustus_masked-858-BGT_2"	"gnl"	"TC-DB"	"P39924"	"2.A.1.1.110"	64.8	440	153	1	1	1320	118	555	4.5e-166	580.9	"YEL069C"	"YLR081W"
"360-augustus_masked-858-BGT_2"	"gnl"	"TC-DB"	"P54854"	"2.A.1.1.107"	63.8	442	158	1	1	1326	121	560	5e-165	577.4	"YDL245C"	"YLR081W"
"360-augustus_masked-858-BGT_2"	"gnl"	"TC-DB"	"Q2MDH1"	"2.A.1.1.67"	58	436	173	2	1	1299	104	532	2.7e-150	528.5	NA	"YLR081W"
"390-augustus_masked-9892-CPR_4"	"gnl"	"TC-DB"	"P38929"	"3.A.3.2.2"	92.1	1174	92	1	1	3522	1	1173	0	2078.5	"YGL006W"	"YGL006W"
"396-augustus_masked-9894-CPR_4"	"gnl"	"TC-DB"	"Q12235"	"2.A.1.14.20"	97.2	531	15	0	1	1593	1	531	1.4e-291	998	"YLL055W"	"YLL055W"
"410-augustus_masked-9906-CPR_4"	"gnl"	"TC-DB"	"P39111"	"3.A.2.2.3"	98.3	118	2	0	1	354	1	118	1.4e-61	231.9	"YGR020C"	"YGR020C"
"410-augustus_masked-9906-CPR_4"	"gnl"	"TC-DB"	"Q23680"	"3.A.2.2.7"	52.2	115	52	3	4	348	4	115	5.5e-26	113.6	NA	"YGR020C"
"410-augustus_masked-9906-CPR_4"	"gnl"	"TC-DB"	"Q9ZQX4"	"3.A.2.2.5"	52.2	115	52	2	4	348	9	120	9.3e-26	112.8	NA	"YGR020C"
"410-augustus_masked-9906-CPR_4"	"gnl"	"TC-DB"	"Q16864"	"3.A.2.2.4"	52.6	116	52	3	1	348	1	113	3.5e-25	110.9	NA	"YGR020C"
"410-augustus_masked-9906-CPR_4"	"gnl"	"TC-DB"	"Q9D1K2"	"3.A.2.2.6"	51.7	116	53	3	1	348	1	113	7.9e-25	109.8	NA	"YGR020C"
"417-augustus_masked-9909-CPR_4"	"gnl"	"TC-DB"	"C8Z8U3"	"3.A.16.1.2"	88.4	361	42	0	1	1083	1	361	6.2e-174	606.7	NA	"YGR048W"
"563-snap_masked-11216-CPN_4"	"gnl"	"TC-DB"	"P32800"	"3.A.20.1.5"	84.9	271	41	0	1	813	1	271	1.2e-140	495.7	"YJL210W"	"YJL210W"
"574-snap_masked-12218-ALI_5"	"gnl"	"TC-DB"	"P54862"	"2.A.1.1.105"	95.3	425	20	0	1	1275	1	425	7.7e-232	799.3	"YOL156W"	"YOL156W,YJL219W"
"574-snap_masked-12218-ALI_5"	"gnl"	"TC-DB"	"P39004"	"2.A.1.1.31"	69.7	422	126	1	10	1275	8	427	9e-172	599.7	"YDR342C"	"YOL156W,YJL219W"
"574-snap_masked-12218-ALI_5"	"gnl"	"TC-DB"	"P32467"	"2.A.1.1.30"	68.5	425	131	2	4	1275	11	433	7.1e-169	590.1	"YHR092C"	"YOL156W,YJL219W"
"574-snap_masked-12218-ALI_5"	"gnl"	"TC-DB"	"P13181"	"2.A.1.1.6"	65.2	414	142	1	34	1275	22	433	1.4e-153	539.3	"YLR081W"	"YOL156W,YJL219W"
"574-snap_masked-12218-ALI_5"	"gnl"	"TC-DB"	"P23585"	"2.A.1.1.111"	64.1	409	144	2	49	1275	13	418	1.3e-151	532.7	"YMR011W"	"YOL156W,YJL219W"
"574-snap_masked-12218-ALI_5"	"gnl"	"TC-DB"	"P43581"	"2.A.1.1.5"	62.6	420	146	2	16	1275	3	411	1.8e-151	532.3	"YFL011W"	"YOL156W,YJL219W"
"574-snap_masked-12218-ALI_5"	"gnl"	"TC-DB"	"P32465"	"2.A.1.1.108"	63.7	410	145	2	46	1275	22	427	6.7e-151	530.4	"YHR094C"	"YOL156W,YJL219W"
"574-snap_masked-12218-ALI_5"	"gnl"	"TC-DB"	"Q2MDH1"	"2.A.1.1.67"	60.7	379	148	1	142	1275	31	409	7.9e-136	480.3	NA	"YOL156W,YJL219W"
"574-snap_masked-12218-ALI_5"	"gnl"	"TC-DB"	"P39924"	"2.A.1.1.110"	50.8	429	198	5	1	1275	1	420	5.5e-121	431	"YEL069C"	"YOL156W,YJL219W"
"574-snap_masked-12218-ALI_5"	"gnl"	"TC-DB"	"P54854"	"2.A.1.1.107"	50.1	425	206	4	10	1275	2	423	4.4e-118	421.4	"YDL245C"	"YOL156W,YJL219W"
"725-augustus_masked-CPQ_4-15294"	"gnl"	"TC-DB"	"P48349"	"8.A.98.1.8"	70.2	238	67	2	13	717	7	243	2.5e-87	318.5	NA	"YDR099W"
"725-augustus_masked-CPQ_4-15294"	"gnl"	"TC-DB"	"P63104"	"8.A.98.1.2"	68.1	232	71	1	13	708	3	231	7.8e-81	297	NA	"YDR099W"
"725-augustus_masked-CPQ_4-15294"	"gnl"	"TC-DB"	"P29310"	"8.A.98.1.1"	65.9	232	76	1	13	708	6	234	6.6e-80	293.9	NA	"YDR099W"
"725-augustus_masked-CPQ_4-15294"	"gnl"	"TC-DB"	"C0H4V6"	"8.A.98.1.3"	61.2	242	88	2	1	711	7	247	8.9e-77	283.5	NA	"YDR099W"
"729-augustus_masked-ACD_7-5647"	"gnl"	"TC-DB"	"J5PL79"	"1.A.17.5.8"	83.9	936	145	2	64	2853	22	957	0	1545.8	NA	"YMR266W"
"740-augustus_masked-AIE_1-5050"	"gnl"	"TC-DB"	"P52918"	"9.A.50.1.1"	98.8	1224	15	0	1	3672	1	1224	0	2422.5	"YDR335W"	"YDR335W"
"741-augustus_masked-CCH_4-6757"	"gnl"	"TC-DB"	"P43548"	"2.A.3.10.14"	82.8	518	89	0	7	1560	20	537	2.5e-256	880.9	"YFL055W"	"YFL055W"
"742-augustus_masked-YBR-7232"	"gnl"	"TC-DB"	"P39709"	"2.A.1.14.37"	94.9	593	30	0	1	1779	1	593	0	1149.4	"YAL067C"	"YAL067C"
"744-augustus_masked-CPR_4-17586"	"gnl"	"TC-DB"	"P32844"	"1.F.2.1.1"	97.5	644	16	0	1	1932	162	805	0	1249.2	"YIL068C"	"YIL068C"
"755-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"P32467"	"2.A.1.1.30"	96.7	576	19	0	1	1728	1	576	0	1124.4	"YHR092C"	"YHR049W"
"755-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"P39004"	"2.A.1.1.31"	83.7	576	88	2	1	1728	1	570	4.1e-284	973.4	"YDR342C"	"YHR049W"
"755-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"P32465"	"2.A.1.1.108"	74.2	574	131	3	43	1728	2	570	1.4e-252	868.6	"YHR094C"	"YHR049W"
"755-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"P13181"	"2.A.1.1.6"	73.2	555	146	2	55	1716	20	572	2.6e-246	847.8	"YLR081W"	"YHR049W"
"755-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"P54862"	"2.A.1.1.105"	70.4	565	164	2	31	1719	2	565	4.4e-238	820.5	"YOL156W"	"YHR049W"
"755-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"P23585"	"2.A.1.1.111"	69.5	535	159	2	58	1656	5	537	1.8e-215	745.3	"YMR011W"	"YHR049W"
"755-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"P43581"	"2.A.1.1.5"	67.6	531	165	2	76	1656	3	530	2e-214	741.9	"YFL011W"	"YHR049W"
"755-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"Q2MDH1"	"2.A.1.1.67"	62.3	496	184	1	172	1650	31	526	1e-186	649.8	NA	"YHR049W"
"755-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"P39924"	"2.A.1.1.110"	57.5	539	226	2	52	1659	2	540	9.6e-185	643.3	"YEL069C"	"YHR049W"
"755-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"P54854"	"2.A.1.1.107"	56.4	541	233	2	40	1659	5	543	1.9e-180	629	"YDL245C"	"YHR049W"
"755-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"Q8J0U9"	"2.A.1.1.58"	46	474	253	2	226	1647	57	527	1.1e-124	443.7	NA	"YHR049W"
"756-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"P32465"	"2.A.1.1.108"	73.2	574	137	2	55	1773	13	570	4.1e-247	850.5	"YHR094C"	"YHR051W"
"756-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"P39004"	"2.A.1.1.31"	76.2	516	123	0	220	1767	53	568	1.2e-238	822.4	"YDR342C"	"YHR051W"
"756-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"P32467"	"2.A.1.1.30"	70.3	563	164	2	91	1773	15	576	3e-234	807.7	"YHR092C"	"YHR051W"
"756-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"P13181"	"2.A.1.1.6"	69.9	522	157	0	196	1761	51	572	6.5e-221	763.5	"YLR081W"	"YHR051W"
"756-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"P54862"	"2.A.1.1.105"	65	571	189	3	61	1767	5	566	4.4e-217	750.7	"YOL156W"	"YHR051W"
"756-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"P43581"	"2.A.1.1.5"	67.3	510	165	1	181	1704	22	531	2.9e-208	721.5	"YFL011W"	"YHR051W"
"756-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"P23585"	"2.A.1.1.111"	69	497	154	0	220	1710	44	540	2.7e-206	714.9	"YMR011W"	"YHR051W"
"756-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"Q2MDH1"	"2.A.1.1.67"	61.7	514	190	2	175	1695	13	526	5.1e-189	657.5	NA	"YHR051W"
"756-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"P39924"	"2.A.1.1.110"	55.2	504	224	2	250	1755	55	558	5.6e-172	600.9	"YEL069C"	"YHR051W"
"756-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"P54854"	"2.A.1.1.107"	56.1	487	213	1	250	1707	58	544	3.4e-169	591.7	"YDL245C"	"YHR051W"
"756-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"Q8J0U9"	"2.A.1.1.58"	46.8	474	249	2	271	1692	57	527	1.9e-127	453	NA	"YHR051W"
"756-augustus_masked-AHM_1-7103"	"gnl"	"TC-DB"	"Q400D8"	"2.A.1.1.36"	46	474	251	3	271	1689	55	524	1.6e-121	433.3	NA	"YHR051W"
"762-augustus_masked-CPN_4-15699"	"gnl"	"TC-DB"	"P39007"	"9.B.142.3.14"	98.6	718	10	0	109	2262	1	718	0	1424.1	"YGL022W"	"YGL022W"
"762-augustus_masked-CPN_4-15699"	"gnl"	"TC-DB"	"G9P430"	"9.B.142.3.5"	60.6	725	265	5	145	2262	19	741	1e-258	889.4	NA	"YGL022W"
"762-augustus_masked-CPN_4-15699"	"gnl"	"TC-DB"	"B3S136"	"9.B.142.3.3"	53.4	691	302	8	145	2175	7	691	1.6e-211	732.6	NA	"YGL022W"
"762-augustus_masked-CPN_4-15699"	"gnl"	"TC-DB"	"B4DJ24"	"9.B.142.3.4"	53.7	616	261	9	379	2175	1	609	5.5e-180	627.9	NA	"YGL022W"
"765-augustus_masked-CDT_2-5331"	"gnl"	"TC-DB"	"E7NFP9"	"8.A.68.1.1"	74	666	164	2	19	1989	7	672	1.9e-293	1004.6	NA	"YLR083C"
"783-augustus_masked-BBM_6-7237"	"gnl"	"TC-DB"	"P36033"	"5.B.1.5.3"	55.1	721	302	4	16	2157	6	711	7.2e-230	793.5	"YKL220C"	"YNR060W"
"784-augustus_masked-CPM_4-14712"	"gnl"	"TC-DB"	"P38767"	"2.A.66.1.5"	95.4	544	25	0	1	1632	1	544	1.8e-293	1004.6	"YHR032W"	"YHR032W"
"787-augustus_masked-YCM-7981"	"gnl"	"TC-DB"	"P38301"	"2.A.106.2.3"	72.2	259	72	0	7	783	21	279	2.5e-95	345.1	"YBR187W"	"YBR187W"
"787-augustus_masked-YCM-7981"	"gnl"	"TC-DB"	"B2WDS4"	"2.A.106.2.5"	45.1	264	119	2	61	774	249	512	1.6e-49	193	NA	"YBR187W"
"792-augustus_masked-AVB_8-8054"	"gnl"	"TC-DB"	"P39925"	"3.A.29.1.1"	94.8	733	36	1	1	2193	29	761	0	1303.9	"YER017C"	"YER017C"
"792-augustus_masked-AVB_8-8054"	"gnl"	"TC-DB"	"P40341"	"3.A.29.1.1"	59.4	638	236	6	262	2148	177	800	1.9e-209	725.7	"YMR089C"	"YER017C"
"792-augustus_masked-AVB_8-8054"	"gnl"	"TC-DB"	"Q9N3T5"	"3.A.29.1.2"	54	609	253	13	340	2124	144	739	1.5e-163	573.2	NA	"YER017C"
"823-augustus_masked-CPR_4-17880"	"gnl"	"TC-DB"	"O15131"	"1.I.1.1.3"	58.2	514	201	7	46	1569	9	514	6.8e-31	132.1	NA	"YNL189W"
"823-augustus_masked-CPR_4-17880"	"gnl"	"TC-DB"	"O60684"	"1.I.1.1.3"	57.9	511	204	6	46	1569	12	514	2e-27	120.6	NA	"YNL189W"
"823-augustus_masked-CPR_4-17880"	"gnl"	"TC-DB"	"O00629"	"1.I.1.1.3"	47	168	79	4	49	552	11	168	6.6e-26	115.5	NA	"YNL189W"
"823-augustus_masked-CPR_4-17880"	"gnl"	"TC-DB"	"O00505"	"1.I.1.1.3"	45.5	167	81	4	46	546	10	166	9.5e-25	111.7	NA	"YNL189W"
"823-augustus_masked-CPR_4-17880"	"gnl"	"TC-DB"	"P52294"	"1.I.1.1.3"	49.5	103	50	1	1261	1569	416	516	1.2e-22	104.8	NA	"YNL189W"
"825-augustus_masked-YCL-7822"	"gnl"	"TC-DB"	"Q12462"	"3.A.20.1.5"	95.8	236	10	0	1	708	1	236	4e-129	457.2	"YOL147C"	"YOL147C"
"825-augustus_masked-YCL-7822"	"gnl"	"TC-DB"	"Q12462"	"1.A.101.1.1"	95.8	236	10	0	1	708	1	236	4e-129	457.2	"YOL147C"	"YOL147C"
"844-augustus_masked-BBM_6-7255"	"gnl"	"TC-DB"	"P19658"	"1.F.2.1.1"	97.1	623	18	0	1	1869	1	623	0	1176	"YJL085W"	"YJL085W"
"869-augustus_masked-CPN_4-15612"	"gnl"	"TC-DB"	"P53203"	"3.A.20.1.5"	92	461	37	0	1	1383	1	461	5.2e-242	833.2	"YGR004W"	"YGR004W"
"869-augustus_masked-CPN_4-15612"	"gnl"	"TC-DB"	"Q06169"	"3.A.20.1.5"	48.3	406	204	3	73	1272	29	434	9e-109	390.6	"YLR324W"	"YGR004W"
"877-augustus_masked-YCC-11519"	"gnl"	"TC-DB"	"Q06598"	"2.A.59.1.1"	95.4	388	18	0	1	1164	17	404	4.2e-208	720.3	"YPR201W"	"YPR201W"
"892-augustus_masked-AIE_1-5069"	"gnl"	"TC-DB"	"P19145"	"2.A.3.10.2"	96.7	602	20	0	1	1806	1	602	0	1162.5	"YKR039W"	"YKR039W"
"892-augustus_masked-AIE_1-5069"	"gnl"	"TC-DB"	"Q59YT0"	"2.A.3.10.24"	59.9	551	212	5	163	1806	44	588	1.1e-186	649.8	NA	"YKR039W"
"892-augustus_masked-AIE_1-5069"	"gnl"	"TC-DB"	"P06775"	"2.A.3.10.1"	54.9	521	232	3	250	1806	84	603	6.8e-165	577.4	"YGR191W"	"YKR039W"
"892-augustus_masked-AIE_1-5069"	"gnl"	"TC-DB"	"Q5AG77"	"2.A.3.10.23"	51.4	570	262	4	124	1806	19	582	3.1e-162	568.5	NA	"YKR039W"
"892-augustus_masked-AIE_1-5069"	"gnl"	"TC-DB"	"Q59NZ6"	"2.A.3.10.26"	50.6	553	260	8	154	1806	35	576	1e-152	537	NA	"YKR039W"
"892-augustus_masked-AIE_1-5069"	"gnl"	"TC-DB"	"Q59WB3"	"2.A.3.10.25"	48.1	576	279	7	109	1803	40	606	5e-152	534.6	NA	"YKR039W"
"892-augustus_masked-AIE_1-5069"	"gnl"	"TC-DB"	"P25376"	"2.A.3.10.7"	47.8	519	268	3	256	1806	116	633	8.9e-149	523.9	"YCL025C"	"YKR039W"
