"","masterID","formula","EC","keggID"
"29","10064","(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + D-alanine + H2O => (6S)-5,6,7,8-tetrahydrofolate + 2-methylserine","2.1.2.7","R01225"
"30","10064","(6S)-5,6,7,8-tetrahydrofolate + 2-methylserine => (6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + D-alanine + H2O","2.1.2.7","R01225"
"31","10072","N,N-dimethylglycine + S-adenosyl-L-methionine => S-adenosyl-L-homocysteine + betaine + H(+)","2.1.1.161","R07244"
"32","10072","S-adenosyl-L-homocysteine + betaine + H(+) => N,N-dimethylglycine + S-adenosyl-L-methionine","2.1.1.161","R07244"
"33","10076","H2O + lactose => D-galactose + D-glucose","3.2.1.108","R01100"
"34","10076","D-galactose + D-glucose => H2O + lactose","3.2.1.108","R01100"
"35","10080","dihydrophloroglucinol + NADP(+) => 1,3,5-trihydroxybenzene + NADPH","1.3.1.57","R05308"
"36","10080","1,3,5-trihydroxybenzene + NADPH => dihydrophloroglucinol + NADP(+)","1.3.1.57","R05308"
"37","10084","3,4-dihydroxybenzoate + O2 => 3-carboxy-cis,cis-muconate + 2 H(+)","1.13.11.3","R01631"
"38","10084","3-carboxy-cis,cis-muconate + 2 H(+) => 3,4-dihydroxybenzoate + O2","1.13.11.3","R01631"
"39","10088","sucrose + UDP-alpha-D-galactose => 6(F)-alpha-D-galactosylsucrose + H(+) + UDP","2.4.1.167","R00809"
"40","10088","6(F)-alpha-D-galactosylsucrose + H(+) + UDP => sucrose + UDP-alpha-D-galactose","2.4.1.167","R00809"
"41","10092","a 2'-deoxyribonucleoside 3'-phosphate + H2O => a 2'-deoxyribonucleoside + phosphate","3.1.3.34","R02751"
"42","10092","a 2'-deoxyribonucleoside + phosphate => a 2'-deoxyribonucleoside 3'-phosphate + H2O","3.1.3.34","R02751"
"43","10096","S-adenosyl-L-methionine + fatty acyl-[ACP] => S-methyl-5'-thioadenosine + an N-acyl-L-homoserine lactone + H(+) + holo-[ACP]","2.3.1.184","R08940"
"44","10096","S-methyl-5'-thioadenosine + an N-acyl-L-homoserine lactone + H(+) + holo-[ACP] => S-adenosyl-L-methionine + fatty acyl-[ACP]","2.3.1.184","R08940"
"45","10100","a steryl ester + H2O => a fatty acid + a sterol + H(+)","3.1.1.13","R02115"
"46","10100","a fatty acid + a sterol + H(+) => a steryl ester + H2O","3.1.1.13","R02115"
"47","10104","2-oxoglutarate + gibberellin A20 + O2 => CO2 + gibberellin A1 + succinate","1.14.11.15","R03009"
"48","10104","CO2 + gibberellin A1 + succinate => 2-oxoglutarate + gibberellin A20 + O2","1.14.11.15","R03009"
"49","10108","(7S)-salutaridinol + NADP(+) => H(+) + NADPH + salutaridine","1.1.1.248","R04697"
"50","10108","H(+) + NADPH + salutaridine => (7S)-salutaridinol + NADP(+)","1.1.1.248","R04697"
"51","10112","L-homocysteine + L-serine => L-cystathionine + H2O","4.2.1.22","R01290"
"52","10112","L-cystathionine + H2O => L-homocysteine + L-serine","4.2.1.22","R01290"
"53","10116","6-phospho-D-gluconate + NADP(+) => D-ribulose 5-phosphate + CO2 + NADPH","1.1.1.44","R01528"
"54","10116","D-ribulose 5-phosphate + CO2 + NADPH => 6-phospho-D-gluconate + NADP(+)","1.1.1.44","R01528"
"55","10120","adenosine in double-stranded RNA + H2O + H(+) => inosine in double-stranded RNA + NH4(+)","3.5.4.37","NA"
"56","10120","inosine in double-stranded RNA + NH4(+) => adenosine in double-stranded RNA + H2O + H(+)","3.5.4.37","NA"
"57","10124","H(+) + NADPH + O2 + phenylacetone => benzyl acetate + H2O + NADP(+)","1.14.13.92","R07201"
"58","10124","benzyl acetate + H2O + NADP(+) => H(+) + NADPH + O2 + phenylacetone","1.14.13.92","R07201"
"59","10128","all-trans-violaxanthin => all-trans-neoxanthin","5.3.99.9","R06948"
"60","10128","all-trans-neoxanthin => all-trans-violaxanthin","5.3.99.9","R06948"
"61","10132","ATP + benzoate + CoA => AMP + benzoyl-CoA + diphosphate","6.2.1.25","R01422"
"62","10132","AMP + benzoyl-CoA + diphosphate => ATP + benzoate + CoA","6.2.1.25","R01422"
"63","10136","2 glyoxylate + H(+) => 2-hydroxy-3-oxopropanoate + CO2","4.1.1.47","R00013"
"64","10136","2-hydroxy-3-oxopropanoate + CO2 => 2 glyoxylate + H(+)","4.1.1.47","R00013"
"65","10140","NADP(+) + prostaglandin F2alpha => H(+) + NADPH + prostaglandin D2","1.1.1.188","R02684"
"66","10140","H(+) + NADPH + prostaglandin D2 => NADP(+) + prostaglandin F2alpha","1.1.1.188","R02684"
"67","10144","a ribonucleoside 3'-phosphate + H2O => a ribonucleoside + phosphate","3.1.3.6","R03060"
"68","10144","a ribonucleoside + phosphate => a ribonucleoside 3'-phosphate + H2O","3.1.3.6","R03060"
"69","10148","blasticidin S + H2O + H(+) => deaminohydroxyblasticidin S + NH4(+)","3.5.4.23","R03800"
"70","10148","deaminohydroxyblasticidin S + NH4(+) => blasticidin S + H2O + H(+)","3.5.4.23","R03800"
"71","10152","ATP + CO2 + NH4(+) => ADP + carbamoyl phosphate + 2 H(+)","2.7.2.2","R00150"
"72","10152","ADP + carbamoyl phosphate + 2 H(+) => ATP + CO2 + NH4(+)","2.7.2.2","R00150"
"73","10156","dihydrochelirubine + H(+) + NADPH + O2 => 12-hydroxydihydrochelirubine + H2O + NADP(+)","1.14.13.57","R04708"
"74","10156","12-hydroxydihydrochelirubine + H2O + NADP(+) => dihydrochelirubine + H(+) + NADPH + O2","1.14.13.57","R04708"
"75","10160","L-iditol + NAD(+) => L-sorbopyranose + H(+) + NADH","1.1.1.14","R07145"
"76","10160","L-sorbopyranose + H(+) + NADH => L-iditol + NAD(+)","1.1.1.14","R07145"
"77","10164","2-phospho-D-glycerate => H2O + phosphoenolpyruvate","4.2.1.11","R00658"
"78","10164","H2O + phosphoenolpyruvate => 2-phospho-D-glycerate","4.2.1.11","R00658"
"79","10168","15,16-dihydrobiliverdin + oxidized 2[4Fe-4S]-[ferredoxin] => biliverdin + 2 H(+) + reduced 2[4Fe-4S]-[ferredoxin]","1.3.7.2","R05818"
"80","10168","biliverdin + 2 H(+) + reduced 2[4Fe-4S]-[ferredoxin] => 15,16-dihydrobiliverdin + oxidized 2[4Fe-4S]-[ferredoxin]","1.3.7.2","R05818"
"81","10172","(R)-3-[(R)-3-hydroxybutanoyloxy]butanoate + H2O => 2 (R)-3-hydroxybutanoate + H(+)","3.1.1.22","R00048"
"82","10172","2 (R)-3-hydroxybutanoate + H(+) => (R)-3-[(R)-3-hydroxybutanoyloxy]butanoate + H2O","3.1.1.22","R00048"
"83","10176","indolmycenate + NAD(+) => (R)-3-(indol-3-yl)-2-oxobutanoate + H(+) + NADH","1.1.1.397","NA"
"84","10176","(R)-3-(indol-3-yl)-2-oxobutanoate + H(+) + NADH => indolmycenate + NAD(+)","1.1.1.397","NA"
"85","10180","(6S)-10-formyltetrahydrofolate + H2O + NADP(+) => (6S)-5,6,7,8-tetrahydrofolate + CO2 + H(+) + NADPH","1.5.1.6","R00941"
"86","10180","(6S)-5,6,7,8-tetrahydrofolate + CO2 + H(+) + NADPH => (6S)-10-formyltetrahydrofolate + H2O + NADP(+)","1.5.1.6","R00941"
"87","10184","(4,5-dihydro-5-oxofuran-2-yl)-acetate + H2O => 3-oxoadipate + H(+)","3.1.1.24","R02991"
"88","10184","3-oxoadipate + H(+) => (4,5-dihydro-5-oxofuran-2-yl)-acetate + H2O","3.1.1.24","R02991"
"89","10188","acetoacetyl-CoA + acetyl-CoA + H2O => (3S)-hydroxy-3-methylglutaryl-CoA + CoA + H(+)","2.3.3.10","R01978"
"90","10188","(3S)-hydroxy-3-methylglutaryl-CoA + CoA + H(+) => acetoacetyl-CoA + acetyl-CoA + H2O","2.3.3.10","R01978"
"91","10192","ATP + H2O + sulfate(out) => ADP + H(+) + phosphate + sulfate(in)","3.6.3.25","NA"
"92","10192","ADP + H(+) + phosphate + sulfate(in) => ATP + H2O + sulfate(out)","3.6.3.25","NA"
"93","10196","(1R,6R)-6-hydroxy-2-succinyl-cyclohexa-2,4-diene-1-carboxylate => 2-succinylbenzoate + H2O","4.2.1.113","R04031"
"94","10196","2-succinylbenzoate + H2O => (1R,6R)-6-hydroxy-2-succinyl-cyclohexa-2,4-diene-1-carboxylate","4.2.1.113","R04031"
"95","10200","butanoate + NAD(+) => (2E)-2-butenoate + H(+) + NADH","1.3.1.31","R01689"
"96","10200","(2E)-2-butenoate + H(+) + NADH => butanoate + NAD(+)","1.3.1.31","R01689"
"97","10204","dimethylamine + H2O + H(+) + oxidized [electron-transfer flavoprotein] => formaldehyde + methylamine + reduced [electron-transfer flavoprotein]","1.5.8.1","R01588"
"98","10204","formaldehyde + methylamine + reduced [electron-transfer flavoprotein] => dimethylamine + H2O + H(+) + oxidized [electron-transfer flavoprotein]","1.5.8.1","R01588"
"99","10208","L-arginyl-tRNA(Arg) + a [protein] N-terminus => H(+) + N-terminal L-arginyl-L-amino acid-[protein] + tRNA(Arg)","2.3.2.8","R03862"
"100","10208","H(+) + N-terminal L-arginyl-L-amino acid-[protein] + tRNA(Arg) => L-arginyl-tRNA(Arg) + a [protein] N-terminus","2.3.2.8","R03862"
"101","10212","2-oxoglutarate + 5-aminopentanoate => 5-oxopentanoate + L-glutamate","2.6.1.48","R02274"
"102","10212","5-oxopentanoate + L-glutamate => 2-oxoglutarate + 5-aminopentanoate","2.6.1.48","R02274"
"103","10216","[DNA-directed RNA polymerase] + ATP => ADP + H(+) + phospho-[DNA-directed RNA polymerase]","2.7.11.23","R04358"
"104","10216","ADP + H(+) + phospho-[DNA-directed RNA polymerase] => [DNA-directed RNA polymerase] + ATP","2.7.11.23","R04358"
"105","10220","L-tyrosine + ATP + tRNA(Tyr) => L-tyrosyl-tRNA(Tyr) + AMP + diphosphate + H(+)","6.1.1.1","R02918"
"106","10220","L-tyrosyl-tRNA(Tyr) + AMP + diphosphate + H(+) => L-tyrosine + ATP + tRNA(Tyr)","6.1.1.1","R02918"
"107","10224","ATP + pyridoxal => ADP + H(+) + pyridoxal 5'-phosphate","2.7.1.35","R00174"
"108","10224","ADP + H(+) + pyridoxal 5'-phosphate => ATP + pyridoxal","2.7.1.35","R00174"
"109","10228","citrate => cis-aconitate + H2O","NA","R01325"
"110","10228","cis-aconitate + H2O => citrate","NA","R01325"
"111","10236","trans-2-coumarate + UDP-D-glucose => trans-beta-D-glucosyl-2-hydroxycinnamate + H(+) + UDP","2.4.1.114","R03710"
"112","10236","trans-beta-D-glucosyl-2-hydroxycinnamate + H(+) + UDP => trans-2-coumarate + UDP-D-glucose","2.4.1.114","R03710"
"113","10240","2,3-saturated acyl-[ACP] + NAD(+) => (2E)-enoyl-[ACP] + H(+) + NADH","1.3.1.9","R01403"
"114","10240","(2E)-enoyl-[ACP] + H(+) + NADH => 2,3-saturated acyl-[ACP] + NAD(+)","1.3.1.9","R01403"
"115","10244","4-fumarylacetoacetate + H2O => acetoacetate + fumarate + H(+)","3.7.1.2","R01364"
"116","10244","acetoacetate + fumarate + H(+) => 4-fumarylacetoacetate + H2O","3.7.1.2","R01364"
"117","10248","dUTP + H2O => diphosphate + dUMP + H(+)","3.6.1.9","R02100"
"118","10248","diphosphate + dUMP + H(+) => dUTP + H2O","3.6.1.9","R02100"
"119","10252","O-phospho-L-serine + H(+) + hydrogen sulfide => L-cysteine + phosphate","2.5.1.65","R07274"
"120","10252","L-cysteine + phosphate => O-phospho-L-serine + H(+) + hydrogen sulfide","2.5.1.65","R07274"
"121","10260","ATP + H2O + Mg(2+)(out) => ADP + H(+) + Mg(2+)(in) + phosphate","3.6.3.2","NA"
"122","10260","ADP + H(+) + Mg(2+)(in) + phosphate => ATP + H2O + Mg(2+)(out)","3.6.3.2","NA"
"123","10264","alpha-D-glucose => beta-D-glucose","5.1.3.3","R01602"
"124","10264","beta-D-glucose => alpha-D-glucose","5.1.3.3","R01602"
"125","10268","2-dehydro-3-deoxy-D-glucarate => 2-hydroxy-3-oxopropanoate + pyruvate","4.1.2.20","R03277"
"126","10268","2-hydroxy-3-oxopropanoate + pyruvate => 2-dehydro-3-deoxy-D-glucarate","4.1.2.20","R03277"
"127","10272","a 1,2-diacyl-sn-glycerol + ATP => a 1,2-diacyl-sn-glycero-3-phosphate + ADP + H(+)","2.7.1.107","R02240"
"128","10272","a 1,2-diacyl-sn-glycero-3-phosphate + ADP + H(+) => a 1,2-diacyl-sn-glycerol + ATP","2.7.1.107","R02240"
"129","10276","5-diphospho-1D-myo-inositol 1,2,3,4,6-pentakisphosphate + ATP + H(+) => 1,5-bis(diphospho)-1D-myo-inositol 2,3,4,6-tetrakisphosphate + ADP","2.7.4.24","R08964"
"130","10276","1,5-bis(diphospho)-1D-myo-inositol 2,3,4,6-tetrakisphosphate + ADP => 5-diphospho-1D-myo-inositol 1,2,3,4,6-pentakisphosphate + ATP + H(+)","2.7.4.24","R08964"
"131","10280","1,7-dimethylxanthine + S-adenosyl-L-methionine => S-adenosyl-L-homocysteine + caffeine + H(+)","2.1.1.160","R07921"
"132","10280","S-adenosyl-L-homocysteine + caffeine + H(+) => 1,7-dimethylxanthine + S-adenosyl-L-methionine","2.1.1.160","R07921"
"133","10284","L-leucine => (3R)-beta-leucine","5.4.3.7","R01091"
"134","10284","(3R)-beta-leucine => L-leucine","5.4.3.7","R01091"
"135","10288","L-rhamnono-1,4-lactone + H2O => L-rhamnonate + H(+)","3.1.1.65","R03772"
"136","10288","L-rhamnonate + H(+) => L-rhamnono-1,4-lactone + H2O","3.1.1.65","R03772"
"137","10292","D-glucosamine 6-phosphate + acetyl-CoA => N-acetyl-D-glucosamine 6-phosphate + CoA + H(+)","2.3.1.4","R02058"
"138","10292","N-acetyl-D-glucosamine 6-phosphate + CoA + H(+) => D-glucosamine 6-phosphate + acetyl-CoA","2.3.1.4","R02058"
"139","10296","D-glyceraldehyde 3-phosphate + NADP(+) + phosphate => 3-phospho-D-glyceroyl phosphate + H(+) + NADPH","1.2.1.13","R01063"
"140","10296","3-phospho-D-glyceroyl phosphate + H(+) + NADPH => D-glyceraldehyde 3-phosphate + NADP(+) + phosphate","1.2.1.13","R01063"
"141","10300","D-glyceraldehyde 3-phosphate + NAD(+) + phosphate => 3-phospho-D-glyceroyl phosphate + H(+) + NADH","1.2.1.12","R01061"
"142","10300","3-phospho-D-glyceroyl phosphate + H(+) + NADH => D-glyceraldehyde 3-phosphate + NAD(+) + phosphate","1.2.1.12","R01061"
"143","10304","2-acyl-sn-glycero-3-phosphoethanolamine + fatty acyl-[ACP] => a 1,2-diacyl-sn-glycero-3-phosphoethanolamine + holo-[ACP]","2.3.1.40","R04864"
"144","10304","a 1,2-diacyl-sn-glycero-3-phosphoethanolamine + holo-[ACP] => 2-acyl-sn-glycero-3-phosphoethanolamine + fatty acyl-[ACP]","2.3.1.40","R04864"
"145","10308","a 1,2-diacylglycerol + CDP-choline => a 1,2-diacyl-sn-glycero-3-phosphocholine + CMP + H(+)","NA","R01321"
"146","10308","a 1,2-diacyl-sn-glycero-3-phosphocholine + CMP + H(+) => a 1,2-diacylglycerol + CDP-choline","NA","R01321"
"147","10312","H(+) + NADH + O2 + terephthalate => (3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate + NAD(+)","1.14.12.15","R05148"
"148","10312","(3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate + NAD(+) => H(+) + NADH + O2 + terephthalate","1.14.12.15","R05148"
"149","10316","2-oxoglutarate + O2 + thymine => 5-hydroxymethyluracil + CO2 + succinate","1.14.11.6","R01412"
"150","10316","5-hydroxymethyluracil + CO2 + succinate => 2-oxoglutarate + O2 + thymine","1.14.11.6","R01412"
"151","10320","trans-3-hydroxy-L-proline => 1-pyrroline-2-carboxylate + H2O","4.2.1.77","R04374"
"152","10320","1-pyrroline-2-carboxylate + H2O => trans-3-hydroxy-L-proline","4.2.1.77","R04374"
"153","10324","L-glycol + NADP(+) => a 2-hydroxycarbonyl + H(+) + NADPH","1.1.1.185","R03585"
"154","10324","a 2-hydroxycarbonyl + H(+) + NADPH => L-glycol + NADP(+)","1.1.1.185","R03585"
"155","10328","L-glycol + NAD(+) => a 2-hydroxycarbonyl + H(+) + NADH","1.1.1.185","R03584"
"156","10328","a 2-hydroxycarbonyl + H(+) + NADH => L-glycol + NAD(+)","1.1.1.185","R03584"
"157","10332","2-acyl-sn-glycero-3-phosphocholine + an acyl-CoA => a 1,2-diacyl-sn-glycero-3-phosphocholine + CoA","2.3.1.62","R01319"
"158","10332","a 1,2-diacyl-sn-glycero-3-phosphocholine + CoA => 2-acyl-sn-glycero-3-phosphocholine + an acyl-CoA","2.3.1.62","R01319"
"159","10336","citrate => isocitrate","4.2.1.3","R01324"
"160","10336","isocitrate => citrate","4.2.1.3","R01324"
"161","10340","(2E,6E)-farnesyl diphosphate => (-)-vetispiradiene + diphosphate","4.2.3.21","R06523"
"162","10340","(-)-vetispiradiene + diphosphate => (2E,6E)-farnesyl diphosphate","4.2.3.21","R06523"
"163","10344","1-O-(1Z-alkenyl)-sn-glycero-3-phosphocholine + an acyl-CoA => 1-O-(1Z-alkenyl)-2-acyl-sn-glycero-3-phosphocholine + CoA","2.3.1.25","R03109"
"164","10344","1-O-(1Z-alkenyl)-2-acyl-sn-glycero-3-phosphocholine + CoA => 1-O-(1Z-alkenyl)-sn-glycero-3-phosphocholine + an acyl-CoA","2.3.1.25","R03109"
"165","10348","5-oxo-L-proline + ATP + 2 H2O => L-glutamate + ADP + H(+) + phosphate","3.5.2.9","R00251"
"166","10348","L-glutamate + ADP + H(+) + phosphate => 5-oxo-L-proline + ATP + 2 H2O","3.5.2.9","R00251"
"167","10356","3alpha-hydroxy-5beta-androstan-17-one + NAD(+) => 5beta-androstane-3,17-dione + H(+) + NADH","1.1.1.152","R04309"
"168","10356","5beta-androstane-3,17-dione + H(+) + NADH => 3alpha-hydroxy-5beta-androstan-17-one + NAD(+)","1.1.1.152","R04309"
"169","10360","3,4-dihydrocoumarin + H2O => 3-(2-hydroxyphenyl)propanoate + H(+)","3.1.1.35","R03692"
"170","10360","3-(2-hydroxyphenyl)propanoate + H(+) => 3,4-dihydrocoumarin + H2O","3.1.1.35","R03692"
"171","10364","2-oxoglutarate + dodecanoyl-CoA + H2O => (3S,4S)-3-hydroxytetradecane-1,3,4-tricarboxylate + CoA + H(+)","2.3.3.4","R03859"
"172","10364","(3S,4S)-3-hydroxytetradecane-1,3,4-tricarboxylate + CoA + H(+) => 2-oxoglutarate + dodecanoyl-CoA + H2O","2.3.3.4","R03859"
"173","10368","2-oxoglutarate + dTDP-4-amino-4,6-dideoxy-D-galactose => L-glutamate + dTDP-4-dehydro-6-deoxy-D-galactose","2.6.1.59","R04438"
"174","10368","L-glutamate + dTDP-4-dehydro-6-deoxy-D-galactose => 2-oxoglutarate + dTDP-4-amino-4,6-dideoxy-D-galactose","2.6.1.59","R04438"
"175","10372","CoA + NAD(+) + phenylglyoxylate => benzoyl-CoA + CO2 + NADH","1.2.1.58","R02450"
"176","10372","benzoyl-CoA + CO2 + NADH => CoA + NAD(+) + phenylglyoxylate","1.2.1.58","R02450"
"177","10376","ATP + Cu(2+)(in) + H2O => ADP + Cu(2+)(out) + H(+) + phosphate","3.6.3.4","NA"
"178","10376","ADP + Cu(2+)(out) + H(+) + phosphate => ATP + Cu(2+)(in) + H2O","3.6.3.4","NA"
"179","10380","diphosphate + orotidine 5'-phosphate => 5-phospho-alpha-D-ribose 1-diphosphate + orotate","2.4.2.10","R01870"
"180","10380","5-phospho-alpha-D-ribose 1-diphosphate + orotate => diphosphate + orotidine 5'-phosphate","2.4.2.10","R01870"
"181","10388","GTP + oxaloacetate => CO2 + GDP + phosphoenolpyruvate","4.1.1.32","R00431"
"182","10388","CO2 + GDP + phosphoenolpyruvate => GTP + oxaloacetate","4.1.1.32","R00431"
"183","10392","(E)-cinnamyl alcohol + NADP(+) => (E)-cinnamaldehyde + H(+) + NADPH","1.1.1.195","R03054"
"184","10392","(E)-cinnamaldehyde + H(+) + NADPH => (E)-cinnamyl alcohol + NADP(+)","1.1.1.195","R03054"
"185","10396","an L-alpha-amino acid + H2O + NAD(+) => a 2-oxo carboxylate + H(+) + NADH + NH4(+)","1.4.1.5","R01258"
"186","10396","a 2-oxo carboxylate + H(+) + NADH + NH4(+) => an L-alpha-amino acid + H2O + NAD(+)","1.4.1.5","R01258"
"187","10400","L-glutamine + pyruvate => 2-oxoglutaramate + L-alanine","2.6.1.15","R00576"
"188","10400","2-oxoglutaramate + L-alanine => L-glutamine + pyruvate","2.6.1.15","R00576"
"189","10404","all-trans-beta-carotene + O2 => 2 retinal","NA","NA"
"190","10404","2 retinal => all-trans-beta-carotene + O2","NA","NA"
"191","10408","4,8,12-trimethyltridecanoyl-CoA + propanoyl-CoA => 3-oxopristanoyl-CoA + CoA","NA","R05330"
"192","10408","3-oxopristanoyl-CoA + CoA => 4,8,12-trimethyltridecanoyl-CoA + propanoyl-CoA","NA","R05330"
"193","10412","ADP-D-ribose + H2O => D-ribose 5-phosphate + AMP + 2 H(+)","3.6.1.53","R01054"
"194","10412","D-ribose 5-phosphate + AMP + 2 H(+) => ADP-D-ribose + H2O","3.6.1.53","R01054"
"195","10416","fumarate + toluene => 2-benzylsuccinate","4.1.99.11","R05598"
"196","10416","2-benzylsuccinate => fumarate + toluene","4.1.99.11","R05598"
"197","10420","pyruvate + taurine => L-alanine + sulfoacetaldehyde","2.6.1.77","R05652"
"198","10420","L-alanine + sulfoacetaldehyde => pyruvate + taurine","2.6.1.77","R05652"
"199","10424","N-benzoylglycine + H2O => benzoate + glycine","3.5.1.32","R01424"
"200","10424","benzoate + glycine => N-benzoylglycine + H2O","3.5.1.32","R01424"
"201","10428","(5Z,8Z,11Z,14Z)-eicosatetraenoate + O2 => (12S)-hydroperoxy-(5Z,8Z,10E,14Z)-eicosatetraenoate","1.13.11.31","R01596"
"202","10428","(12S)-hydroperoxy-(5Z,8Z,10E,14Z)-eicosatetraenoate => (5Z,8Z,11Z,14Z)-eicosatetraenoate + O2","1.13.11.31","R01596"
"203","10432","(2Z)-2-(acetamidomethylene)succinate + 2 H2O + H(+) => acetate + CO2 + NH4(+) + succinate semialdehyde","3.5.1.29","R01649"
"204","10432","acetate + CO2 + NH4(+) + succinate semialdehyde => (2Z)-2-(acetamidomethylene)succinate + 2 H2O + H(+)","3.5.1.29","R01649"
"205","10436","7alpha,12alpha-dihydroxy-3-oxochol-4-en-24-oyl-CoA => 12alpha-hydroxy-3-oxochola-4,6-dien-24-oyl-CoA + H2O","4.2.1.106","R11565"
"206","10436","12alpha-hydroxy-3-oxochola-4,6-dien-24-oyl-CoA + H2O => 7alpha,12alpha-dihydroxy-3-oxochol-4-en-24-oyl-CoA","4.2.1.106","R11565"
"207","10440","D-glucono-1,5-lactone + H2O => D-gluconate + H(+)","3.1.1.17","R01519"
"208","10440","D-gluconate + H(+) => D-glucono-1,5-lactone + H2O","3.1.1.17","R01519"
"209","10444","(S)-reticuline + S-adenosyl-L-methionine => (S)-laudanine + S-adenosyl-L-homocysteine + H(+)","2.1.1.291","R08787"
"210","10444","(S)-laudanine + S-adenosyl-L-homocysteine + H(+) => (S)-reticuline + S-adenosyl-L-methionine","2.1.1.291","R08787"
"211","10448","2-oxoglutarate + a flavanone + O2 => a flavone + CO2 + H2O + succinate","1.14.11.22","R07367"
"212","10448","a flavone + CO2 + H2O + succinate => 2-oxoglutarate + a flavanone + O2","1.14.11.22","R07367"
"213","10452","2-(L-cystein-S-yl)-2-(1H-indol-3-yl)-acetonitrile + O2 + reduced [NADPH--hemoprotein reductase] => (R)-dihydrocamalexate + 2 H2O + 2 H(+) + hydrogen cyanide + oxidized [NADPH--hemoprotein reductase]","NA","NA"
"214","10452","(R)-dihydrocamalexate + 2 H2O + 2 H(+) + hydrogen cyanide + oxidized [NADPH--hemoprotein reductase] => 2-(L-cystein-S-yl)-2-(1H-indol-3-yl)-acetonitrile + O2 + reduced [NADPH--hemoprotein reductase]","NA","NA"
"215","10456","acetyl-CoA + maltose => 1-O-acetylmaltose + CoA","2.3.1.79","R01556"
"216","10456","1-O-acetylmaltose + CoA => acetyl-CoA + maltose","2.3.1.79","R01556"
"217","10460","prostaglandin A1 => prostaglandin C1","5.3.3.9","R04565"
"218","10460","prostaglandin C1 => prostaglandin A1","5.3.3.9","R04565"
