"#"	"ID"	"NAME"	"EQUATION"	"EC-NUMBER"	"GENE ASSOCIATION"	"LOWER BOUND"	"UPPER BOUND"	"OBJECTIVE"	"COMPARTMENT"	"MIRIAM"	"SUBSYSTEM"	"REPLACEMENT ID"	"NOTE"	"REFERENCE"	"CONFIDENCE SCORE"	"source"
NA	"R02593"	"coniferyl alcohol:NADP+ oxidoreductase"	"NADP+[s] + Coniferyl alcohol[s] <=> NADPH[s] + H+[s] + Coniferyl aldehyde[s]"	"ec-code/1.1.1.194;ec-code/1.1.1.195"	"236-augustus_masked-4748-CNV_4"	-1000	1000	NA	NA	"kegg.pathway/rn00940;kegg.pathway/rn01110;kegg.pathway/M00039;kegg.orthology/K00083"	"Phenylpropanoid biosynthesis"	NA	NA	NA	NA	"KEGG"
NA	"R02887"	"1,4-beta-D-Glucan glucohydrolase"	"(n-2) C00001[s] + Cellodextrin[s] <=> (n-2) C00031[s] + Cellobiose[s]"	"ec-code/3.2.1.21;ec-code/3.2.1.74"	"1063-augustus_masked-CMG_6-37743"	-1000	1000	NA	NA	"kegg.pathway/rn00500;kegg.orthology/K05349"	"Starch and sucrose metabolism"	NA	NA	NA	NA	"KEGG"
NA	"R02926"	"Melibiitol galactohydrolase"	"H2O[s] + Melibiitol[s] <=> D-Galactose[s] + D-Sorbitol[s]"	"ec-code/3.2.1.22"	"1083-augustus_masked-BPL_2-7584 or 49-MEL1-R.14846- or 905-augustus_masked-BIL_3-4712"	-1000	1000	NA	NA	"kegg.pathway/rn00052;kegg.orthology/K07407"	"Galactose metabolism"	NA	NA	NA	NA	"KEGG"
NA	"R02985"	"amygdalin beta-glucosidase"	"D-Glucose[s] + Prunasin[s] <=> H2O[s] + Amygdalin[s]"	"ec-code/3.2.1.21;ec-code/3.2.1.117"	"1063-augustus_masked-CMG_6-37743"	-1000	1000	NA	NA	"kegg.pathway/rn00460;kegg.pathway/rn01110;kegg.orthology/K05349"	"Cyanoamino acid metabolism"	NA	NA	NA	NA	"KEGG"
NA	"R03527"	"D-Glucoside glucohydrolase"	"H2O[s] + beta-D-Glucoside[s] => D-Glucose[s] + ROH[s]"	"ec-code/3.2.1.21"	"1063-augustus_masked-CMG_6-37743"	0	1000	NA	NA	"kegg.pathway/rn00500;kegg.orthology/K05349"	"Starch and sucrose metabolism"	NA	NA	NA	NA	"KEGG"
NA	"R03634"	NA	"H2O[s] + Stachyose[s] => D-Galactose[s] + Raffinose[s]"	"ec-code/3.2.1.22"	"1083-augustus_masked-BPL_2-7584 or 49-MEL1-R.14846- or 905-augustus_masked-BIL_3-4712"	0	1000	NA	NA	"kegg.pathway/rn00052;kegg.orthology/K07407"	"Galactose metabolism"	NA	NA	NA	NA	"KEGG"
NA	"R03918"	"Sinapyl alcohol:NADP+ oxidoreductase"	"NADP+[s] + Sinapyl alcohol[s] <=> NADPH[s] + H+[s] + Sinapoyl aldehyde[s]"	"ec-code/1.1.1.195"	"236-augustus_masked-4748-CNV_4"	-1000	1000	NA	NA	"kegg.pathway/rn00940;kegg.pathway/rn01110;kegg.pathway/M00039;kegg.orthology/K00083"	"Phenylpropanoid biosynthesis"	NA	NA	NA	NA	"KEGG"
NA	"R04019"	"Digalactosylceramide galactohydrolase"	"H2O[s] + Digalactosylceramide[s] => D-Galactose[s] + Galactosylceramide[s]"	"ec-code/3.2.1.22"	"1083-augustus_masked-BPL_2-7584 or 49-MEL1-R.14846- or 905-augustus_masked-BIL_3-4712"	0	1000	NA	NA	"kegg.pathway/rn00600;kegg.orthology/K07407"	"Sphingolipid metabolism"	NA	NA	NA	NA	"KEGG"
NA	"R04470"	"Digalactosyl-diacylglycerol galactohydrolase"	"H2O[s] + Digalactosyl-diacylglycerol[s] => D-Galactose[s] + 1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol[s]"	"ec-code/3.2.1.22"	"1083-augustus_masked-BPL_2-7584 or 49-MEL1-R.14846- or 905-augustus_masked-BIL_3-4712"	0	1000	NA	NA	"kegg.pathway/rn00561;kegg.orthology/K07407"	"Glycerolipid metabolism"	NA	NA	NA	NA	"KEGG"
NA	"R04949"	"Cyanoglycoside glucohydrolase"	"H2O[s] + Cyanoglycoside[s] <=> D-Glucose[s] + Cyanohydrin[s]"	"ec-code/3.2.1.21"	"1063-augustus_masked-CMG_6-37743"	-1000	1000	NA	NA	"kegg.orthology/K05349"	NA	NA	NA	NA	NA	"KEGG"
NA	"R04998"	"beta-D-Glucosyl-2-coumarinate glucohydrolase"	"H2O[s] + cis-beta-D-Glucosyl-2-hydroxycinnamate[s] <=> D-Glucose[s] + cis-2-Hydroxycinnamate[s]"	"ec-code/3.2.1.21"	"1063-augustus_masked-CMG_6-37743"	-1000	1000	NA	NA	"kegg.pathway/rn00940;kegg.pathway/rn01110;kegg.orthology/K05349"	"Phenylpropanoid biosynthesis"	NA	NA	NA	NA	"KEGG"
NA	"R05549"	NA	"H2O[s] + D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose[s] => D-Galactose[s] + Melibiose[s]"	"ec-code/3.2.1.22"	"1083-augustus_masked-BPL_2-7584 or 49-MEL1-R.14846- or 905-augustus_masked-BIL_3-4712"	0	1000	NA	NA	"kegg.pathway/rn00052;kegg.orthology/K07407"	"Galactose metabolism"	NA	NA	NA	NA	"KEGG"
NA	"R05961"	NA	"H2O[s] + Globotriaosylceramide[s] <=> D-Galactose[s] + Lactosylceramide[s]"	"ec-code/3.2.1.22;ec-code/3.2.1.47"	"1083-augustus_masked-BPL_2-7584 or 49-MEL1-R.14846- or 905-augustus_masked-BIL_3-4712"	-1000	1000	NA	NA	"kegg.pathway/rn00603;kegg.orthology/K07407"	"Glycosphingolipid biosynthesis - globo and isoglobo series"	NA	NA	NA	NA	"KEGG"
NA	"R06091"	NA	"H2O[s] + Melibiose (G01275)[s] <=> D-Glucose[s] + D-Galactose[s]"	"ec-code/3.2.1.22"	"1083-augustus_masked-BPL_2-7584 or 49-MEL1-R.14846- or 905-augustus_masked-BIL_3-4712"	-1000	1000	NA	NA	"kegg.orthology/K07407"	NA	NA	NA	NA	NA	"KEGG"
NA	"R06570"	"cinnamyl-alcohol:NADP+ oxidoreductase"	"NADPH[s] + H+[s] + 5-Hydroxyconiferaldehyde[s] <=> NADP+[s] + 5-Hydroxyconiferyl alcohol[s]"	"ec-code/1.1.1.195"	"236-augustus_masked-4748-CNV_4"	-1000	1000	NA	NA	"kegg.pathway/rn00940;kegg.pathway/rn01110;kegg.orthology/K00083"	"Phenylpropanoid biosynthesis"	NA	NA	NA	NA	"KEGG"
NA	"R06571"	"cinnamyl-alcohol:NADP+ oxidoreductase"	"NADPH[s] + H+[s] + Caffeic aldehyde[s] <=> NADP+[s] + Caffeyl alcohol[s]"	"ec-code/1.1.1.195"	"236-augustus_masked-4748-CNV_4"	-1000	1000	NA	NA	"kegg.pathway/rn00940;kegg.pathway/rn01110;kegg.orthology/K00083"	"Phenylpropanoid biosynthesis"	NA	NA	NA	NA	"KEGG"
NA	"R07013"	"(1R,2S)-naphthalene 1,2-oxide hydrolase"	"H2O[s] + (1R,2S)-Naphthalene 1,2-oxide[s] => 1,2-Dihydronaphthalene-1,2-diol[s]"	"ec-code/3.3.2.9"	"932-augustus_masked-BAP_7-7168"	0	1000	NA	NA	"kegg.pathway/rn00980;kegg.orthology/K01253"	"Metabolism of xenobiotics by cytochrome P450"	NA	NA	NA	NA	"KEGG"
NA	"R07014"	"(1S,2R)-naphthalene 1,2-oxide hydrolase"	"H2O[s] + (1S,2R)-Naphthalene 1,2-oxide[s] => 1,2-Dihydronaphthalene-1,2-diol[s]"	"ec-code/3.3.2.9"	"932-augustus_masked-BAP_7-7168"	0	1000	NA	NA	"kegg.pathway/rn00980;kegg.orthology/K01253"	"Metabolism of xenobiotics by cytochrome P450"	NA	NA	NA	NA	"KEGG"
NA	"R07027"	"1-nitronaphthalene-5,6-oxide hydrolase"	"H2O[s] + 1-Nitronaphthalene-5,6-oxide[s] => 1-Nitro-5,6-dihydroxy-dihydronaphthalene[s]"	"ec-code/3.3.2.9"	"932-augustus_masked-BAP_7-7168"	0	1000	NA	NA	"kegg.pathway/rn00980;kegg.orthology/K01253"	"Metabolism of xenobiotics by cytochrome P450"	NA	NA	NA	NA	"KEGG"
NA	"R07071"	"bromobenzene-3,4-oxide hydrolase"	"H2O[s] + Bromobenzene-3,4-oxide[s] => Bromobenzene-3,4-dihydrodiol[s]"	"ec-code/3.3.2.9"	"932-augustus_masked-BAP_7-7168"	0	1000	NA	NA	"kegg.pathway/rn00980;kegg.orthology/K01253"	"Metabolism of xenobiotics by cytochrome P450"	NA	NA	NA	NA	"KEGG"
NA	"R07072"	"bromobenzene-2,3-oxide hydrolase"	"H2O[s] + Bromobenzene-2,3-oxide[s] => Bromobenzene-2,3-dihydrodiol[s]"	"ec-code/3.3.2.9"	"932-augustus_masked-BAP_7-7168"	0	1000	NA	NA	"kegg.pathway/rn00980;kegg.orthology/K01253"	"Metabolism of xenobiotics by cytochrome P450"	NA	NA	NA	NA	"KEGG"
NA	"R07082"	"benzo[a]pyrene-7,8-oxide hydrolase"	"H2O[s] + Benzo[a]pyrene-7,8-oxide[s] => Benzo[a]pyrene-7,8-diol[s]"	"ec-code/3.3.2.9"	"932-augustus_masked-BAP_7-7168"	0	1000	NA	NA	"kegg.pathway/rn00980;kegg.orthology/K01253"	"Metabolism of xenobiotics by cytochrome P450"	NA	NA	NA	NA	"KEGG"
NA	"R07210"	"alkanesulfonate, reduced-FMN:oxygen oxidoreductase"	"Oxygen[s] + Reduced FMN[s] + Alkanesulfonate[s] => H2O[s] + FMN[s] + Aldehyde[s] + Sulfite[s]"	"ec-code/1.14.14.5"	"1-EC1118_1F14_0012g"	0	1000	NA	NA	"kegg.pathway/rn00920;kegg.orthology/K04091"	"Sulfur metabolism"	NA	NA	NA	NA	"KEGG"
NA	"R07346"	"D-glucitol:NADP+ oxidoreductase"	"NADPH[s] + H+[s] + L-Sorbose[s] => NADP+[s] + D-Sorbitol[s]"	"ec-code/1.1.1.289"	"27-EC1118_1O4_6612g or 249-augustus_masked-4896-BLT_2"	0	1000	NA	NA	"kegg.pathway/rn00051;kegg.orthology/K17742"	"Fructose and mannose metabolism"	NA	NA	NA	NA	"KEGG"
NA	"R07437"	"4-coumaryl alcohol:NADP+ oxidoreductase"	"NADPH[s] + H+[s] + 4-Hydroxycinnamyl aldehyde[s] <=> NADP+[s] + 4-Coumaryl alcohol[s]"	"ec-code/1.1.1.195"	"236-augustus_masked-4748-CNV_4"	-1000	1000	NA	NA	"kegg.pathway/rn00940;kegg.pathway/rn01110;kegg.pathway/M00039;kegg.orthology/K00083"	"Phenylpropanoid biosynthesis"	NA	NA	NA	NA	"KEGG"
NA	"R09410"	"epoxide hydrolase"	"H2O[s] + Aflatoxin B1-exo-8,9-epoxide[s] => Aflatoxin B1 diol[s]"	"ec-code/3.3.2.9"	"932-augustus_masked-BAP_7-7168"	0	1000	NA	NA	"kegg.pathway/rn00980;kegg.orthology/K01253"	"Metabolism of xenobiotics by cytochrome P450"	NA	NA	NA	NA	"KEGG"
NA	"R09417"	"microsomal epoxide hydrolase"	"H2O[s] + 1a,11b-Dihydro-4,9-dimethylbenz[a]anthra[3,4-b]oxirene[s] => trans-3,4-Dihydro-3,4-dihydroxy-7,12-dimethylbenz[a]anthracene[s]"	"ec-code/3.3.2.9"	"932-augustus_masked-BAP_7-7168"	0	1000	NA	NA	"kegg.pathway/rn00980;kegg.orthology/K01253"	"Metabolism of xenobiotics by cytochrome P450"	NA	NA	NA	NA	"KEGG"
NA	"R09443"	"microsomal epoxide hydrolase"	"H2O[s] + 7,12-Dimethylbenz[a]anthracene 5,6-oxide[s] => trans-5,6-Dihydro-5,6-dihydroxy-7,12-dimethylbenz[a]anthracene[s]"	"ec-code/3.3.2.9"	"932-augustus_masked-BAP_7-7168"	0	1000	NA	NA	"kegg.pathway/rn00980;kegg.orthology/K01253"	"Metabolism of xenobiotics by cytochrome P450"	NA	NA	NA	NA	"KEGG"
NA	"R10035"	"beta-D-glucoside glucohydrolase"	"H2O[s] + Dhurrin[s] => beta-D-Glucose[s] + (S)-4-Hydroxymandelonitrile[s]"	"ec-code/3.2.1.21"	"1063-augustus_masked-CMG_6-37743"	0	1000	NA	NA	"kegg.pathway/rn00460;kegg.orthology/K05349"	"Cyanoamino acid metabolism"	NA	NA	NA	NA	"KEGG"
NA	"R10039"	"beta-D-glucoside glucohydrolase"	"H2O[s] + Lotaustralin[s] => beta-D-Glucose[s] + (2R)-2-Hydroxy-2-methylbutanenitrile[s]"	"ec-code/3.2.1.21"	"1063-augustus_masked-CMG_6-37743"	0	1000	NA	NA	"kegg.pathway/rn00460;kegg.orthology/K05349"	"Cyanoamino acid metabolism"	NA	NA	NA	NA	"KEGG"
NA	"R10040"	"beta-D-glucoside glucohydrolase"	"H2O[s] + Linamarin[s] => beta-D-Glucose[s] + Acetone cyanohydrin[s]"	"ec-code/3.2.1.21"	"1063-augustus_masked-CMG_6-37743"	0	1000	NA	NA	"kegg.pathway/rn00460;kegg.orthology/K05349"	"Cyanoamino acid metabolism"	NA	NA	NA	NA	"KEGG"
NA	"R10206"	"methanesulfonate,FMNH2:oxygen oxidoreductase"	"Oxygen[s] + Reduced FMN[s] + Methanesulfonic acid[s] => H2O[s] + FMN[s] + Formaldehyde[s] + Sulfite[s]"	"ec-code/1.14.14.5;ec-code/1.14.14.34"	"1-EC1118_1F14_0012g"	0	1000	NA	NA	"kegg.pathway/rn00920;kegg.orthology/K04091"	"Sulfur metabolism"	NA	NA	NA	NA	"KEGG"
NA	"R10992"	"L-alanine:2-oxobutanoate aminotransferase"	"L-Alanine[s] + 2-Oxobutanoate[s] <=> Pyruvate[s] + (S)-2-Aminobutanoate[s]"	"ec-code/2.6.1.44"	"979-augustus_masked-BCD_8-12448"	-1000	1000	NA	NA	"kegg.pathway/rn00270;kegg.orthology/K00827"	"Cysteine and methionine metabolism"	NA	NA	NA	NA	"KEGG"
NA	"RXN-11761"	"fluoroacetate dehalogenase"	"fluoroacetate[s] + H2O[s] => fluoride[s] + glycolate[s] + H+[s]"	"ec-code/3.8.1.3"	"227-augustus_masked-3919-CCQ_1"	0	1000	NA	NA	"rhea/30051;kegg.reaction/R02857"	"fluoroacetate degradation"	NA	NA	"pubmed/18807226;pubmed/14321384;pubmed/5928195"	2	"metacyc"
NA	"GUANIDINOBUTYRASE-RXN"	"guanidinobutyrase;guanidinobutyrate amidinohydrolase"	"4-guanidinobutanoate[s] + H2O[s] => 4-aminobutanoate[s] + urea[s]"	"ec-code/3.5.3.7"	"7-EC1118_1F14_0089g"	0	1000	NA	NA	"rhea/19501;kegg.reaction/R01990"	"L-arginine degradation XII;L-arginine degradation IX (arginine:pyruvate transaminase pathway);L-arginine degradation VIII (arginine oxidase pathway);L-arginine degradation X (arginine monooxygenase pathway)"	NA	NA	NA	2	"metacyc"
NA	"RXN-5184"	"L-2-aminoadipate semialdehyde transaminase;[LysW]-L-2-aminoadipate semialdehyde transaminase"	"2-oxoglutarate[s] + LysW-L-lysine[s] <=> L-glutamate[s] + LysW-Alpha-Aminoadipate-Semialdehyde[s]"	"ec-code/2.6.1.M4"	"1106-augustus_masked-CPL_4-15634"	-1000	1000	NA	NA	"kegg.reaction/R09778;rhea/28594;kegg.reaction/R06844"	"L-lysine biosynthesis V"	NA	NA	NA	2	"metacyc"
NA	"RXN-16000"	"L-allo-threonine dehydrogenase"	"L-allo-threonine[s] + NADP+[s] => L-2-amino-3-oxobutanoate[s] + NADPH[s] + H+[s]"	NA	"1075-augustus_masked-AEL_3-25454"	0	1000	NA	NA	NA	NA	NA	NA	NA	2	"metacyc"
NA	"RXN-15007"	"[LysW]-L-glutamate 5-semialdehyde transaminase"	"2-oxoglutarate[s] + LysW-L-ornithine[s] <=> L-glutamate[s] + LysW-L-glutamate-5-semialdehyde[s]"	"ec-code/2.6.1.11"	"1106-augustus_masked-CPL_4-15634"	-1000	1000	NA	NA	NA	"L-arginine biosynthesis IV (archaebacteria)"	NA	NA	NA	2	"metacyc"
NA	"RXN-9740"	"dimethylsulfide monooxygenase"	"dimethyl sulfide[s] + NADH[s] + oxygen[s] + H+[s] => methanethiol[s] + formaldehyde[s] + NAD+[s] + H2O[s]"	"ec-code/1.14.13.131"	"1-EC1118_1F14_0012g"	0	1000	NA	NA	"rhea/31358"	"dimethyl sulfide degradation I"	NA	NA	"pubmed/21216999"	2	"metacyc"
NA	"RXN0-2201"	"3-hydroxy acid dehydrogenase"	"NADP+[s] + L-serine[s] => 2-aminomalonate semialdehyde[s] + NADPH[s] + H+[s]"	NA	"1075-augustus_masked-AEL_3-25454"	0	1000	NA	NA	"rhea/21596;kegg.reaction/R06126"	NA	NA	NA	NA	2	"metacyc"
NA	"RXN-1125"	"sinapyl alcohol dehydrogenase"	"NADPH[s] + H+[s] + sinapaldehyde[s] => NADP+[s] + sinapyl alcohol[s]"	"ec-code/1.1.1.195"	"236-augustus_masked-4748-CNV_4 or 1067-augustus_masked-CMG_6-37743"	0	1000	NA	NA	"kegg.reaction/R03918"	"phenylpropanoid biosynthesis"	NA	NA	NA	2	"metacyc"
NA	"RXNQT-4336"	"6-(methylthio)hexylglucosinolate S-oxygenase"	"6-(methylthio)hexylglucosinolate[s] + NADPH[s] + oxygen[s] + H+[s] => 6-methylsulfinylhexyl glucosinolate[s] + NADP+[s] + H2O[s]"	"ec-code/1.14.13.dx"	"1328-augustus_masked-AVB_8-7945"	0	1000	NA	NA	NA	"glucosinolate biosynthesis from tetrahomomethionine"	NA	NA	NA	2	"metacyc"
NA	"RXN-14345"	"JI-20A 3'-phosphorylase"	"ATP[s] + JI-20A[s] => ADP[s] + 3'-phospho-JI-20A[s] + H+[s]"	NA	"144-augustus_masked-182-ABQ_6"	0	1000	NA	NA	NA	"gentamicin biosynthesis"	NA	NA	"pubmed/23339967"	2	"metacyc"
NA	"RXN-8287"	"stachyose synthase"	"2 raffinose[s] => stachyose[s] + sucrose[s]"	"ec-code/2.4.1"	"49-MEL1-R.14846- or 905-augustus_masked-BIL_3-4712 or 1083-augustus_masked-BPL_2-7584"	0	1000	NA	NA	NA	"ajugose biosynthesis II (galactinol-independent)"	NA	NA	NA	2	"metacyc"
NA	"MANNITOL-2-DEHYDROGENASE-RXN"	"mannitol dehydrogenase;D-mannitol dehydrogenase"	"D-mannitol[s] + NAD+[s] <=> keto-D-fructose[s] + NADH[s] + H+[s]"	"ec-code/1.1.1.67"	"27-EC1118_1O4_6612g or 249-augustus_masked-4896-BLT_2"	-1000	1000	NA	NA	"rhea/12084;kegg.reaction/R00868"	"mannitol cycle"	NA	NA	NA	2	"metacyc"
NA	"CYSTEINE-AMINOTRANSFERASE-RXN"	"cysteine aminotransferase;cysteine transaminase"	"2-oxoglutarate[s] + L-cysteine[s] <=> 3-mercaptopyruvate[s] + L-glutamate[s]"	"ec-code/2.6.1.3"	"465-maker-2357-ARB_2"	-1000	1000	NA	NA	"rhea/17441;kegg.reaction/R00895"	"hydrogen sulfide biosynthesis I;L-cysteine degradation III"	NA	NA	NA	2	"metacyc"
NA	"RXN-11696"	"2-alkenal reductase"	"Alk-2-enals[s] + NADH-P-OR-NOP[s] + H+[s] => NAD-P-OR-NOP[s] + n-Alkanals[s]"	"ec-code/1.3.1.74"	"945-augustus_masked-BDG_5-19334"	0	1000	NA	NA	NA	NA	NA	NA	NA	2	"metacyc"
NA	"1.14.18.2-RXN"	"cytidine monophosphate-N-acetylneuraminate hydroxylase"	"CMP-N-acetyl-beta-neuraminate[s] + 2 FERROCYTOCHROME-B5[s] + oxygen[s] + 2 H+[s] => CMP-N-glycoloyl-beta-neuraminate[s] + 2 FERRICYTOCHROME-B5[s] + H2O[s]"	"ec-code/1.14.18.2"	"369-augustus_masked-8850-CQS_4"	0	1000	NA	NA	"kegg.reaction/R01115"	"CMP-N-glycoloylneuraminate biosynthesis"	NA	NA	NA	2	"metacyc"
NA	"RXN-7567"	"nitrile hydratase;indole-3-acetonitrile nitrile hydratase"	"indole-3-acetonitrile[s] + H2O[s] => indole-3-acetamide[s]"	"ec-code/4.2.1.84"	"97-augustus_masked-1375-CFF_4"	0	1000	NA	NA	"kegg.reaction/R04020"	"indole-3-acetate biosynthesis II;indole-3-acetate biosynthesis IV (bacteria)"	NA	NA	"pubmed/11607511"	2	"metacyc"
NA	"RXNQT-4337"	"7-(methylthio)heptylglucosinolate S-oxygenase"	"7-(methylthio)heptyl glucosinolate[s] + NADPH[s] + oxygen[s] + H+[s] => 7-(methylsulfinyl)heptyl glucosinolate[s] + NADP+[s] + H2O[s]"	"ec-code/1.14.13.dx"	"1328-augustus_masked-AVB_8-7945"	0	1000	NA	NA	NA	"glucosinolate biosynthesis from pentahomomethionine"	NA	NA	NA	2	"metacyc"
NA	"RXN-1404"	"indole-3-acetonitrile nitrilase"	"indole-3-acetonitrile[s] + 2 H2O[s] => ammonium[s] + indole-3-acetate[s]"	"ec-code/3.5.5.1"	"97-augustus_masked-1375-CFF_4 or 162-augustus_masked-2356-ARB_2"	0	1000	NA	NA	"kegg.reaction/R03093"	"indole glucosinolate activation (herbivore attack);indole-3-acetate biosynthesis II;indole-3-acetate biosynthesis V (bacteria and fungi)"	NA	NA	NA	2	"metacyc"
NA	"3-SULFINOALANINE-AMINOTRANSFERASE-RXN"	"3-sulfinoalanine aminotransferase;cysteine sulfinate transaminase"	"2-oxoglutarate[s] + 3-sulfinoalanine[s] <=> 3-sulfinopyruvate[s] + L-glutamate[s]"	"ec-code/2.6.1"	"465-maker-2357-ARB_2"	-1000	1000	NA	NA	"kegg.reaction/R02619"	"L-cysteine degradation I"	NA	NA	NA	2	"metacyc"
NA	"RXN-12920"	"glucosyl-oleandomycin glucohydrolase"	"glucosyl-oleandomycin[s] + H2O[s] => Glucopyranose[s] + oleandomycin[s]"	"ec-code/3.2.1"	"1063-augustus_masked-CMG_6-37743"	0	1000	NA	NA	NA	"oleandomycin activation/inactivation"	NA	NA	"pubmed/1530845"	2	"metacyc"
NA	"RXNQT-4335"	"5-(methylthio)pentylglucosinolate S-oxygenase"	"5-(methylthio)pentylglucosinolate[s] + NADPH[s] + oxygen[s] + H+[s] => 5-(methylsulfinyl)pentyl glucosinolate[s] + NADP+[s] + H2O[s]"	"ec-code/1.14.13.dx"	"1328-augustus_masked-AVB_8-7945"	0	1000	NA	NA	NA	"glucosinolate biosynthesis from trihomomethionine"	NA	NA	NA	2	"metacyc"
NA	"RXN-18229"	"3-phenylpropionitrile nitrilase"	"3-phenylpropionitrile[s] + 2 H2O[s] => 3-phenylpropanoate[s] + ammonium[s]"	"ec-code/3.5.5.1"	"97-augustus_masked-1375-CFF_4"	0	1000	NA	NA	NA	NA	NA	NA	NA	2	"metacyc"
