"Abbreviation"	"Description"	"Reaction"	"Description_new"	"GPR"	"Lower bound"	"Upper bound"	"Objective"	"EC Number"	"References"	"KEGG ID"	"Subsystem_new"	"Subsystem_early_version"	"system_consistence"	"reaction_early_version"	"subsystem_consistence"	"reaction_consistence"
"r_0015"	"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)"	"s_0141[c] + s_0794[c] + s_1212[c]  -> s_0142[c] + s_1207[c]"	"         "	"YBR153W"	"0"	"1000"	"0"	"1.1.1.302"	"9068650"	"R09376"	"riboflavin metabolism ( sce00740 )"	"riboflavin metabolism ( sce00740 )"	TRUE	"2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine[c] + H+[c] + NADPH[c]  -> 2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone[c] + NADP(+)[c]"	TRUE	FALSE
"r_0016"	"2-aceto-2-hydroxybutanoate synthase"	"s_0179[m] + s_0799[m] + s_1401[m]  -> s_0039[m] + s_0460[m]"	"         "	"(( YCL009C and YMR108W ) or YMR108W )"	"0"	"1000"	"0"	"2.2.1.6"	"8972574"	"R08648"	"valine, leucine and isoleucine metabolism"	"valine, leucine, and isoleucine metabolism"	FALSE	"2-oxobutanoate[m] + H+[m] + pyruvate[m]  -> (S)-2-acetyl-2-hydroxybutanoate[m] + carbon dioxide[m]"	FALSE	FALSE
"r_0017"	"2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase"	"s_0148[m] + s_0437[m]  -> s_0006[m] + s_0424[m] + s_0799[m]"	"         "	"YNL256W"	"0"	"1000"	"0"	"2.5.1.15; 2.7.6.3; 4.1.2.25"	NA	"R03503"	"folate biosynthesis ( sce00790 )"	"folate biosynthesis ( sce00790 )"	TRUE	"2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol[m] + ATP[m]  -> (2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate[m] + AMP[m] + H+[m]"	TRUE	FALSE
"r_0018"	"2-aminoadipate transaminase"	"s_0176[c] + s_0991[c]  <=> s_0180[c] + s_0953[c]"	"       "	"( YER152C or YGL202W or YJL060W )"	"-1000"	"1000"	"0"	"2.6.1.39; 2.6.1.57; 2.6.1.7"	"10714900; 19342587"	"R01939"	"lysine metabolism"	"lysine metabolism"	TRUE	"2-oxoadipic acid[c] + L-glutamate[c]  <=> 2-oxoglutarate[c] + L-2-aminoadipate[c]"	TRUE	FALSE
"r_0019"	"2-dehydropantoate 2-reductase"	"s_0149[c] + s_0794[c] + s_1212[c]  -> s_0030[c] + s_1207[c]"	"         "	"YHR063C"	"0"	"1000"	"0"	"1.1.1.169"	NA	"R02472"	"pantothenate and coa biosynthesis ( sce00770 )"	"pantothenate and coa biosynthesis ( sce00770 )"	TRUE	"2-dehydropantoate[c] + H+[c] + NADPH[c]  -> (R)-pantoate[c] + NADP(+)[c]"	TRUE	FALSE
"r_0020"	"2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase"	"s_0552[m] + s_0807[m] + s_1361[m]  -> s_0350[m] + s_1326[m]"	"         "	"( YDR035W or YBR249C )"	"0"	"1000"	"0"	"2.5.1.54"	NA	"R01826"	"phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )"	"phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )"	TRUE	"D-erythrose 4-phosphate[m] + H2O[m] + phosphoenolpyruvate[m]  -> 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[m] + phosphate[m]"	TRUE	FALSE
"r_0021"	"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase"	"s_0155[m] + s_1419[m]  -> s_0156[m] + s_0799[m] + s_1415[m]"	"         "	"( YDR204W and YGL119W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C )"	"0"	"1000"	"0"	"1.14.13.-; 2.1.1.114; 2.1.1.201; 2.1.1.64; 2.7.-.-"	"15792955"	"R04983"	"ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )"	"ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )"	TRUE	"2-hexaprenyl-6-methoxy-1,4-benzoquinone[m] + S-adenosyl-L-methionine[m]  -> 2-hexaprenyl-6-methoxy-3-methyl-1,4-benzoquinone[m] + H+[m] + S-adenosyl-L-homocysteine[m]"	TRUE	FALSE
"r_0022"	"2-hexaprenyl-6-methoxyphenol monooxygenase"	"s_0157[m] + s_1278[m]  -> s_0155[m] + s_0807[m]"	"       "	"( YDR204W and YGL119W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C )"	"0"	"1000"	"0"	"1.14.13.-; 2.1.1.114; 2.1.1.201; 2.1.1.64; 2.7.-.-"	"15792955"	"R04982"	"ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )"	"ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )"	TRUE	"2-hexaprenyl-6-methoxyphenol[m] + oxygen[m]  -> 2-hexaprenyl-6-methoxy-1,4-benzoquinone[m] + H2O[m]"	TRUE	FALSE
"r_0023"	"2-isopropylmalate hydratase"	"s_0165[c] + s_0803[c]  <=> s_0162[c]"	"     "	"YGL009C"	"-1000"	"1000"	"0"	"4.2.1.33"	"3071717"	"R03968"	"valine, leucine and isoleucine metabolism"	"valine, leucine, and isoleucine metabolism"	FALSE	"2-isopropylmaleic acid[c] + H2O[c]  <=> 2-isopropylmalate[c]"	FALSE	FALSE
"r_0024"	"2-isopropylmalate synthase"	"s_0232[c] + s_0373[c] + s_0803[c]  -> s_0162[c] + s_0529[c] + s_0794[c]"	"           "	"( YNL104C or YOR108W )"	"0"	"1000"	"0"	"2.3.3.13"	"6090272"	"R01213"	"valine, leucine and isoleucine metabolism"	"valine, leucine, and isoleucine metabolism"	FALSE	"3-methyl-2-oxobutanoate[c] + acetyl-CoA[c] + H2O[c]  -> 2-isopropylmalate[c] + coenzyme A[c] + H+[c]"	FALSE	FALSE
"r_0025"	"2-isopropylmalate synthase"	"s_0233[m] + s_0376[m] + s_0807[m]  -> s_0164[m] + s_0532[m] + s_0799[m]"	"           "	"YNL104C"	"0"	"1000"	"0"	"2.3.3.13"	"6090272"	"R01213"	"valine, leucine and isoleucine metabolism"	"valine, leucine, and isoleucine metabolism"	FALSE	"3-methyl-2-oxobutanoate[m] + acetyl-CoA[m] + H2O[m]  -> 2-isopropylmalate[m] + coenzyme A[m] + H+[m]"	FALSE	FALSE
"r_0026"	"2-keto-4-methylthiobutyrate transamination"	"s_0294[c] + s_0991[c]  -> s_0180[c] + s_1029[c]"	"       "	"( YHR208W or YJR148W or YGL202W or YHR137W )"	"0"	"1000"	"0"	NA	"14506228"	"R07396"	"cysteine and methionine metabolism ( sce00270 )"	"cysteine and methionine metabolism ( sce00270 )"	TRUE	"4-methylthio-2-oxobutanoate[c] + L-glutamate[c]  -> 2-oxoglutarate[c] + L-methionine[c]"	TRUE	FALSE
"r_0027"	"2-methylcitrate dehydratase"	"s_0834[m]  <=> s_0454[m] + s_0807[m]"	"     "	"YDR234W"	"-1000"	"1000"	"0"	"4.2.1.36"	"5908136"	"R03444"	"lysine metabolism"	"lysine metabolism"	TRUE	"homocitrate[m]  <=> but-1-ene-1,2,4-tricarboxylic acid[m] + H2O[m]"	TRUE	FALSE
"r_0028"	"2-methylcitrate synthase"	"s_0807[m] + s_1273[m] + s_1382[m]  -> s_0174[m] + s_0532[m] + s_0799[m]"	"           "	"YPR001W"	"0"	"1000"	"0"	"2.3.3.1"	"16332871"	"R00931"	"propanoate metabolism ( sce00640 )"	"propanoate metabolism ( sce00640 )"	TRUE	"H2O[m] + oxaloacetate[m] + propionyl-CoA[m]  -> 2-methylcitrate[m] + coenzyme A[m] + H+[m]"	TRUE	FALSE
"r_0029"	"2-oxo-4-methyl-3-carboxypentanoate decarboxylation"	"s_0010[c] + s_0794[c]  -> s_0291[c] + s_0456[c]"	"       "	"YJR148W"	"0"	"1000"	"0"	"2.6.1.42"	NA	"R01652"	"valine, leucine and isoleucine metabolism"	"valine, leucine, and isoleucine metabolism"	FALSE	"(2S)-2-isopropyl-3-oxosuccinate[c] + H+[c]  -> 4-methyl-2-oxopentanoate[c] + carbon dioxide[c]"	FALSE	FALSE
"r_0030"	"2-oxo-4-methyl-3-carboxypentanoate decarboxylation"	"s_0011[m] + s_0799[m]  -> s_0292[m] + s_0460[m]"	"       "	"YHR208W"	"0"	"1000"	"0"	"2.6.1.42"	NA	"R01652"	"valine, leucine and isoleucine metabolism"	"valine, leucine, and isoleucine metabolism"	FALSE	"(2S)-2-isopropyl-3-oxosuccinate[m] + H+[m]  -> 4-methyl-2-oxopentanoate[m] + carbon dioxide[m]"	FALSE	FALSE
"r_0032"	"3',5'-bisphosphate nucleotidase"	"s_0390[c] + s_0803[c]  -> s_0423[c] + s_1322[c]"	"       "	"YOL064C"	"0"	"1000"	"0"	"3.1.3.7"	"7809627"	"R00188"	"sulfur metabolism ( sce00920 )"	"sulfur metabolism ( sce00920 )"	TRUE	"adenosine 3',5'-bismonophosphate[c] + H2O[c]  -> AMP[c] + phosphate[c]"	TRUE	FALSE
"r_0033"	"3',5'-cyclic-nucleotide phosphodiesterase"	"s_0192[c] + s_0803[c]  -> s_0423[c] + s_0794[c]"	"       "	"( YGL248W or YOR360C )"	"0"	"1000"	"0"	"3.1.4.17; 3.1.4.53"	NA	"R00191"	"purine metabolism ( sce00230 )"	"purine metabolism ( sce00230 )"	TRUE	"3',5'-cyclic AMP[c] + H2O[c]  -> AMP[c] + H+[c]"	TRUE	FALSE
"r_0034"	"3',5'-cyclic-nucleotide phosphodiesterase"	"s_0194[c] + s_0803[c]  -> s_0584[c] + s_0794[c]"	"       "	"YOR360C"	"0"	"1000"	"0"	"3.1.4.53"	NA	NA	"purine metabolism ( sce00230 )"	"purine metabolism ( sce00230 )"	TRUE	"3',5'-cyclic dAMP[c] + H2O[c]  -> dAMP[c] + H+[c]"	TRUE	FALSE
"r_0035"	"3',5'-cyclic-nucleotide phosphodiesterase"	"s_0196[c] + s_0803[c]  -> s_0794[c] + s_0849[c]"	"       "	"YOR360C"	"0"	"1000"	"0"	"3.1.4.53"	NA	NA	"purine metabolism ( sce00230 )"	"purine metabolism ( sce00230 )"	TRUE	"3',5'-cyclic IMP[c] + H2O[c]  -> H+[c] + IMP[c]"	TRUE	FALSE
"r_0036"	"3',5'-cyclic-nucleotide phosphodiesterase"	"s_0195[c] + s_0803[c]  -> s_0782[c] + s_0794[c]"	"       "	"YOR360C"	"0"	"1000"	"0"	"3.1.4.53"	NA	"R01234"	"purine metabolism ( sce00230 )"	"purine metabolism ( sce00230 )"	TRUE	"3',5'-cyclic GMP[c] + H2O[c]  -> GMP[c] + H+[c]"	TRUE	FALSE
"r_0037"	"3',5'-cyclic-nucleotide phosphodiesterase"	"s_0193[c] + s_0803[c]  -> s_0526[c] + s_0794[c]"	"       "	"YOR360C"	"0"	"1000"	"0"	"3.1.4.53"	NA	NA	"purine metabolism ( sce00230 )"	"purine metabolism ( sce00230 )"	TRUE	"3',5'-cyclic CMP[c] + H2O[c]  -> CMP[c] + H+[c]"	TRUE	FALSE
"r_0038"	"3,4-dihydroxy-2-butanone-4-phosphate synthase"	"s_0577[c]  -> s_0158[c] + s_0722[c] + s_0794[c]"	"       "	"YDR487C"	"0"	"1000"	"0"	"4.1.99.12"	"12595523"	"R07281"	"riboflavin metabolism ( sce00740 )"	"riboflavin metabolism ( sce00740 )"	TRUE	"D-ribulose 5-phosphate[c]  -> 2-hydroxy-3-oxobutyl phosphate[c] + formate[c] + H+[c]"	TRUE	FALSE
"r_0039"	"3-dehydroquinate dehydratase"	"s_0210[c]  -> s_0211[c] + s_0803[c]"	"     "	"YDR127W"	"0"	"1000"	"0"	"1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4"	NA	"R03084"	"phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )"	"phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )"	TRUE	"3-dehydroquinate[c]  -> 3-dehydroshikimate[c] + H2O[c]"	TRUE	FALSE
"r_0040"	"3-dehydroquinate synthase"	"s_0349[c]  -> s_0210[c] + s_1322[c]"	"     "	"YDR127W"	"0"	"1000"	"0"	"1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4"	"6355828"	"R03083"	"phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )"	"phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )"	TRUE	"7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c]  -> 3-dehydroquinate[c] + phosphate[c]"	TRUE	FALSE
"r_0041"	"3-dehydrosphinganine reductase"	"s_0231[er] + 2 s_0795[er] + s_1213[er]  -> s_1208[er] + s_1445[er]"	"          "	"YBR265W"	"0"	"1000"	"0"	"1.1.1.102"	"18296751; 9804843"	"R02978"	"sphingolipid metabolism ( sce00600 )"	"sphingolipid metabolism ( sce00600 )"	TRUE	"3-ketosphinganine[er] + 2 H+[er] + NADPH[er]  -> NADP(+)[er] + sphinganine[er]"	TRUE	FALSE
"r_0042"	"3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase"	"s_0551[c] + s_0803[c] + s_1360[c]  -> s_0349[c] + s_1322[c]"	"         "	"( YBR249C or YDR035W )"	"0"	"1000"	"0"	"2.5.1.54"	"2880280"	"R01826"	"phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )"	"phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )"	TRUE	"D-erythrose 4-phosphate[c] + H2O[c] + phosphoenolpyruvate[c]  -> 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] + phosphate[c]"	TRUE	FALSE
"r_0043"	"3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase"	"s_0215[c] + 0.5 s_1275[c]  -> s_0212[c]"	"      "	"( YPL252C or YDR376W )"	"0"	"1000"	"0"	NA	"15792955"	"R06865"	"ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )"	"ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )"	TRUE	"3-hexaprenyl-4-hydroxybenzoic acid[c] + 0.5 oxygen[c]  -> 3-hexaprenyl-4,5-dihydroxybenzoic acid[c]"	TRUE	FALSE
"r_0044"	"3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase"	"s_0214[m] + s_0799[m]  -> s_0157[m] + s_0460[m]"	"       "	"( YDR538W and YDR539W )"	"0"	"1000"	"0"	NA	"15792955"	"R06866"	"ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )"	"ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )"	TRUE	"3-hexaprenyl-4-hydroxy-5-methoxybenzoic acid[m] + H+[m]  -> 2-hexaprenyl-6-methoxyphenol[m] + carbon dioxide[m]"	TRUE	FALSE
"r_0045"	"3-hydroxy-L-kynurenine hydrolase"	"s_0222[c] + s_0803[c]  -> s_0224[c] + s_0955[c]"	"       "	"YLR231C"	"0"	"1000"	"0"	"3.7.1.3"	NA	"R02668"	"tryptophan metabolism ( sce00380 )"	"tryptophan metabolism ( sce00380 )"	TRUE	"3-hydroxy-L-kynurenine[c] + H2O[c]  -> 3-hydroxyanthranilate[c] + L-alanine[c]"	TRUE	FALSE
"r_0057"	"3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)"	"s_0054[p] + s_1202[p]  -> s_0257[p] + s_0801[p] + s_1206[p]"	"         "	"YKR009C"	"0"	"1000"	"0"	"1.1.1.n12; 4.2.1.119"	NA	"R04739"	"fatty acid degradation ( sce00071 )"	"fatty acid degradation ( sce00071 )"	TRUE	"(S)-3-hydroxytetradecanoyl-CoA[p] + NAD[p]  -> 3-oxotetradecanoyl-CoA[p] + H+[p] + NADH[p]"	TRUE	FALSE
"r_0058"	"3-hydroxyanthranilate 3,4-dioxygenase"	"s_0224[c] + s_1275[c]  -> s_0147[c] + s_0794[c]"	"       "	"YJR025C"	"0"	"1000"	"0"	"1.13.11.6"	"9539135"	NA	"tryptophan metabolism ( sce00380 )"	"tryptophan metabolism ( sce00380 )"	TRUE	"3-hydroxyanthranilate[c] + oxygen[c]  -> 2-amino-3-carboxymuconate-6-semialdehyde[c] + H+[c]"	TRUE	FALSE
"r_0059"	"3-isopropylmalate 3-methyltransferase"	"s_0009[c] + s_1416[c]  -> s_0217[c] + s_1413[c]"	"       "	"YER175C"	"0"	"1000"	"0"	"2.1.1.145"	"15147181"	NA	"complex alcohol metabolism"	"complex alcohol metabolism"	TRUE	"(2R,3S)-3-isopropylmalate[c] + S-adenosyl-L-methionine[c]  -> 3-hydroxy-2-isopropyl-4-methoxy-4-oxobutanoate[c] + S-adenosyl-L-homocysteine[c]"	TRUE	FALSE
"r_0060"	"3-isopropylmalate dehydratase"	"s_0009[c]  <=> s_0165[c] + s_0803[c]"	"     "	"YGL009C"	"-1000"	"1000"	"0"	"4.2.1.33"	"3071717"	"R04001"	"valine, leucine and isoleucine metabolism"	"valine, leucine, and isoleucine metabolism"	FALSE	"(2R,3S)-3-isopropylmalate[c]  <=> 2-isopropylmaleic acid[c] + H2O[c]"	FALSE	FALSE
"r_0061"	"3-isopropylmalate dehydrogenase"	"s_0009[c] + s_1198[c]  -> s_0010[c] + s_0794[c] + s_1203[c]"	"         "	"YCL018W"	"0"	"1000"	"0"	"1.1.1.85"	"6297759"	"R04426"	"valine, leucine and isoleucine metabolism"	"valine, leucine, and isoleucine metabolism"	FALSE	"(2R,3S)-3-isopropylmalate[c] + NAD[c]  -> (2S)-2-isopropyl-3-oxosuccinate[c] + H+[c] + NADH[c]"	FALSE	FALSE
"r_0062"	"3-methyl-2-oxobutanoate decarboxylase"	"s_0232[c] + s_0794[c]  -> s_0456[c] + s_0937[c]"	"       "	"( YGR087C or YLR044C or YLR134W )"	"0"	"1000"	"0"	"4.1.1.-; 4.1.1.1; 4.1.1.43; 4.1.1.74"	"12902239"	NA	"complex alcohol metabolism"	"complex alcohol metabolism"	TRUE	"3-methyl-2-oxobutanoate[c] + H+[c]  -> carbon dioxide[c] + isobutyraldehyde[c]"	TRUE	FALSE
"r_0063"	"3-methyl-2-oxobutanoate hydroxymethyltransferase"	"s_0233[m] + s_0307[m] + s_0807[m]  -> s_0150[m] + s_1488[m]"	"         "	"YBR176W"	"0"	"1000"	"0"	"2.1.2.11"	NA	"R01226"	"pantothenate and coa biosynthesis ( sce00770 )"	"pantothenate and coa biosynthesis ( sce00770 )"	TRUE	"3-methyl-2-oxobutanoate[m] + 5,10-methylenetetrahydrofolate[m] + H2O[m]  -> 2-dehydropantoate[m] + THF[m]"	TRUE	FALSE
"r_0064"	"3-methyl-2-oxopentanoate decarboxylase"	"s_0056[c] + s_0794[c]  -> s_0166[c] + s_0456[c]"	"       "	"( YDL080C or YGR087C or YLR044C or YLR134W )"	"0"	"1000"	"0"	"4.1.1.-; 4.1.1.1; 4.1.1.43; 4.1.1.74"	"12902239"	"R03894"	"complex alcohol metabolism"	"complex alcohol metabolism"	TRUE	"(S)-3-methyl-2-oxopentanoate[c] + H+[c]  -> 2-methylbutanal[c] + carbon dioxide[c]"	TRUE	FALSE
"r_0065"	"3-phosphoshikimate 1-carboxyvinyltransferase"	"s_0261[c] + s_1360[c]  -> s_0324[c] + s_1322[c]"	"       "	"YDR127W"	"0"	"1000"	"0"	"1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4"	"6355828"	"R03460"	"phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )"	"phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )"	TRUE	"3-phosphoshikimic acid[c] + phosphoenolpyruvate[c]  -> 5-O-(1-carboxyvinyl)-3-phosphoshikimic acid[c] + phosphate[c]"	TRUE	FALSE
"r_0066"	"4-amino-4-deoxychorismate synthase"	"s_0515[c] + s_0999[c]  -> s_0269[c] + s_0991[c]"	"       "	"YNR033W"	"0"	"1000"	"0"	"2.6.1.85"	NA	"R01716"	"folate biosynthesis ( sce00790 )"	"folate biosynthesis ( sce00790 )"	TRUE	"chorismate[c] + L-glutamine[c]  -> 4-amino-4-deoxychorismate[c] + L-glutamate[c]"	TRUE	FALSE
"r_0067"	"4-aminobenzoate synthase"	"s_0269[c]  -> s_0271[c] + s_0794[c] + s_1399[c]"	"       "	"YMR289W"	"0"	"1000"	"0"	"4.1.3.38"	NA	"R05553"	"folate biosynthesis ( sce00790 )"	"folate biosynthesis ( sce00790 )"	TRUE	"4-amino-4-deoxychorismate[c]  -> 4-aminobenzoate[c] + H+[c] + pyruvate[c]"	TRUE	FALSE
"r_0068"	"4-aminobutyrate transaminase"	"s_0180[c] + s_0734[c]  -> s_0991[c] + s_1461[c]"	"       "	"YGR019W"	"0"	"1000"	"0"	"2.6.1.19"	"10590462"	"R01648"	"alanine, aspartate and glutamate metabolism ( sce00250 )"	"alanine, aspartate and glutamate metabolism ( sce00250 )"	TRUE	"2-oxoglutarate[c] + gamma-aminobutyrate[c]  -> L-glutamate[c] + succinic semialdehyde[c]"	TRUE	FALSE
"r_0069"	"4-hydroxy-L-threonine synthase"	"s_0264[c] + s_0803[c]  -> s_0285[c] + s_1322[c]"	"       "	"YCR053W"	"0"	"1000"	"0"	"4.2.3.1"	"8082795"	"R05086"	"vitamin b6 metabolism ( sce00750 )"	"vitamin b6 metabolism ( sce00750 )"	TRUE	"4-(phosphonooxy)-L-threonine[c] + H2O[c]  -> 4-hydroxy-L-threonine[c] + phosphate[c]"	TRUE	FALSE
"r_0070"	"4-hydroxybenzoate formation"	"s_0290[m] + s_0807[m]  -> s_0287[m] + s_0532[m] + s_0799[m]"	"         "	NA	"0"	"1000"	"0"	NA	"11583838"	"R01301"	"ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )"	"ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )"	TRUE	"4-hydroxybenzoyl-CoA[m] + H2O[m]  -> 4-hydroxybenzoate[m] + coenzyme A[m] + H+[m]"	TRUE	FALSE
