ID	Abbreviation	Description_new	Description	GPR	KEGG ID	note	IsReversible	Subsystem_new	Subsystem_new2
112	R_triglycSYN	8.10 M_accoa_c + 7.10 M_atp_c + 7.69 M_h_c + 14.79 M_nadph_c + 0.59 M_o2_c + M_pa_SC_c <=> 7.10 M_adp_c + 8.10 M_coa_c + 0.18 M_h2o_c + 14.79 M_nadp_c + 8.10 M_pi_c + M_triglyc_SC_c	triglycSYN	NA	NA	NA	FALSE	growth	NA
124	R_ptd1inoSYN	2 M_atp_c + M_g6p_c + M_h2o_c + M_pa_SC_c <=> 2 M_adp_c + M_pi_c + M_ppi_c + M_ptd1ino_SC_c	ptd1inoSYN	NA	NA	NA	FALSE	growth	NA
131	R_umpSYN	M_asp_L_c + 3 M_atp_c + M_gln_L_c + 0.50 M_o2_c + M_r5p_c <=> 2 M_adp_c + M_amp_c + M_glu_L_c + 3 M_h_c + 2 M_pi_c + M_ppi_c + M_ump_c	umpSYN	NA	NA	NA	FALSE	growth	NA
147	R_paSYN	16.20 M_accoa_c + 14.20 M_atp_c + M_glyc3p_c + 15.38 M_h_c + 29.58 M_nadph_c + 1.18 M_o2_c <=> 14.20 M_adp_c + 16.20 M_coa_c + 2.36 M_h2o_c + 29.58 M_nadp_c + M_pa_SC_c + 14.20 M_pi_c	paSYN	NA	NA	NA	FALSE	growth	NA
148	R_psSYN	2 M_atp_c + M_pa_SC_c + M_ser_L_c <=> 2 M_adp_c + M_ppi_c + M_ps_SC_c	psSYN	NA	NA	NA	FALSE	growth	NA
180	R_dampSYN	M_amp_c + M_h_c + M_nadph_c <=> M_damp_c + M_h2o_c + M_nadp_c	dampSYN	NA	NA	NA	FALSE	growth	NA
183	R_ergstSYN	2 M_atp_c + M_h_c + M_met_L_c + 3 M_nadph_c + 2 M_o2_c + M_zymst_c <=> M_adp_c + M_amp_c + M_ergst_c + 2 M_h2o_c + M_hcys_L_c + 3 M_nadp_c + M_pi_c + M_ppi_c	ergstSYN	NA	NA	NA	FALSE	growth	NA
199	R_mannanSYN	M_atp_c + M_f6p_c <=> M_adp_c + M_mannan_c + M_ppi_c	mannanSYN	NA	NA	NA	FALSE	growth	NA
207	R_aicarSYN	M_10fthf_c + M_asp_L_c + 5 M_atp_c + M_co2_c + 2 M_gln_L_c + M_gly_c + 2 M_h2o_c + M_r5p_c <=> 4 M_adp_c + M_aicar_c + M_amp_c + M_fum_c + 2 M_glu_L_c + 8 M_h_c + 4 M_pi_c + M_ppi_c + M_thf_c	aicarSYN	NA	NA	NA	FALSE	growth	NA
214	R_gmpSYN	M_10fthf_c + M_aicar_c + M_atp_c + M_gln_L_c + M_h2o_c + M_nad_c <=> M_amp_c + M_glu_L_c + M_gmp_c + 3 M_h_c + M_nadh_c + M_ppi_c + M_thf_c	gmpSYN	NA	NA	NA	FALSE	growth	NA
253	R_dcmpSYN	M_cmp_c + M_h_c + M_nadph_c <=> M_dcmp_c + M_h2o_c + M_nadp_c	dcmpSYN	NA	NA	NA	FALSE	growth	NA
258	R_zymstSYN	18 M_accoa_c + 18 M_atp_c + 11 M_h_c + 2 M_nad_c + 26 M_nadph_c + 10 M_o2_c <=> 18 M_adp_c + 8 M_co2_c + 18 M_coa_c + M_for_c + 7 M_h2o_c + 2 M_nadh_c + 26 M_nadp_c + 6 M_pi_c + 6 M_ppi_c + M_zymst_c	zymstSYN	NA	NA	NA	FALSE	growth	NA
35	R_PPAm	M_h2o_m + M_ppi_m <=> M_h_m + 2 M_pi_m	Inorganic diphosphatase	NA	R00004	NA	FALSE	None	NA
101	R_OXAGm	M_h_m + M_oxag_m <=> M_2oxoadp_m + M_co2_m	homoisocitrate dehydrogenase (spontaneous)	NA	R01936	NA	TRUE	None	NA
145	R_CYOR_u6m	2 M_ficytc_m + 1.50 M_h_m + M_q6h2_m <=> 2 M_focytc_m + 1.50 M_hcyt_c + M_q6_m	Ubiquinol 6 cytochrome c reductase	NA	R02161	NA	FALSE	None	NA
176	R_GLCP	M_glycogen_c + M_pi_c <=> M_g1p_c	Glycogen phosphorylase	NA	R01821	NA	FALSE	None	NA
179	R_HICITDm	M_hicit_m + M_nad_m <=> M_h_m + M_nadh_m + M_oxag_m	Homoisocitrate dehydrogenase	NA	R04862	NA	TRUE	None	NA
240	R_PPA	M_h2o_c + M_ppi_c <=> M_h_c + 2 M_pi_c	Inorganic diphosphatase	NA	R00004	NA	FALSE	None	NA
244	R_NADH2_u6m	M_h_m + M_nadh_m + M_q6_m <=> M_nad_m + M_q6h2_m	NADH dehydrogenase  mitochondrial	NA	R02163	NA	FALSE	None	NA
8	R_ALDD2x	M_acald_c + M_h2o_c + M_nad_c <=> M_ac_c + 2 M_h_c + M_nadh_c	Aldehyde dehydrogenase (acetaldehyde, NAD)	NA	R00710	NA	FALSE	sce00010  Glycolysis / Gluconeogenesis	glycolysis / gluconeogenesis ( sce00010 )
9	R_ALDD2y	M_acald_c + M_h2o_c + M_nadp_c <=> M_ac_c + 2 M_h_c + M_nadph_c	Aldehyde dehydrogenase (acetaldehyde, NADP)	NA	R00711	NA	FALSE	sce00010  Glycolysis / Gluconeogenesis	glycolysis / gluconeogenesis ( sce00010 )
18	R_GAPD	M_g3p_c + M_nad_c + M_pi_c <=> M_13dpg_c + M_h_c + M_nadh_c	Glyceraldehyde-3-phosphate dehydrogenase	NA	R01061	NA	TRUE	sce00010  Glycolysis / Gluconeogenesis	NA
49	R_PFK_3	M_atp_c + M_s7p_c <=> M_adp_c + M_h_c + M_s17bp_c	Phosphofructokinase (s7p)	NA	R01843	check keggid	FALSE	sce00010  Glycolysis / Gluconeogenesis	glycolysis / gluconeogenesis ( sce00010 )
66	R_ACS	M_ac_c + M_atp_c + M_coa_c <=> M_accoa_c + M_amp_c + M_ppi_c	Acetyl-CoA synthetase	NA	R00235	NA	FALSE	sce00010  Glycolysis / Gluconeogenesis	pyruvate metabolism ( sce00620 )
73	R_PGM	M_2pg_c <=> M_3pg_c	Phosphoglycerate mutase	NA	R01518	NA	TRUE	sce00010  Glycolysis / Gluconeogenesis	glycolysis / gluconeogenesis ( sce00010 )
75	R_PGK	M_3pg_c + M_atp_c <=> M_13dpg_c + M_adp_c	Phosphoglycerate kinase	NA	R01512	NA	TRUE	sce00010  Glycolysis / Gluconeogenesis	glycolysis / gluconeogenesis ( sce00010 )
107	R_FBA	M_fdp_c <=> M_dhap_c + M_g3p_c	Fructose-bisphosphate aldolase	NA	R01070	NA	TRUE	sce00010  Glycolysis / Gluconeogenesis	NA
128	R_ALCD2x	M_etoh_c + M_nad_c <=> M_acald_c + M_h_c + M_nadh_c	Alcohol dehydrogenase (ethanol)	NA	R00754	NA	TRUE	sce00010  Glycolysis / Gluconeogenesis	glycolysis / gluconeogenesis ( sce00010 )
140	R_GLUSxm	M_akg_m + M_gln_L_m + M_h_m + M_nadh_m <=> 2 M_glu_L_m + M_nad_m	Glutamate synthase NADH2 (mitochondrial)	NA	R00093	NA	FALSE	sce00010  Glycolysis / Gluconeogenesis	alanine, aspartate and glutamate metabolism ( sce00250 )
141	R_PYRDC	M_h_c + M_pyr_c <=> M_acald_c + M_co2_c	Pyruvate decarboxylase	NA	R00224	check keggid	FALSE	sce00010  Glycolysis / Gluconeogenesis	glycolysis / gluconeogenesis ( sce00010 )
146	R_ALCD2y	M_etoh_c + M_nadp_c <=> M_acald_c + M_h_c + M_nadph_c	ALCD2y	NA	R00746	NA	TRUE	sce00010  Glycolysis / Gluconeogenesis	NA
159	R_ALCD2m	M_etoh_m + M_nad_m <=> M_acald_m + M_h_m + M_nadh_m	ALCD2m	NA	R00754	NA	TRUE	sce00010  Glycolysis / Gluconeogenesis	glycolysis / gluconeogenesis ( sce00010 )
188	R_ALDD2xm	M_acald_m + M_h2o_m + M_nad_m <=> M_ac_m + 2 M_h_m + M_nadh_m	Aldehyde dehydrogenase  acetylaldehyde  NAD   mitochondrial	NA	R00710	NA	FALSE	sce00010  Glycolysis / Gluconeogenesis	glycolysis / gluconeogenesis ( sce00010 )
209	R_TPI	M_dhap_c <=> M_g3p_c	Triose-phosphate isomerase	NA	R01015	NA	TRUE	sce00010  Glycolysis / Gluconeogenesis	NA
219	R_ALDD2ym	M_acald_m + M_h2o_m + M_nadp_m <=> M_ac_m + 2 M_h_m + M_nadph_m	Aldehyde dehydrogenase  acetylaldehyde  NADP   mitochondrial	NA	R00711	NA	FALSE	sce00010  Glycolysis / Gluconeogenesis	glycolysis / gluconeogenesis ( sce00010 )
224	R_PPCK	M_atp_c + M_oaa_c <=> M_adp_c + M_co2_c + M_pep_c	Phosphoenolpyruvate carboxykinase	NA	R00341	NA	FALSE	sce00010  Glycolysis / Gluconeogenesis	glycolysis / gluconeogenesis ( sce00010 )
237	R_PYK	M_adp_c + M_h_c + M_pep_c <=> M_atp_c + M_pyr_c	Pyruvate kinase	NA	R00200	NA	FALSE	sce00010  Glycolysis / Gluconeogenesis	glycolysis / gluconeogenesis ( sce00010 )
246	R_ENO	M_2pg_c <=> M_h2o_c + M_pep_c	Enolase	NA	R00658	NA	TRUE	sce00010  Glycolysis / Gluconeogenesis	glycolysis / gluconeogenesis ( sce00010 )
269	R_ACSm	M_ac_m + M_atp_m + M_coa_m <=> M_accoa_m + M_amp_m + M_ppi_m	Acetyl CoA synthetase	NA	R00235	NA	FALSE	sce00010  Glycolysis / Gluconeogenesis	pyruvate metabolism ( sce00620 )
22	R_SUCOAACTrm	M_ac_m + M_succoa_m <=> M_accoa_m + M_succ_m	succinyl-CoA:acetate CoA transferase	NA	R10343	NA	TRUE	sce00020  Citrate cycle (TCA cycle)	NA
37	R_FUM	M_fum_c + M_h2o_c <=> M_mal_L_c	Fumarase	NA	R01082	NA	TRUE	sce00020  Citrate cycle (TCA cycle)	citrate cycle (tca cycle) ( sce00020 )
71	R_CSc	M_accoa_c + M_h2o_c + M_oaa_c <=> M_cit_c + M_coa_c + M_h_c	Citrate synthase	NA	R00351	NA	FALSE	sce00020  Citrate cycle (TCA cycle)	NA
81	R_PC	M_atp_c + M_hco3_c + M_pyr_c <=> M_adp_c + M_h_c + M_oaa_c + M_pi_c	Pyruvate carboxylase	NA	R00344	NA	FALSE	sce00020  Citrate cycle (TCA cycle)	pyruvate metabolism ( sce00620 )
118	R_FUMm	M_fum_m + M_h2o_m <=> M_mal_L_m	Fumarase  mitochondrial	NA	R01082	NA	TRUE	sce00020  Citrate cycle (TCA cycle)	citrate cycle (tca cycle) ( sce00020 )
129	R_CSm	M_accoa_m + M_h2o_m + M_oaa_m <=> M_cit_m + M_coa_m + M_h_m	Citrate synthase	NA	R00351	NA	FALSE	sce00020  Citrate cycle (TCA cycle)	NA
142	R_ICDHxm	M_icit_m + M_nad_m <=> M_akg_m + M_co2_m + M_nadh_m	Isocitrate dehydrogenase  NAD	NA	R00709	NA	FALSE	sce00020  Citrate cycle (TCA cycle)	citrate cycle (tca cycle) ( sce00020 )
196	R_NADH2_u6cm	M_h_c + M_nadh_c + M_q6_m <=> M_nad_c + M_q6h2_m	NADH dehydrogenase  cytosolicmitochondrial	NA	R00342	NA	FALSE	sce00020  Citrate cycle (TCA cycle)	citrate cycle (tca cycle) ( sce00020 )
208	R_AKGDam	M_akg_m + M_coa_m + M_nad_m <=> M_co2_m + M_nadh_m + M_succoa_m	Oxoglutarate dehydrogenase  lipoamide	NA	R01197	NA	FALSE	sce00020  Citrate cycle (TCA cycle)	NA
233	R_MDH	M_mal_L_c + M_nad_c <=> M_h_c + M_nadh_c + M_oaa_c	Malate dehydrogenase	NA	R00342	NA	TRUE	sce00020  Citrate cycle (TCA cycle)	citrate cycle (tca cycle) ( sce00020 )
236	R_MDHm	M_mal_L_m + M_nad_m <=> M_h_m + M_nadh_m + M_oaa_m	Malate dehydrogenase  mitochondrial	NA	R00342	NA	TRUE	sce00020  Citrate cycle (TCA cycle)	citrate cycle (tca cycle) ( sce00020 )
255	R_SUCOAS1m	M_atp_m + M_coa_m + M_succ_m <=> M_adp_m + M_pi_m + M_succoa_m	SUCOAS1m	NA	R00405	NA	TRUE	sce00020  Citrate cycle (TCA cycle)	citrate cycle (tca cycle) ( sce00020 )
267	R_SUCD2_u6m	M_q6_m + M_succ_m <=> M_fum_m + M_q6h2_m	Succinate dehydrogenase  ubiquinone 6   mitochondrial	NA	R02164	NA	TRUE	sce00020  Citrate cycle (TCA cycle)	NA
15	R_PRPPS	M_atp_c + M_r5p_c <=> M_amp_c + M_h_c + M_prpp_c	Phosphoribosylpyrophosphate synthetase	NA	R01049	NA	TRUE	sce00030  Pentose phosphate pathway	NA
23	R_TKT1	M_r5p_c + M_xu5p_D_c <=> M_g3p_c + M_s7p_c	Transketolase	NA	R01641	NA	TRUE	sce00030  Pentose phosphate pathway	NA
29	R_G6PDH2	M_g6p_c + M_nadp_c <=> M_6pgl_c + M_h_c + M_nadph_c	Glucose 6-phosphate dehydrogenase	NA	R00835	check keggid	FALSE	sce00030  Pentose phosphate pathway	pentose phosphate pathway ( sce00030 )
60	R_RPE	M_ru5p_D_c <=> M_xu5p_D_c	Ribulose 5-phosphate 3-epimerase	NA	R01529	NA	TRUE	sce00030  Pentose phosphate pathway	pentose phosphate pathway ( sce00030 )
64	R_RPI	M_r5p_c <=> M_ru5p_D_c	Ribose-5-phosphate isomerase	NA	R01056	NA	TRUE	sce00030  Pentose phosphate pathway	NA
74	R_PGL	M_6pgl_c + M_h2o_c <=> M_6pgc_c + M_h_c	6-phosphogluconolactonase	NA	R02035	NA	FALSE	sce00030  Pentose phosphate pathway	pentose phosphate pathway ( sce00030 )
161	R_TALA	M_g3p_c + M_s7p_c <=> M_e4p_c + M_f6p_c	Transaldolase	NA	R01827	NA	TRUE	sce00030  Pentose phosphate pathway	NA
259	R_GND	M_6pgc_c + M_nadp_c <=> M_co2_c + M_nadph_c + M_ru5p_D_c	Phosphogluconate dehydrogenase	NA	R01528	NA	FALSE	sce00030  Pentose phosphate pathway	pentose phosphate pathway ( sce00030 )
268	R_GALU	M_g1p_c + M_h_c + M_utp_c <=> M_ppi_c + M_udpg_c	UTP-glucose-1-phosphate uridylyltransferase	NA	R00289	NA	TRUE	sce00040  Pentose and glucuronate interconversions	galactose metabolism ( sce00052 )
252	R_TYRTA	M_akg_c + M_tyr_L_c <=> M_34hpp_c + M_glu_L_c	Tyrosine transaminase	NA	R00734	NA	TRUE	sce00130  Ubiquinone and other terpenoid-quinone biosynthesis	tyrosine metabolism ( sce00350 )
56	R_CYOOm	4 M_focytc_m + 6 M_h_m + M_o2_m <=> 4 M_ficytc_m + 2 M_h2o_m + 6 M_hcyt_c	Cytochrome c oxidase  mitochondrial	NA	R00081	check keggid	FALSE	sce00190  Oxidative phosphorylation	oxidative phosphorylation ( sce00190 )
30	R_OCBTi	M_cbp_c + M_orn_c <=> M_citr_L_c + M_h_c + M_pi_c	Ornithine carbamoyltransferase	NA	R01398	NA	FALSE	sce00220  Arginine biosynthesis	NA
39	R_ACGKm	M_acglu_m + M_atp_m <=> M_acg5p_m + M_adp_m	Acetylglutamate kinase  mitochondrial	NA	R02649	NA	FALSE	sce00220  Arginine biosynthesis	arginine biosynthesis ( sce00220 )
80	R_ORNTACim	M_acorn_m + M_glu_L_m <=> M_acglu_m + M_orn_m	Ornithine transacetylase  irreversible  mitochondrial	NA	R02282	NA	FALSE	sce00220  Arginine biosynthesis	NA
85	R_ALATA_L	M_glu_L_c + M_pyr_c <=> M_akg_c + M_ala_L_c	L-alanine transaminase	NA	R00258	NA	FALSE	sce00220  Arginine biosynthesis	alanine, aspartate and glutamate metabolism ( sce00250 )
89	R_ACOTAim	M_acg5sa_m + M_glu_L_m <=> M_acorn_m + M_akg_m	Acteylornithine transaminase  irreversible  mitochondrial	NA	R02283	NA	FALSE	sce00220  Arginine biosynthesis	arginine biosynthesis ( sce00220 )
98	R_GLUDym	M_glu_L_m + M_h2o_m + M_nadp_m <=> M_akg_m + M_h_m + M_nadph_m + M_nh4_m	GLUDym	NA	R00248	NA	TRUE	sce00220  Arginine biosynthesis	NA
117	R_GLUDy	M_glu_L_c + M_h2o_c + M_nadp_c <=> M_akg_c + M_h_c + M_nadph_c + M_nh4_c	Glutamate dehydrogenase (NADP)	NA	R00248	NA	TRUE	sce00220  Arginine biosynthesis	NA
132	R_ASPTAm	M_akg_m + M_asp_L_m <=> M_glu_L_m + M_oaa_m	Aspartate transaminase	NA	R00355	NA	TRUE	sce00220  Arginine biosynthesis	alanine, aspartate and glutamate metabolism ( sce00250 )
136	R_GLUDxi	M_glu_L_c + M_h2o_c + M_nad_c <=> M_akg_c + M_h_c + M_nadh_c + M_nh4_c	Glutamate dehydrogenase  NAD	NA	R00243	NA	FALSE	sce00220  Arginine biosynthesis	NA
171	R_AGPRim	M_acg5p_m + M_h_m + M_nadph_m <=> M_acg5sa_m + M_nadp_m + M_pi_m	N acetyl g glutamyl phosphate reductase  irreversible  mitochondrial	NA	R03443	NA	FALSE	sce00220  Arginine biosynthesis	arginine biosynthesis ( sce00220 )
210	R_ARGSSr	M_asp_L_c + M_atp_c + M_citr_L_c <=> M_amp_c + M_argsuc_c + M_h_c + M_ppi_c	Argininosuccinate synthase	NA	R01954	NA	TRUE	sce00220  Arginine biosynthesis	arginine biosynthesis ( sce00220 )
216	R_ASPTA	M_akg_c + M_asp_L_c <=> M_glu_L_c + M_oaa_c	Aspartate transaminase	NA	R00355	NA	TRUE	sce00220  Arginine biosynthesis	alanine, aspartate and glutamate metabolism ( sce00250 )
228	R_ARGSL	M_argsuc_c <=> M_arg_L_c + M_fum_c	Argininosuccinate lyase	NA	R01086	NA	TRUE	sce00220  Arginine biosynthesis	arginine biosynthesis ( sce00220 )
245	R_ALATA_Lm	M_glu_L_m + M_pyr_m <=> M_akg_m + M_ala_L_m	L alanine transaminase  mitochondrial	NA	R00258	NA	FALSE	sce00220  Arginine biosynthesis	alanine, aspartate and glutamate metabolism ( sce00250 )
256	R_GLNS	M_atp_c + M_glu_L_c + M_nh4_c <=> M_adp_c + M_gln_L_c + M_h_c + M_pi_c	Glutamine synthetase	NA	R00253	NA	FALSE	sce00220  Arginine biosynthesis	NA
6	R_ADSK	M_aps_c + M_atp_c <=> M_adp_c + M_h_c + M_paps_c	Adenylyl-sulfate kinase	NA	R00509	NA	FALSE	sce00230  Purine metabolism	sulfur metabolism ( sce00920 )
46	R_SADT	M_atp_c + M_h_c + M_so4_c <=> M_aps_c + M_ppi_c	Sulfate adenylyltransferase	NA	R00529	NA	FALSE	sce00230  Purine metabolism	sulfur metabolism ( sce00920 )
50	R_ADK1	M_amp_c + M_atp_c <=> 2 M_adp_c	Adenylate kinase	NA	R00127	NA	TRUE	sce00230  Purine metabolism	purine metabolism ( sce00230 )
58	R_ATPS3m	M_adp_m + 3 M_hcyt_c + M_pi_m <=> M_atp_m + M_h2o_m + 3 M_h_m	ATP synthase  mitochondrial	NA	R00086	NA	FALSE	sce00230  Purine metabolism	NA
79	R_ADK1m	M_amp_m + M_atp_m <=> 2 M_adp_m	Adenylate kinase  mitochondrial	NA	R00127	NA	TRUE	sce00230  Purine metabolism	purine metabolism ( sce00230 )
86	R_ATPS	M_atp_c + M_h2o_c <=> M_adp_c + M_h_e + M_pi_c	ATPase  cytosolic	NA	R00086	NA	FALSE	sce00230  Purine metabolism	NA
87	R_ATPM	M_atp_c + M_h2o_c <=> M_adp_c + M_h_c + M_pi_c	ATP maintenance requirement	NA	R00086	NA	FALSE	sce00230  Purine metabolism	NA
139	R_CBPS	2 M_atp_c + M_gln_L_c + M_h2o_c + M_hco3_c <=> 2 M_adp_c + M_cbp_c + M_glu_L_c + 2 M_h_c + M_pi_c	Carbamoyl-phosphate synthase (glutamine-hydrolysing)	NA	R00575	NA	FALSE	sce00240  Pyrimidine metabolism	pyrimidine metabolism ( sce00240 )
198	R_UMPK	M_atp_c + M_ump_c <=> M_adp_c + M_udp_c	UMP kinase	NA	R00158	NA	TRUE	sce00240  Pyrimidine metabolism	pyrimidine metabolism ( sce00240 )
222	R_NDPK2	M_atp_c + M_udp_c <=> M_adp_c + M_utp_c	Nucleoside-diphosphate kinase (ATP:UDP)	NA	R00156	NA	TRUE	sce00240  Pyrimidine metabolism	pyrimidine metabolism ( sce00240 )
186	R_AGTm	M_ala_L_m + M_glx_m <=> M_gly_m + M_pyr_m	AGTim	NA	R00369	NA	TRUE	sce00250  Alanine, aspartate and glutamate metabolism	alanine, aspartate and glutamate metabolism ( sce00250 )
227	R_ASNS1	M_asp_L_c + M_atp_c + M_gln_L_c + M_h2o_c <=> M_amp_c + M_asn_L_c + M_glu_L_c + M_h_c + M_ppi_c	Asparagine synthase (glutamine-hydrolysing)	NA	R00578	NA	FALSE	sce00250  Alanine, aspartate and glutamate metabolism	alanine, aspartate and glutamate metabolism ( sce00250 )
16	R_GHMT2r	M_ser_L_c + M_thf_c <=> M_gly_c + M_h2o_c + M_mlthf_c	Glycine hydroxymethyltransferase, reversible	NA	R00945	NA	TRUE	sce00260  Glycine, serine and threonine metabolism	glycine, serine and threonine metabolism ( sce00260 )
26	R_ASADi	M_4pasp_c + M_h_c + M_nadph_c <=> M_aspsa_c + M_nadp_c + M_pi_c	Aspartate semialdehyde dehydrogenase  irreversible	NA	R02291	NA	FALSE	sce00260  Glycine, serine and threonine metabolism	glycine, serine and threonine metabolism ( sce00260 )
28	R_PGCD	M_3pg_c + M_nad_c <=> M_3php_c + M_h_c + M_nadh_c	Phosphoglycerate dehydrogenase	NA	R01513	NA	FALSE	sce00260  Glycine, serine and threonine metabolism	glycine, serine and threonine metabolism ( sce00260 )
38	R_HSDyi	M_aspsa_c + M_h_c + M_nadph_c <=> M_hom_L_c + M_nadp_c	Homoserine dehydrogenase  NADP   irreversible	NA	R01775	NA	FALSE	sce00260  Glycine, serine and threonine metabolism	glycine, serine and threonine metabolism ( sce00260 )
61	R_THRS	M_h2o_c + M_phom_c <=> M_pi_c + M_thr_L_c	Threonine synthase	NA	R01466	NA	FALSE	sce00260  Glycine, serine and threonine metabolism	glycine, serine and threonine metabolism ( sce00260 )
65	R_THRA	M_acald_c + M_gly_c <=> M_thr_L_c	THRA	NA	R00751	NA	TRUE	sce00260  Glycine, serine and threonine metabolism	glycine, serine and threonine metabolism ( sce00260 )
83	R_TRPS1	M_3ig3p_c + M_ser_L_c <=> M_g3p_c + M_h2o_c + M_trp_L_c	Tryptophan synthase (indoleglycerol phosphate)	NA	R02722	NA	FALSE	sce00260  Glycine, serine and threonine metabolism	NA
96	R_ASPKi	M_asp_L_c + M_atp_c <=> M_4pasp_c + M_adp_c	Aspartate kinase	NA	R00480	NA	FALSE	sce00260  Glycine, serine and threonine metabolism	glycine, serine and threonine metabolism ( sce00260 )
109	R_THRD_Lm	M_thr_L_m <=> M_2obut_m + M_nh4_m	L threonine deaminase  mitochondrial	NA	R00996	NA	FALSE	sce00260  Glycine, serine and threonine metabolism	NA
150	R_PSERT	M_3php_c + M_glu_L_c <=> M_akg_c + M_pser_L_c	Phosphoserine transaminase	NA	R04173	NA	FALSE	sce00260  Glycine, serine and threonine metabolism	glycine, serine and threonine metabolism ( sce00260 )
