"ID"	"compostion"	"mnxID"	"Formula"	"Charge"	"Description"
"Rh21"	"reactant"	"MNXM14"	"C10H12N5O7P"	"-2"	"AMP"
"Rh21"	"reactant"	"MNXM618"	"C23H31N7O19P3S"	"-5"	"oxalyl-CoA"
"Rh21"	"product"	"MNXM12"	"C21H32N7O16P3S"	"-4"	"CoA"
"Rh21"	"product"	"MNXM291"	"C2O4"	"-2"	"oxalate"
"Rh21"	"product"	"MNXM3"	"C10H12N5O13P3"	"-4"	"ATP"
"Rh22"	"reactant"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh22"	"reactant"	"MNXM9298"	"NA"	"NA"	"G00171"
"Rh22"	"product"	"MNXM41"	"C6H12O6"	"0"	"D-glucose"
"Rh22"	"product"	"MNXM9295"	"NA"	"NA"	"G00010"
"Rh23"	"reactant"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh23"	"reactant"	"MNXM9295"	"NA"	"NA"	"G00010"
"Rh23"	"product"	"MNXM41"	"C6H12O6"	"0"	"D-glucose"
"Rh23"	"product"	"MNXM6479"	"NA"	"NA"	"G00011"
"Rh30"	"reactant"	"MNXM278"	"C20H35O4P(C5H8)n"	"-2"	"dolichyl phosphate"
"Rh30"	"reactant"	"MNXM47"	"C17H25N3O17P2"	"-2"	"UDP-N-acetyl-alpha-D-glucosamine"
"Rh30"	"product"	"MNXM80"	"C9H11N2O9P"	"-2"	"UMP"
"Rh30"	"product"	"MNXM818"	"(C5H8)nC28H49NO12P2"	"-2"	"N-acetyl-alpha-D-glucosaminyldiphosphodolichol"
"Rh33"	"reactant"	"MNXM32"	"C3H7NO2"	"0"	"L-alanine"
"Rh33"	"reactant"	"MNXM87040"	"HSR"	"0"	"thiol group"
"Rh33"	"product"	"MNXM55"	"C3H7NO2S"	"0"	"L-cysteine"
"Rh33"	"product"	"MNXM55810"	"HR"	"0"	"H group"
"Rh43"	"reactant"	"NA"	NA	NA	NA
"Rh43"	"product"	"NA"	NA	NA	NA
"Rh45"	"reactant"	"MNXM1"	"H"	"1"	"H(+)"
"Rh45"	"reactant"	"MNXM163305"	"C20H31N4O12R3"	"0"	"an N(4)-(oligosaccharide-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosaminyl)-L-asparagine residue"
"Rh45"	"reactant"	"MNXM2370"	"C20H35O7P2(C5H8)n"	"-3"	"dolichyl diphosphate"
"Rh45"	"product"	"MNXM59315"	"C4H6N2O2R2"	"0"	"L-asparagine residue"
"Rh45"	"product"	"MNXM96359"	"C36H61N2O17P2R(C5H8)n"	"-2"	"dolichyl diphosphooligosaccharide"
"Rh47"	"reactant"	"MNXM11714"	"C66H111O56X"	"0"	"Glygn1"
"Rh47"	"product"	"MNXM8681"	"C66H111O56X"	"0"	"Glygn2"
"Rh56"	"reactant"	"MNXM1"	"H"	"1"	"H(+)"
"Rh56"	"reactant"	"MNXM12"	"C21H32N7O16P3S"	"-4"	"CoA"
"Rh56"	"reactant"	"MNXM4051"	"C4H5NO3R"	"-1"	"an N-acetyl-D-amino acid"
"Rh56"	"product"	"MNXM21"	"C23H34N7O17P3S"	"-4"	"acetyl-CoA"
"Rh56"	"product"	"MNXM774"	"C2H4NO2R"	"0"	"a D-amino acid"
"Rh58"	"reactant"	"MNXM1"	"H"	"1"	"H(+)"
"Rh58"	"reactant"	"MNXM10"	"C21H27N7O14P2"	"-2"	"NADH"
"Rh58"	"reactant"	"MNXM175"	"C6H12O6"	"0"	"D-fructose"
"Rh58"	"product"	"MNXM615"	"C6H14O6"	"0"	"D-mannitol"
"Rh58"	"product"	"MNXM8"	"C21H26N7O14P2"	"-1"	"NAD(+)"
"Rh59"	"reactant"	"MNXM30"	"C10H12N5O11P2"	"-3"	"GDP"
"Rh59"	"reactant"	"MNXM9314"	"NA"	"NA"	"G10843"
"Rh59"	"product"	"MNXM82"	"C16H23N5O16P2"	"-2"	"GDP-alpha-D-mannose"
"Rh59"	"product"	"MNXM9337"	"NA"	"NA"	"G10842"
"Rh60"	"reactant"	"MNXM13352"	"NA"	"NA"	"G11055"
"Rh60"	"reactant"	"MNXM30"	"C10H12N5O11P2"	"-3"	"GDP"
"Rh60"	"product"	"MNXM82"	"C16H23N5O16P2"	"-2"	"GDP-alpha-D-mannose"
"Rh60"	"product"	"MNXM9314"	"NA"	"NA"	"G10843"
"Rh61"	"reactant"	"MNXM2196"	"C6H6O6"	"-2"	"4-hydroxy-4-methyl-2-oxoglutarate"
"Rh61"	"product"	"MNXM23"	"C3H3O3"	"-1"	"pyruvate"
"Rh62"	"reactant"	"MNXM13"	"CO2"	"0"	"CO2"
"Rh62"	"reactant"	"MNXM23"	"C3H3O3"	"-1"	"pyruvate"
"Rh62"	"product"	"MNXM1"	"H"	"1"	"H(+)"
"Rh62"	"product"	"MNXM46"	"C4H2O5"	"-2"	"oxaloacetate"
"Rh63"	"reactant"	"MNXM127148"	"C3H5NOSR2"	"0"	"L-cysteine residue"
"Rh63"	"reactant"	"MNXM2246"	"C5H11NO3S"	"0"	"L-methionine (S)-S-oxide"
"Rh63"	"product"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh63"	"product"	"MNXM59370"	"C6H8N2O2S2R4"	"0"	"L-cystine residue"
"Rh63"	"product"	"MNXM61"	"C5H11NO2S"	"0"	"L-methionine"
"Rh64"	"reactant"	"MNXM114"	"C5H9NO2"	"0"	"L-proline"
"Rh64"	"reactant"	"MNXM3"	"C10H12N5O13P3"	"-4"	"ATP"
"Rh64"	"reactant"	"MNXM90666"	"C10H12N5O6PR"	"-1"	"AMP 3'-end residue"
"Rh64"	"product"	"MNXM11"	"HO7P2"	"-3"	"diphosphate"
"Rh64"	"product"	"MNXM14"	"C10H12N5O7P"	"-2"	"AMP"
"Rh64"	"product"	"MNXM146907"	"C15H20N6O7PR"	"0"	"3'-(L-prolyl)adenylyl group"
"Rh67"	"reactant"	"MNXM11"	"HO7P2"	"-3"	"diphosphate"
"Rh67"	"reactant"	"MNXM52"	"C15H22N2O17P2"	"-2"	"UDP-D-glucose"
"Rh67"	"product"	"MNXM1"	"H"	"1"	"H(+)"
"Rh67"	"product"	"MNXM121"	"C9H11N2O15P3"	"-4"	"UTP"
"Rh67"	"product"	"MNXM89588"	"C6H11O9P"	"-2"	"D-glucopyranose 1-phosphate(2-)"
"Rh68"	"reactant"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh68"	"reactant"	"MNXM90267"	"C9H13N5O3"	"0"	"L-erythro-7,8-dihydrobiopterin"
"Rh68"	"product"	"MNXM31340"	"C9H15N5O4"	"0"	"4a-hydroxy-L-erythro-5,6,7,8-tetrahydrobiopterin"
"Rh71"	"reactant"	"MNXM1"	"H"	"1"	"H(+)"
"Rh71"	"reactant"	"MNXM330"	"O2"	"-1"	"superoxide"
"Rh71"	"product"	"MNXM22"	"H2O2"	"0"	"H2O2"
"Rh71"	"product"	"MNXM4"	"O2"	"0"	"O2"
"Rh72"	"reactant"	"MNXM2925"	"C6H12O5"	"0"	"2-deoxy-D-glucose"
"Rh72"	"reactant"	"MNXM9"	"HO4P"	"-2"	"phosphate"
"Rh72"	"product"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh72"	"product"	"MNXM3809"	"C6H11O8P"	"-2"	"2-deoxy-D-glucose 6-phosphate"
"Rh73"	"reactant"	"NA"	NA	NA	NA
"Rh73"	"product"	"NA"	NA	NA	NA
"Rh75"	"reactant"	"MNXM16"	"C15H23N6O5S"	"1"	"S-adenosyl-L-methionine"
"Rh75"	"reactant"	"MNXM59465"	"C6H13N2OR2"	"1"	"L-lysine residue"
"Rh75"	"product"	"MNXM1"	"H"	"1"	"H(+)"
"Rh75"	"product"	"MNXM19"	"C14H20N6O5S"	"0"	"S-adenosyl-L-homocysteine"
"Rh75"	"product"	"MNXM63025"	"C7H15N2OR2"	"1"	"N(6)-methyl-L-lysine residue"
"Rh76"	"reactant"	"MNXM1"	"H"	"1"	"H(+)"
"Rh76"	"reactant"	"MNXM35"	"R"	"NA"	"A"
"Rh76"	"reactant"	"MNXM6"	"C21H26N7O17P3"	"-4"	"NADPH"
"Rh76"	"product"	"MNXM24"	"RH2"	"NA"	"AH2"
"Rh76"	"product"	"MNXM5"	"C21H25N7O17P3"	"-3"	"NADP(+)"
"Rh77"	"reactant"	"MNXM1"	"H"	"1"	"H(+)"
"Rh77"	"reactant"	"MNXM77738"	"(O3P)nHO"	"NA"	"polyphosphate"
"Rh77"	"reactant"	"MNXM9"	"HO4P"	"-2"	"phosphate"
"Rh77"	"product"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh77"	"product"	"MNXM77738"	"(O3P)nHO"	"NA"	"polyphosphate"
"Rh79"	"reactant"	"NA"	NA	NA	NA
"Rh79"	"product"	"NA"	NA	NA	NA
"Rh80"	"reactant"	"MNXM1"	"H"	"1"	"H(+)"
"Rh80"	"reactant"	"MNXM6"	"C21H26N7O17P3"	"-4"	"NADPH"
"Rh80"	"reactant"	"MNXM97234"	"C20H34O.(C5H8)n"	"0"	"ditrans,polycis-polyprenol"
"Rh80"	"product"	"MNXM5"	"C21H25N7O17P3"	"-3"	"NADP(+)"
"Rh80"	"product"	"MNXM797"	"C20H36O(C5H8)n"	"0"	"dolichol"
"Rh81"	"reactant"	"MNXM1"	"H"	"1"	"H(+)"
"Rh81"	"reactant"	"MNXM2349"	"C14H10O2"	"0"	"benzil"
"Rh81"	"reactant"	"MNXM6"	"C21H26N7O17P3"	"-4"	"NADPH"
"Rh81"	"product"	"MNXM5"	"C21H25N7O17P3"	"-3"	"NADP(+)"
"Rh81"	"product"	"MNXM5393"	"C14H12O2"	"0"	"(S)-benzoin"
"Rh84"	"reactant"	"MNXM15783"	"C5H10N2O3"	"0"	"L-alanylglycine"
"Rh84"	"reactant"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh84"	"product"	"MNXM29"	"C2H5NO2"	"0"	"glycine"
"Rh84"	"product"	"MNXM32"	"C3H7NO2"	"0"	"L-alanine"
"Rh85"	"reactant"	"MNXM140"	"C6H13NO2"	"0"	"L-leucine"
"Rh85"	"reactant"	"MNXM32"	"C3H7NO2"	"0"	"L-alanine"
"Rh85"	"product"	"MNXM15786"	"C9H18N2O3"	"0"	"L-alanyl-L-leucine"
"Rh85"	"product"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh86"	"reactant"	"MNXM1"	"H"	"1"	"H(+)"
"Rh86"	"reactant"	"MNXM7"	"C10H12N5O10P2"	"-3"	"ADP"
"Rh86"	"reactant"	"MNXM89557"	"C5H8NO4"	"-1"	"L-glutamate"
"Rh86"	"reactant"	"MNXM9"	"HO4P"	"-2"	"phosphate"
"Rh86"	"product"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh86"	"product"	"MNXM3"	"C10H12N5O13P3"	"-4"	"ATP"
"Rh86"	"product"	"MNXM964"	"C5H6NO3"	"-1"	"5-oxo-L-proline"
"Rh87"	"reactant"	"MNXM15"	"H4N"	"1"	"NH4(+)"
"Rh87"	"reactant"	"MNXM46"	"C4H2O5"	"-2"	"oxaloacetate"
"Rh87"	"product"	"MNXM4918"	"C4H6NO5"	"-1"	"(3S)-3-hydroxy-L-aspartate"
"Rh88"	"reactant"	"NA"	NA	NA	NA
"Rh88"	"product"	"NA"	NA	NA	NA
"Rh91"	"reactant"	"MNXM151"	"C20H30N6O12S2"	"-2"	"glutathione disulfide"
"Rh91"	"reactant"	"MNXM89592"	"C6H8O6"	"0"	"L-ascorbate"
"Rh91"	"product"	"MNXM1"	"H"	"1"	"H(+)"
"Rh91"	"product"	"MNXM250"	"C6H5O6"	"-1"	"L-dehydroascorbate"
"Rh91"	"product"	"MNXM57"	"C10H16N3O6S"	"-1"	"glutathione"
"Rh94"	"reactant"	"MNXM117"	"CH4N2O"	"0"	"urea"
"Rh94"	"product"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh94"	"product"	"MNXM4538"	"CH2N2"	"0"	"cyanamide"
"Rh96"	"reactant"	"MNXM116"	"C5H9O8P"	"-2"	"D-ribose 5-phosphate"
"Rh96"	"reactant"	"MNXM37"	"C5H10N2O3"	"0"	"L-glutamine"
"Rh96"	"reactant"	"MNXM74"	"C3H5O6P"	"-2"	"D-glyceraldehyde 3-phosphate"
"Rh96"	"product"	"MNXM1"	"H"	"1"	"H(+)"
"Rh96"	"product"	"MNXM161"	"C8H8NO6P"	"-2"	"pyridoxal 5'-phosphate"
"Rh96"	"product"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh96"	"product"	"MNXM89557"	"C5H8NO4"	"-1"	"L-glutamate"
"Rh96"	"product"	"MNXM9"	"HO4P"	"-2"	"phosphate"
"Rh98"	"reactant"	"MNXM134"	"C6H9N3O2"	"0"	"L-histidine"
"Rh98"	"reactant"	"MNXM161"	"C8H8NO6P"	"-2"	"pyridoxal 5'-phosphate"
"Rh98"	"product"	"MNXM790"	"C6H8N3O4P"	"-2"	"4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine"
"Rh100"	"reactant"	"MNXM29"	"C2H5NO2"	"0"	"glycine"
"Rh100"	"reactant"	"MNXM55"	"C3H7NO2S"	"0"	"L-cysteine"
"Rh100"	"product"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh100"	"product"	"MNXM683"	"C5H10N2O3S"	"0"	"L-cysteinylglycine"
"Rh103"	"reactant"	"MNXM126"	"C3H4O7P"	"-3"	"3-phospho-D-glycerate"
"Rh103"	"product"	"MNXM275"	"C3H4O7P"	"-3"	"2-phospho-D-glycerate"
"Rh104"	"reactant"	"MNXM119"	"C17H18N4O9P"	"-3"	"FMN"
"Rh104"	"reactant"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh104"	"product"	"MNXM270"	"C17H19N4O6"	"-1"	"riboflavin"
"Rh104"	"product"	"MNXM9"	"HO4P"	"-2"	"phosphate"
"Rh105"	"reactant"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh105"	"reactant"	"MNXM662"	"C12H16N4O4PS"	"-1"	"thiamine phosphate"
"Rh105"	"product"	"MNXM322"	"C12H17N4OS"	"1"	"thiamine"
"Rh105"	"product"	"MNXM9"	"HO4P"	"-2"	"phosphate"
"Rh106"	"reactant"	"MNXM196"	"Fe"	"3"	"Fe(3+)"
"Rh106"	"reactant"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh106"	"product"	"MNXM1"	"H"	"1"	"H(+)"
"Rh106"	"product"	"MNXM111"	"Fe"	"2"	"Fe(2+)"
"Rh106"	"product"	"MNXM4"	"O2"	"0"	"O2"
"Rh107"	"reactant"	"MNXM14"	"C10H12N5O7P"	"-2"	"AMP"
"Rh107"	"reactant"	"MNXM3"	"C10H12N5O13P3"	"-4"	"ATP"
"Rh107"	"product"	"MNXM7"	"C10H12N5O10P2"	"-3"	"ADP"
"Rh108"	"reactant"	"MNXM374"	"C10H12N5O9P2"	"-3"	"dADP"
"Rh108"	"reactant"	"MNXM7"	"C10H12N5O10P2"	"-3"	"ADP"
"Rh108"	"product"	"MNXM3"	"C10H12N5O13P3"	"-4"	"ATP"
"Rh108"	"product"	"MNXM432"	"C10H12N5O6P"	"-2"	"dAMP"
"Rh109"	"reactant"	" MNXM11"	NA	NA	NA
"Rh109"	"reactant"	"MNXM48918"	"NA"	"NA"	"dehydrodolichyl diphosphate"
"Rh109"	"product"	"MNXM34"	"C15H25O7P2"	"-3"	"(2E,6E)-farnesyl diphosphate"
"Rh109"	"product"	" MNXM83"	NA	NA	NA
"Rh113"	"reactant"	"MNXM1"	"H"	"1"	"H(+)"
"Rh113"	"reactant"	"MNXM526"	"C6H4NO3"	"-1"	"4-nitrophenol"
"Rh113"	"reactant"	"MNXM9"	"HO4P"	"-2"	"phosphate"
"Rh113"	"product"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh113"	"product"	"MNXM3867"	"C6H4NO6P"	"-2"	"4-nitrophenyl phosphate"
"Rh115"	"reactant"	"MNXM1"	"H"	"1"	"H(+)"
"Rh115"	"reactant"	"MNXM10"	"C21H27N7O14P2"	"-2"	"NADH"
"Rh115"	"reactant"	"MNXM5703"	"C6H12O6"	"0"	"keto-D-sorbose"
"Rh115"	"product"	"MNXM3573"	"C6H14O6"	"0"	"D-iditol"
"Rh115"	"product"	"MNXM8"	"C21H26N7O14P2"	"-1"	"NAD(+)"
"Rh116"	"reactant"	"MNXM1"	"H"	"1"	"H(+)"
"Rh116"	"reactant"	"MNXM336"	"C6H11O9P"	"-2"	"alpha-D-galactose 1-phosphate"
"Rh116"	"reactant"	"MNXM7"	"C10H12N5O10P2"	"-3"	"ADP"
"Rh116"	"product"	"MNXM3"	"C10H12N5O13P3"	"-4"	"ATP"
"Rh116"	"product"	"MNXM390"	"C6H12O6"	"0"	"alpha-D-galactose"
"Rh119"	"reactant"	"MNXM1034"	"C25H38N7O18P3S"	"-4"	"3-hydroxy-2-methylpropanoyl-CoA"
"Rh119"	"reactant"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh119"	"product"	"MNXM1"	"H"	"1"	"H(+)"
"Rh119"	"product"	"MNXM12"	"C21H32N7O16P3S"	"-4"	"CoA"
"Rh119"	"product"	"MNXM396"	"C4H7O3"	"-1"	"3-hydroxy-2-methylpropanoate"
"Rh123"	"reactant"	"MNXM20"	"C5H4O5"	"-2"	"2-oxoglutarate"
"Rh123"	"reactant"	"MNXM32"	"C3H7NO2"	"0"	"L-alanine"
"Rh123"	"product"	"MNXM23"	"C3H3O3"	"-1"	"pyruvate"
"Rh123"	"product"	"MNXM89557"	"C5H8NO4"	"-1"	"L-glutamate"
"Rh125"	"reactant"	"MNXM15"	"H4N"	"1"	"NH4(+)"
"Rh125"	"reactant"	"MNXM383"	"C10H8NO2"	"-1"	"(indol-3-yl)acetate"
"Rh125"	"product"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh125"	"product"	"MNXM2239"	"C10H10N2O"	"0"	"indole-3-acetamide"
"Rh126"	"reactant"	"MNXM1312"	"C5H11N3O2"	"0"	"4-guanidinobutanoate"
"Rh126"	"reactant"	"MNXM15"	"H4N"	"1"	"NH4(+)"
"Rh126"	"product"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh126"	"product"	"MNXM2617"	"C5H13N4O"	"1"	"4-guanidinobutanamide"
"Rh127"	"reactant"	"MNXM15"	"H4N"	"1"	"NH4(+)"
"Rh127"	"reactant"	"MNXM72"	"CO2R"	"-1"	"a fatty acid"
"Rh127"	"product"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh127"	"product"	"MNXM4671"	"CH2NOR"	"0"	"a monocarboxylic acid amide"
"Rh128"	"reactant"	"MNXM1368"	"C3H3O2"	"-1"	"acrylate"
"Rh128"	"reactant"	"MNXM15"	"H4N"	"1"	"NH4(+)"
"Rh128"	"product"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh128"	"product"	"MNXM3208"	"C3H5NO"	"0"	"acrylamide"
"Rh130"	"reactant"	"MNXM1"	"H"	"1"	"H(+)"
"Rh130"	"reactant"	"MNXM325"	"C6H10O10P"	"-3"	"6-phospho-D-gluconate"
"Rh130"	"reactant"	"MNXM7"	"C10H12N5O10P2"	"-3"	"ADP"
"Rh130"	"product"	"MNXM3"	"C10H12N5O13P3"	"-4"	"ATP"
"Rh130"	"product"	"MNXM341"	"C6H11O7"	"-1"	"D-gluconate"
"Rh132"	"reactant"	"NA"	NA	NA	NA
"Rh132"	"product"	"NA"	NA	NA	NA
"Rh133"	"reactant"	"MNXM278"	"C20H35O4P(C5H8)n"	"-2"	"dolichyl phosphate"
"Rh133"	"reactant"	"MNXM7893"	"NA"	"NA"	"G13027"
"Rh133"	"product"	"MNXM296"	"(C5H8)nC26H47O9P"	"0"	"dolichyl D-mannosyl phosphate"
"Rh133"	"product"	"MNXM6406"	"C4H6N2O3R2"	"0"	"Protein serine"
"Rh134"	"reactant"	"MNXM148645"	"C11H18N2O8R2"	"0"	"3-O-(alpha-D-Mannosyl)-L-threonyl-[protein]"
"Rh134"	"reactant"	"MNXM278"	"C20H35O4P(C5H8)n"	"-2"	"dolichyl phosphate"
"Rh134"	"product"	"MNXM296"	"(C5H8)nC26H47O9P"	"0"	"dolichyl D-mannosyl phosphate"
"Rh134"	"product"	"MNXM9057"	"C5H8N2O3R2"	"NA"	"[Protein]-L-threonine"
"Rh135"	"reactant"	"MNXM1271"	"H2O(C8H13NO5)n"	"0"	"chitin"
"Rh135"	"reactant"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh135"	"product"	"MNXM1271"	"H2O(C8H13NO5)n"	"0"	"chitin"
"Rh135"	"product"	"MNXM143"	"C8H15NO6"	"0"	"N-acetyl-D-glucosamine"
"Rh136"	"reactant"	"MNXM1271"	"H2O(C8H13NO5)n"	"0"	"chitin"
"Rh136"	"reactant"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh136"	"product"	"MNXM1271"	"H2O(C8H13NO5)n"	"0"	"chitin"
"Rh136"	"product"	"MNXM1680"	"C16H28N2O11"	"0"	"N,N'-diacetylchitobiose"
"Rh139"	"reactant"	"NA"	NA	NA	NA
"Rh139"	"product"	"NA"	NA	NA	NA
"Rh140"	"reactant"	"MNXM17"	"C9H11N2O12P2"	"-3"	"UDP"
"Rh140"	"reactant"	"MNXM9315"	"NA"	"NA"	"G00143"
"Rh140"	"product"	"MNXM47"	"C17H25N3O17P2"	"-2"	"UDP-N-acetyl-alpha-D-glucosamine"
"Rh140"	"product"	"MNXM62"	"C11H16O13PR2"	"-1"	"a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol)"
"Rh142"	"reactant"	"MNXM1"	"H"	"1"	"H(+)"
"Rh142"	"reactant"	"MNXM9"	"HO4P"	"-2"	"phosphate"
"Rh142"	"product"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh142"	"product"	"MNXM77738"	"(O3P)nHO"	"NA"	"polyphosphate"
"Rh143"	"reactant"	"MNXM1"	"H"	"1"	"H(+)"
"Rh143"	"reactant"	"MNXM77738"	"(O3P)nHO"	"NA"	"polyphosphate"
"Rh143"	"reactant"	"MNXM9"	"HO4P"	"-2"	"phosphate"
"Rh143"	"product"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh143"	"product"	"MNXM77738"	"(O3P)nHO"	"NA"	"polyphosphate"
"Rh144"	"reactant"	"MNXM1"	"H"	"1"	"H(+)"
"Rh144"	"reactant"	"MNXM374"	"C10H12N5O9P2"	"-3"	"dADP"
"Rh144"	"reactant"	"MNXM9"	"HO4P"	"-2"	"phosphate"
"Rh144"	"product"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh144"	"product"	"MNXM286"	"C10H12N5O12P3"	"-4"	"dATP"
"Rh147"	"reactant"	"MNXM1"	"H"	"1"	"H(+)"
"Rh147"	"reactant"	"MNXM160"	"C6H11O9P"	"-2"	"D-glucopyranose 6-phosphate"
"Rh147"	"reactant"	"MNXM7"	"C10H12N5O10P2"	"-3"	"ADP"
"Rh147"	"product"	"MNXM3"	"C10H12N5O13P3"	"-4"	"ATP"
"Rh147"	"product"	"MNXM41"	"C6H12O6"	"0"	"D-glucose"
"Rh148"	"reactant"	"MNXM1"	"H"	"1"	"H(+)"
"Rh148"	"reactant"	"MNXM285"	"C3H5O3"	"-1"	"(R)-lactate"
"Rh148"	"product"	"MNXM2"	"H2O"	"0"	"H2O"
"Rh148"	"product"	"MNXM310"	"C3H4O2"	"0"	"2-oxopropanal"
