"rxnID"	"Standard_metName"	"keggid"	"chebiid"	"chebiid2"	"MNX_ID"	"Formula"	"Charge"
"Rh7"	"H2O"	"C00001"	"NA"	"CHEBI:15377"	"MNXM2"	"H2O"	"0"
"Rh7"	"N-acyl-L-amino acid"	"C02850"	"NA"	"CHEBI:48927"	"MNXM5839"	"C3H2NO3R2"	"-1"
"Rh7"	"H+"	"C00080"	"NA"	"CHEBI:15378"	"MNXM1"	"H"	"1"
"Rh7"	"tRNA"	"C00066"	"NA"	"CHEBI:17843"	"MNXM91319"	"NA"	"NA"
"Rh8"	"ATP"	"C00002"	"ChEBI:15422"	"CHEBI:15422"	"MNXM3"	"C10H12N5O13P3"	"-4"
"Rh8"	"L-glutamyl-tRNA(Gln)"	"C06112"	"ChEBI:29165"	"CHEBI:29165"	"MNXM91213"	"NA"	"NA"
"Rh8"	"L-glutamine"	"C00064"	"ChEBI:18050"	"CHEBI:18050"	"MNXM37"	"C5H10N2O3"	"0"
"Rh8"	"ADP"	"C00008"	"ChEBI:16761"	"CHEBI:16761"	"MNXM7"	"C10H12N5O10P2"	"-3"
"Rh8"	"phosphate"	"C00009"	"NA"	"CHEBI:18367"	"MNXM9"	"HO4P"	"-2"
"Rh8"	"Gln-tRNA(Gln)"	"C02282"	"ChEBI:29166"	"CHEBI:29166"	"MNXM89810"	"NA"	"NA"
"Rh8"	"L-glutamate"	"C00025"	"NA"	"CHEBI:16015"	"MNXM89557"	"C5H8NO4"	"-1"
"Rh9"	"dolichyl D-mannosyl phosphate"	"C03862"	"NA"	"CHEBI:15809"	"MNXM296"	"(C5H8)nC26H47O9P"	"0"
"Rh9"	"G00006"	"G00006"	"NA"	"NA"	NA	NA	NA
"Rh9"	"dolichyl phosphate"	"C00110"	"NA"	"CHEBI:16214"	"MNXM278"	"C20H35O4P(C5H8)n"	"-2"
"Rh9"	"G10595"	"G10595"	"NA"	"NA"	NA	NA	NA
"Rh10"	"Met-Ala"	"NA"	"CHEBI:73610"	"CHEBI:73610"	"MNXM61647"	"C8H16N2O3S"	"0"
"Rh10"	"H2O"	"C00001"	"NA"	"CHEBI:15377"	"MNXM2"	"H2O"	"0"
"Rh10"	"L-methionine"	"C00073"	"NA"	"CHEBI:16643"	"MNXM61"	"C5H11NO2S"	"0"
"Rh10"	"L-alanine"	"C00041"	"ChEBI:16977"	"CHEBI:16977"	"MNXM32"	"C3H7NO2"	"0"
"Rh11"	"trehalose"	"C01083"	"NA"	"CHEBI:16551"	"MNXM198"	"C12H22O11"	"0"
"Rh11"	"H2O"	"C00001"	"NA"	"CHEBI:15377"	"MNXM2"	"H2O"	"0"
"Rh11"	"D-glucose"	"C00031"	"ChEBI:4167"	"CHEBI:4167"	"MNXM41"	"C6H12O6"	"0"
"Rh12"	"ADP-D-ribose 1''-phosphate"	"NA"	"CHEBI:48584"	"CHEBI:48584"	"MNXM5039"	"C15H20N5O17P3"	"-4"
"Rh12"	"H2O"	"C00001"	"NA"	"CHEBI:15377"	"MNXM2"	"H2O"	"0"
"Rh12"	"ADP-ribose"	"C00301"	"ChEBI:16960"	"CHEBI:16960"	"MNXM48596"	"C15H21N5O14P2"	"-2"
"Rh12"	"phosphate"	"C00009"	"NA"	"CHEBI:18367"	"MNXM9"	"HO4P"	"-2"
"Rh13"	"quinone"	"C00472"	"ChEBI:16509"	"CHEBI:16509"	"MNXM769"	"C6O2R4"	"0"
"Rh13"	"H+"	"C00080"	"NA"	"CHEBI:15378"	"MNXM1"	"H"	"1"
"Rh13"	"NADPH"	"C00005"	"NA"	"CHEBI:16474"	"MNXM6"	"C21H26N7O17P3"	"-4"
"Rh13"	"1,4-benzosemiquinone"	"NA"	"CHEBI:17977"	"CHEBI:17977"	"MNXM7107"	"C6H5O2"	"0"
"Rh13"	"NADP(+)"	"C00006"	"NA"	"CHEBI:18009"	"MNXM5"	"C21H25N7O17P3"	"-3"
"Rh14"	"UDP-N-acetyl-alpha-D-glucosamine"	"C00043"	"ChEBI:16264"	"CHEBI:16264"	"MNXM47"	"C17H25N3O17P2"	"-2"
"Rh14"	"N-Acetyl-D-glucosaminyldiphosphodolichol"	"C04500"	"ChEBI:18278"	"CHEBI:18278"	"MNXM818"	"(C5H8)nC28H49NO12P2"	"-2"
"Rh14"	"UDP"	"C00015"	"ChEBI:17659"	"CHEBI:17659"	"MNXM17"	"C9H11N2O12P2"	"-3"
"Rh14"	"N,N'-Chitobiosyldiphosphodolichol"	"G00002"	"NA"	"NA"	NA	NA	NA
"Rh15"	"ADP-ribose"	"C00301"	"ChEBI:16960"	"CHEBI:16960"	"MNXM48596"	"C15H21N5O14P2"	"-2"
"Rh15"	"H2O"	"C00001"	"NA"	"CHEBI:15377"	"MNXM2"	"H2O"	"0"
"Rh15"	"AMP"	"C00020"	"NA"	"CHEBI:16027"	"MNXM14"	"C10H12N5O7P"	"-2"
"Rh15"	"D-ribofuranose 5-phosphate"	"C00117"	"ChEBI:17797"	"CHEBI:17797"	"MNXM116"	"C5H9O8P"	"-2"
"Rh15"	"H+"	"C00080"	"NA"	"CHEBI:15378"	"MNXM1"	"H"	"1"
"Rh16"	"L-arginine"	"C00062"	"NA"	"CHEBI:16467"	"MNXM70"	"C6H15N4O2"	"1"
"Rh16"	"L-arginine"	"C00062"	"NA"	"CHEBI:16467"	"MNXM70"	"C6H15N4O2"	"1"
"Rh17"	"L-histidine"	"C00135"	"NA"	"CHEBI:15971"	"MNXM134"	"C6H9N3O2"	"0"
"Rh17"	"L-histidine"	"C00135"	"NA"	"CHEBI:15971"	"MNXM134"	"C6H9N3O2"	"0"
"Rh18"	"L-lysine"	"C00047"	"NA"	"CHEBI:18019"	"MNXM78"	"C6H15N2O2"	"1"
"Rh18"	"L-lysine"	"C00047"	"NA"	"CHEBI:18019"	"MNXM78"	"C6H15N2O2"	"1"
"Rh19"	"AMP"	"C00020"	"NA"	"CHEBI:16027"	"MNXM14"	"C10H12N5O7P"	"-2"
"Rh19"	"CMP"	"C00055"	"NA"	"CHEBI:17361"	"MNXM31"	"C9H12N3O8P"	"-2"
"Rh19"	"GMP"	"C00144"	"NA"	"CHEBI:17345"	"MNXM113"	"C10H12N5O8P"	"-2"
"Rh19"	"UMP"	"C00105"	"ChEBI:16695"	"CHEBI:16695"	"MNXM80"	"C9H11N2O9P"	"-2"
"Rh19"	"RNA"	"C00046"	"ChEBI:18273"	"CHEBI:18273"	"MNXM90337"	"NA"	"NA"
"Rh20"	"acetyl-CoA"	"C00024"	"NA"	"CHEBI:15351"	"MNXM21"	"C23H34N7O17P3S"	"-4"
"Rh20"	"alcohol"	"C00069"	"NA"	"CHEBI:30879"	"MNXM94381"	"HOR"	"0"
"Rh20"	"coenzyme A"	"C00010"	"NA"	"CHEBI:15346"	"MNXM12"	"C21H32N7O16P3S"	"-4"
"Rh20"	"acetyl ester"	"C01883"	"NA"	"CHEBI:27750"	"MNXM8595"	"C4H8O2"	"0"
"Rh21"	"ATP"	"C00002"	"ChEBI:15422"	"CHEBI:15422"	"MNXM3"	"C10H12N5O13P3"	"-4"
"Rh21"	"Oxalate"	"C00209"	"ChEBI:30623"	"CHEBI:30623"	"MNXM291"	"C2O4"	"-2"
"Rh21"	"coenzyme A"	"C00010"	"NA"	"CHEBI:15346"	"MNXM12"	"C21H32N7O16P3S"	"-4"
"Rh21"	"AMP"	"C00020"	"NA"	"CHEBI:16027"	"MNXM14"	"C10H12N5O7P"	"-2"
"Rh21"	"diphosphate"	"C00013"	"NA"	"CHEBI:18361"	"MNXM11"	"HO7P2"	"-3"
"Rh21"	"Oxalyl-CoA"	"C00313"	"ChEBI:15535"	"CHEBI:15535"	"MNXM618"	"C23H31N7O19P3S"	"-5"
"Rh22"	"H2O"	"C00001"	"NA"	"CHEBI:15377"	"MNXM2"	"H2O"	"0"
"Rh22"	"G00171"	"G00171"	"NA"	"NA"	NA	NA	NA
"Rh22"	"D-glucose"	"C00031"	"ChEBI:4167"	"CHEBI:4167"	"MNXM41"	"C6H12O6"	"0"
"Rh22"	"G00010"	"G00010"	"NA"	"NA"	NA	NA	NA
"Rh23"	"H2O"	"C00001"	"NA"	"CHEBI:15377"	"MNXM2"	"H2O"	"0"
"Rh23"	"G00010"	"G00010"	"NA"	"NA"	NA	NA	NA
"Rh23"	"D-glucose"	"C00031"	"ChEBI:4167"	"CHEBI:4167"	"MNXM41"	"C6H12O6"	"0"
"Rh23"	"G00011"	"G00011"	"NA"	"NA"	NA	NA	NA
"Rh24"	"sodium"	"C01330"	"ChEBI:29101"	"CHEBI:29101"	"MNXM27"	"Na"	"1"
"Rh24"	"sodium"	"C01330"	"ChEBI:29101"	"CHEBI:29101"	"MNXM27"	"Na"	"1"
"Rh25"	"potassium"	"C00238"	"ChEBI:29103"	"CHEBI:29103"	"MNXM95"	"K"	"1"
"Rh25"	"potassium"	"C00238"	"ChEBI:29103"	"CHEBI:29103"	"MNXM95"	"K"	"1"
"Rh26"	"Cl(-)"	"C00698"	"ChEBI:17996"	"CHEBI:17996"	"MNXM43"	"Cl"	"-1"
"Rh26"	"Cl(-)"	"C00698"	"ChEBI:17996"	"CHEBI:17996"	"MNXM43"	"Cl"	"-1"
"Rh27"	"D-fructose"	"C00095"	"ChEBI:15824"	"CHEBI:15824"	"MNXM175"	"C6H12O6"	"0"
"Rh27"	"D-fructose"	"C00095"	"ChEBI:15824"	"CHEBI:15824"	"MNXM175"	"C6H12O6"	"0"
"Rh28"	"D-galactose"	"C00124"	"ChEBI:4139"	"CHEBI:4139"	"MNXM390"	"C6H12O6"	"0"
"Rh28"	"D-galactose"	"C00124"	"ChEBI:4139"	"CHEBI:4139"	"MNXM390"	"C6H12O6"	"0"
"Rh29"	"D-glucose"	"C00031"	"ChEBI:4167"	"CHEBI:4167"	"MNXM41"	"C6H12O6"	"0"
"Rh29"	"D-glucose"	"C00031"	"ChEBI:4167"	"CHEBI:4167"	"MNXM41"	"C6H12O6"	"0"
"Rh30"	"UDP-N-acetyl-alpha-D-glucosamine"	"C00043"	"ChEBI:16264"	"CHEBI:16264"	"MNXM47"	"C17H25N3O17P2"	"-2"
"Rh30"	"dolichyl phosphate"	"C00110"	"NA"	"CHEBI:16214"	"MNXM278"	"C20H35O4P(C5H8)n"	"-2"
"Rh30"	"UMP"	"C00105"	"ChEBI:16695"	"CHEBI:16695"	"MNXM80"	"C9H11N2O9P"	"-2"
"Rh30"	"N-Acetyl-D-glucosaminyldiphosphodolichol"	"C04500"	"ChEBI:18278"	"CHEBI:18278"	"MNXM818"	"(C5H8)nC28H49NO12P2"	"-2"
"Rh31"	"glutathione"	"C00051"	"ChEBI:16856"	"CHEBI:16856"	"MNXM57"	"C10H16N3O6S"	"-1"
"Rh31"	"H2O"	"C00001"	"NA"	"CHEBI:15377"	"MNXM2"	"H2O"	"0"
"Rh31"	"L-cysteinylglycine"	"C01419"	"ChEBI:4047"	"CHEBI:4047"	"MNXM683"	"C5H10N2O3S"	"0"
"Rh31"	"L-glutamate"	"C00025"	"NA"	"CHEBI:16015"	"MNXM89557"	"C5H8NO4"	"-1"
"Rh32"	"cadmium(2+)"	"NA"	"CHEBI:48775"	"CHEBI:48775"	"MNXM4505"	"Cd"	"2"
"Rh32"	"ATP"	"C00002"	"ChEBI:15422"	"CHEBI:15422"	"MNXM3"	"C10H12N5O13P3"	"-4"
"Rh32"	"H2O"	"C00001"	"NA"	"CHEBI:15377"	"MNXM2"	"H2O"	"0"
"Rh32"	"cadmium(2+)"	"NA"	"CHEBI:48775"	"CHEBI:48775"	"MNXM4505"	"Cd"	"2"
"Rh32"	"ADP"	"C00008"	"ChEBI:16761"	"CHEBI:16761"	"MNXM7"	"C10H12N5O10P2"	"-3"
"Rh32"	"phosphate"	"C00009"	"NA"	"CHEBI:18367"	"MNXM9"	"HO4P"	"-2"
"Rh32"	"H+"	"C00080"	"NA"	"CHEBI:15378"	"MNXM1"	"H"	"1"
"Rh33"	"(sulfur carrier)-H"	"NA"	"NA"	"NA"	NA	NA	NA
"Rh33"	"L-cysteine"	"C00097"	"ChEBI:17561"	"CHEBI:17561"	"MNXM55"	"C3H7NO2S"	"0"
"Rh33"	"(sulfur carrier)-SH"	"NA"	"NA"	"NA"	NA	NA	NA
"Rh33"	"L-alanine"	"C00041"	"ChEBI:16977"	"CHEBI:16977"	"MNXM32"	"C3H7NO2"	"0"
"Rh34"	"NMN"	"C00455"	"NA"	"CHEBI:16171"	"MNXM355"	"C11H14N2O8P"	"-1"
"Rh34"	"ATP"	"C00002"	"ChEBI:15422"	"CHEBI:15422"	"MNXM3"	"C10H12N5O13P3"	"-4"
"Rh34"	"H+"	"C00080"	"NA"	"CHEBI:15378"	"MNXM1"	"H"	"1"
"Rh34"	"diphosphate"	"C00013"	"NA"	"CHEBI:18361"	"MNXM11"	"HO7P2"	"-3"
"Rh34"	"NAD"	"C00003"	"NA"	"CHEBI:15846"	"MNXM8"	"C21H26N7O14P2"	"-1"
"Rh35"	"cholesterol"	"C00187"	"ChEBI:16113"	"CHEBI:16113"	"MNXM103"	"C27H46O"	"0"
"Rh35"	"cholesterol"	"C00187"	"ChEBI:16113"	"CHEBI:16113"	"MNXM103"	"C27H46O"	"0"
"Rh36"	"Triacylglycerol"	"C00422"	"NA"	"CHEBI:17855"	"MNXM248"	"C6H5O6R3"	"0"
"Rh36"	"H2O"	"C00001"	"NA"	"CHEBI:15377"	"MNXM2"	"H2O"	"0"
"Rh36"	"1,2-Diacyl-sn-glycerol"	"C00641"	"ChEBI:17815"	"CHEBI:17815"	"MNXM59"	"C5H6O5R2"	"0"
"Rh36"	"fatty acid"	"C00162"	"NA"	"CHEBI:35366"	"MNXM72"	"CO2R"	"-1"
"Rh37"	"1,2-Diacyl-sn-glycerol"	"C00641"	"ChEBI:17815"	"CHEBI:17815"	"MNXM59"	"C5H6O5R2"	"0"
"Rh37"	"H2O"	"C00001"	"NA"	"CHEBI:15377"	"MNXM2"	"H2O"	"0"
"Rh37"	"1-Acylglycerol"	"C01885"	"NA"	"CHEBI:17408"	"MNXM2963"	"C3H5O3R3"	"0"
"Rh37"	"fatty acid"	"C00162"	"NA"	"CHEBI:35366"	"MNXM72"	"CO2R"	"-1"
"Rh38"	"3-chlorobenzyl alcohol"	"NA"	"PubChem CID:70117"	"PubChem CID:70117"	NA	NA	NA
"Rh38"	"NAD"	"C00003"	"NA"	"CHEBI:15846"	"MNXM8"	"C21H26N7O14P2"	"-1"
"Rh38"	"3-chlorobenzaldehyde"	"NA"	"PubChem CID:70117"	"PubChem CID:70117"	NA	NA	NA
"Rh38"	"NADH"	"C00004"	"ChEBI:16908"	"CHEBI:16908"	"MNXM10"	"C21H27N7O14P2"	"-2"
"Rh38"	"H+"	"C00080"	"NA"	"CHEBI:15378"	"MNXM1"	"H"	"1"
"Rh39"	"3-hydroxybenzyl alcohol"	"C03351"	"ChEBI:17069"	"CHEBI:17069"	"MNXM2785"	"C7H8O2"	"0"
"Rh39"	"NAD"	"C00003"	"NA"	"CHEBI:15846"	"MNXM8"	"C21H26N7O14P2"	"-1"
"Rh39"	"3-hydroxybenzaldehyde"	"C03067"	"ChEBI:16207"	"CHEBI:16207"	"MNXM2483"	"C7H6O2"	"0"
"Rh39"	"NADH"	"C00004"	"ChEBI:16908"	"CHEBI:16908"	"MNXM10"	"C21H27N7O14P2"	"-2"
"Rh39"	"H+"	"C00080"	"NA"	"CHEBI:15378"	"MNXM1"	"H"	"1"
"Rh40"	"3-methylbenzyl alcohol"	"C07216"	"ChEBI:27995"	"CHEBI:27995"	"MNXM3486"	"C8H10O"	"0"
"Rh40"	"NAD"	"C00003"	"NA"	"CHEBI:15846"	"MNXM8"	"C21H26N7O14P2"	"-1"
"Rh40"	"3-methylbenzaldehyde"	"C07209"	"ChEBI:28476"	"CHEBI:28476"	"MNXM4040"	"C8H8O"	"0"
"Rh40"	"NADH"	"C00004"	"ChEBI:16908"	"CHEBI:16908"	"MNXM10"	"C21H27N7O14P2"	"-2"
"Rh40"	"H+"	"C00080"	"NA"	"CHEBI:15378"	"MNXM1"	"H"	"1"
"Rh41"	"4-isopropylbenzyl alcohol"	"NA"	"CHEBI:27628"	"CHEBI:27628"	"MNXM5878"	"C10H14O"	"0"
"Rh41"	"NAD"	"C00003"	"NA"	"CHEBI:15846"	"MNXM8"	"C21H26N7O14P2"	"-1"
"Rh41"	"p-cumic aldehyde"	"C06577"	"ChEBI:28671"	"CHEBI:28671"	"MNXM5879"	"C10H12O"	"0"
"Rh41"	"NADH"	"C00004"	"ChEBI:16908"	"CHEBI:16908"	"MNXM10"	"C21H27N7O14P2"	"-2"
"Rh41"	"H+"	"C00080"	"NA"	"CHEBI:15378"	"MNXM1"	"H"	"1"
"Rh42"	"4-methylbenzyl alcohol"	"C06757"	"ChEBI:1895"	"CHEBI:1895"	"MNXM3500"	"C8H10O"	"0"
"Rh42"	"NAD"	"C00003"	"NA"	"CHEBI:15846"	"MNXM8"	"C21H26N7O14P2"	"-1"
"Rh42"	"4-methylbenzaldehyde"	"C06758"	"ChEBI:28617"	"CHEBI:28617"	"MNXM4077"	"C8H8O"	"0"
"Rh42"	"NADH"	"C00004"	"ChEBI:16908"	"CHEBI:16908"	"MNXM10"	"C21H27N7O14P2"	"-2"
"Rh42"	"H+"	"C00080"	"NA"	"CHEBI:15378"	"MNXM1"	"H"	"1"
"Rh43"	"phenol"	"C00146"	"NA"	"CHEBI:15882"	"MNXM320"	"C6H6O"	"0"
"Rh43"	"NAD"	"C00003"	"NA"	"CHEBI:15846"	"MNXM8"	"C21H26N7O14P2"	"-1"
"Rh43"	"aryl aldehyde"	"NA"	"NA"	"NA"	NA	NA	NA
"Rh43"	"NADH"	"C00004"	"ChEBI:16908"	"CHEBI:16908"	"MNXM10"	"C21H27N7O14P2"	"-2"
"Rh43"	"H+"	"C00080"	"NA"	"CHEBI:15378"	"MNXM1"	"H"	"1"
"Rh44"	"benzyl alcohol"	"C00556"	"ChEBI:17987"	"CHEBI:17987"	"MNXM562"	"C7H8O"	"0"
"Rh44"	"NAD"	"C00003"	"NA"	"CHEBI:15846"	"MNXM8"	"C21H26N7O14P2"	"-1"
"Rh44"	"benzaldehyde"	"C00261"	"ChEBI:17169"	"CHEBI:17169"	"MNXM371"	"C7H6O"	"0"
"Rh44"	"NADH"	"C00004"	"ChEBI:16908"	"CHEBI:16908"	"MNXM10"	"C21H27N7O14P2"	"-2"
"Rh44"	"H+"	"C00080"	"NA"	"CHEBI:15378"	"MNXM1"	"H"	"1"
"Rh45"	"Dolichyl diphosphooligosaccharide"	"C04213"	"NA"	"CHEBI:15926"	"MNXM96359"	"C36H61N2O17P2R(C5H8)n"	"-2"
"Rh45"	"[protein]-L-asparagine"	"C03021"	"NA"	"NA"	NA	NA	NA
"Rh45"	"dolichyl diphosphate"	"C00621"	"chebi:57497"	"CHEBI:15750"	"MNXM2370"	"C20H35O7P2(C5H8)n"	"-3"
"Rh45"	"glycoprotein with the oligosaccharide chain attached by N-beta-D-glycosyl linkage to protein L-asparagine"	"C11572"	"NA"	"CHEBI:5489"	"MNXM526024"	"C11H16N3O7R2(C12H20O11)n"	"NA"
"Rh46"	"UDP-N-acetyl-alpha-D-glucosamine"	"C00043"	"ChEBI:16264"	"CHEBI:16264"	"MNXM47"	"C17H25N3O17P2"	"-2"
"Rh46"	"UDP-N-acetyl-alpha-D-glucosamine"	"C00043"	"ChEBI:16264"	"CHEBI:16264"	"MNXM47"	"C17H25N3O17P2"	"-2"
"Rh47"	"glygn1[c]"	"NA"	"NA"	"NA"	NA	NA	NA
"Rh47"	"glygn2[c]"	"NA"	"NA"	"NA"	NA	NA	NA
"Rh48"	"Mn(2+)"	"C19610"	"CHEBI:29035"	"CHEBI:29035"	"MNXM2255"	"Mn"	"2"
"Rh48"	"Mn(2+)"	"C19610"	"CHEBI:29035"	"CHEBI:29035"	"MNXM2255"	"Mn"	"2"
"Rh49"	"L-arginine"	"C00062"	"NA"	"CHEBI:16467"	"MNXM70"	"C6H15N4O2"	"1"
"Rh49"	"L-arginine"	"C00062"	"NA"	"CHEBI:16467"	"MNXM70"	"C6H15N4O2"	"1"
"Rh50"	"L-lysine"	"C00047"	"NA"	"CHEBI:18019"	"MNXM78"	"C6H15N2O2"	"1"
"Rh50"	"L-lysine"	"C00047"	"NA"	"CHEBI:18019"	"MNXM78"	"C6H15N2O2"	"1"
"Rh51"	"L-glutamine"	"C00064"	"ChEBI:18050"	"CHEBI:18050"	"MNXM37"	"C5H10N2O3"	"0"
"Rh51"	"L-glutamine"	"C00064"	"ChEBI:18050"	"CHEBI:18050"	"MNXM37"	"C5H10N2O3"	"0"
"Rh52"	"L-histidine"	"C00135"	"NA"	"CHEBI:15971"	"MNXM134"	"C6H9N3O2"	"0"
"Rh52"	"L-histidine"	"C00135"	"NA"	"CHEBI:15971"	"MNXM134"	"C6H9N3O2"	"0"
"Rh53"	"L-asparagine"	"C00152"	"NA"	"CHEBI:17196"	"MNXM147"	"C4H8N2O3"	"0"
"Rh53"	"L-asparagine"	"C00152"	"NA"	"CHEBI:17196"	"MNXM147"	"C4H8N2O3"	"0"
"Rh54"	"L-alanine"	"C00041"	"ChEBI:16977"	"CHEBI:16977"	"MNXM32"	"C3H7NO2"	"0"
"Rh54"	"L-alanine"	"C00041"	"ChEBI:16977"	"CHEBI:16977"	"MNXM32"	"C3H7NO2"	"0"
"Rh55"	"L-serine"	"C00065"	"NA"	"CHEBI:17115"	"MNXM53"	"C3H7NO3"	"0"
"Rh55"	"L-serine"	"C00065"	"NA"	"CHEBI:17115"	"MNXM53"	"C3H7NO3"	"0"
"Rh56"	"acetyl-CoA"	"C00024"	"NA"	"CHEBI:15351"	"MNXM21"	"C23H34N7O17P3S"	"-4"
"Rh56"	"D-amino acid"	"C00405"	"NA"	"CHEBI:16733"	"MNXM774"	"C2H4NO2R"	"0"
"Rh56"	"coenzyme A"	"C00010"	"NA"	"CHEBI:15346"	"MNXM12"	"C21H32N7O16P3S"	"-4"
"Rh56"	"N-acetyl-D-amino acid"	"C03135"	"NA"	"CHEBI:21501"	"MNXM4051"	"C4H5NO3R"	"-1"
"Rh57"	"acetyl-CoA"	"C00024"	"NA"	"CHEBI:15351"	"MNXM21"	"C23H34N7O17P3S"	"-4"
"Rh57"	"[protein]-L-lysine"	"C02188"	"NA"	"NA"	NA	NA	NA
"Rh57"	"coenzyme A"	"C00010"	"NA"	"CHEBI:15346"	"MNXM12"	"C21H32N7O16P3S"	"-4"
"Rh57"	"[protein]-N(6)-acetyl-L-lysine"	"NA"	"CHEBI:17752"	"CHEBI:17752"	"MNXM1574"	"C8H16N2O3"	"0"
"Rh58"	"Mannitol"	"C00392"	"ChEBI:16899"	"CHEBI:16899"	"MNXM615"	"C6H14O6"	"0"
"Rh58"	"NAD"	"C00003"	"NA"	"CHEBI:15846"	"MNXM8"	"C21H26N7O14P2"	"-1"
"Rh58"	"D-fructose"	"C00095"	"ChEBI:15824"	"CHEBI:15824"	"MNXM175"	"C6H12O6"	"0"
"Rh58"	"NADH"	"C00004"	"ChEBI:16908"	"CHEBI:16908"	"MNXM10"	"C21H27N7O14P2"	"-2"
"Rh58"	"H+"	"C00080"	"NA"	"CHEBI:15378"	"MNXM1"	"H"	"1"
"Rh59"	"GDP-alpha-D-mannose"	"C00096"	"ChEBI:15820"	"CHEBI:15820"	"MNXM82"	"C16H23N5O16P2"	"-2"
"Rh59"	"G10842"	"G10842"	"NA"	"NA"	NA	NA	NA
"Rh59"	"GDP"	"C00035"	"ChEBI:17552"	"CHEBI:17552"	"MNXM30"	"C10H12N5O11P2"	"-3"
"Rh59"	"G10843"	"G10843"	"NA"	"NA"	NA	NA	NA
"Rh60"	"GDP-alpha-D-mannose"	"C00096"	"ChEBI:15820"	"CHEBI:15820"	"MNXM82"	"C16H23N5O16P2"	"-2"
"Rh60"	"G10843"	"G10843"	"NA"	"NA"	NA	NA	NA
