Abbreviation	Subsystem_new	Removed duplicated subsystems and evidences for the choosed subystem
r_0166	complex alcohol metabolism	"sce00010 Glycolysis / Gluconeogenesis / sce00071 Fatty acid degradation / sce00350 Tyrosine metabolism; imm904"
r_0167	complex alcohol metabolism	"sce00010 Glycolysis / Gluconeogenesis / sce00071 Fatty acid degradation / sce00350 Tyrosine metabolism; imm904"
r_0168	complex alcohol metabolism	"sce00010 Glycolysis / Gluconeogenesis / sce00040 Pentose and glucuronate interconversions / sce00561 Glycerolipid metabolism;imm904"
r_0169	phenylalanine metabolism ( sce00360 )	"sce00010 Glycolysis / Gluconeogenesis / sce00071 Fatty acid degradation / sce00350 Tyrosine metabolism; MNX"
r_0170	phenylalanine metabolism ( sce00360 )	"sce00010 Glycolysis / Gluconeogenesis / sce00071 Fatty acid degradation / sce00350 Tyrosine metabolism; MNX"
r_0171	phenylalanine metabolism ( sce00360 )	"sce00010 Glycolysis / Gluconeogenesis / sce00040 Pentose and glucuronate interconversions / sce00561 Glycerolipid metabolism; imm904"
r_0172	beta-alanine metabolism ( sce00410 )	"sce00010 Glycolysis / Gluconeogenesis / sce00340 Histidine metabolism / sce00350 Tyrosine metabolism / sce00360 Phenylalanine metabolism; kegg and MNX"
r_0173	glycolysis / gluconeogenesis ( sce00010 )	"/ sce00071 Fatty acid degradation / sce00280 Valine, leucine and isoleucine degradation / sce00310 Lysine degradation / sce00330 Arginine and proline metabolism / sce00340 Histidine metabolism / sce00380 Tryptophan metabolism / sce00410 beta-Alanine metabolism / sce00561 Glycerolipid metabolism / sce00620 Pyruvate metabolism; recon3D"
r_0174	glycolysis / gluconeogenesis ( sce00010 )	"/ sce00071 Fatty acid degradation / sce00280 Valine, leucine and isoleucine degradation / sce00310 Lysine degradation / sce00330 Arginine and proline metabolism / sce00340 Histidine metabolism / sce00380 Tryptophan metabolism / sce00410 beta-Alanine metabolism / sce00561 Glycerolipid metabolism / sce00620 Pyruvate metabolism; recon3D"
r_0175	pyruvate metabolism ( sce00620 )	"sce00010 Glycolysis / Gluconeogenesis / sce00071 Fatty acid degradation / sce00280 Valine, leucine and isoleucine degradation / sce00310 Lysine degradation / sce00330 Arginine and proline metabolism / sce00340 Histidine metabolism / sce00380 Tryptophan metabolism / sce00410 beta-Alanine metabolism / sce00561 Glycerolipid metabolism / ; imm904"
r_0176	tryptophan metabolism ( sce00380 )	"sce00010 Glycolysis / Gluconeogenesis / sce00071 Fatty acid degradation / sce00280 Valine, leucine and isoleucine degradation / sce00310 Lysine degradation / sce00330 Arginine and proline metabolism / sce00340 Histidine metabolism / sce00380 Tryptophan metabolism / sce00410 beta-Alanine metabolism / sce00561 Glycerolipid metabolism / sce00620 Pyruvate metabolism; kegg and MNX"
r_0177	tryptophan metabolism ( sce00380 )	"sce00010 Glycolysis / Gluconeogenesis / sce00071 Fatty acid degradation / sce00280 Valine, leucine and isoleucine degradation / sce00310 Lysine degradation / sce00330 Arginine and proline metabolism / sce00340 Histidine metabolism / sce00380 Tryptophan metabolism / sce00410 beta-Alanine metabolism / sce00561 Glycerolipid metabolism / sce00620 Pyruvate metabolism; kegg"
r_0178	tryptophan metabolism ( sce00380 )	"sce00010 Glycolysis / Gluconeogenesis / sce00071 Fatty acid degradation / sce00280 Valine, leucine and isoleucine degradation / sce00310 Lysine degradation / sce00330 Arginine and proline metabolism / sce00340 Histidine metabolism / sce00380 Tryptophan metabolism / sce00410 beta-Alanine metabolism / sce00561 Glycerolipid metabolism / sce00620 Pyruvate metabolism; kegg"
r_0179	complex alcohol metabolism	"sce00010 Glycolysis / Gluconeogenesis / sce00071 Fatty acid degradation / sce00350 Tyrosine metabolism; imm904"
r_0180	complex alcohol metabolism	"sce00010 Glycolysis / Gluconeogenesis / sce00071 Fatty acid degradation / sce00350 Tyrosine metabolism; imm904"
r_0181	complex alcohol metabolism	"sce00010 Glycolysis / Gluconeogenesis / sce00040 Pentose and glucuronate interconversions / sce00561 Glycerolipid metabolism; imm904"
r_0182	complex alcohol metabolism	"sce00010 Glycolysis / Gluconeogenesis / sce00071 Fatty acid degradation / sce00350 Tyrosine metabolism; imm904"
r_0183	complex alcohol metabolism	"sce00010 Glycolysis / Gluconeogenesis / sce00071 Fatty acid degradation / sce00350 Tyrosine metabolism; imm904"
r_0184	complex alcohol metabolism	"sce00010 Glycolysis / Gluconeogenesis / sce00040 Pentose and glucuronate interconversions / sce00561 Glycerolipid metabolism; imm904"
r_0185	phenylalanine metabolism ( sce00360 )	"sce00010 Glycolysis / Gluconeogenesis / sce00340 Histidine metabolism / sce00410 beta-Alanine metabolism / sce00350 Tyrosine metabolism; ito980 and imm904"
r_0186	tyrosine metabolism ( sce00350 )	"sce00010 Glycolysis / Gluconeogenesis / sce00071 Fatty acid degradation / sce00350 Tyrosine metabolism; MNX"
r_0187	tyrosine metabolism ( sce00350 )	"sce00010 Glycolysis / Gluconeogenesis / sce00071 Fatty acid degradation / sce00350 Tyrosine metabolism; MNX"
r_0188	folate biosynthesis ( sce00790 )	"sce00730 Thiamine metabolism / ; ito980 and imm904"
r_0189	purine metabolism ( sce00230 )	No change
r_0190	purine metabolism ( sce00230 )	No change
r_0191	arginine biosynthesis ( sce00220 )	"/ sce00791 Atrazine degradation; kegg and MNX"
r_0192	various types of n-glycan biosynthesis ( sce00513 )	"/ sce00514 Other types of O-glycan biosynthesis; MNX"
r_0193	starch and sucrose metabolism ( sce00500 )	No change
r_0194	starch and sucrose metabolism ( sce00500 )	No change
r_0195	starch and sucrose metabolism ( sce00500 )	No change
r_0198	starch and sucrose metabolism ( sce00500 )	"/ sce00052 Galactose metabolism ; MNX"
r_0199	arginine and proline metabolism ( sce00330 )	"sce00970 Aminoacyl-tRNA biosynthesis; MNX; Wrong gene information"
r_0200	glycine, serine and threonine metabolism ( sce00260 )	MNX
r_0201	arginine and proline metabolism ( sce00330 )	"sce00010 Glycolysis / Gluconeogenesis / sce00071 Fatty acid degradation / sce00280 Valine, leucine and isoleucine degradation / sce00310 Lysine degradation / sce00340 Histidine metabolism / sce00380 Tryptophan metabolism / sce00410 beta-Alanine metabolism / sce00561 Glycerolipid metabolism / sce00620 Pyruvate metabolism; MNX"
r_0202	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	No change
r_0203	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	No change
r_0204	purine metabolism ( sce00230 )	No change
r_0205	pentose and glucuronate interconversions ( sce00040 )	No change
r_0206	arginine biosynthesis ( sce00220 )	"/ sce00330 Arginine and proline metabolism; MNX"
r_0207	arginine biosynthesis ( sce00220 )	"/ sce00250 Alanine, aspartate and glutamate metabolism;MNX"
r_0208	arginine biosynthesis ( sce00220 )	"/ sce00250 Alanine, aspartate and glutamate metabolism;MNX"
r_0209	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_0210	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_0211	alanine, aspartate and glutamate metabolism ( sce00250 )	No change
r_0212	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_0213	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_0214	pyrimidine metabolism ( sce00240 )	"/ sce00250 Alanine, aspartate and glutamate metabolism; imm904"
r_0215	glycine, serine and threonine metabolism ( sce00260 )	"sce00300 Lysine biosynthesis / sce00261 Monobactam biosynthesis / sce00270 Cysteine and methionine metabolism / sce00300 Lysine biosynthesis/ sce01210 2-Oxocarboxylic acid metabolism; ito980"
r_0216	alanine, aspartate and glutamate metabolism ( sce00250 )	"sce00220 Arginine biosynthesis / sce00270 Cysteine and methionine metabolism / sce00330 Arginine and proline metabolism / sce00350 Tyrosine metabolism / sce00360 Phenylalanine metabolism / sce00400 Phenylalanine, tyrosine and tryptophan biosynthesis / sce01210 2-Oxocarboxylic acid metabolism; ito980 and imm904"
r_0217	alanine, aspartate and glutamate metabolism ( sce00250 )	"sce00220 Arginine biosynthesis / sce00270 Cysteine and methionine metabolism / sce00330 Arginine and proline metabolism / sce00350 Tyrosine metabolism / sce00360 Phenylalanine metabolism / sce00400 Phenylalanine, tyrosine and tryptophan biosynthesis / sce01210 2-Oxocarboxylic acid metabolism; ito980 and imm904"
r_0218	alanine, aspartate and glutamate metabolism ( sce00250 )	"sce00220 Arginine biosynthesis / sce00270 Cysteine and methionine metabolism / sce00330 Arginine and proline metabolism / sce00350 Tyrosine metabolism / sce00360 Phenylalanine metabolism / sce00400 Phenylalanine, tyrosine and tryptophan biosynthesis / sce01210 2-Oxocarboxylic acid metabolism; ito980 and imm904"
r_0219	glycine, serine and threonine metabolism ( sce00260 )	"sce00300 Lysine biosynthesis / sce00261 Monobactam biosynthesis / sce00270 Cysteine and methionine metabolism / sce00300 Lysine biosynthesis/ sce01210 2-Oxocarboxylic acid metabolism; ito980"
r_0220	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_0221	aminoacyl-trna biosynthesis ( sce00970 )	No change
r_0222	purine metabolism ( sce00230 )	No change
r_0223	purine metabolism ( sce00230 )	"/ sce00920 Sulfur metabolism; kegg"
r_0224	purine metabolism ( sce00230 )	"/ sce00920 Sulfur metabolism; kegg"
r_0225	histidine metabolism ( sce00340 )	No change
r_0226	oxidative phosphorylation ( sce00190 )	No change
r_0227	oxidative phosphorylation ( sce00190 )	"sce00230 Purine metabolism / sce00240 Pyrimidine metabolism; kegg; wrong reaction formula?"
r_0228	n-glycan biosynthesis ( sce00510 )	"/ sce00513 Various types of N-glycan biosynthesis; kegg"
r_0229	biotin metabolism ( sce00780 )	No change
r_0230	biotin metabolism ( sce00780 )	No change
r_0231	steroid biosynthesis ( sce00100 )	ito980
r_0233	steroid biosynthesis ( sce00100 )	ito980
r_0234	steroid biosynthesis ( sce00100 )	ito980
r_0235	steroid biosynthesis ( sce00100 )	ito980
r_0236	steroid biosynthesis ( sce00100 )	ito980
r_0237	steroid biosynthesis ( sce00100 )	ito980
r_0238	steroid biosynthesis ( sce00100 )	ito980
r_0239	steroid biosynthesis ( sce00100 )	ito980
r_0240	steroid biosynthesis ( sce00100 )	ito980
r_0241	steroid biosynthesis ( sce00100 )	ito980
r_0242	steroid biosynthesis ( sce00100 )	ito980
r_0243	steroid biosynthesis ( sce00100 )	ito980
r_0244	steroid biosynthesis ( sce00100 )	ito980
r_0249	Terpenoid backbone biosynthesis	"sce00900 Terpenoid backbone biosynthesis; MNX; wrong gene information?"
r_0250	pyrimidine metabolism ( sce00240 )	"/ sce00250 Alanine, aspartate and glutamate metabolism;recon3D"
r_0252	peroxisome ( sce04146 )	No change
r_0253	peroxisome ( sce04146 )	No change
r_0254	peroxisome ( sce04146 )	No change
r_0255	glyoxylate and dicarboxylate metabolism ( sce00630 )	"sce00380 Tryptophan metabolism / ; MNX"
r_0256	glyoxylate and dicarboxylate metabolism ( sce00630 )	"sce00380 Tryptophan metabolism / ; MNX"
r_0259	sphingolipid metabolism ( sce00600 )	No change
r_0260	sphingolipid metabolism ( sce00600 )	ito980
r_0261	sphingolipid metabolism ( sce00600 )	No change
r_0262	sphingolipid metabolism ( sce00600 )	ito980
r_0263	sphingolipid metabolism ( sce00600 )	No change
r_0264	sphingolipid metabolism ( sce00600 )	No change
r_0265	sphingolipid metabolism ( sce00600 )	No change
r_0266	sphingolipid metabolism ( sce00600 )	No change
r_0267	sphingolipid metabolism ( sce00600 )	ito980
r_0268	sphingolipid metabolism ( sce00600 )	ito980
r_0269	sphingolipid metabolism ( sce00600 )	ito980
r_0270	sphingolipid metabolism ( sce00600 )	ito980
r_0271	amino sugar and nucleotide sugar metabolism ( sce00520 )	No change
r_0272	amino sugar and nucleotide sugar metabolism ( sce00520 )	No change
r_0273	glycerophospholipid metabolism ( sce00564 )	No change
r_0274	glycerophospholipid metabolism ( sce00564 )	"/ sce00440 Phosphonate and phosphinate metabolism;MNX"
r_0278	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	ito980
r_0279	phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )	ito980
r_0280	citrate cycle (tca cycle) ( sce00020 )	"/ sce00630 Glyoxylate and dicarboxylate metabolism / sce01210 2-Oxocarboxylic acid metabolism ; ito980"
r_0281	terpenoid backbone biosynthesis ( sce00900 )	No change
r_0282	terpenoid backbone biosynthesis ( sce00900 )	No change
r_0283	terpenoid backbone biosynthesis ( sce00900 )	No change
r_0284	terpenoid backbone biosynthesis ( sce00900 )	No change
r_0285	terpenoid backbone biosynthesis ( sce00900 )	No change
r_0286	terpenoid backbone biosynthesis ( sce00900 )	No change
r_0287	terpenoid backbone biosynthesis ( sce00900 )	No change
r_0288	terpenoid backbone biosynthesis ( sce00900 )	No change
r_0289	terpenoid backbone biosynthesis ( sce00900 )	No change
r_0290	terpenoid backbone biosynthesis ( sce00900 )	No change
r_0291	terpenoid backbone biosynthesis ( sce00900 )	No change
r_0292	terpenoid backbone biosynthesis ( sce00900 )	No change
r_0293	terpenoid backbone biosynthesis ( sce00900 )	No change
r_0294	terpenoid backbone biosynthesis ( sce00900 )	No change
r_0295	terpenoid backbone biosynthesis ( sce00900 )	No change
r_0296	terpenoid backbone biosynthesis ( sce00900 )	No change
r_0297	terpenoid backbone biosynthesis ( sce00900 )	No change
