"gene"	"reaction_biocyc"	"sign"
"YNL128W"	"1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate + H2O => a 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate + phosphate"	"NO"
"YLL056C"	"1-propanal + NADH + H+ => propan-1-ol + NAD+"	"NO"
"YNL032W"	"1D-myoinositol 5-diphosphate 1,2,3,4,6-pentakisphosphate + H2O => phytate + phosphate + H+"	"NO"
"YIL043C"	"2 a ferricytochrome b5 + NADH => 2 a ferrocytochrome b5 + NAD+ + H+"	"NO"
"YKL150W"	"2 a ferricytochrome b5 + NADH => 2 a ferrocytochrome b5 + NAD+ + H+"	"NO"
"YKL150W"	"2 a ferrihemoglobin + NADH = 2 a ferrohemoglobin + NAD+ + H+"	"NO"
"YBR046C"	"2 a quinone + NADPH + H+ => 2 a semiquinone + NADP+"	"NO"
"YOR381W"	"2 an Fe(III)-siderophore + NADH => 2 an Fe(II)-siderophore + NAD+ + H+"	"NO"
"YLR214W"	"2 an Fe(III)-siderophore + NADH => 2 an Fe(II)-siderophore + NAD+ + H+"	"NO"
"YKL220C"	"2 an Fe(III)-siderophore + NADH => 2 an Fe(II)-siderophore + NAD+ + H+"	"NO"
"YNR060W"	"2 an Fe(III)-siderophore + NADH => 2 an Fe(II)-siderophore + NAD+ + H+"	"NO"
"YOR384W"	"2 an Fe(III)-siderophore + NADH => 2 an Fe(II)-siderophore + NAD+ + H+"	"NO"
"YOL152W"	"2 an Fe(III)-siderophore + NADH => 2 an Fe(II)-siderophore + NAD+ + H+"	"NO"
"YOR381W"	"2 an Fe(III)-siderophore + NADPH => 2 Fe2+ + 2 a siderophore + NADP+ + H+"	"NO"
"YLR214W"	"2 an Fe(III)-siderophore + NADPH => 2 Fe2+ + 2 a siderophore + NADP+ + H+"	"NO"
"YKL220C"	"2 an Fe(III)-siderophore + NADPH => 2 Fe2+ + 2 a siderophore + NADP+ + H+"	"NO"
"YOR381W"	"2 ferric (2,3-dihydroxybenzoylserine)3 + NADPH + 9 H+ => 2 Fe2+ + 2 (2,3-dihydroxybenzoylserine)3 + NADP+"	"NO"
"YLR214W"	"2 ferric (2,3-dihydroxybenzoylserine)3 + NADPH + 9 H+ => 2 Fe2+ + 2 (2,3-dihydroxybenzoylserine)3 + NADP+"	"NO"
"YKL220C"	"2 ferric (2,3-dihydroxybenzoylserine)3 + NADPH + 9 H+ => 2 Fe2+ + 2 (2,3-dihydroxybenzoylserine)3 + NADP+"	"NO"
"YGR234W"	"2 nitric oxide + NAD(P)H + 2 oxygen => 2 nitrate + NAD(P)+ + H+"	"NO"
"YML028W"	"2 protein cysteines + an organic hydroperoxide = a protein disulfide + an alcohol + H2O"	"NO"
"YML130C"	"2 R'C(R)SH + oxygen => R'C(R)S-S(R)CR' + hydrogen peroxide"	"NO"
"YJR104C"	"2 superoxide + 2 H+ => hydrogen peroxide + oxygen"	"NO"
"YHR008C"	"2 superoxide + 2 H+ => hydrogen peroxide + oxygen"	"NO"
"YPR144W"	"2-carboxylate-4-methyl-5-beta-(ethyl adenosine 5-diphosphate) thiazole + H2O => AMP + 4-methyl-5-(2-phosphooxyethyl)thiazole + CO2 + H+"	"NO"
"YHR044C"	"2-deoxy-D-glucose 6-phosphate + H2O => 2-deoxy-D-glucose + phosphate"	"NO"
"YHR043C"	"2-deoxy-D-glucose 6-phosphate + H2O => 2-deoxy-D-glucose + phosphate"	"NO"
"YGL156W"	"2-O-(6-phospho-alpha-D-mannosyl)-D-glycerate + H2O => D-mannopyranose 6-phosphate + D-glycerate"	"NO"
"YDR111C"	"2-oxoglutarate + L-alanine <=> L-glutamate + pyruvate"	"NO"
"YDR051C"	"2-phospho-D-glycerate <=> 3-phospho-D-glycerate"	"NO"
"YDL021W"	"2-phospho-D-glycerate <=> 3-phospho-D-glycerate"	"NO"
"YOR283W"	"2-phospho-D-glycerate <=> 3-phospho-D-glycerate"	"NO"
"YOL056W"	"2-phospho-D-glycerate <=> 3-phospho-D-glycerate"	"NO"
"YOR393W"	"2-phospho-D-glycerate <=> phosphoenolpyruvate + H2O"	"NO"
"YPL281C"	"2-phospho-D-glycerate <=> phosphoenolpyruvate + H2O"	"NO"
"YMR323W"	"2-phospho-D-glycerate <=> phosphoenolpyruvate + H2O"	"NO"
"YDL243C"	"3-chlorobenzyl alcohol + NAD+ = 3-chlorobenzaldehyde + NADH + H+"	"NO"
"YFL056C"	"3-chlorobenzyl alcohol + NAD+ = 3-chlorobenzaldehyde + NADH + H+"	"NO"
"YCR107W"	"3-chlorobenzyl alcohol + NAD+ = 3-chlorobenzaldehyde + NADH + H+"	"NO"
"YNL331C"	"3-chlorobenzyl alcohol + NAD+ = 3-chlorobenzaldehyde + NADH + H+"	"NO"
"YOL165C"	"3-chlorobenzyl alcohol + NAD+ = 3-chlorobenzaldehyde + NADH + H+"	"NO"
"YJR155W"	"3-chlorobenzyl alcohol + NAD+ = 3-chlorobenzaldehyde + NADH + H+"	"NO"
"YFL057C"	"3-chlorobenzyl alcohol + NAD+ = 3-chlorobenzaldehyde + NADH + H+"	"NO"
"YCR107W"	"3-hydroxybenzyl alcohol + NAD+ = 3-hydroxybenzaldehyde + NADH + H+"	"NO"
"YDL243C"	"3-hydroxybenzyl alcohol + NAD+ = 3-hydroxybenzaldehyde + NADH + H+"	"NO"
"YFL056C"	"3-hydroxybenzyl alcohol + NAD+ = 3-hydroxybenzaldehyde + NADH + H+"	"NO"
"YJR155W"	"3-hydroxybenzyl alcohol + NAD+ = 3-hydroxybenzaldehyde + NADH + H+"	"NO"
"YNL331C"	"3-hydroxybenzyl alcohol + NAD+ = 3-hydroxybenzaldehyde + NADH + H+"	"NO"
"YOL165C"	"3-hydroxybenzyl alcohol + NAD+ = 3-hydroxybenzaldehyde + NADH + H+"	"NO"
"YDL243C"	"3-methylbenzyl alcohol + NAD+ = 3-methylbenzaldehyde + NADH + H+"	"NO"
"YFL056C"	"3-methylbenzyl alcohol + NAD+ = 3-methylbenzaldehyde + NADH + H+"	"NO"
"YCR107W"	"3-methylbenzyl alcohol + NAD+ = 3-methylbenzaldehyde + NADH + H+"	"NO"
"YNL331C"	"3-methylbenzyl alcohol + NAD+ = 3-methylbenzaldehyde + NADH + H+"	"NO"
"YOL165C"	"3-methylbenzyl alcohol + NAD+ = 3-methylbenzaldehyde + NADH + H+"	"NO"
"YJR155W"	"3-methylbenzyl alcohol + NAD+ = 3-methylbenzaldehyde + NADH + H+"	"NO"
"YFL057C"	"3-methylbenzyl alcohol + NAD+ = 3-methylbenzaldehyde + NADH + H+"	"NO"
"YDR231C"	"4 a reduced c-type cytochrome[out] + oxygen[in] + 8 H+[in] => 4 an oxidized c-type cytochrome[out] + 4 H+[out] + 2 H2O[in]"	"NO"
"YGR062C"	"4 a reduced c-type cytochrome[out] + oxygen[in] + 8 H+[in] => 4 an oxidized c-type cytochrome[out] + 4 H+[out] + 2 H2O[in]"	"NO"
"YHR116W"	"4 a reduced c-type cytochrome[out] + oxygen[in] + 8 H+[in] => 4 an oxidized c-type cytochrome[out] + 4 H+[out] + 2 H2O[in]"	"NO"
"YJL003W"	"4 a reduced c-type cytochrome[out] + oxygen[in] + 8 H+[in] => 4 an oxidized c-type cytochrome[out] + 4 H+[out] + 2 H2O[in]"	"NO"
"YLL018C-A"	"4 a reduced c-type cytochrome[out] + oxygen[in] + 8 H+[in] => 4 an oxidized c-type cytochrome[out] + 4 H+[out] + 2 H2O[in]"	"NO"
"YPL132W"	"4 a reduced c-type cytochrome[out] + oxygen[in] + 8 H+[in] => 4 an oxidized c-type cytochrome[out] + 4 H+[out] + 2 H2O[in]"	"NO"
"YDR242W"	"4-guanidinobutyramide + H2O = ammonium + 4-guanidinobutanoate"	"NO"
"YCR107W"	"4-isopropylbenzyl alcohol + NAD+ = p-cumic aldehyde + NADH + H+"	"NO"
"YDL243C"	"4-isopropylbenzyl alcohol + NAD+ = p-cumic aldehyde + NADH + H+"	"NO"
"YFL056C"	"4-isopropylbenzyl alcohol + NAD+ = p-cumic aldehyde + NADH + H+"	"NO"
"YJR155W"	"4-isopropylbenzyl alcohol + NAD+ = p-cumic aldehyde + NADH + H+"	"NO"
"YNL331C"	"4-isopropylbenzyl alcohol + NAD+ = p-cumic aldehyde + NADH + H+"	"NO"
"YOL165C"	"4-isopropylbenzyl alcohol + NAD+ = p-cumic aldehyde + NADH + H+"	"NO"
"YDL243C"	"4-methylbenzyl alcohol + NAD+ = 4-methylbenzaldehyde + NADH + H+"	"NO"
"YFL056C"	"4-methylbenzyl alcohol + NAD+ = 4-methylbenzaldehyde + NADH + H+"	"NO"
"YCR107W"	"4-methylbenzyl alcohol + NAD+ = 4-methylbenzaldehyde + NADH + H+"	"NO"
"YNL331C"	"4-methylbenzyl alcohol + NAD+ = 4-methylbenzaldehyde + NADH + H+"	"NO"
"YOL165C"	"4-methylbenzyl alcohol + NAD+ = 4-methylbenzaldehyde + NADH + H+"	"NO"
"YJR155W"	"4-methylbenzyl alcohol + NAD+ = 4-methylbenzaldehyde + NADH + H+"	"NO"
"YFL057C"	"4-methylbenzyl alcohol + NAD+ = 4-methylbenzaldehyde + NADH + H+"	"NO"
"YDL236W"	"4-nitrophenyl phosphate + H2O => 4-nitrophenol + phosphate + H+"	"NO"
"YHL018W"	"4alpha-hydroxy-tetrahydrobiopterin = 7,8-dihydrobiopterin + H2O"	"NO"
"YGR024C"	"5'-(5'-diphosphoadenosine)-ribonucleotide-[tRNAHis] + GTP => 5'-triphospho-guanosine-ribonucleotide-[tRNAHis] + AMP + H+"	"NO"
"YGR024C"	"5'-phospho-ribonucleotide-[tRNAHis] + ATP + GTP => 5'-triphospho-guanosine-ribonucleotide-[tRNAHis] + AMP + diphosphate"	"NO"
"YGR024C"	"5'-phospho-ribonucleotide-[tRNAHis] + ATP + H+ => 5'-(5'-diphosphoadenosine)-ribonucleotide-[tRNAHis] + diphosphate"	"NO"
"YKL215C"	"5-oxo-L-proline + ATP + 2 H2O => L-glutamate + ADP + phosphate + H+"	"NO"
"YDR441C"	"5-phospho-alpha-D-ribose 1-diphosphate + adenine => AMP + diphosphate"	"NO"
"YCR073W-A"	"6-phospho D-glucono-1,5-lactone + H2O => D-gluconate 6-phosphate + H+"	"NO"
"YNR034W"	"6-phospho D-glucono-1,5-lactone + H2O => D-gluconate 6-phosphate + H+"	"NO"
"YOL141W"	"7-(2-hydroxy-3-amino-3-carboxypropyl)-wyosine37 in tRNAPhe + S-adenosyl-L-methionine => 7-[4-methoxy-(2-hydroxy-3-amino-3-carboxypropyl)]-wyosine37 in tRNAPhe + S-adenosyl-L-homocysteine"	"NO"
"YOL141W"	"7-[(3S)-(3-amino-3-carboxypropyl)]-wyosine37 in tRNAPhe + S-adenosyl-L-methionine => 7-[(3S)-4-methoxy-(3-amino-3-carboxypropyl)]-wyosine37 in tRNAPhe + S-adenosyl-L-homocysteine"	"NO"
"YOL141W"	"7-[(3S)-4-methoxy-(3-amino-3-carboxypropyl)]-wyosine37 in tRNAPhe + CO2 + S-adenosyl-L-methionine => S-adenosyl-L-homocysteine + wybutosine37 in tRNAPhe + 2 H+"	"NO"
"YOL141W"	"7-[4-methoxy-(2-hydroxy-3-amino-3-carboxypropyl)]-wyosine37 in tRNAPhe + CO2 + S-adenosyl-L-methionine => 2-hydroxy-wybutosine37 in tRNAPhe + S-adenosyl-L-homocysteine + 2 H+"	"NO"
"YEL011W"	"a 1,4-alpha-D-glucan = a glycogen"	"NO"
"YNL012W"	"a 1-acyl-sn-glycero-3-phosphocholine + H2O => a carboxylate + sn-glycero-3-phosphocholine + H+"	"NO"
"YMR210W"	"a 1-monoglyceride + H2O => a fatty acid + glycerol + H+"	"NO"
"YNL128W"	"a 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate + H2O => a 1-phosphatidyl-1D-myo-inositol 4-phosphate + phosphate"	"NO"
"YHL018W"	"a 10-formyltetrahydrofolate-4a-carbinolamine = an N10-formyldihydrofolate + H2O"	"NO"
"YBR278W"	"a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n) => (deoxynucleotides)(n+1) + diphosphate"	"NO"
"YCR014C"	"a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n) => (deoxynucleotides)(n+1) + diphosphate"	"NO"
"YDR419W"	"a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n) => (deoxynucleotides)(n+1) + diphosphate"	"NO"
"YDR121W"	"a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n) => (deoxynucleotides)(n+1) + diphosphate"	"NO"
"YDL102W"	"a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n) => (deoxynucleotides)(n+1) + diphosphate"	"NO"
"YEL055C"	"a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n) => (deoxynucleotides)(n+1) + diphosphate"	"NO"
"YJR006W"	"a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n) => (deoxynucleotides)(n+1) + diphosphate"	"NO"
"YJL090C"	"a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n) => (deoxynucleotides)(n+1) + diphosphate"	"NO"
"YNL262W"	"a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n) => (deoxynucleotides)(n+1) + diphosphate"	"NO"
"YNL102W"	"a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n) => (deoxynucleotides)(n+1) + diphosphate"	"NO"
"YOR330C"	"a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n) => (deoxynucleotides)(n+1) + diphosphate"	"NO"
"YPR175W"	"a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n) => (deoxynucleotides)(n+1) + diphosphate"	"NO"
"YPL167C"	"a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n) => (deoxynucleotides)(n+1) + diphosphate"	"NO"
"YLR318W"	"a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n) = (deoxynucleotides)(n+1) + diphosphate"	"NO"
"YOL102C"	"a 2'-phospho-[ligated tRNA] + NAD+ => a spliced tRNA + ADP ribose 1'',2''-cyclic phosphate + nicotinamide"	"NO"
"L9470.17"	"a 2-[(3S)-3-amino-3-carboxypropyl]-L-histidine-[translation elongation factor 2] + 4 S-adenosyl-L-methionine => a diphthine methyl ester-[translation elongation factor 2] + 4 S-adenosyl-L-homocysteine + 3 H+"	"NO"
"YBR236C"	"a 5'-(5'-triphosphoguanosine)-purine-[mRNA] + S-adenosyl-L-methionine => S-adenosyl-L-homocysteine + a 5'-(N7-methyl 5'-triphosphoguanosine)-(purine-ribonucleotide)-[mRNA] + H+"	"NO"
"YGL192W"	"a 5'-(N7-methyl 5'-triphosphoguanosine)-(2'-O-methyladenosine)-[mRNA] + S-adenosyl-L-methionine => a 5'-(N7-methyl 5'-triphosphoguanosine)-(N6,2'-O-dimethyladenosine)-[mRNA] + S-adenosyl-L-homocysteine + H+"	"NO"
"YGL130W"	"a 5'-diphospho-purine-[mRNA] + GTP + 2 H+ => a 5'-(5'-triphosphoguanosine)-purine-[mRNA] + diphosphate"	"NO"
"YJL087C"	"a 5'-half-tRNA molecule with a 2',3'-cyclic phosphate end + a 3'-half-tRNA molecule with a 5'-OH end + 2 ATP + H2O => a 2'-phospho-[ligated tRNA] + AMP + ADP + diphosphate + 2 H+"	"NO"
"YPL228W"	"a 5'-triphospho-purine-[mRNA] + H2O => a 5'-diphospho-purine-[mRNA] + phosphate + H+"	"NO"
"YNL239W"	"a bleomycin + H2O => a deamido-bleomycin"	"NO"
"YAL039C"	"a c-type cytochrome <=> heme c + an apo-[c-type cytochrome]"	"NO"
"YKL087C"	"a c-type cytochrome <=> heme c + an apo-[c-type cytochrome]"	"NO"
"YML014W"	"a carboxymethyluridine34 in tRNA + S-adenosyl-L-methionine => a 5-(2-methoxy-2-oxoethyl)uridine34 in tRNA + S-adenosyl-L-homocysteine"	"NO"
"YDR371W"	"a chitodextrin + n H2O => n N,N'-diacetylchitobiose + N,N',N''-triacetylchitotriose"	"NO"
"YLR286C"	"a chitodextrin + n H2O => n N,N'-diacetylchitobiose + N,N',N''-triacetylchitotriose"	"NO"
"YLR446W"	"a D-hexose + ATP = D-hexose 6-phosphate + ADP + H+"	"NO"
"YBL019W"	"a damaged DNA pyrimidine = an apyrimidinic site in DNA"	"NO"
"YKL114C"	"a damaged DNA pyrimidine = an apyrimidinic site in DNA"	"NO"
"YML060W"	"a damaged DNA pyrimidine = an apyrimidinic site in DNA"	"NO"
"YIL049W"	"a di-trans, poly-cis-polyprenol + NADPH + H+ => a dolichol + NADP+"	"NO"
"YBR246W"	"a diphthine methyl ester-[translation elongation factor 2] + H2O => a diphthine-[translation elongation factor 2] + methanol + H+"	"NO"
"YBR1634"	"a diphthine methyl ester-[translation elongation factor 2] + H2O => a diphthine-[translation elongation factor 2] + methanol + H+"	"NO"
"YLR143W"	"a diphthine-[translation elongation factor 2] + ammonium + ATP => a diphthamide-[translation elongation factor 2] + AMP + diphosphate + H+"	"NO"
"YOR386W"	"a DNA containing a pyrimidine dimer => a DNA pair of adjacent pyrimidines"	"NO"
"YBL019W"	"a DNA containing an apurinic/apyrimidinic site = a 5'-phospho-[DNA] + a 3'-terminal unsaturated sugar + H+"	"NO"
"YKL114C"	"a DNA containing an apurinic/apyrimidinic site = a 5'-phospho-[DNA] + a 3'-terminal unsaturated sugar + H+"	"NO"
"YML060W"	"a DNA containing an apurinic/apyrimidinic site = a 5'-phospho-[DNA] + a 3'-terminal unsaturated sugar + H+"	"NO"
"YGR199W"	"a dolichyl beta-D-mannosyl phosphate + a [protein]-(L-serine/L-threonine) => a dolichyl phosphate + a [protein]-O-D-mannosyl-(L-serine/L-threonine) + H+"	"NO"
"YDR307W"	"a dolichyl beta-D-mannosyl phosphate + a [protein]-(L-serine/L-threonine) => a dolichyl phosphate + a [protein]-O-D-mannosyl-(L-serine/L-threonine) + H+"	"NO"
"YGR036C"	"a dolichyl diphosphate + H2O = a dolichyl phosphate + phosphate + H+"	"NO"
"YPL227C"	"a dolichyl phosphate + UDP-alpha-D-glucose => a dolichyl beta-D-glucosyl phosphate + UDP"	"NO"
"YBR243C"	"a dolichyl phosphate + UDP-N-acetyl-alpha-D-glucosamine => N-acetyl-alpha-D-glucosaminyl-diphosphodolichol + UMP"	"NO"
"YNL088W"	"a double stranded DNA + ATP = a negatively supercoiled DNA + ADP + phosphate"	"NO"
"YBR163W"	"a double stranded DNA + n H2O => n+1 a 5'-phosphooligonucleotide"	"NO"
"YKL017C"	"a double-helix DNA + ATP + H2O = an unwound double-stranded DNA + ADP + phosphate + H+"	"NO"
"YJR117W"	"a farnesylated protein that ends with a CAAX sequence + H2O => a [protein] C-terminal S-farnesyl-L-cysteine + a peptide + H+"	"NO"
"YEL011W"	"a glucosylated glycogenin => a glycogen"	"NO"
"YOL124C"	"a guanine10 in tRNA + S-adenosyl-L-methionine => an N2-methylguanine10 in tRNA + S-adenosyl-L-homocysteine + H+"	"NO"
"YNR046W"	"a guanine10 in tRNA + S-adenosyl-L-methionine => an N2-methylguanine10 in tRNA + S-adenosyl-L-homocysteine + H+"	"NO"
"YDR120C"	"a guanine26 in tRNA + 2 S-adenosyl-L-methionine => an N2dimethylguanine26 in tRNA + 2 S-adenosyl-L-homocysteine + 2 H+"	"NO"
"YDR120C"	"a guanine26 in tRNA + S-adenosyl-L-methionine => an N2-methylguanine26 in tRNA + S-adenosyl-L-homocysteine + H+"	"NO"
"YHR070W"	"a guanine37 in tRNA + S-adenosyl-L-methionine => an N1-methylguanine37 in tRNA + S-adenosyl-L-homocysteine + H+"	"NO"
"YDL201W"	"a guanine46 in tRNA + S-adenosyl-L-methionine => an N7-methylguanine46 in tRNA + S-adenosyl-L-homocysteine"	"NO"
"YOL093W"	"a guanine9 in tRNA + S-adenosyl-L-methionine => an N1-methylguanine9 in tRNA + S-adenosyl-L-homocysteine + H+"	"NO"
"YDL112W"	"a guanosine18 in tRNA + S-adenosyl-L-methionine => a 2'-O-methylguanosine18 in tRNA + S-adenosyl-L-homocysteine + H+"	"NO"
"YBR061C"	"a guanosine34 in tRNA + S-adenosyl-L-methionine => a 2'-O-methylguanosine34 in tRNA + S-adenosyl-L-homocysteine + H+"	"NO"
"YBL063W"	"a kinesin associated with a microtubule at an n position + ATP + H2O => a kinesin associated with a microtubule at an (n+1) position (toward the plus end) + ADP + phosphate + H+"	"NO"
"YGL216W"	"a kinesin associated with a microtubule at an n position + ATP + H2O => a kinesin associated with a microtubule at an (n+1) position (toward the plus end) + ADP + phosphate + H+"	"NO"
"YPL155C"	"a kinesin associated with a microtubule at an n position + ATP + H2O => a kinesin associated with a microtubule at an (n+1) position (toward the plus end) + ADP + phosphate + H+"	"NO"
"YLR163C"	"a mitochondrial preprotein including a mitochondrial targeting sequence + H2O => a processed mitochondrial protein + a peptide"	"NO"
"YHR024C"	"a mitochondrial preprotein including a mitochondrial targeting sequence + H2O => a processed mitochondrial protein + a peptide"	"NO"
"YDR242W"	"a monocarboxylic acid amide + H2O = a monocarboxylate + ammonium"	"NO"
"YAL021C"	"a mRNA with poly(A) tail + n H2O => an mRNA + n AMP"	"NO"
"YGL094C"	"a mRNA with poly(A) tail + n H2O => an mRNA + n AMP"	"NO"
"YNR052C"	"a mRNA with poly(A) tail + n H2O => an mRNA + n AMP"	"NO"
"YLR234W"	"a negatively supercoiled DNA = a relaxed DNA"	"NO"
"YOL006C"	"a negatively supercoiled DNA = a relaxed DNA"	"NO"
"YIL164C"	"a nitrile + 2 H2O = a carboxylate + ammonium"	"NO"
"YJL126W"	"a nitrile + 2 H2O = a carboxylate + ammonium"	"NO"
"YLR351C"	"a nitrile + 2 H2O = a carboxylate + ammonium"	"NO"
"YCR026C"	"a nucleoside triphosphate + H2O = a nucleoside 5'-monophosphate + diphosphate + H+"	"NO"
"YEL016C"	"a nucleoside triphosphate + H2O = a nucleoside 5'-monophosphate + diphosphate + H+"	"NO"
"YBR154C"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YDR404C"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YDR156W"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YDR045C"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YDL150W"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YDL140C"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YFL036W"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YGL070C"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YHR143W-A"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YIL021W"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YJR063W"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YJL148W"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YJL140W"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YJL011C"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YKR025W"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YKL144C"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YNR003C"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YNL248C"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YNL151C"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YNL113W"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YOR341W"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YOR340C"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YOR224C"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YOR210W"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YOR207C"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YOR151C"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YOR116C"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YOL005C"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YPR190C"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YPR187W"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YPR110C"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YPR010C"	"a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate"	"NO"
"YDL104C"	"a O-sialoglycoprotein + H2O => n a peptide"	"NO"
"YMR297W"	"a peptide + H2O => a peptide + a proteinogenic amino acid"	"NO"
"YOR219C"	"a peptide + n H2O => n+1 a dipeptide"	"NO"
"YHR028C"	"a peptide + n H2O => n+1 a dipeptide"	"NO"
"YJL172W"	"a peptide with a penultimate glycine + H2O => a peptide with a C-terminal glycine + an amino acid"	"NO"
"YBL091C"	"a peptide with an N-terminal L-methionine + H2O => L-methionine + a peptide + H+"	"NO"
