met	reaction	formula	MNX_ID	reactant	product	common_met_num
Rh16	1 MNXM01@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM01@MNXD2 + 1 MNXM70@MNXD1	1 `H(+)` + 1 `L-arginine` = 1 `H(+)` + 1 `L-arginine`	MNXR95954	1 `H(+)` + 1 `L-arginine` 	 1 `H(+)` + 1 `L-arginine`	2
Rh16	1 MNXM27@MNXD1 + 1 MNXM70@MNXD1 = 1 MNXM27@MNXD2 + 1 MNXM70@MNXD2	1 `Na(+)` + 1 `L-arginine` = 1 `Na(+)` + 1 `L-arginine`	MNXR95955	1 `Na(+)` + 1 `L-arginine` 	 1 `Na(+)` + 1 `L-arginine`	2
Rh16	1 MNXM70@MNXD1 = 1 MNXM70@BOUNDARY	1 `L-arginine` = 1 `L-arginine`	MNXR98286	1 `L-arginine` 	 1 `L-arginine`	1
Rh16	1 MNXM01@MNXD1 + 1 MNXM37@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM01@MNXD2 + 1 MNXM37@MNXD2 + 1 MNXM70@MNXD1	1 `H(+)` + 1 `L-glutamine` + 1 `L-arginine` = 1 `H(+)` + 1 `L-glutamine` + 1 `L-arginine`	MNXR100264	1 `H(+)` + 1 `L-glutamine` + 1 `L-arginine` 	 1 `H(+)` + 1 `L-glutamine` + 1 `L-arginine`	3
Rh16	1 MNXM134@MNXD1 + 1 MNXM27@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM134@MNXD2 + 1 MNXM27@MNXD2 + 1 MNXM70@MNXD1	1 `L-histidine` + 1 `Na(+)` + 1 `L-arginine` = 1 `L-histidine` + 1 `Na(+)` + 1 `L-arginine`	MNXR100650	1 `L-histidine` + 1 `Na(+)` + 1 `L-arginine` 	 1 `L-histidine` + 1 `Na(+)` + 1 `L-arginine`	3
Rh16	1 MNXM01@MNXD1 + 1 MNXM134@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM01@MNXD2 + 1 MNXM134@MNXD2 + 1 MNXM70@MNXD1	1 `H(+)` + 1 `L-histidine` + 1 `L-arginine` = 1 `H(+)` + 1 `L-histidine` + 1 `L-arginine`	MNXR100651	1 `H(+)` + 1 `L-histidine` + 1 `L-arginine` 	 1 `H(+)` + 1 `L-histidine` + 1 `L-arginine`	3
Rh16	1 MNXM01@MNXD1 + 1 MNXM140@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM01@MNXD2 + 1 MNXM140@MNXD2 + 1 MNXM70@MNXD1	1 `H(+)` + 1 `L-leucine` + 1 `L-arginine` = 1 `H(+)` + 1 `L-leucine` + 1 `L-arginine`	MNXR101059	1 `H(+)` + 1 `L-leucine` + 1 `L-arginine` 	 1 `H(+)` + 1 `L-leucine` + 1 `L-arginine`	3
Rh16	1 MNXM01@MNXD1 + 1 MNXM61@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM01@MNXD2 + 1 MNXM61@MNXD2 + 1 MNXM70@MNXD1	1 `H(+)` + 1 `L-methionine` + 1 `L-arginine` = 1 `H(+)` + 1 `L-methionine` + 1 `L-arginine`	MNXR101494	1 `H(+)` + 1 `L-methionine` + 1 `L-arginine` 	 1 `H(+)` + 1 `L-methionine` + 1 `L-arginine`	3
Rh16	1 MNXM01@MNXD1 + 1 MNXM70@MNXD2 + 1 MNXM97@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM70@MNXD1 + 1 MNXM97@MNXD2	1 `H(+)` + 1 `L-arginine` + 1 `L-phenylalanine` = 1 `H(+)` + 1 `L-arginine` + 1 `L-phenylalanine`	MNXR102638	1 `H(+)` + 1 `L-arginine` + 1 `L-phenylalanine` 	 1 `H(+)` + 1 `L-arginine` + 1 `L-phenylalanine`	3
Rh16	1 MNXM134@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM134@MNXD2 + 1 MNXM70@MNXD1	1 `L-histidine` + 1 `L-arginine` = 1 `L-histidine` + 1 `L-arginine`	MNXR105610	1 `L-histidine` + 1 `L-arginine` 	 1 `L-histidine` + 1 `L-arginine`	2
Rh16	1 MNXM211@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM211@MNXD2 + 1 MNXM70@MNXD1	1 `L-citrulline` + 1 `L-arginine` = 1 `L-citrulline` + 1 `L-arginine`	MNXR105611	1 `L-citrulline` + 1 `L-arginine` 	 1 `L-citrulline` + 1 `L-arginine`	2
Rh16	1 MNXM27@MNXD1 + 1 MNXM29@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM27@MNXD2 + 1 MNXM29@MNXD2 + 1 MNXM70@MNXD1	1 `Na(+)` + 1 `glycine` + 1 `L-arginine` = 1 `Na(+)` + 1 `glycine` + 1 `L-arginine`	MNXR105825	1 `Na(+)` + 1 `glycine` + 1 `L-arginine` 	 1 `Na(+)` + 1 `glycine` + 1 `L-arginine`	3
Rh16	1 MNXM27@MNXD1 + 1 MNXM32@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM27@MNXD2 + 1 MNXM32@MNXD2 + 1 MNXM70@MNXD1	1 `Na(+)` + 1 `L-alanine` + 1 `L-arginine` = 1 `Na(+)` + 1 `L-alanine` + 1 `L-arginine`	MNXR105830	1 `Na(+)` + 1 `L-alanine` + 1 `L-arginine` 	 1 `Na(+)` + 1 `L-alanine` + 1 `L-arginine`	3
Rh16	1 MNXM27@MNXD1 + 1 MNXM37@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM27@MNXD2 + 1 MNXM37@MNXD2 + 1 MNXM70@MNXD1	1 `Na(+)` + 1 `L-glutamine` + 1 `L-arginine` = 1 `Na(+)` + 1 `L-glutamine` + 1 `L-arginine`	MNXR105835	1 `Na(+)` + 1 `L-glutamine` + 1 `L-arginine` 	 1 `Na(+)` + 1 `L-glutamine` + 1 `L-arginine`	3
Rh16	1 MNXM27@MNXD1 + 1 MNXM53@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM27@MNXD2 + 1 MNXM53@MNXD2 + 1 MNXM70@MNXD1	1 `Na(+)` + 1 `L-serine` + 1 `L-arginine` = 1 `Na(+)` + 1 `L-serine` + 1 `L-arginine`	MNXR105839	1 `Na(+)` + 1 `L-serine` + 1 `L-arginine` 	 1 `Na(+)` + 1 `L-serine` + 1 `L-arginine`	3
Rh16	1 MNXM27@MNXD1 + 1 MNXM61@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM27@MNXD2 + 1 MNXM61@MNXD2 + 1 MNXM70@MNXD1	1 `Na(+)` + 1 `L-methionine` + 1 `L-arginine` = 1 `Na(+)` + 1 `L-methionine` + 1 `L-arginine`	MNXR105844	1 `Na(+)` + 1 `L-methionine` + 1 `L-arginine` 	 1 `Na(+)` + 1 `L-methionine` + 1 `L-arginine`	3
Rh16	1 MNXM27@MNXD1 + 1 MNXM70@MNXD2 + 1 MNXM94@MNXD1 = 1 MNXM27@MNXD2 + 1 MNXM70@MNXD1 + 1 MNXM94@MNXD2	1 `Na(+)` + 1 `L-arginine` + 1 `L-tryptophan` = 1 `Na(+)` + 1 `L-arginine` + 1 `L-tryptophan`	MNXR105849	1 `Na(+)` + 1 `L-arginine` + 1 `L-tryptophan` 	 1 `Na(+)` + 1 `L-arginine` + 1 `L-tryptophan`	3
Rh16	1 MNXM27@MNXD1 + 1 MNXM70@MNXD2 + 1 MNXM97@MNXD1 = 1 MNXM27@MNXD2 + 1 MNXM70@MNXD1 + 1 MNXM97@MNXD2	1 `Na(+)` + 1 `L-arginine` + 1 `L-phenylalanine` = 1 `Na(+)` + 1 `L-arginine` + 1 `L-phenylalanine`	MNXR105854	1 `Na(+)` + 1 `L-arginine` + 1 `L-phenylalanine` 	 1 `Na(+)` + 1 `L-arginine` + 1 `L-phenylalanine`	3
Rh16	1 MNXM27@MNXD1 + 1 MNXM70@MNXD2 + 1 MNXM76@MNXD1 = 1 MNXM27@MNXD2 + 1 MNXM70@MNXD1 + 1 MNXM76@MNXD2	1 `Na(+)` + 1 `L-arginine` + 1 `L-tyrosine` = 1 `Na(+)` + 1 `L-arginine` + 1 `L-tyrosine`	MNXR105859	1 `Na(+)` + 1 `L-arginine` + 1 `L-tyrosine` 	 1 `Na(+)` + 1 `L-arginine` + 1 `L-tyrosine`	3
Rh16	1 MNXM27@MNXD1 + 1 MNXM55@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM27@MNXD2 + 1 MNXM55@MNXD2 + 1 MNXM70@MNXD1	1 `Na(+)` + 1 `L-cysteine` + 1 `L-arginine` = 1 `Na(+)` + 1 `L-cysteine` + 1 `L-arginine`	MNXR105864	1 `Na(+)` + 1 `L-cysteine` + 1 `L-arginine` 	 1 `Na(+)` + 1 `L-cysteine` + 1 `L-arginine`	3
Rh16	1 MNXM140@MNXD1 + 1 MNXM27@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM140@MNXD2 + 1 MNXM27@MNXD2 + 1 MNXM70@MNXD1	1 `L-leucine` + 1 `Na(+)` + 1 `L-arginine` = 1 `L-leucine` + 1 `Na(+)` + 1 `L-arginine`	MNXR105869	1 `L-leucine` + 1 `Na(+)` + 1 `L-arginine` 	 1 `L-leucine` + 1 `Na(+)` + 1 `L-arginine`	3
Rh16	1 MNXM114@MNXD1 + 1 MNXM27@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM114@MNXD2 + 1 MNXM27@MNXD2 + 1 MNXM70@MNXD1	1 `L-proline` + 1 `Na(+)` + 1 `L-arginine` = 1 `L-proline` + 1 `Na(+)` + 1 `L-arginine`	MNXR105874	1 `L-proline` + 1 `Na(+)` + 1 `L-arginine` 	 1 `L-proline` + 1 `Na(+)` + 1 `L-arginine`	3
Rh16	1 MNXM147@MNXD1 + 1 MNXM27@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM147@MNXD2 + 1 MNXM27@MNXD2 + 1 MNXM70@MNXD1	1 `L-asparagine` + 1 `Na(+)` + 1 `L-arginine` = 1 `L-asparagine` + 1 `Na(+)` + 1 `L-arginine`	MNXR105879	1 `L-asparagine` + 1 `Na(+)` + 1 `L-arginine` 	 1 `L-asparagine` + 1 `Na(+)` + 1 `L-arginine`	3
Rh16	1 MNXM199@MNXD1 + 1 MNXM27@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM199@MNXD2 + 1 MNXM27@MNXD2 + 1 MNXM70@MNXD1	1 `L-valine` + 1 `Na(+)` + 1 `L-arginine` = 1 `L-valine` + 1 `Na(+)` + 1 `L-arginine`	MNXR105884	1 `L-valine` + 1 `Na(+)` + 1 `L-arginine` 	 1 `L-valine` + 1 `Na(+)` + 1 `L-arginine`	3
Rh16	1 MNXM142@MNXD1 + 1 MNXM27@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM142@MNXD2 + 1 MNXM27@MNXD2 + 1 MNXM70@MNXD1	1 `L-threonine` + 1 `Na(+)` + 1 `L-arginine` = 1 `L-threonine` + 1 `Na(+)` + 1 `L-arginine`	MNXR105889	1 `L-threonine` + 1 `Na(+)` + 1 `L-arginine` 	 1 `L-threonine` + 1 `Na(+)` + 1 `L-arginine`	3
Rh16	1 MNXM27@MNXD1 + 1 MNXM353@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM27@MNXD2 + 1 MNXM353@MNXD2 + 1 MNXM70@MNXD1	1 `Na(+)` + 1 `L-homoserine` + 1 `L-arginine` = 1 `Na(+)` + 1 `L-homoserine` + 1 `L-arginine`	MNXR105894	1 `Na(+)` + 1 `L-homoserine` + 1 `L-arginine` 	 1 `Na(+)` + 1 `L-homoserine` + 1 `L-arginine`	3
Rh16	1 MNXM231@MNXD1 + 1 MNXM27@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM231@MNXD2 + 1 MNXM27@MNXD2 + 1 MNXM70@MNXD1	1 `L-isoleucine` + 1 `Na(+)` + 1 `L-arginine` = 1 `L-isoleucine` + 1 `Na(+)` + 1 `L-arginine`	MNXR105899	1 `L-isoleucine` + 1 `Na(+)` + 1 `L-arginine` 	 1 `L-isoleucine` + 1 `Na(+)` + 1 `L-arginine`	3
Rh16	1 MNXM29@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM29@MNXD2 + 1 MNXM70@MNXD1	1 `glycine` + 1 `L-arginine` = 1 `glycine` + 1 `L-arginine`	MNXR105919	1 `glycine` + 1 `L-arginine` 	 1 `glycine` + 1 `L-arginine`	2
Rh16	1 MNXM32@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM32@MNXD2 + 1 MNXM70@MNXD1	1 `L-alanine` + 1 `L-arginine` = 1 `L-alanine` + 1 `L-arginine`	MNXR105920	1 `L-alanine` + 1 `L-arginine` 	 1 `L-alanine` + 1 `L-arginine`	2
Rh16	1 MNXM37@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM37@MNXD2 + 1 MNXM70@MNXD1	1 `L-glutamine` + 1 `L-arginine` = 1 `L-glutamine` + 1 `L-arginine`	MNXR105921	1 `L-glutamine` + 1 `L-arginine` 	 1 `L-glutamine` + 1 `L-arginine`	2
Rh16	1 MNXM53@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM53@MNXD2 + 1 MNXM70@MNXD1	1 `L-serine` + 1 `L-arginine` = 1 `L-serine` + 1 `L-arginine`	MNXR105922	1 `L-serine` + 1 `L-arginine` 	 1 `L-serine` + 1 `L-arginine`	2
Rh16	1 MNXM61@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM61@MNXD2 + 1 MNXM70@MNXD1	1 `L-methionine` + 1 `L-arginine` = 1 `L-methionine` + 1 `L-arginine`	MNXR105923	1 `L-methionine` + 1 `L-arginine` 	 1 `L-methionine` + 1 `L-arginine`	2
Rh16	1 MNXM70@MNXD1 + 1 MNXM94@MNXD2 = 1 MNXM70@MNXD2 + 1 MNXM94@MNXD1	1 `L-arginine` + 1 `L-tryptophan` = 1 `L-arginine` + 1 `L-tryptophan`	MNXR105924	1 `L-arginine` + 1 `L-tryptophan` 	 1 `L-arginine` + 1 `L-tryptophan`	2
Rh16	1 MNXM70@MNXD1 + 1 MNXM97@MNXD2 = 1 MNXM70@MNXD2 + 1 MNXM97@MNXD1	1 `L-arginine` + 1 `L-phenylalanine` = 1 `L-arginine` + 1 `L-phenylalanine`	MNXR105925	1 `L-arginine` + 1 `L-phenylalanine` 	 1 `L-arginine` + 1 `L-phenylalanine`	2
Rh16	1 MNXM70@MNXD1 + 1 MNXM76@MNXD2 = 1 MNXM70@MNXD2 + 1 MNXM76@MNXD1	1 `L-arginine` + 1 `L-tyrosine` = 1 `L-arginine` + 1 `L-tyrosine`	MNXR105926	1 `L-arginine` + 1 `L-tyrosine` 	 1 `L-arginine` + 1 `L-tyrosine`	2
Rh16	1 MNXM55@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM55@MNXD2 + 1 MNXM70@MNXD1	1 `L-cysteine` + 1 `L-arginine` = 1 `L-cysteine` + 1 `L-arginine`	MNXR105927	1 `L-cysteine` + 1 `L-arginine` 	 1 `L-cysteine` + 1 `L-arginine`	2
Rh16	1 MNXM140@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM140@MNXD2 + 1 MNXM70@MNXD1	1 `L-leucine` + 1 `L-arginine` = 1 `L-leucine` + 1 `L-arginine`	MNXR105928	1 `L-leucine` + 1 `L-arginine` 	 1 `L-leucine` + 1 `L-arginine`	2
Rh16	1 MNXM114@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM114@MNXD2 + 1 MNXM70@MNXD1	1 `L-proline` + 1 `L-arginine` = 1 `L-proline` + 1 `L-arginine`	MNXR105929	1 `L-proline` + 1 `L-arginine` 	 1 `L-proline` + 1 `L-arginine`	2
Rh16	1 MNXM147@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM147@MNXD2 + 1 MNXM70@MNXD1	1 `L-asparagine` + 1 `L-arginine` = 1 `L-asparagine` + 1 `L-arginine`	MNXR105930	1 `L-asparagine` + 1 `L-arginine` 	 1 `L-asparagine` + 1 `L-arginine`	2
Rh16	1 MNXM199@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM199@MNXD2 + 1 MNXM70@MNXD1	1 `L-valine` + 1 `L-arginine` = 1 `L-valine` + 1 `L-arginine`	MNXR105931	1 `L-valine` + 1 `L-arginine` 	 1 `L-valine` + 1 `L-arginine`	2
Rh16	1 MNXM142@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM142@MNXD2 + 1 MNXM70@MNXD1	1 `L-threonine` + 1 `L-arginine` = 1 `L-threonine` + 1 `L-arginine`	MNXR105932	1 `L-threonine` + 1 `L-arginine` 	 1 `L-threonine` + 1 `L-arginine`	2
Rh16	1 MNXM353@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM353@MNXD2 + 1 MNXM70@MNXD1	1 `L-homoserine` + 1 `L-arginine` = 1 `L-homoserine` + 1 `L-arginine`	MNXR105933	1 `L-homoserine` + 1 `L-arginine` 	 1 `L-homoserine` + 1 `L-arginine`	2
Rh16	1 MNXM231@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM231@MNXD2 + 1 MNXM70@MNXD1	1 `L-isoleucine` + 1 `L-arginine` = 1 `L-isoleucine` + 1 `L-arginine`	MNXR105934	1 `L-isoleucine` + 1 `L-arginine` 	 1 `L-isoleucine` + 1 `L-arginine`	2
Rh16	1 MNXM01@MNXD1 + 1 MNXM70@MNXD1 + 1 MNXM78@MNXD2 = 1 MNXM01@MNXD2 + 1 MNXM70@MNXD2 + 1 MNXM78@MNXD1	1 `H(+)` + 1 `L-arginine` + 1 `L-lysine` = 1 `H(+)` + 1 `L-arginine` + 1 `L-lysine`	MNXR106275	1 `H(+)` + 1 `L-arginine` + 1 `L-lysine` 	 1 `H(+)` + 1 `L-arginine` + 1 `L-lysine`	3
Rh16	1 MNXM01@MNXD1 + 1 MNXM70@MNXD2 + 1 MNXM78@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM70@MNXD1 + 1 MNXM78@MNXD2	1 `H(+)` + 1 `L-arginine` + 1 `L-lysine` = 1 `H(+)` + 1 `L-arginine` + 1 `L-lysine`	MNXR106279	1 `H(+)` + 1 `L-arginine` + 1 `L-lysine` 	 1 `H(+)` + 1 `L-arginine` + 1 `L-lysine`	3
Rh16	1 MNXM01@MNXD1 + 1 MNXM70@MNXD2 + 1 MNXM89689@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM70@MNXD1 + 1 MNXM89689@MNXD2	1 `H(+)` + 1 `L-arginine` + 1 `L-ornithine` = 1 `H(+)` + 1 `L-arginine` + 1 `L-ornithine`	MNXR106280	1 `H(+)` + 1 `L-arginine` + 1 `L-ornithine` 	 1 `H(+)` + 1 `L-arginine` + 1 `L-ornithine`	3
Rh16	1 MNXM01@MNXD1 + 1 MNXM211@MNXD1 + 1 MNXM70@MNXD2 = 1 MNXM01@MNXD2 + 1 MNXM211@MNXD2 + 1 MNXM70@MNXD1	1 `H(+)` + 1 `L-citrulline` + 1 `L-arginine` = 1 `H(+)` + 1 `L-citrulline` + 1 `L-arginine`	MNXR106281	1 `H(+)` + 1 `L-citrulline` + 1 `L-arginine` 	 1 `H(+)` + 1 `L-citrulline` + 1 `L-arginine`	3
Rh16	1 MNXM01@MNXD1 + 1 MNXM70@MNXD1 + 1 MNXM89689@MNXD2 = 1 MNXM01@MNXD2 + 1 MNXM70@MNXD2 + 1 MNXM89689@MNXD1	1 `H(+)` + 1 `L-arginine` + 1 `L-ornithine` = 1 `H(+)` + 1 `L-arginine` + 1 `L-ornithine`	MNXR106283	1 `H(+)` + 1 `L-arginine` + 1 `L-ornithine` 	 1 `H(+)` + 1 `L-arginine` + 1 `L-ornithine`	3
Rh16	1 MNXM01@MNXD1 + 1 MNXM134@MNXD2 + 1 MNXM70@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM134@MNXD1 + 1 MNXM70@MNXD2	1 `H(+)` + 1 `L-histidine` + 1 `L-arginine` = 1 `H(+)` + 1 `L-histidine` + 1 `L-arginine`	MNXR106286	1 `H(+)` + 1 `L-histidine` + 1 `L-arginine` 	 1 `H(+)` + 1 `L-histidine` + 1 `L-arginine`	3
Rh16	1 MNXM01@MNXD1 + 1 MNXM211@MNXD2 + 1 MNXM70@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM211@MNXD1 + 1 MNXM70@MNXD2	1 `H(+)` + 1 `L-citrulline` + 1 `L-arginine` = 1 `H(+)` + 1 `L-citrulline` + 1 `L-arginine`	MNXR106290	1 `H(+)` + 1 `L-citrulline` + 1 `L-arginine` 	 1 `H(+)` + 1 `L-citrulline` + 1 `L-arginine`	3
Rh16	1 MNXM1@MNXD2 + 1 MNXM7@MNXD2 + 1 MNXM70@MNXD1 + 1 MNXM9@MNXD2 = 1 MNXM2@MNXD2 + 1 MNXM3@MNXD2 + 1 MNXM70@MNXD2	1 `H(+)` + 1 `ADP` + 1 `L-arginine` + 1 `phosphate` = 1 `H2O` + 1 `ATP` + 1 `L-arginine`	MNXR126430	1 `H(+)` + 1 `ADP` + 1 `L-arginine` + 1 `phosphate` 	 1 `H2O` + 1 `ATP` + 1 `L-arginine`	1
Rh16	1 MNXM01@MNXD1 + 1 MNXM70@MNXD1 = 1 MNXM01@MNXD3 + 1 MNXM70@MNXD2	1 `H(+)` + 1 `L-arginine` = 1 `H(+)` + 1 `L-arginine`	MNXR136998	1 `H(+)` + 1 `L-arginine` 	 1 `H(+)` + 1 `L-arginine`	2
Rh17	1 MNXM134@MNXD1 = 1 MNXM134@BOUNDARY	1 `L-histidine` = 1 `L-histidine`	MNXR98656	1 `L-histidine` 	 1 `L-histidine`	1
Rh17	1 MNXM134@MNXD2 + 1 MNXM2@MNXD1 + 1 MNXM3@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM134@MNXD1 + 1 MNXM7@MNXD1 + 1 MNXM9@MNXD1	1 `L-histidine` + 1 `H2O` + 1 `ATP` = 1 `H(+)` + 1 `L-histidine` + 1 `ADP` + 1 `phosphate`	MNXR100644	1 `L-histidine` + 1 `H2O` + 1 `ATP` 	 1 `H(+)` + 1 `L-histidine` + 1 `ADP` + 1 `phosphate`	1
Rh17	1 MNXM01@MNXD1 + 1 MNXM134@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM134@MNXD2	1 `H(+)` + 1 `L-histidine` = 1 `H(+)` + 1 `L-histidine`	MNXR100645	1 `H(+)` + 1 `L-histidine` 	 1 `H(+)` + 1 `L-histidine`	2
Rh17	1 MNXM134@MNXD1 + 1 MNXM27@MNXD1 = 1 MNXM134@MNXD2 + 1 MNXM27@MNXD2	1 `L-histidine` + 1 `Na(+)` = 1 `L-histidine` + 1 `Na(+)`	MNXR100646	1 `L-histidine` + 1 `Na(+)` 	 1 `L-histidine` + 1 `Na(+)`	2
Rh17	1 MNXM01@MNXD1 + 1 MNXM134@MNXD2 = 1 MNXM01@MNXD2 + 1 MNXM134@MNXD1	1 `H(+)` + 1 `L-histidine` = 1 `H(+)` + 1 `L-histidine`	MNXR100647	1 `H(+)` + 1 `L-histidine` 	 1 `H(+)` + 1 `L-histidine`	2
Rh17	1 MNXM01@MNXD1 + 1 MNXM134@MNXD2 + 2 MNXM27@MNXD2 = 1 MNXM01@MNXD2 + 1 MNXM134@MNXD1 + 2 MNXM27@MNXD1	1 `H(+)` + 1 `L-histidine` + 2 `Na(+)` = 1 `H(+)` + 1 `L-histidine` + 2 `Na(+)`	MNXR100648	1 `H(+)` + 1 `L-histidine` + 2 `Na(+)` 	 1 `H(+)` + 1 `L-histidine` + 2 `Na(+)`	3
Rh17	1 MNXM134@MNXD1 = 1 MNXM134@MNXD2	1 `L-histidine` = 1 `L-histidine`	MNXR100649	1 `L-histidine` 	 1 `L-histidine`	1
